DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,9.0,9.4,8.95,9.05,13.0,5.95,MSPL
2021-10-28,9.5,9.5,8.6,9.0,13.0,5.95,MSPL
2021-10-27,9.4,9.4,9.15,9.25,13.0,5.95,MSPL
2021-10-26,9.4,9.85,8.55,9.2,13.0,5.95,MSPL
2021-10-25,9.65,9.95,9.15,9.45,13.0,5.95,MSPL
2021-10-22,9.85,9.85,9.3,9.45,13.0,5.75,MSPL
2021-10-21,9.65,9.65,9.3,9.35,13.0,5.75,MSPL
2021-10-20,10.0,10.0,9.25,9.4,13.0,5.75,MSPL
2021-10-19,10.05,10.05,9.7,9.9,13.0,5.75,MSPL
2021-10-18,10.15,10.15,9.9,9.95,13.0,5.75,MSPL
2021-10-14,10.15,10.2,9.85,9.9,13.0,5.75,MSPL
2021-10-13,9.95,10.05,9.75,9.85,13.0,5.75,MSPL
2021-10-12,9.9,10.0,9.75,9.9,13.0,5.75,MSPL
2021-10-11,9.7,9.95,9.65,9.75,13.0,5.75,MSPL
2021-10-08,9.95,9.95,9.25,9.6,13.0,5.75,MSPL
2021-10-07,9.95,9.95,9.7,9.75,13.0,5.75,MSPL
2021-10-06,10.0,10.0,9.6,9.75,13.0,5.75,MSPL
2021-10-05,9.95,10.0,9.75,9.9,13.0,5.75,MSPL
2021-10-04,9.75,10.1,9.75,10.0,13.0,5.75,MSPL
2021-10-01,9.35,9.85,9.35,9.75,13.0,5.75,MSPL
2021-09-30,9.5,9.8,9.4,9.4,13.0,5.75,MSPL
2021-09-29,9.45,9.6,9.25,9.5,13.0,5.75,MSPL
2021-09-28,9.5,9.65,9.1,9.35,13.0,5.75,MSPL
2021-09-27,9.6,9.6,9.2,9.3,13.0,5.75,MSPL
2021-09-24,9.45,9.65,9.15,9.35,13.0,5.75,MSPL
2021-09-23,9.95,9.95,9.4,9.55,13.0,5.75,MSPL
2021-09-22,9.75,9.75,9.4,9.65,13.0,5.75,MSPL
2021-09-21,10.05,10.05,9.25,9.55,13.0,5.75,MSPL
2021-09-20,10.25,10.25,9.5,9.7,13.0,5.75,MSPL
2021-09-17,10.25,10.25,9.9,9.9,13.0,5.75,MSPL
2021-09-16,10.1,10.1,9.9,10.05,13.0,5.75,MSPL
2021-09-15,10.1,10.1,9.9,9.95,13.0,5.75,MSPL
2021-09-14,9.9,10.15,9.8,9.85,13.0,5.75,MSPL
2021-09-13,9.95,9.95,9.65,9.9,13.0,5.75,MSPL
2021-09-09,10.0,10.05,9.8,9.95,13.0,5.75,MSPL
2021-09-08,9.95,10.4,9.7,10.0,13.0,5.75,MSPL
2021-09-07,10.0,10.2,9.65,9.95,13.0,5.75,MSPL
2021-09-06,10.15,10.15,9.65,9.9,13.0,5.75,MSPL
2021-09-03,10.3,10.45,9.75,9.95,13.0,5.75,MSPL
2021-09-02,10.1,10.35,9.95,10.25,13.0,5.75,MSPL
2021-09-01,9.25,9.9,9.25,9.9,13.0,5.75,MSPL
2021-08-31,9.3,9.55,9.1,9.45,13.0,5.75,MSPL
2021-08-30,9.5,9.5,9.1,9.2,13.0,5.75,MSPL
2021-08-27,9.4,9.45,9.15,9.35,13.0,5.75,MSPL
2021-08-26,9.4,9.7,9.25,9.3,13.0,5.75,MSPL
2021-08-25,9.3,9.45,9.2,9.4,13.0,5.75,MSPL
2021-08-24,9.3,9.35,8.8,9.0,13.0,5.75,MSPL
2021-08-23,9.55,9.95,9.1,9.15,13.0,5.75,MSPL
2021-08-20,9.95,10.1,9.5,9.55,13.0,5.75,MSPL
2021-08-18,10.75,10.75,9.9,9.95,13.0,5.75,MSPL
2021-08-17,10.75,10.9,10.3,10.4,13.0,5.75,MSPL
2021-08-16,10.85,10.95,10.65,10.8,13.0,5.75,MSPL
2021-08-13,11.15,11.15,10.45,10.75,13.0,5.75,MSPL
2021-08-12,10.9,11.25,10.6,11.0,13.0,5.75,MSPL
2021-08-11,10.85,11.7,10.8,10.85,13.0,5.75,MSPL
2021-08-10,11.9,12.15,11.35,11.35,13.0,5.75,MSPL
2021-08-09,12.2,12.25,11.75,11.9,13.0,5.75,MSPL
2021-08-06,11.05,11.95,11.05,11.95,13.0,5.75,MSPL
2021-08-05,11.55,12.2,11.4,11.4,13.0,5.75,MSPL
2021-08-04,12.7,12.7,12.0,12.0,13.0,5.75,MSPL
2021-08-03,12.95,13.0,12.15,12.6,13.0,5.75,MSPL
2021-08-02,12.4,12.4,12.1,12.4,12.4,5.75,MSPL
2021-07-30,11.85,11.9,11.65,11.85,11.9,5.75,MSPL
2021-07-29,10.9,11.35,10.8,11.35,11.7,5.75,MSPL
2021-07-28,10.75,10.9,10.55,10.85,11.7,4.9,MSPL
2021-07-27,10.9,10.95,10.7,10.85,11.7,4.05,MSPL
2021-07-26,11.0,11.0,10.65,10.8,11.7,4.05,MSPL
2021-07-23,11.3,11.35,10.65,10.8,11.7,4.05,MSPL
2021-07-22,10.9,10.9,10.45,10.9,11.7,4.05,MSPL
2021-07-20,10.95,10.95,10.25,10.4,11.7,4.05,MSPL
2021-04-26,10.1,10.4,10.1,10.4,11.7,4.05,MSPL
2021-04-23,9.85,10.1,9.65,9.95,11.7,4.0,MSPL
2021-04-22,10.05,10.05,9.65,9.65,11.7,4.0,MSPL
2021-04-20,10.35,10.8,10.05,10.15,11.7,4.0,MSPL
2021-04-19,10.75,10.75,10.35,10.35,11.7,4.0,MSPL
2021-04-16,11.0,11.05,10.6,10.85,11.7,3.8,MSPL
2021-04-15,11.3,11.7,10.65,10.75,11.7,3.8,MSPL
2021-04-13,10.75,11.15,10.35,11.15,11.2,3.8,MSPL
2021-04-12,10.65,11.2,9.7,10.15,11.2,3.8,MSPL
2021-04-09,10.6,10.65,10.05,10.65,10.85,3.8,MSPL
2021-04-08,9.7,9.7,9.5,9.7,10.85,3.8,MSPL
2021-04-07,8.65,8.85,8.45,8.85,10.85,3.8,MSPL
2021-04-06,8.4,8.45,8.15,8.45,10.85,3.8,MSPL
2021-04-05,7.9,8.05,7.5,8.05,10.85,3.8,MSPL
2021-04-01,7.5,7.7,7.3,7.7,10.85,3.8,MSPL
2021-03-31,7.5,7.6,7.0,7.35,10.85,3.8,MSPL
2021-03-30,7.35,7.8,7.1,7.35,10.85,3.8,MSPL
2021-03-26,7.35,7.55,7.05,7.45,10.85,3.5,MSPL
2021-03-25,7.6,7.6,7.25,7.35,10.85,3.5,MSPL
2021-03-24,7.75,7.75,7.55,7.6,10.85,3.5,MSPL
2021-03-23,7.85,7.85,7.55,7.75,10.85,3.5,MSPL
2021-03-22,7.7,7.75,7.3,7.7,10.85,3.5,MSPL
2021-03-19,8.15,8.15,7.5,7.55,10.85,3.5,MSPL
2021-03-18,7.45,7.8,7.35,7.8,10.85,3.5,MSPL
2021-03-17,8.0,8.0,7.45,7.45,10.85,3.5,MSPL
2021-03-16,8.0,8.05,7.7,7.8,10.85,3.5,MSPL
2021-03-15,7.75,8.25,7.75,8.0,10.85,3.5,MSPL
2021-03-12,8.05,8.2,7.7,8.1,10.85,3.5,MSPL
2021-03-10,8.05,8.05,7.5,7.85,10.85,3.5,MSPL
2021-03-09,7.35,7.7,7.25,7.7,10.85,3.5,MSPL
2021-03-08,7.2,7.55,7.15,7.35,10.85,3.5,MSPL
2021-03-05,7.6,7.6,7.15,7.2,10.85,3.5,MSPL
2021-03-04,7.75,7.75,7.35,7.5,10.85,3.5,MSPL
2021-03-03,7.55,7.75,7.35,7.6,10.85,3.5,MSPL
2021-03-02,7.85,7.85,7.35,7.55,10.85,3.5,MSPL
2021-03-01,7.8,7.8,7.35,7.6,10.85,3.5,MSPL
2021-02-26,7.95,7.95,7.35,7.45,10.85,3.5,MSPL
