DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,139.9,139.9,131.8,133.35,147.3,26.4,MUKANDLTD
2021-11-11,133.7,139.9,130.05,138.7,147.3,26.4,MUKANDLTD
2021-11-10,137.5,137.5,133.0,133.75,147.3,26.4,MUKANDLTD
2021-11-09,135.65,137.3,132.95,134.95,147.3,26.4,MUKANDLTD
2021-11-08,135.0,143.0,135.0,135.95,147.3,26.4,MUKANDLTD
2021-11-04,135.0,140.4,134.0,138.35,147.3,25.3,MUKANDLTD
2021-11-03,130.55,137.0,130.55,134.05,147.3,24.8,MUKANDLTD
2021-11-02,134.75,134.75,130.7,131.75,147.3,24.6,MUKANDLTD
2021-11-01,130.6,135.9,128.5,129.6,147.3,21.4,MUKANDLTD
2021-10-29,133.05,136.0,130.0,131.9,147.3,19.05,MUKANDLTD
2021-10-28,134.05,139.85,133.0,135.45,147.3,17.55,MUKANDLTD
2021-10-27,135.15,139.5,132.3,137.3,147.3,17.55,MUKANDLTD
2021-10-26,133.0,136.05,130.1,132.95,147.3,15.85,MUKANDLTD
2021-10-25,131.5,138.05,129.55,133.75,147.3,15.4,MUKANDLTD
2021-07-23,140.0,143.0,134.75,135.8,147.3,15.4,MUKANDLTD
2021-07-22,144.7,144.7,140.0,141.7,147.3,15.4,MUKANDLTD
2021-07-20,147.3,147.3,135.85,137.85,147.3,15.4,MUKANDLTD
2021-04-26,102.4,112.65,102.4,112.65,122.2,15.4,MUKANDLTD
2021-04-23,109.95,109.95,107.3,107.3,122.2,15.4,MUKANDLTD
2021-04-22,120.0,122.15,112.9,112.9,122.2,15.4,MUKANDLTD
2021-04-20,122.2,122.2,113.6,118.8,122.2,15.4,MUKANDLTD
2021-04-19,101.0,111.1,94.6,111.1,111.1,15.4,MUKANDLTD
2021-04-16,93.0,101.0,91.4,101.0,101.0,15.4,MUKANDLTD
2021-04-15,91.0,94.0,89.5,91.85,99.25,15.4,MUKANDLTD
2021-04-13,88.5,91.6,87.5,89.85,99.25,15.4,MUKANDLTD
2021-04-12,92.0,92.0,85.3,85.55,99.25,15.4,MUKANDLTD
2021-04-09,93.9,99.25,90.0,94.75,99.25,13.5,MUKANDLTD
