DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,463.45,496.0,462.0,472.0,472.05,528.0,348.2,MUTHOOTCAP
2021-07-22,411.0,464.8,405.4,457.25,455.6,528.0,348.2,MUTHOOTCAP
2021-07-20,413.0,413.0,399.25,405.0,403.0,528.0,348.2,MUTHOOTCAP
2021-07-19,410.0,418.95,405.0,407.0,408.2,528.0,348.2,MUTHOOTCAP
2021-07-16,419.8,419.8,409.0,410.55,412.3,528.0,342.5,MUTHOOTCAP
2021-07-15,419.7,423.0,411.0,415.9,413.55,528.0,342.5,MUTHOOTCAP
2021-07-14,423.0,423.0,414.2,417.05,418.1,528.0,342.5,MUTHOOTCAP
2021-07-13,421.0,422.65,415.95,416.5,418.2,528.0,342.5,MUTHOOTCAP
2021-07-12,410.0,429.9,410.0,415.0,415.6,528.0,342.5,MUTHOOTCAP
2021-07-09,410.2,414.8,406.0,410.9,410.0,528.0,342.5,MUTHOOTCAP
2021-07-08,424.9,424.9,410.0,410.15,412.4,528.0,342.5,MUTHOOTCAP
2021-07-07,419.8,427.0,413.0,418.9,415.4,528.0,342.5,MUTHOOTCAP
2021-07-06,412.45,440.0,408.15,424.9,420.5,528.0,342.5,MUTHOOTCAP
2021-07-05,405.0,410.4,398.65,410.4,407.4,528.0,342.5,MUTHOOTCAP
2021-07-02,390.2,399.0,390.2,395.0,396.5,528.0,342.5,MUTHOOTCAP
2021-07-01,401.0,401.0,392.0,393.0,393.2,528.0,342.5,MUTHOOTCAP
2021-06-30,399.2,402.7,395.0,396.0,395.9,528.0,342.5,MUTHOOTCAP
2021-06-29,405.65,405.65,397.5,399.9,399.55,528.0,342.5,MUTHOOTCAP
2021-06-28,405.0,409.05,404.05,405.0,405.6,528.0,342.5,MUTHOOTCAP
2021-06-25,404.2,407.0,399.0,403.3,405.0,528.0,342.5,MUTHOOTCAP
2021-06-24,397.0,406.0,397.0,398.0,399.4,528.0,342.5,MUTHOOTCAP
2021-06-23,405.45,406.3,400.65,404.0,402.5,528.0,342.5,MUTHOOTCAP
2021-06-22,406.5,409.45,400.1,407.0,402.7,528.0,342.5,MUTHOOTCAP
2021-06-21,400.0,405.0,390.85,401.0,399.5,528.0,342.5,MUTHOOTCAP
2021-06-18,424.1,427.2,404.45,414.4,411.9,528.0,342.5,MUTHOOTCAP
2021-06-17,425.0,435.7,417.2,421.3,421.6,528.0,342.5,MUTHOOTCAP
2021-06-16,426.0,443.0,425.0,426.0,429.05,528.0,342.5,MUTHOOTCAP
2021-06-15,420.0,428.3,420.0,425.95,426.35,528.0,342.5,MUTHOOTCAP
2021-06-14,430.0,430.0,415.15,418.0,420.1,528.0,342.5,MUTHOOTCAP
2021-06-11,423.8,432.65,423.8,425.05,424.7,528.0,318.7,MUTHOOTCAP
2021-06-10,427.2,433.95,420.0,425.0,423.75,528.0,318.7,MUTHOOTCAP
2021-06-09,433.5,439.35,415.15,427.0,423.3,528.0,318.7,MUTHOOTCAP
2021-06-08,434.2,436.4,422.0,430.4,430.4,528.0,318.7,MUTHOOTCAP
