DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-27,6.8,7.05,6.8,7.05,8.9,4.9,NAGREEKCAP
2021-10-26,7.0,7.0,6.75,6.75,8.9,4.9,NAGREEKCAP
2021-10-21,7.3,7.3,7.0,7.0,8.9,4.9,NAGREEKCAP
2021-10-19,7.3,7.65,7.3,7.3,8.9,4.9,NAGREEKCAP
2021-10-18,7.85,7.85,7.6,7.65,8.9,4.9,NAGREEKCAP
2021-10-14,7.95,7.95,7.95,7.95,8.9,4.9,NAGREEKCAP
2021-10-13,7.95,7.95,7.95,7.95,8.9,4.9,NAGREEKCAP
2021-10-12,7.6,7.6,7.6,7.6,8.9,4.9,NAGREEKCAP
2021-10-11,7.95,7.95,7.95,7.95,8.9,4.9,NAGREEKCAP
2021-10-08,8.0,8.35,8.0,8.35,8.9,4.9,NAGREEKCAP
2021-10-07,7.9,8.0,7.85,8.0,8.9,4.9,NAGREEKCAP
2021-10-05,7.7,8.05,7.7,8.0,8.9,4.9,NAGREEKCAP
2021-10-04,7.7,7.7,7.7,7.7,8.9,4.9,NAGREEKCAP
2021-10-01,7.65,7.7,7.65,7.7,8.9,4.9,NAGREEKCAP
2021-09-30,7.65,7.65,7.65,7.65,8.9,4.9,NAGREEKCAP
2021-09-29,8.6,8.6,7.85,7.95,8.9,4.9,NAGREEKCAP
2021-09-28,8.0,8.25,7.95,8.25,8.9,4.9,NAGREEKCAP
2021-09-27,8.0,8.4,8.0,8.0,8.9,4.9,NAGREEKCAP
2021-09-24,8.0,8.0,8.0,8.0,8.9,4.7,NAGREEKCAP
2021-09-23,7.5,8.0,7.5,8.0,8.9,4.7,NAGREEKCAP
2021-09-22,8.0,8.0,7.65,7.65,8.9,4.7,NAGREEKCAP
2021-09-20,8.0,8.1,8.0,8.05,8.9,4.7,NAGREEKCAP
2021-09-17,7.75,7.75,7.75,7.75,8.9,4.7,NAGREEKCAP
2021-09-15,7.4,7.65,7.4,7.4,8.9,4.7,NAGREEKCAP
2021-09-14,7.7,7.7,7.7,7.7,8.9,4.7,NAGREEKCAP
2021-09-13,7.35,7.35,7.35,7.35,8.9,4.7,NAGREEKCAP
2021-09-09,7.0,7.0,7.0,7.0,8.9,4.7,NAGREEKCAP
2021-09-08,6.8,7.1,6.8,7.1,8.9,4.7,NAGREEKCAP
2021-09-07,7.5,7.5,7.15,7.15,8.9,4.7,NAGREEKCAP
2021-09-06,7.75,7.75,7.5,7.5,8.9,4.7,NAGREEKCAP
2021-09-03,7.05,7.75,7.05,7.75,8.9,4.7,NAGREEKCAP
2021-09-02,7.4,7.4,7.4,7.4,8.9,4.7,NAGREEKCAP
2021-09-01,7.5,7.5,7.5,7.5,8.9,4.7,NAGREEKCAP
2021-08-31,7.9,7.9,7.5,7.5,8.9,4.7,NAGREEKCAP
2021-08-30,7.6,7.8,7.6,7.6,8.9,4.7,NAGREEKCAP
2021-08-27,7.55,7.9,7.55,7.9,8.9,4.7,NAGREEKCAP
2021-08-26,7.5,7.55,7.5,7.55,8.9,4.7,NAGREEKCAP
2021-08-25,7.75,7.85,7.75,7.75,8.9,4.7,NAGREEKCAP
2021-08-24,7.9,7.9,7.9,7.9,8.9,4.7,NAGREEKCAP
2021-08-23,8.1,8.1,8.1,8.1,8.9,4.7,NAGREEKCAP
2021-08-20,8.5,8.5,8.5,8.5,8.9,4.7,NAGREEKCAP
2021-08-18,8.85,8.85,8.5,8.5,8.9,4.7,NAGREEKCAP
2021-08-16,8.9,8.9,8.85,8.85,8.9,4.7,NAGREEKCAP
2021-08-13,8.6,8.8,8.6,8.8,8.8,4.7,NAGREEKCAP
2021-08-12,8.6,8.6,8.6,8.6,8.6,4.7,NAGREEKCAP
2021-08-11,8.3,8.3,8.3,8.3,8.5,4.7,NAGREEKCAP
2021-08-10,8.1,8.4,8.1,8.4,8.5,4.7,NAGREEKCAP
2021-08-09,8.0,8.5,8.0,8.5,8.5,4.7,NAGREEKCAP
2021-08-06,7.95,8.45,7.95,8.4,8.45,4.7,NAGREEKCAP
2021-08-05,8.45,8.45,8.1,8.1,8.45,4.7,NAGREEKCAP
2021-08-04,8.3,8.45,8.1,8.45,8.45,4.7,NAGREEKCAP
2021-08-03,8.0,8.05,7.9,8.05,8.45,4.7,NAGREEKCAP
2021-08-02,8.25,8.25,8.25,8.25,8.45,4.7,NAGREEKCAP
2021-07-30,7.55,7.9,7.55,7.9,8.45,4.7,NAGREEKCAP
2021-07-29,7.6,7.95,7.55,7.55,8.45,4.7,NAGREEKCAP
2021-07-28,7.2,7.6,7.2,7.6,8.45,4.7,NAGREEKCAP
2021-07-27,7.0,7.25,7.0,7.25,8.45,4.7,NAGREEKCAP
2021-07-26,7.35,7.35,7.35,7.35,8.45,4.7,NAGREEKCAP
2021-07-23,7.0,7.55,7.0,7.0,8.45,4.7,NAGREEKCAP
2021-07-22,7.3,7.3,7.3,7.3,8.45,4.7,NAGREEKCAP
2021-07-20,7.5,7.5,7.4,7.4,8.45,4.7,NAGREEKCAP
2021-07-19,7.0,7.15,7.0,7.15,8.45,4.7,NAGREEKCAP
2021-07-16,7.0,7.0,7.0,7.0,8.45,4.7,NAGREEKCAP
2021-07-15,7.2,7.2,7.15,7.15,8.45,4.7,NAGREEKCAP
2021-07-14,7.5,7.5,7.5,7.5,8.45,4.7,NAGREEKCAP
2021-07-12,7.2,7.5,7.2,7.5,8.45,4.7,NAGREEKCAP
2021-07-09,7.3,7.3,7.3,7.3,8.45,4.7,NAGREEKCAP
2021-07-08,7.3,7.3,7.3,7.3,8.45,4.7,NAGREEKCAP
2021-07-07,7.3,7.3,7.3,7.3,8.45,4.7,NAGREEKCAP
2021-07-06,7.25,7.3,7.25,7.3,8.45,4.7,NAGREEKCAP
2021-07-05,7.55,7.55,7.55,7.55,8.45,4.7,NAGREEKCAP
2021-07-02,7.2,7.2,7.2,7.2,8.45,4.7,NAGREEKCAP
2021-07-01,7.5,7.5,7.4,7.4,8.45,4.7,NAGREEKCAP
2021-06-29,7.6,7.65,7.6,7.65,8.45,4.7,NAGREEKCAP
