DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,231.25,239.75,231.0,233.4,318.9,68.0,NAHARPOLY
2021-10-28,246.0,246.0,232.75,234.55,318.9,68.0,NAHARPOLY
2021-10-27,228.6,239.55,228.6,236.95,318.9,68.0,NAHARPOLY
2021-10-26,223.5,232.8,223.5,231.8,318.9,68.0,NAHARPOLY
2021-10-25,228.3,235.1,217.6,224.85,318.9,68.0,NAHARPOLY
2021-10-22,238.9,238.9,226.25,233.25,318.9,57.95,NAHARPOLY
2021-10-21,237.05,241.7,234.0,235.45,318.9,57.95,NAHARPOLY
2021-10-20,240.95,242.0,234.0,236.7,318.9,57.95,NAHARPOLY
2021-10-19,244.15,249.0,240.1,240.95,318.9,57.95,NAHARPOLY
2021-10-18,243.0,254.0,242.6,247.5,318.9,57.95,NAHARPOLY
2021-10-14,243.1,246.25,241.0,242.8,318.9,57.95,NAHARPOLY
2021-10-13,252.7,252.7,241.15,245.1,318.9,57.95,NAHARPOLY
2021-10-12,244.95,250.0,242.45,244.85,318.9,57.95,NAHARPOLY
2021-10-11,253.5,254.85,225.35,244.95,318.9,57.95,NAHARPOLY
2021-10-08,253.9,253.9,246.55,248.3,318.9,57.95,NAHARPOLY
2021-10-07,250.5,254.0,248.0,248.9,318.9,57.95,NAHARPOLY
2021-10-06,248.0,258.95,247.1,248.6,318.9,57.95,NAHARPOLY
2021-10-05,255.65,259.0,250.1,251.5,318.9,57.95,NAHARPOLY
2021-10-04,245.3,267.65,245.3,253.65,318.9,57.95,NAHARPOLY
2021-10-01,245.0,245.0,237.0,243.35,318.9,57.95,NAHARPOLY
2021-09-30,242.3,249.9,241.0,243.5,318.9,57.95,NAHARPOLY
2021-09-29,235.0,247.5,232.25,240.4,318.9,57.95,NAHARPOLY
2021-09-28,241.7,241.8,234.05,238.1,318.9,57.95,NAHARPOLY
2021-09-27,247.8,254.3,240.6,241.7,318.9,57.95,NAHARPOLY
2021-09-24,256.9,258.2,244.9,245.85,318.9,55.85,NAHARPOLY
2021-09-23,247.7,264.95,244.9,254.85,318.9,55.85,NAHARPOLY
2021-09-22,234.9,247.35,228.0,244.25,318.9,55.85,NAHARPOLY
2021-09-21,225.0,231.95,220.45,228.75,318.9,55.85,NAHARPOLY
2021-09-20,243.0,247.15,223.5,224.8,318.9,55.85,NAHARPOLY
2021-09-17,257.7,257.7,238.15,239.95,318.9,55.85,NAHARPOLY
2021-09-16,264.35,264.35,249.0,252.15,318.9,55.85,NAHARPOLY
2021-09-15,250.95,271.9,250.95,263.05,318.9,55.85,NAHARPOLY
2021-09-14,231.0,253.0,230.95,248.95,318.9,55.85,NAHARPOLY
2021-09-13,229.0,233.0,225.65,230.3,318.9,55.85,NAHARPOLY
2021-09-09,230.0,234.0,226.15,228.75,318.9,55.85,NAHARPOLY
2021-09-08,226.7,234.0,226.7,229.95,318.9,55.85,NAHARPOLY
2021-09-07,241.7,241.7,224.95,226.25,318.9,55.85,NAHARPOLY
2021-09-06,221.0,238.4,221.0,232.45,318.9,55.85,NAHARPOLY
2021-09-03,228.0,228.0,220.6,223.2,318.9,55.85,NAHARPOLY
2021-09-02,226.0,230.8,223.0,223.95,318.9,55.85,NAHARPOLY
2021-09-01,236.5,236.5,225.0,225.6,318.9,55.85,NAHARPOLY
2021-08-31,234.0,239.15,226.5,230.15,318.9,55.85,NAHARPOLY
2021-08-30,240.0,241.0,232.15,235.35,318.9,55.85,NAHARPOLY
2021-08-27,238.85,241.15,230.0,235.15,318.9,55.85,NAHARPOLY
2021-08-26,242.0,255.0,234.25,235.5,318.9,55.85,NAHARPOLY
2021-08-25,217.0,232.65,215.35,232.65,318.9,55.85,NAHARPOLY
2021-08-24,198.0,216.35,196.0,211.5,318.9,55.85,NAHARPOLY
2021-08-23,218.5,219.95,195.0,200.85,318.9,55.85,NAHARPOLY
2021-08-20,202.9,218.9,195.35,210.75,318.9,55.85,NAHARPOLY
2021-08-18,214.75,218.65,203.05,208.85,318.9,55.85,NAHARPOLY
2021-08-17,231.0,231.0,208.9,212.85,318.9,55.85,NAHARPOLY
2021-08-16,236.0,247.5,218.25,222.45,318.9,55.85,NAHARPOLY
2021-08-13,243.0,249.0,230.7,236.7,318.9,55.85,NAHARPOLY
2021-08-12,223.4,238.9,217.15,238.9,318.9,55.85,NAHARPOLY
2021-08-11,227.55,227.55,227.55,227.55,318.9,55.85,NAHARPOLY
2021-08-10,240.35,244.8,239.5,239.5,318.9,55.85,NAHARPOLY
2021-08-09,252.1,257.85,252.1,252.1,318.9,55.85,NAHARPOLY
2021-08-06,265.35,265.35,265.35,265.35,318.9,55.85,NAHARPOLY
2021-08-05,293.9,293.9,279.3,279.3,318.9,55.85,NAHARPOLY
2021-08-04,310.95,318.9,283.3,294.0,318.9,55.85,NAHARPOLY
2021-08-03,258.0,292.6,257.3,292.6,292.6,55.85,NAHARPOLY
2021-08-02,225.4,255.0,224.6,243.85,255.0,55.85,NAHARPOLY
2021-07-30,221.0,241.95,215.0,223.8,241.95,55.85,NAHARPOLY
2021-07-29,211.9,229.6,211.9,220.9,229.6,55.85,NAHARPOLY
2021-07-28,207.9,212.7,205.6,209.85,221.9,55.85,NAHARPOLY
2021-07-27,212.2,215.95,203.0,205.05,221.9,55.85,NAHARPOLY
2021-07-26,210.4,218.4,202.1,211.0,221.9,55.85,NAHARPOLY
2021-07-23,216.1,217.0,207.25,208.55,221.9,55.85,NAHARPOLY
2021-07-22,205.0,221.9,205.0,214.4,221.9,55.85,NAHARPOLY
2021-07-20,213.5,213.7,197.05,202.15,219.05,55.85,NAHARPOLY
2021-07-19,203.35,214.7,201.6,212.0,219.05,55.85,NAHARPOLY
2021-07-16,200.0,219.05,200.0,205.85,219.05,55.85,NAHARPOLY
2021-07-15,180.8,209.0,178.75,198.9,209.0,55.85,NAHARPOLY
2021-07-14,182.6,186.2,178.15,179.8,188.5,55.85,NAHARPOLY
2021-07-13,179.9,188.5,179.85,181.75,188.5,55.85,NAHARPOLY
2021-07-12,177.5,186.35,175.3,178.25,186.35,55.85,NAHARPOLY
2021-07-09,174.75,174.75,170.5,171.95,182.0,55.85,NAHARPOLY
2021-07-08,173.8,176.65,170.85,171.95,182.0,55.85,NAHARPOLY
2021-07-07,166.0,177.0,166.0,171.95,182.0,55.85,NAHARPOLY
2021-07-06,173.4,175.0,166.5,168.6,182.0,55.85,NAHARPOLY
2021-07-05,175.05,175.9,171.1,172.55,182.0,55.85,NAHARPOLY
2021-07-02,175.45,175.9,169.8,171.1,182.0,55.85,NAHARPOLY
2021-07-01,173.0,178.45,171.8,174.55,182.0,55.85,NAHARPOLY
2021-06-30,169.15,179.45,169.15,172.35,182.0,55.85,NAHARPOLY
2021-06-29,175.7,175.7,166.35,168.3,182.0,55.85,NAHARPOLY
2021-06-28,154.0,182.0,154.0,174.95,182.0,55.85,NAHARPOLY
2021-06-25,153.5,157.5,153.5,154.6,168.8,55.85,NAHARPOLY
2021-06-24,155.05,157.65,153.05,153.95,168.8,55.85,NAHARPOLY
2021-06-23,153.9,156.0,152.2,154.25,168.8,55.85,NAHARPOLY
2021-06-22,154.0,154.75,150.15,151.9,168.8,55.85,NAHARPOLY
2021-06-21,149.0,154.95,147.0,151.95,168.8,55.85,NAHARPOLY
2021-06-18,157.4,157.4,146.0,151.7,168.8,50.75,NAHARPOLY
2021-06-17,155.0,158.85,152.1,154.65,168.8,50.75,NAHARPOLY
2021-06-16,162.0,162.0,152.65,154.8,168.8,50.75,NAHARPOLY
2021-06-15,159.2,165.2,158.2,159.55,168.8,50.75,NAHARPOLY
2021-06-14,160.0,162.95,153.6,159.2,168.8,50.75,NAHARPOLY
2021-06-11,155.0,164.5,155.0,158.8,168.8,48.9,NAHARPOLY
2021-06-10,153.5,157.7,153.5,154.55,168.8,48.9,NAHARPOLY
2021-06-09,154.3,157.85,152.1,153.6,168.8,48.9,NAHARPOLY
2021-06-08,158.55,159.15,152.6,153.35,168.8,48.9,NAHARPOLY
2021-06-07,154.9,158.75,152.6,156.4,168.8,48.9,NAHARPOLY
2021-06-04,153.9,153.9,151.1,152.45,168.8,40.05,NAHARPOLY
2021-06-03,152.9,154.8,150.0,150.55,168.8,40.05,NAHARPOLY
2021-06-02,151.6,155.0,150.05,151.1,168.8,40.05,NAHARPOLY
2021-06-01,151.25,154.9,145.5,148.6,168.8,40.05,NAHARPOLY
2021-05-31,161.2,164.9,154.3,158.3,168.8,40.05,NAHARPOLY
2021-05-28,160.5,168.8,158.15,160.1,168.8,39.2,NAHARPOLY
2021-05-27,157.5,159.2,151.0,152.35,165.9,39.2,NAHARPOLY
2021-05-26,158.65,161.45,155.75,157.5,165.9,39.2,NAHARPOLY
2021-05-25,162.0,163.05,154.4,157.1,165.9,39.2,NAHARPOLY
2021-05-24,160.7,165.9,155.25,160.85,165.9,39.2,NAHARPOLY
2021-05-21,154.3,162.65,152.95,159.05,164.4,37.5,NAHARPOLY
2021-05-20,158.0,158.6,148.5,151.95,164.4,37.5,NAHARPOLY
2021-05-19,144.4,164.4,143.25,155.65,164.4,37.5,NAHARPOLY
2021-05-18,155.0,155.5,141.8,143.25,157.7,37.5,NAHARPOLY
2021-05-17,130.05,157.7,130.05,157.65,157.7,37.5,NAHARPOLY
2021-05-14,132.0,133.95,128.55,131.45,142.0,36.6,NAHARPOLY
2021-05-12,134.95,134.95,131.1,132.0,142.0,36.6,NAHARPOLY
2021-05-11,130.0,137.0,130.0,133.4,142.0,36.6,NAHARPOLY
2021-05-10,132.8,138.1,132.75,133.85,142.0,36.6,NAHARPOLY
2021-05-07,135.3,135.3,128.95,130.35,142.0,32.0,NAHARPOLY
2021-05-06,135.85,137.8,132.0,133.25,142.0,32.0,NAHARPOLY
2021-05-05,134.95,139.45,131.55,134.85,142.0,32.0,NAHARPOLY
2021-05-04,137.0,139.5,131.3,132.1,142.0,32.0,NAHARPOLY
2021-05-03,131.9,138.5,131.05,133.7,142.0,32.0,NAHARPOLY
2021-04-30,115.0,138.5,108.0,129.85,142.0,30.75,NAHARPOLY
2021-04-29,115.65,118.5,113.45,116.3,142.0,30.75,NAHARPOLY
2021-04-28,114.9,117.3,114.05,115.65,142.0,30.75,NAHARPOLY
2021-04-27,115.9,119.7,112.95,113.9,142.0,30.75,NAHARPOLY
2021-04-26,109.0,119.0,107.15,115.25,142.0,30.75,NAHARPOLY
2021-04-23,107.0,110.95,105.35,106.8,142.0,29.6,NAHARPOLY
2021-04-22,108.0,108.45,105.25,106.3,142.0,29.6,NAHARPOLY
2021-04-20,108.0,109.5,104.25,105.2,142.0,29.6,NAHARPOLY
2021-04-19,105.8,106.85,103.1,104.85,142.0,29.6,NAHARPOLY
2021-04-16,109.8,112.75,109.5,110.15,142.0,28.2,NAHARPOLY
2021-04-15,110.65,110.9,103.8,109.75,142.0,28.2,NAHARPOLY
2021-04-13,111.25,114.1,108.0,110.65,142.0,28.2,NAHARPOLY
2021-04-12,114.25,117.0,104.85,108.45,142.0,28.2,NAHARPOLY
2021-04-09,119.0,124.8,119.0,120.1,142.0,26.95,NAHARPOLY
2021-04-08,118.2,121.35,117.5,120.05,142.0,26.95,NAHARPOLY
2021-04-07,120.7,120.75,115.05,115.85,142.0,26.95,NAHARPOLY
2021-04-06,117.35,121.75,115.25,116.95,142.0,26.95,NAHARPOLY
2021-04-05,122.9,122.95,113.85,117.35,142.0,26.95,NAHARPOLY
2021-04-01,111.6,125.8,111.0,121.5,142.0,25.15,NAHARPOLY
2021-03-31,111.4,115.0,108.55,110.5,142.0,25.15,NAHARPOLY
2021-03-30,113.6,115.9,109.0,111.05,142.0,25.15,NAHARPOLY
2021-03-26,113.4,118.0,110.0,111.65,142.0,24.25,NAHARPOLY
2021-03-25,117.4,118.9,106.4,110.4,142.0,24.25,NAHARPOLY
2021-03-24,120.0,124.65,116.0,117.25,142.0,24.25,NAHARPOLY
2021-03-23,121.15,133.0,116.5,122.35,142.0,24.25,NAHARPOLY
2021-03-22,125.75,129.35,116.15,119.45,142.0,24.25,NAHARPOLY
2021-03-19,102.25,124.8,97.95,122.0,142.0,23.05,NAHARPOLY
2021-03-18,112.0,116.8,102.0,104.75,142.0,23.05,NAHARPOLY
2021-03-17,118.1,124.5,108.3,110.45,142.0,23.05,NAHARPOLY
2021-03-16,126.5,142.0,121.1,122.55,142.0,23.05,NAHARPOLY
2021-03-15,107.0,120.95,106.0,120.95,120.95,23.05,NAHARPOLY
2021-03-12,92.1,109.0,92.1,100.8,109.0,23.05,NAHARPOLY
2021-03-10,93.95,95.5,92.1,93.45,106.7,23.05,NAHARPOLY
2021-03-09,95.9,96.9,93.0,93.45,106.7,23.05,NAHARPOLY
2021-03-08,91.2,97.2,90.7,95.25,106.7,23.05,NAHARPOLY
2021-03-05,97.4,98.1,93.0,93.85,106.7,23.05,NAHARPOLY
2021-03-04,93.6,97.7,92.55,95.95,106.7,23.05,NAHARPOLY
2021-03-03,92.3,95.0,92.1,93.1,106.7,23.05,NAHARPOLY
2021-03-02,86.7,93.3,86.7,92.0,106.7,23.05,NAHARPOLY
2021-03-01,88.25,88.4,86.45,86.65,106.7,23.05,NAHARPOLY
2021-02-26,86.0,87.5,85.25,86.45,106.7,23.05,NAHARPOLY
2021-02-25,88.25,88.75,86.75,87.35,106.7,23.05,NAHARPOLY
2021-02-24,88.4,88.8,85.25,87.6,106.7,23.05,NAHARPOLY
2021-02-23,86.0,88.95,84.95,85.55,106.7,23.05,NAHARPOLY
2021-02-22,87.35,90.7,84.05,84.8,106.7,23.05,NAHARPOLY
2021-02-19,92.25,92.6,87.0,88.15,106.7,23.05,NAHARPOLY
2021-02-18,90.85,92.4,88.3,90.35,106.7,23.05,NAHARPOLY
2021-02-17,90.9,90.95,89.0,89.7,106.7,23.05,NAHARPOLY
2021-02-16,94.0,94.0,90.2,90.55,106.7,23.05,NAHARPOLY
2021-02-15,93.0,93.95,90.15,90.5,106.7,23.05,NAHARPOLY
2021-02-12,95.85,95.85,91.0,92.05,106.7,23.05,NAHARPOLY
2021-02-11,93.7,96.9,91.35,95.45,106.7,23.05,NAHARPOLY
2021-02-10,93.8,93.8,90.8,92.25,106.7,23.05,NAHARPOLY
2021-02-09,92.9,93.65,90.2,91.4,106.7,23.05,NAHARPOLY
2021-02-08,91.55,92.5,90.5,90.95,106.7,23.05,NAHARPOLY
2021-02-05,97.5,97.5,89.1,91.45,106.7,23.05,NAHARPOLY
2021-02-04,97.3,98.35,95.0,95.35,106.7,23.05,NAHARPOLY
2021-02-03,94.9,95.7,92.25,93.7,106.7,23.05,NAHARPOLY
2021-02-02,89.55,93.5,89.55,92.6,106.7,23.05,NAHARPOLY
2021-02-01,89.4,92.45,86.65,90.3,106.7,23.05,NAHARPOLY
2021-01-29,91.9,91.9,87.2,88.95,106.7,23.05,NAHARPOLY
2021-01-28,86.35,91.45,84.65,89.45,106.7,23.05,NAHARPOLY
2021-01-27,87.8,88.0,82.65,86.9,106.7,23.05,NAHARPOLY
2021-01-25,91.45,91.7,84.7,85.45,106.7,23.05,NAHARPOLY
2021-01-22,89.9,90.25,85.7,87.15,106.7,23.05,NAHARPOLY
2021-01-21,91.55,92.55,88.05,88.65,106.7,23.05,NAHARPOLY
2021-01-20,95.05,95.8,90.35,91.1,106.7,23.05,NAHARPOLY
2021-01-19,91.1,93.3,88.5,92.55,106.7,23.05,NAHARPOLY
2021-01-18,88.65,89.9,85.55,86.55,106.7,23.05,NAHARPOLY
2021-01-15,90.05,92.75,88.6,89.2,106.7,23.05,NAHARPOLY
2021-01-14,91.0,94.1,88.0,90.25,106.7,23.05,NAHARPOLY
2021-01-13,94.35,94.35,90.1,90.85,106.7,23.05,NAHARPOLY
2021-01-12,91.85,96.0,90.25,93.25,106.7,23.05,NAHARPOLY
2021-01-11,93.55,97.0,81.4,90.9,106.7,23.05,NAHARPOLY
2021-01-08,94.75,95.0,93.1,93.55,106.7,23.05,NAHARPOLY
2021-01-07,94.05,95.5,94.0,94.75,106.7,23.05,NAHARPOLY
2021-01-06,95.0,95.85,92.25,94.05,106.7,23.05,NAHARPOLY
2021-01-05,92.75,95.45,91.05,93.7,106.7,23.05,NAHARPOLY
2021-01-04,95.0,97.75,91.5,92.75,106.7,23.05,NAHARPOLY
2021-01-01,98.5,98.5,90.55,93.65,106.7,23.05,NAHARPOLY
2020-12-31,96.35,98.35,94.0,95.9,106.7,23.05,NAHARPOLY
2020-12-30,97.1,99.25,96.25,96.75,106.7,23.05,NAHARPOLY
2020-12-29,103.15,103.15,93.5,96.1,106.7,23.05,NAHARPOLY
2020-12-28,97.0,106.7,96.0,101.9,106.7,23.05,NAHARPOLY
2020-12-24,98.0,103.0,93.4,95.9,103.0,23.05,NAHARPOLY
2020-12-23,77.9,93.4,77.85,93.4,94.8,23.05,NAHARPOLY
