DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,424.95,424.95,417.05,422.25,476.45,270.0,NAM-INDIA
2021-11-11,428.0,428.45,418.1,420.7,476.45,270.0,NAM-INDIA
2021-11-10,427.0,431.7,424.75,426.6,476.45,270.0,NAM-INDIA
2021-11-09,429.0,436.0,426.05,430.05,476.45,270.0,NAM-INDIA
2021-11-08,423.75,428.15,420.0,426.4,476.45,270.0,NAM-INDIA
2021-11-04,423.8,426.05,422.9,425.1,476.45,268.5,NAM-INDIA
2021-11-03,422.95,426.0,420.1,422.45,476.45,268.5,NAM-INDIA
2021-11-02,422.95,426.8,419.0,422.05,476.45,268.5,NAM-INDIA
2021-11-01,419.95,425.4,417.75,423.1,476.45,268.5,NAM-INDIA
2021-10-29,414.2,429.0,410.4,418.35,476.45,267.1,NAM-INDIA
2021-10-28,437.0,441.5,415.0,417.1,476.45,267.1,NAM-INDIA
2021-10-27,437.95,442.3,426.6,435.1,476.45,267.1,NAM-INDIA
2021-10-26,425.0,442.0,425.0,430.95,476.45,267.1,NAM-INDIA
2021-10-25,450.9,450.9,427.05,433.2,476.45,267.1,NAM-INDIA
2021-10-22,459.0,464.4,443.2,449.3,476.45,267.1,NAM-INDIA
2021-10-21,466.65,466.65,452.0,456.4,476.45,267.1,NAM-INDIA
2021-10-20,458.8,470.7,445.4,461.05,476.45,267.1,NAM-INDIA
2021-10-19,454.45,476.45,442.25,458.1,476.45,267.1,NAM-INDIA
2021-10-18,451.1,464.0,446.55,451.7,464.5,267.1,NAM-INDIA
2021-10-14,445.4,451.3,440.25,449.1,464.5,265.0,NAM-INDIA
2021-10-13,451.4,453.85,440.1,441.65,464.5,265.0,NAM-INDIA
2021-10-12,447.0,453.5,437.0,449.55,464.5,265.0,NAM-INDIA
2021-10-11,450.0,454.0,440.2,444.4,464.5,265.0,NAM-INDIA
2021-10-08,445.3,459.0,444.9,447.3,464.5,263.1,NAM-INDIA
2021-10-07,445.2,449.75,443.15,445.25,464.5,263.1,NAM-INDIA
2021-10-06,450.2,453.4,438.8,443.15,464.5,263.1,NAM-INDIA
2021-10-05,449.5,464.5,444.65,448.25,464.5,263.1,NAM-INDIA
2021-10-04,441.0,451.0,434.65,448.6,454.3,263.1,NAM-INDIA
2021-10-01,424.9,445.8,422.25,440.65,454.3,255.6,NAM-INDIA
2021-09-30,430.0,434.2,423.65,425.35,454.3,255.6,NAM-INDIA
2021-09-29,425.0,434.0,421.55,431.6,454.3,255.6,NAM-INDIA
2021-09-28,435.8,439.55,429.0,431.45,454.3,255.6,NAM-INDIA
2021-09-27,441.4,441.4,424.45,437.2,454.3,255.6,NAM-INDIA
2021-09-24,448.5,448.75,430.65,437.45,454.3,249.0,NAM-INDIA
2021-09-23,438.0,454.3,438.0,443.95,454.3,249.0,NAM-INDIA
2021-09-22,433.3,437.85,429.55,435.2,450.6,249.0,NAM-INDIA
2021-09-21,430.6,434.25,420.05,429.55,450.6,249.0,NAM-INDIA
2021-09-20,437.0,439.5,430.0,434.4,450.6,249.0,NAM-INDIA
2021-09-17,442.05,445.1,427.8,439.6,450.6,249.0,NAM-INDIA
2021-09-16,443.2,447.6,435.0,441.1,450.6,249.0,NAM-INDIA
2021-09-15,439.0,446.35,430.55,441.25,450.6,249.0,NAM-INDIA
2021-09-14,439.95,442.35,434.3,437.85,450.6,249.0,NAM-INDIA
2021-09-13,440.65,441.85,427.0,436.8,450.6,249.0,NAM-INDIA
2021-09-09,439.9,450.6,436.4,440.25,450.6,249.0,NAM-INDIA
2021-09-08,420.9,439.0,413.6,435.8,439.35,249.0,NAM-INDIA
2021-09-07,421.5,424.85,415.45,420.0,439.35,249.0,NAM-INDIA
2021-09-06,422.5,433.55,419.85,421.3,439.35,249.0,NAM-INDIA
2021-09-03,416.35,421.5,410.9,419.25,439.35,249.0,NAM-INDIA
2021-09-02,403.1,417.1,403.1,412.8,439.35,249.0,NAM-INDIA
2021-09-01,424.0,424.55,405.15,406.7,439.35,249.0,NAM-INDIA
2021-08-31,420.65,427.95,417.5,424.1,439.35,249.0,NAM-INDIA
2021-08-30,412.9,424.4,407.2,420.65,439.35,249.0,NAM-INDIA
2021-08-27,405.05,412.95,403.1,410.1,439.35,249.0,NAM-INDIA
2021-08-26,405.3,417.3,403.55,407.8,439.35,249.0,NAM-INDIA
2021-08-25,402.95,410.75,396.6,402.4,439.35,249.0,NAM-INDIA
2021-08-24,390.0,402.35,387.0,399.65,439.35,249.0,NAM-INDIA
2021-08-23,391.25,397.7,383.55,389.05,439.35,249.0,NAM-INDIA
2021-08-20,394.55,400.45,385.05,390.75,439.35,249.0,NAM-INDIA
2021-08-18,399.9,409.5,393.2,396.9,439.35,249.0,NAM-INDIA
2021-08-17,386.5,400.7,386.2,396.7,439.35,249.0,NAM-INDIA
2021-08-16,382.55,389.95,380.4,386.2,439.35,249.0,NAM-INDIA
2021-08-13,385.0,389.7,382.55,383.35,439.35,249.0,NAM-INDIA
2021-08-12,383.0,387.1,382.05,384.3,439.35,249.0,NAM-INDIA
2021-08-11,389.0,391.2,374.1,382.1,439.35,249.0,NAM-INDIA
2021-08-10,392.7,395.0,381.6,387.55,439.35,249.0,NAM-INDIA
2021-08-09,398.0,399.9,388.55,390.85,439.35,249.0,NAM-INDIA
2021-08-06,403.45,404.35,396.05,397.6,439.35,249.0,NAM-INDIA
2021-08-05,412.95,413.0,398.65,401.95,439.35,249.0,NAM-INDIA
