DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-11,43.3,43.55,42.5,42.55,54.75,24.0,NAVKARCORP
2021-10-08,43.7,43.75,42.8,42.95,54.75,24.0,NAVKARCORP
2021-10-07,43.35,44.4,42.7,43.4,54.75,24.0,NAVKARCORP
2021-10-06,44.25,45.1,42.8,43.05,54.75,24.0,NAVKARCORP
2021-10-05,41.7,44.25,41.7,43.95,54.75,24.0,NAVKARCORP
2021-10-04,41.45,42.5,41.4,41.9,54.75,24.0,NAVKARCORP
2021-10-01,41.0,41.95,41.0,41.45,54.75,24.0,NAVKARCORP
2021-09-30,42.1,42.8,41.0,41.25,54.75,24.0,NAVKARCORP
2021-09-29,41.4,42.2,41.0,41.75,54.75,24.0,NAVKARCORP
2021-09-28,41.6,41.85,41.0,41.5,54.75,24.0,NAVKARCORP
2021-09-27,41.8,42.6,41.2,41.35,54.75,24.0,NAVKARCORP
2021-09-24,43.2,43.2,41.2,41.5,54.75,24.0,NAVKARCORP
2021-09-23,43.1,44.05,42.75,42.9,54.75,24.0,NAVKARCORP
2021-09-22,40.7,43.2,40.7,42.75,54.75,24.0,NAVKARCORP
2021-09-21,41.6,41.7,33.0,40.4,54.75,24.0,NAVKARCORP
2021-09-20,42.0,42.6,41.05,41.25,54.75,24.0,NAVKARCORP
2021-09-17,44.1,44.4,42.3,42.8,54.75,24.0,NAVKARCORP
2021-09-16,44.75,45.5,43.35,43.75,54.75,24.0,NAVKARCORP
2021-09-15,43.55,45.0,43.55,44.45,54.75,24.0,NAVKARCORP
2021-09-14,43.1,43.55,43.0,43.15,54.75,24.0,NAVKARCORP
2021-09-13,43.5,43.55,42.65,42.9,54.75,24.0,NAVKARCORP
2021-09-09,42.9,44.8,42.45,43.05,54.75,24.0,NAVKARCORP
2021-09-08,42.3,43.95,42.3,42.95,54.75,24.0,NAVKARCORP
2021-09-07,44.4,44.4,42.8,42.9,54.75,24.0,NAVKARCORP
