DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,116.1,117.9,115.05,115.9,115.45,NBVENTURES
2021-07-15,117.0,118.5,114.55,115.35,115.25,NBVENTURES
2021-07-14,117.3,118.95,115.5,116.75,116.75,NBVENTURES
2021-07-13,120.95,121.65,117.5,117.9,118.4,NBVENTURES
2021-07-12,121.3,123.4,118.0,118.95,119.35,NBVENTURES
2021-07-09,122.05,123.35,120.7,121.4,121.45,NBVENTURES
2021-07-08,127.5,128.55,120.9,122.5,122.0,NBVENTURES
2021-07-07,113.45,118.7,112.65,117.35,117.5,NBVENTURES
2021-07-06,116.55,118.7,112.65,113.55,113.9,NBVENTURES
2021-07-05,107.15,120.4,107.0,116.3,116.25,NBVENTURES
2021-07-02,106.85,109.45,105.8,106.0,106.55,NBVENTURES
2021-07-01,107.85,109.3,104.0,107.3,107.5,NBVENTURES
2021-06-30,106.6,110.8,106.6,107.3,107.25,NBVENTURES
2021-06-29,108.95,109.95,105.3,106.4,106.6,NBVENTURES
2021-06-28,106.45,110.5,104.5,108.5,108.6,NBVENTURES
2021-06-25,103.1,107.95,103.1,105.75,105.6,NBVENTURES
2021-06-24,108.5,108.85,102.2,103.0,102.65,NBVENTURES
2021-06-23,109.0,109.9,106.75,106.9,107.55,NBVENTURES
2021-06-22,108.0,110.75,105.8,108.15,108.35,NBVENTURES
2021-06-21,102.1,105.5,100.55,104.1,104.25,NBVENTURES
2021-06-18,116.0,116.0,101.8,104.9,105.2,NBVENTURES
2021-06-17,119.8,122.65,111.3,115.0,114.8,NBVENTURES
2021-06-16,117.7,125.95,113.4,120.0,121.0,NBVENTURES
2021-06-15,120.0,124.0,115.65,117.15,117.35,NBVENTURES
2021-06-14,107.45,119.7,100.55,118.2,117.45,NBVENTURES
2021-06-11,102.8,109.75,101.3,106.5,106.65,NBVENTURES
2021-06-10,92.0,102.4,91.8,100.7,101.05,NBVENTURES
2021-06-09,94.55,95.5,91.5,92.0,92.0,NBVENTURES
2021-06-08,97.0,97.0,92.0,93.8,93.85,NBVENTURES
2021-06-07,93.45,96.9,93.2,95.35,95.0,NBVENTURES
2021-06-04,88.35,92.2,88.3,91.5,91.35,NBVENTURES
2021-06-03,91.25,91.4,89.4,89.5,89.6,NBVENTURES
2021-06-02,86.1,91.4,85.95,90.5,90.2,NBVENTURES
2021-06-01,87.15,88.8,85.3,86.5,85.95,NBVENTURES
2021-05-31,88.0,89.15,86.05,86.4,86.35,NBVENTURES
2021-05-28,89.9,91.5,87.5,87.7,87.85,NBVENTURES
2021-05-27,88.7,90.5,87.0,88.45,88.2,NBVENTURES
2021-05-26,92.65,92.65,90.15,90.55,90.5,NBVENTURES
2021-05-25,94.5,95.7,92.0,93.2,92.75,NBVENTURES
2021-05-24,88.3,94.9,87.7,93.9,93.75,NBVENTURES
2021-05-21,91.45,91.7,84.25,87.6,87.7,NBVENTURES
2021-05-20,93.25,93.75,90.1,91.1,90.55,NBVENTURES
2021-05-19,96.6,96.85,93.25,93.5,93.8,NBVENTURES
2021-05-18,96.9,98.4,95.35,96.7,96.6,NBVENTURES
2021-05-17,99.3,100.65,95.7,97.0,96.9,NBVENTURES
2021-05-14,98.0,101.0,94.6,98.85,98.55,NBVENTURES
2021-05-12,101.0,102.75,94.0,97.7,95.9,NBVENTURES
2021-05-11,94.4,104.85,94.0,99.95,99.65,NBVENTURES
2021-05-10,89.0,95.7,87.9,95.15,93.2,NBVENTURES
2021-05-07,83.25,87.6,83.0,86.7,86.65,NBVENTURES
2021-05-06,84.05,84.85,82.05,83.4,83.25,NBVENTURES
2021-05-05,83.6,84.25,81.45,84.0,83.2,NBVENTURES
2021-05-04,87.8,89.2,80.25,81.25,81.8,NBVENTURES
2021-05-03,79.15,86.0,78.6,85.35,84.8,NBVENTURES
2021-04-30,72.0,81.15,70.4,78.0,78.3,NBVENTURES
2021-04-29,73.55,73.8,72.25,72.65,72.65,NBVENTURES
2021-04-28,72.6,74.1,71.9,73.0,73.2,NBVENTURES
2021-04-27,72.0,73.35,71.85,72.4,72.4,NBVENTURES
2021-04-26,73.65,73.65,71.7,72.0,72.0,NBVENTURES
2021-04-23,72.0,74.5,71.6,72.5,72.4,NBVENTURES
2021-04-22,72.6,72.6,71.7,72.05,72.05,NBVENTURES
2021-04-20,72.2,73.5,71.7,72.5,72.65,NBVENTURES
2021-04-19,71.85,72.65,70.15,72.2,72.1,NBVENTURES
2021-04-16,72.6,74.55,72.6,73.2,73.25,NBVENTURES
2021-04-15,74.8,74.8,72.8,73.2,73.15,NBVENTURES
2021-04-13,74.0,75.6,73.25,74.0,74.05,NBVENTURES
2021-04-12,74.3,74.7,70.3,73.8,73.5,NBVENTURES
2021-04-09,74.8,79.0,74.8,76.45,76.15,NBVENTURES
2021-04-08,73.25,76.5,73.25,73.9,74.25,NBVENTURES
2021-04-07,72.7,74.45,72.15,72.9,72.8,NBVENTURES
2021-04-06,72.1,73.55,71.9,72.55,72.5,NBVENTURES
2021-04-05,72.8,73.2,69.65,72.1,71.75,NBVENTURES
2021-04-01,69.95,75.3,69.9,73.2,73.15,NBVENTURES
2021-03-31,70.2,70.65,69.15,69.9,69.5,NBVENTURES
2021-03-30,70.3,70.5,69.85,70.0,70.0,NBVENTURES
2021-03-26,69.95,70.7,69.0,69.45,69.45,NBVENTURES
2021-03-25,70.6,72.65,68.9,69.6,69.5,NBVENTURES
2021-03-24,69.75,70.45,69.55,69.8,69.9,NBVENTURES
2021-03-23,70.75,71.0,69.8,70.0,70.0,NBVENTURES
2021-03-22,69.95,70.75,69.3,70.15,70.05,NBVENTURES
2021-03-19,70.9,71.65,68.5,70.3,70.05,NBVENTURES
2021-03-18,70.0,70.65,69.2,70.15,70.15,NBVENTURES
2021-03-17,72.9,73.6,69.0,69.0,69.25,NBVENTURES
2021-03-16,69.95,72.9,69.3,72.7,72.45,NBVENTURES
2021-03-15,70.0,70.5,68.3,70.35,69.7,NBVENTURES
2021-03-12,70.5,70.9,69.4,69.85,69.9,NBVENTURES
2021-03-10,70.4,70.9,69.25,70.2,70.4,NBVENTURES
2021-03-09,69.0,71.25,68.8,69.9,69.7,NBVENTURES
2021-03-08,69.35,69.35,67.6,68.6,68.7,NBVENTURES
2021-03-05,70.7,71.15,68.25,69.1,68.95,NBVENTURES
2021-03-04,72.45,72.5,70.7,70.7,71.05,NBVENTURES
2021-03-03,71.8,72.8,71.1,71.6,71.9,NBVENTURES
2021-03-02,72.35,74.3,70.7,71.8,71.55,NBVENTURES
2021-03-01,75.0,75.65,71.7,71.95,72.1,NBVENTURES
2021-02-26,68.25,76.2,68.1,72.8,72.6,NBVENTURES
2021-02-25,68.0,71.7,65.5,70.55,70.6,NBVENTURES
2021-02-24,64.0,67.5,63.0,65.45,65.65,NBVENTURES
2021-02-23,58.0,60.1,58.0,58.55,58.75,NBVENTURES
2021-02-22,60.65,60.8,57.65,58.1,57.95,NBVENTURES
2021-02-19,59.2,61.9,59.2,60.3,60.05,NBVENTURES
2021-02-18,58.3,59.8,58.05,58.9,59.1,NBVENTURES
2021-02-17,58.2,59.35,57.65,58.25,58.0,NBVENTURES
