DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,71.75,73.5,69.5,71.15,99.85,33.15,NCC
2021-10-28,75.0,75.15,70.85,71.15,99.85,33.15,NCC
2021-10-27,75.4,76.15,74.35,74.8,99.85,33.15,NCC
2021-10-26,76.0,77.0,74.45,74.95,99.85,33.15,NCC
2021-10-25,77.85,78.2,74.5,74.8,99.85,33.15,NCC
2021-10-22,78.65,79.95,75.6,77.0,99.85,32.5,NCC
2021-10-21,78.95,79.85,77.45,78.05,99.85,32.5,NCC
2021-10-20,79.6,79.6,77.55,78.35,99.85,32.5,NCC
2021-10-19,82.3,82.9,78.3,79.0,99.85,32.5,NCC
2021-10-18,82.1,83.9,81.6,81.9,99.85,32.5,NCC
2021-10-14,82.0,82.55,81.3,81.5,99.85,30.9,NCC
2021-10-13,82.8,83.35,81.75,81.95,99.85,30.9,NCC
2021-10-12,83.4,84.1,82.05,82.35,99.85,30.9,NCC
2021-10-11,83.7,85.45,83.05,83.55,99.85,30.9,NCC
2021-10-08,84.4,84.8,82.25,83.25,99.85,30.9,NCC
2021-10-07,83.7,85.5,82.7,83.65,99.85,30.9,NCC
2021-10-06,82.5,83.7,82.2,83.3,99.85,30.9,NCC
2021-10-05,83.05,83.75,82.0,82.15,99.85,30.9,NCC
2021-10-04,82.4,84.5,82.25,83.0,99.85,30.9,NCC
2021-10-01,81.85,83.25,81.5,81.9,99.85,30.9,NCC
2021-09-30,81.95,83.5,81.5,82.45,99.85,30.9,NCC
2021-09-29,80.0,82.4,79.6,81.9,99.85,30.9,NCC
2021-09-28,80.6,82.65,79.55,80.75,99.85,30.9,NCC
2021-09-27,81.75,82.4,80.5,81.0,99.85,30.9,NCC
2021-09-24,83.2,83.65,80.9,81.5,99.85,29.5,NCC
2021-09-23,81.8,83.9,81.55,82.85,99.85,29.5,NCC
2021-09-22,80.5,81.75,79.0,81.05,99.85,29.5,NCC
2021-09-21,78.1,81.0,77.15,79.95,99.85,29.5,NCC
2021-09-20,78.5,80.6,77.85,78.15,99.85,29.5,NCC
2021-09-17,83.65,83.65,79.6,80.0,99.85,29.5,NCC
2021-09-16,85.7,85.75,82.35,82.9,99.85,29.5,NCC
2021-09-15,80.3,87.5,80.1,85.7,99.85,29.5,NCC
2021-09-14,78.6,81.0,78.55,79.85,99.85,29.5,NCC
2021-09-13,78.95,78.95,77.5,77.95,99.85,29.5,NCC
2021-09-09,77.3,79.15,76.6,78.7,99.85,29.5,NCC
2021-09-08,77.5,78.9,75.85,76.95,99.85,29.5,NCC
2021-09-07,79.25,79.5,77.0,77.45,99.85,29.5,NCC
