DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,272.7,273.7,259.2,263.4,262.5,274.75,74.75,NCLIND
2021-07-22,268.0,274.75,266.5,269.45,270.85,274.75,74.75,NCLIND
2021-07-20,263.45,270.0,257.05,264.95,265.25,270.0,74.75,NCLIND
2021-07-19,247.55,262.45,245.0,260.6,259.5,262.45,74.75,NCLIND
2021-07-16,240.2,249.0,238.25,249.0,247.7,249.0,73.05,NCLIND
2021-07-15,237.05,243.0,234.0,240.0,241.1,243.0,73.05,NCLIND
2021-07-14,233.0,242.45,232.95,236.65,237.0,242.45,73.05,NCLIND
2021-07-13,231.4,234.95,231.1,233.05,233.2,237.3,73.05,NCLIND
2021-07-12,230.8,236.0,228.0,229.55,229.45,237.3,73.05,NCLIND
2021-07-09,230.0,232.5,227.65,229.25,228.6,237.3,71.5,NCLIND
2021-07-08,231.6,236.0,228.0,231.0,230.25,237.3,71.5,NCLIND
2021-07-07,224.2,234.4,224.2,229.85,230.0,237.3,71.5,NCLIND
2021-07-06,217.5,226.8,217.5,220.85,220.85,237.3,71.5,NCLIND
2021-07-05,215.2,219.9,215.2,217.95,217.45,237.3,71.5,NCLIND
2021-07-02,215.0,216.25,210.0,211.0,211.15,237.3,68.5,NCLIND
2021-07-01,209.5,216.05,205.05,214.8,214.3,237.3,68.5,NCLIND
2021-06-30,215.0,215.7,208.2,209.4,209.55,237.3,68.5,NCLIND
2021-06-29,218.9,220.45,212.5,212.8,213.45,237.3,68.5,NCLIND
2021-06-28,232.0,232.0,202.2,217.45,216.95,237.3,68.5,NCLIND
2021-06-25,230.8,237.0,228.1,233.55,234.55,237.3,68.5,NCLIND
2021-06-24,231.9,237.3,227.05,228.95,228.7,237.3,68.5,NCLIND
2021-06-23,232.9,235.9,228.25,229.6,230.75,235.9,68.5,NCLIND
2021-06-22,230.0,235.4,227.25,231.75,230.95,235.4,68.5,NCLIND
2021-06-21,218.9,229.7,215.5,226.45,227.0,229.7,68.5,NCLIND
2021-06-18,225.0,228.7,210.65,221.9,220.1,228.7,67.4,NCLIND
2021-06-17,221.25,227.35,219.8,223.6,222.9,227.35,67.4,NCLIND
2021-06-16,218.4,224.0,217.7,223.5,222.4,224.0,67.4,NCLIND
2021-06-15,209.0,220.4,208.9,217.0,216.35,220.4,67.4,NCLIND
2021-06-14,210.5,210.9,205.0,207.4,207.6,215.45,67.4,NCLIND
2021-06-11,210.6,213.3,209.0,211.45,210.5,215.45,64.45,NCLIND
2021-06-10,207.05,211.7,207.05,209.7,209.15,215.45,64.45,NCLIND
2021-06-09,211.0,214.65,204.45,209.4,207.6,215.45,64.45,NCLIND
