DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,18950.0,19259.2,18860.85,19142.45,20609.15,16002.1,NESTLEIND
2021-11-11,18950.0,18950.0,18670.05,18854.0,20609.15,16002.1,NESTLEIND
2021-11-10,18947.9,19042.6,18800.0,18952.9,20609.15,16002.1,NESTLEIND
2021-11-09,19016.95,19045.0,18801.05,18940.75,20609.15,16002.1,NESTLEIND
2021-11-08,18949.0,19095.95,18680.0,19049.25,20609.15,16002.1,NESTLEIND
2021-11-04,18900.0,18949.0,18811.9,18889.25,20609.15,16002.1,NESTLEIND
2021-11-03,18860.0,18887.95,18561.0,18737.15,20609.15,16002.1,NESTLEIND
2021-11-02,18901.0,19034.05,18639.55,18773.95,20609.15,16002.1,NESTLEIND
2021-11-01,19098.9,19098.9,18735.95,18939.6,20609.15,16002.1,NESTLEIND
2021-10-29,19000.0,19200.0,18758.15,19000.15,20609.15,16002.1,NESTLEIND
2021-10-28,19010.0,19118.5,18853.5,18991.4,20609.15,16002.1,NESTLEIND
2021-10-27,19197.3,19420.0,18911.55,19004.6,20609.15,16002.1,NESTLEIND
2021-10-26,18679.9,19280.0,18638.95,19217.6,20609.15,16002.1,NESTLEIND
2021-10-25,19000.0,19000.95,18604.35,18696.25,20609.15,16002.1,NESTLEIND
2021-10-22,19438.0,19438.0,18850.0,19006.7,20609.15,15425.05,NESTLEIND
2021-10-21,19460.0,19680.0,19056.7,19233.15,20609.15,15425.05,NESTLEIND
2021-10-20,19300.0,20200.0,19050.45,19277.65,20609.15,15425.05,NESTLEIND
2021-10-19,19475.0,19732.05,19284.05,19368.45,20609.15,15425.05,NESTLEIND
2021-10-18,19600.0,19600.0,19220.0,19438.45,20609.15,15425.05,NESTLEIND
2021-10-14,19394.0,19428.75,19225.0,19325.4,20609.15,15375.0,NESTLEIND
2021-10-13,19500.0,19605.05,19226.05,19320.65,20609.15,15375.0,NESTLEIND
2021-10-12,19068.9,19450.0,18970.05,19415.7,20609.15,15375.0,NESTLEIND
2021-10-11,19021.0,19195.5,19002.65,19084.65,20609.15,15375.0,NESTLEIND
2021-10-08,19055.0,19179.95,18937.55,18986.45,20609.15,15375.0,NESTLEIND
2021-10-07,19200.8,19304.2,18955.35,19045.65,20609.15,15375.0,NESTLEIND
2021-10-06,19444.9,19624.25,19078.0,19157.15,20609.15,15375.0,NESTLEIND
2021-10-05,19500.0,19587.05,19344.85,19395.55,20609.15,15375.0,NESTLEIND
2021-10-04,19549.95,19650.0,19362.05,19492.95,20609.15,15375.0,NESTLEIND
2021-10-01,19445.0,19644.95,19252.05,19549.95,20609.15,15375.0,NESTLEIND
2021-09-30,19478.3,19589.95,19316.15,19445.55,20609.15,15375.0,NESTLEIND
2021-09-29,19544.75,19700.0,19421.65,19506.75,20609.15,15375.0,NESTLEIND
2021-09-28,19690.0,19718.65,19459.05,19544.75,20609.15,15375.0,NESTLEIND
2021-09-27,19900.0,19900.0,19601.1,19642.2,20609.15,15375.0,NESTLEIND
2021-09-24,19927.0,19980.0,19800.0,19864.25,20609.15,15100.0,NESTLEIND
2021-09-23,20000.0,20121.0,19820.0,19839.0,20609.15,15100.0,NESTLEIND
2021-09-22,20173.85,20173.85,19810.1,19925.2,20609.15,15100.0,NESTLEIND
2021-09-21,20200.0,20330.0,20002.15,20189.55,20609.15,15100.0,NESTLEIND
2021-09-20,20125.0,20386.0,20101.0,20322.6,20609.15,15100.0,NESTLEIND
2021-09-17,20155.0,20299.0,20100.05,20175.7,20609.15,15100.0,NESTLEIND
2021-09-16,20106.05,20241.7,19970.0,20027.85,20609.15,15100.0,NESTLEIND
2021-09-15,20369.85,20370.0,20087.9,20119.2,20609.15,15100.0,NESTLEIND
2021-09-14,20450.0,20609.15,20180.0,20230.45,20609.15,15100.0,NESTLEIND
2021-09-13,20300.0,20500.0,20230.0,20452.25,20530.0,15100.0,NESTLEIND
2021-09-09,19910.0,20525.0,19840.4,20457.2,20530.0,15100.0,NESTLEIND
2021-09-08,20300.0,20530.0,19785.0,19839.6,20530.0,15100.0,NESTLEIND
2021-09-07,20166.15,20392.7,20166.15,20368.45,20392.7,15100.0,NESTLEIND
2021-09-06,20260.15,20348.0,20160.0,20223.2,20348.0,15100.0,NESTLEIND
2021-09-03,20250.0,20343.0,20101.05,20266.65,20343.0,15100.0,NESTLEIND
2021-09-02,19874.0,20290.0,19761.0,20240.6,20325.0,15100.0,NESTLEIND
2021-09-01,19746.8,19890.0,19552.1,19826.85,20325.0,15100.0,NESTLEIND
2021-08-31,19745.0,19839.95,19350.0,19467.75,20325.0,15100.0,NESTLEIND
2021-08-30,20050.0,20122.5,19684.25,19742.25,20325.0,15100.0,NESTLEIND
2021-08-27,20100.0,20100.0,19896.0,19957.35,20325.0,15100.0,NESTLEIND
2021-08-26,19974.95,20119.7,19805.55,20052.7,20325.0,15100.0,NESTLEIND
2021-08-25,19786.0,20325.0,19786.0,19909.85,20325.0,15100.0,NESTLEIND
2021-08-24,20100.0,20199.0,19665.0,19779.85,20199.0,15100.0,NESTLEIND
2021-08-23,19700.0,20095.0,19557.65,20021.05,20095.0,15100.0,NESTLEIND
2021-08-20,18555.25,19641.1,18555.25,19571.25,19641.1,15100.0,NESTLEIND
2021-08-18,18751.0,18969.0,18750.05,18911.0,18969.0,15100.0,NESTLEIND
2021-08-17,18350.0,18797.45,18301.4,18732.55,18844.0,15100.0,NESTLEIND
2021-08-16,18269.55,18499.0,18177.15,18295.25,18844.0,15100.0,NESTLEIND
2021-08-13,18199.7,18290.05,18131.7,18269.55,18844.0,15100.0,NESTLEIND
2021-08-12,18180.8,18247.95,18080.0,18133.85,18844.0,15100.0,NESTLEIND
2021-08-11,18315.0,18315.0,18025.35,18167.8,18844.0,15100.0,NESTLEIND
2021-08-10,18210.0,18370.7,18085.1,18273.3,18844.0,15100.0,NESTLEIND
2021-08-09,18070.0,18235.0,18020.65,18202.3,18844.0,15100.0,NESTLEIND
2021-08-06,18200.0,18208.0,17980.0,18020.65,18844.0,15100.0,NESTLEIND
2021-08-05,18150.0,18284.1,18002.0,18208.75,18844.0,15100.0,NESTLEIND
2021-08-04,18294.1,18349.95,18017.1,18057.35,18844.0,15100.0,NESTLEIND
2021-08-03,17670.2,18380.0,17654.0,18284.1,18844.0,15100.0,NESTLEIND
2021-08-02,17795.8,17900.8,17675.0,17714.65,18844.0,15100.0,NESTLEIND
2021-07-30,17914.75,17955.95,17655.05,17702.65,18844.0,15100.0,NESTLEIND
2021-07-29,17950.0,18200.0,17780.0,17914.75,18844.0,15100.0,NESTLEIND
2021-07-28,18334.0,18334.0,17901.0,18022.55,18844.0,15100.0,NESTLEIND
2021-07-27,18012.0,18449.0,17972.5,18226.1,18844.0,15100.0,NESTLEIND
2021-07-26,18071.85,18187.75,18010.8,18101.35,18844.0,15100.0,NESTLEIND
2021-07-23,17930.35,18224.0,17882.25,18143.95,18844.0,15100.0,NESTLEIND
2021-07-22,17856.1,18046.45,17700.0,17994.8,18844.0,15100.0,NESTLEIND
2021-07-20,17749.95,17907.0,17701.0,17856.1,18844.0,15100.0,NESTLEIND
2021-07-19,17550.0,17845.0,17550.0,17752.45,18844.0,15100.0,NESTLEIND
2021-07-16,17655.0,17715.0,17537.95,17654.2,18844.0,15100.0,NESTLEIND
2021-07-15,17525.0,17657.8,17450.0,17621.85,18844.0,15100.0,NESTLEIND
2021-07-14,17691.9,17691.9,17520.0,17539.7,18844.0,15100.0,NESTLEIND
2021-07-13,17730.0,17733.0,17601.1,17691.9,18844.0,15100.0,NESTLEIND
2021-07-12,17755.3,17755.35,17571.6,17641.4,18844.0,15100.0,NESTLEIND
2021-07-09,17555.05,17680.0,17550.0,17636.0,18844.0,15100.0,NESTLEIND
2021-07-08,17616.0,17699.85,17538.1,17618.9,18844.0,15100.0,NESTLEIND
2021-07-07,17400.0,17800.0,17360.25,17716.95,18844.0,15100.0,NESTLEIND
2021-07-06,17635.55,17637.85,17417.0,17470.1,18844.0,15100.0,NESTLEIND
2021-07-05,17605.1,17712.0,17523.3,17641.35,18844.0,15100.0,NESTLEIND
2021-07-02,17679.0,17680.0,17486.0,17602.0,18844.0,15100.0,NESTLEIND
2021-07-01,17630.0,17725.0,17569.5,17646.2,18844.0,15100.0,NESTLEIND
2021-06-30,17640.0,17745.0,17575.0,17633.0,18844.0,15100.0,NESTLEIND
2021-06-29,17590.0,17750.0,17489.65,17599.25,18844.0,15100.0,NESTLEIND
2021-06-28,17507.05,17620.0,17453.5,17506.15,18844.0,15100.0,NESTLEIND
2021-06-25,17570.25,17650.0,17435.0,17506.7,18844.0,15100.0,NESTLEIND
2021-06-24,17415.05,17670.0,17322.4,17619.75,18844.0,15100.0,NESTLEIND
2021-06-23,17499.95,17560.0,17370.0,17414.8,18844.0,15100.0,NESTLEIND
2021-06-22,17670.0,17747.95,17410.0,17436.55,18844.0,15100.0,NESTLEIND
2021-06-21,17631.4,17710.05,17513.0,17649.15,18844.0,15100.0,NESTLEIND
2021-06-18,18059.0,18098.95,17600.0,17670.65,18844.0,15100.0,NESTLEIND
2021-06-17,17915.0,18189.3,17900.0,18059.05,18844.0,15100.0,NESTLEIND
2021-06-16,17650.2,18068.5,17613.05,17965.2,18844.0,15100.0,NESTLEIND
2021-06-15,17646.0,17710.0,17511.0,17684.8,18844.0,15100.0,NESTLEIND
2021-06-14,17461.4,17630.0,17417.6,17577.5,18844.0,15100.0,NESTLEIND
2021-06-11,17609.0,17609.0,17365.0,17536.4,18844.0,15100.0,NESTLEIND
2021-06-10,17525.0,17675.0,17490.0,17556.1,18844.0,15100.0,NESTLEIND
2021-06-09,17460.0,17625.6,17440.0,17557.15,18844.0,15100.0,NESTLEIND
2021-06-08,17530.05,17612.95,17403.4,17482.6,18844.0,15100.0,NESTLEIND
2021-06-07,17474.55,17590.0,17353.5,17532.55,18844.0,15100.0,NESTLEIND
2021-06-04,17691.05,17706.4,17380.0,17426.8,18844.0,15100.0,NESTLEIND
2021-06-03,17650.0,17854.95,17560.0,17799.4,18844.0,15100.0,NESTLEIND
2021-06-02,17516.2,17813.2,17510.1,17653.5,18844.0,15100.0,NESTLEIND
2021-06-01,17599.0,17810.0,17479.15,17758.5,18844.0,15100.0,NESTLEIND
2021-05-31,17509.0,17745.25,17415.25,17695.55,18844.0,15100.0,NESTLEIND
2021-05-28,17770.0,17814.35,17500.0,17509.4,18844.0,15100.0,NESTLEIND
2021-05-27,17550.0,17900.0,17435.3,17746.7,18844.0,15100.0,NESTLEIND
