DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,88.87,89.78,88.1,88.88,88.78,95.1,48.0,NETFNV20
2021-07-22,88.49,89.4,86.72,88.9,88.87,95.1,48.0,NETFNV20
2021-07-20,89.8,89.8,87.05,87.81,87.84,95.1,48.0,NETFNV20
2021-07-19,89.8,89.8,87.61,88.3,88.3,95.1,48.0,NETFNV20
2021-07-16,88.42,89.4,88.01,88.7,88.49,95.1,45.0,NETFNV20
2021-07-15,88.0,88.78,86.55,88.18,88.22,95.1,45.0,NETFNV20
2021-07-14,87.69,87.94,87.0,87.93,87.92,95.1,45.0,NETFNV20
2021-07-13,88.0,88.0,86.53,86.53,86.6,95.1,45.0,NETFNV20
2021-07-12,85.5,88.0,85.5,87.05,87.04,95.1,45.0,NETFNV20
2021-07-09,86.2,87.8,86.2,87.12,87.12,95.1,45.0,NETFNV20
2021-07-08,88.2,88.2,86.5,87.34,87.12,95.1,45.0,NETFNV20
2021-07-07,88.1,88.8,86.96,87.19,87.29,95.1,45.0,NETFNV20
2021-07-06,89.79,89.79,87.3,87.59,87.57,95.1,45.0,NETFNV20
2021-07-05,88.5,90.56,87.63,90.56,88.42,95.1,45.0,NETFNV20
2021-07-02,88.8,88.8,87.37,87.79,87.77,95.1,45.0,NETFNV20
2021-07-01,88.8,88.8,87.13,87.99,87.93,95.1,45.0,NETFNV20
2021-06-30,90.69,92.98,87.5,88.21,87.57,95.1,45.0,NETFNV20
2021-06-29,88.0,89.6,87.2,87.95,87.95,95.1,45.0,NETFNV20
2021-06-28,89.13,90.0,87.3,88.29,88.28,95.1,45.0,NETFNV20
2021-06-25,88.0,88.39,86.62,87.58,88.25,95.1,45.0,NETFNV20
2021-06-24,89.98,89.98,86.6,87.75,87.62,95.1,45.0,NETFNV20
2021-06-23,87.79,88.0,86.3,86.78,86.81,95.1,45.0,NETFNV20
2021-06-22,87.9,87.9,86.74,87.3,87.28,95.1,45.0,NETFNV20
2021-06-21,87.6,87.6,86.1,86.93,86.93,95.1,45.0,NETFNV20
2021-06-18,88.88,88.88,85.8,87.16,86.65,95.1,45.0,NETFNV20
2021-06-17,90.18,90.18,86.53,87.24,87.18,95.1,45.0,NETFNV20
2021-06-16,87.55,88.9,87.12,87.21,87.24,95.1,45.0,NETFNV20
2021-06-15,87.5,87.85,87.11,87.55,87.55,95.1,45.0,NETFNV20
2021-06-14,87.84,88.4,86.5,87.5,87.38,95.1,45.0,NETFNV20
2021-06-11,89.98,89.98,85.7,86.72,87.06,95.1,45.0,NETFNV20
2021-06-10,87.0,87.29,85.25,86.8,86.64,95.1,45.0,NETFNV20
2021-06-09,87.0,87.2,85.25,86.28,86.27,95.1,45.0,NETFNV20
2021-06-08,86.8,86.8,86.0,86.3,86.25,95.1,45.0,NETFNV20
2021-06-07,86.49,86.8,85.09,85.75,85.42,95.1,45.0,NETFNV20
2021-06-04,85.2,85.3,84.07,85.0,85.09,95.1,45.0,NETFNV20
2021-06-03,85.8,85.8,84.0,84.65,84.59,95.1,45.0,NETFNV20
2021-06-02,85.8,85.8,83.25,84.0,84.02,95.1,45.0,NETFNV20
