DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-08,707.45,730.0,690.0,715.55,706.2,755.0,147.85,NEWGEN
2021-07-07,720.0,721.55,681.05,694.0,693.6,755.0,147.85,NEWGEN
2021-07-06,748.9,748.9,700.0,724.9,721.55,755.0,147.85,NEWGEN
2021-07-05,679.0,755.0,660.0,734.85,734.85,755.0,147.85,NEWGEN
2021-07-02,633.9,664.0,626.5,663.45,657.9,664.0,145.8,NEWGEN
2021-07-01,647.0,647.0,621.0,628.0,627.45,658.0,145.8,NEWGEN
2021-06-30,623.9,658.0,622.4,641.05,637.6,658.0,145.8,NEWGEN
2021-06-29,588.45,634.0,581.0,618.0,617.25,634.0,145.8,NEWGEN
2021-06-28,540.0,589.0,537.2,577.5,574.15,589.0,145.8,NEWGEN
2021-06-25,530.0,539.0,525.15,534.55,529.85,548.5,145.3,NEWGEN
2021-06-24,530.95,537.65,517.3,533.0,532.95,548.5,145.3,NEWGEN
2021-06-23,532.9,538.0,522.2,530.0,526.2,548.5,145.3,NEWGEN
2021-06-22,539.0,545.0,527.1,532.95,529.85,548.5,145.3,NEWGEN
2021-06-21,503.5,548.5,493.5,539.85,537.55,548.5,145.3,NEWGEN
2021-06-18,535.8,540.9,463.55,503.5,505.95,540.9,136.5,NEWGEN
2021-06-17,504.4,538.45,501.6,532.75,526.15,538.45,136.5,NEWGEN
2021-06-16,505.0,524.0,495.0,500.0,503.15,524.0,136.5,NEWGEN
2021-06-15,489.9,511.95,475.1,499.5,499.25,511.95,136.5,NEWGEN
2021-06-14,450.0,465.0,430.0,462.75,458.3,465.0,136.5,NEWGEN
2021-06-11,441.0,460.0,441.0,447.5,449.25,460.0,136.5,NEWGEN
2021-06-10,431.85,446.5,427.95,443.0,445.3,453.9,136.5,NEWGEN
2021-06-09,447.9,453.9,424.0,427.0,436.05,453.9,136.5,NEWGEN
2021-06-08,422.0,450.0,418.2,448.0,445.4,450.0,136.5,NEWGEN
2021-06-07,423.0,429.0,414.85,421.5,421.35,437.0,136.5,NEWGEN
