DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,138.2,138.2,134.65,136.45,152.1,87.7,NTPC
2021-11-11,137.5,137.75,134.35,136.65,152.1,87.7,NTPC
2021-11-10,138.2,138.25,136.75,137.4,152.1,87.7,NTPC
2021-11-09,140.75,141.4,138.05,138.5,152.1,87.7,NTPC
2021-11-08,138.7,140.6,136.55,140.3,152.1,87.7,NTPC
2021-11-04,138.3,138.3,136.95,137.15,152.1,83.05,NTPC
2021-11-03,137.95,138.95,135.55,136.75,152.1,83.05,NTPC
2021-11-02,135.0,140.8,135.0,136.65,152.1,83.05,NTPC
2021-11-01,133.2,135.3,130.9,134.3,152.1,83.05,NTPC
2021-10-29,131.0,136.9,128.55,132.65,152.1,83.05,NTPC
2021-10-28,141.3,141.85,136.3,137.35,152.1,83.05,NTPC
2021-10-27,144.0,144.55,140.85,141.3,152.1,83.05,NTPC
2021-10-26,145.3,145.65,142.45,143.2,152.1,83.05,NTPC
2021-10-25,144.7,146.25,143.15,143.9,152.1,83.05,NTPC
2021-10-22,147.85,148.1,144.0,144.9,152.1,80.3,NTPC
2021-10-21,147.7,148.55,145.9,147.9,152.1,80.3,NTPC
2021-10-20,150.65,150.65,145.3,146.25,152.1,80.3,NTPC
2021-10-19,150.95,152.1,148.1,149.65,152.1,80.3,NTPC
2021-10-18,151.25,151.7,148.7,149.55,151.7,80.3,NTPC
2021-10-14,147.5,150.6,146.85,149.4,150.6,78.1,NTPC
2021-10-13,145.5,147.25,144.7,146.35,149.35,78.1,NTPC
2021-10-12,146.0,146.25,143.8,144.55,149.35,78.1,NTPC
2021-10-11,142.0,146.75,141.45,144.8,149.35,78.1,NTPC
2021-10-08,143.55,143.9,140.3,141.1,149.35,78.1,NTPC
2021-10-07,144.2,145.65,142.25,142.8,149.35,78.1,NTPC
2021-10-06,146.45,147.3,142.8,143.3,149.35,78.1,NTPC
2021-10-05,145.55,147.85,144.2,145.4,149.35,78.1,NTPC
2021-10-04,143.45,149.35,140.5,145.55,149.35,78.1,NTPC
2021-10-01,140.95,144.35,137.7,139.9,144.35,78.1,NTPC
2021-09-30,141.75,143.2,139.1,141.85,144.25,78.1,NTPC
2021-09-29,131.4,144.25,130.6,140.65,144.25,78.1,NTPC
2021-09-28,127.5,133.65,127.35,131.95,133.65,78.1,NTPC
2021-09-27,125.3,127.8,124.5,126.85,127.8,78.1,NTPC
