DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-07,257.0,259.25,247.0,248.6,248.75,OLECTRA
2021-07-06,262.6,278.45,254.5,256.9,259.95,OLECTRA
2021-07-05,247.45,266.0,242.0,261.6,262.35,OLECTRA
2021-07-02,223.5,245.3,221.3,240.1,243.1,OLECTRA
2021-07-01,229.0,230.7,221.2,222.0,223.0,OLECTRA
2021-06-30,210.0,226.5,210.0,224.9,223.6,OLECTRA
2021-06-29,213.15,217.0,208.35,208.5,209.25,OLECTRA
2021-06-28,224.0,226.5,210.0,214.5,212.85,OLECTRA
2021-06-25,203.9,222.0,202.25,217.0,218.1,OLECTRA
2021-06-24,216.5,221.7,201.0,202.0,202.8,OLECTRA
2021-06-23,193.95,212.3,191.2,212.3,212.3,OLECTRA
2021-06-22,194.1,195.8,189.25,193.1,193.0,OLECTRA
2021-06-21,175.05,196.2,174.15,192.8,192.5,OLECTRA
2021-06-18,186.3,186.3,175.4,179.5,178.4,OLECTRA
2021-06-17,189.95,192.85,183.35,184.4,184.35,OLECTRA
2021-06-16,186.2,194.0,184.0,186.35,185.45,OLECTRA
2021-06-15,189.5,189.8,184.45,185.8,185.7,OLECTRA
2021-06-14,190.8,195.85,186.6,188.0,187.65,OLECTRA
2021-06-11,193.95,194.8,187.0,188.75,188.4,OLECTRA
2021-06-10,191.45,195.45,190.4,191.5,191.65,OLECTRA
2021-06-09,191.0,202.9,184.3,189.3,189.05,OLECTRA
2021-06-08,177.9,192.35,176.0,188.0,189.3,OLECTRA
2021-06-07,166.1,179.95,166.1,174.6,174.9,OLECTRA
2021-06-04,173.1,177.0,170.5,172.2,171.6,OLECTRA
2021-06-03,177.5,178.6,171.6,173.75,172.95,OLECTRA
2021-06-02,171.95,179.45,171.0,176.0,176.75,OLECTRA
2021-06-01,177.5,180.0,169.85,170.0,170.95,OLECTRA
2021-05-31,176.5,181.75,174.5,175.0,175.4,OLECTRA
2021-05-28,182.5,182.7,177.8,178.9,179.2,OLECTRA
2021-05-27,180.05,184.0,179.6,181.0,180.8,OLECTRA
2021-05-26,186.1,186.75,180.5,181.0,181.55,OLECTRA
2021-05-25,188.1,193.6,183.5,184.0,184.25,OLECTRA
2021-05-24,179.05,187.6,176.4,187.6,187.6,OLECTRA
2021-05-21,180.0,183.45,175.1,177.0,178.7,OLECTRA
2021-05-20,180.5,180.5,178.35,179.5,178.85,OLECTRA
2021-05-19,180.0,182.65,178.0,179.5,179.25,OLECTRA
2021-05-18,182.5,182.5,178.7,180.5,179.65,OLECTRA
2021-05-17,179.55,183.35,175.7,179.5,179.5,OLECTRA
2021-05-14,182.05,183.9,176.5,179.5,179.55,OLECTRA
2021-05-12,184.25,186.8,178.4,178.4,180.8,OLECTRA
2021-05-11,171.0,181.1,169.1,181.1,181.1,OLECTRA
2021-05-10,179.45,181.9,170.0,171.6,172.5,OLECTRA
2021-05-07,182.4,184.35,176.0,180.0,177.7,OLECTRA
2021-05-06,188.5,190.0,179.0,179.95,180.1,OLECTRA
2021-05-05,190.0,193.95,183.65,186.9,185.85,OLECTRA
2021-05-04,183.2,190.4,181.15,190.4,189.35,OLECTRA
2021-05-03,180.95,185.55,177.0,181.1,181.35,OLECTRA
2021-04-30,185.9,189.0,179.3,182.95,181.5,OLECTRA
2021-04-29,189.25,192.8,184.05,185.0,185.45,OLECTRA
2021-04-28,190.5,191.95,188.1,189.0,189.1,OLECTRA
2021-04-27,187.9,192.5,186.85,189.3,188.95,OLECTRA
2021-04-26,184.75,192.0,184.0,184.3,185.7,OLECTRA
2021-04-23,187.25,195.95,186.0,186.45,186.5,OLECTRA
2021-04-22,186.55,191.95,178.2,190.0,189.15,OLECTRA
2021-04-20,185.0,193.6,180.0,186.95,187.1,OLECTRA
2021-04-19,186.2,188.0,184.5,184.5,184.5,OLECTRA
2021-04-16,185.5,198.75,185.5,193.0,194.2,OLECTRA
2021-04-15,191.3,197.9,188.55,188.55,189.3,OLECTRA
2021-04-13,198.45,202.0,198.45,198.45,198.45,OLECTRA
2021-04-12,216.0,216.0,208.85,208.85,208.85,OLECTRA
2021-04-09,216.1,223.9,216.1,219.2,219.8,OLECTRA
2021-04-08,221.0,223.8,215.1,218.5,217.9,OLECTRA
2021-04-07,220.4,227.0,218.0,221.0,220.95,OLECTRA
2021-04-06,214.5,223.3,214.5,218.8,219.2,OLECTRA
2021-04-05,225.0,228.4,208.5,217.3,216.7,OLECTRA
2021-04-01,221.05,223.6,217.6,220.4,219.45,OLECTRA
2021-03-31,213.35,220.7,213.35,219.1,217.3,OLECTRA
2021-03-30,211.0,221.1,210.85,213.0,214.05,OLECTRA
2021-03-26,217.0,221.8,205.75,209.75,214.0,OLECTRA
2021-03-25,218.0,218.0,209.2,212.0,212.35,OLECTRA
2021-03-24,221.1,228.0,217.8,219.0,220.2,OLECTRA
2021-03-23,230.4,231.5,223.3,224.5,225.5,OLECTRA
2021-03-22,218.5,222.1,212.65,222.1,222.1,OLECTRA
2021-03-19,206.0,214.0,199.4,209.5,211.55,OLECTRA
2021-03-18,219.0,221.0,205.0,210.5,209.85,OLECTRA
2021-03-17,229.4,231.7,214.7,214.7,214.85,OLECTRA
2021-03-16,210.0,226.25,206.2,226.25,225.95,OLECTRA
2021-03-15,231.8,232.05,215.5,215.5,215.5,OLECTRA
2021-03-12,226.9,226.9,211.55,226.0,226.8,OLECTRA
2021-03-10,216.1,216.1,216.1,216.1,216.1,OLECTRA
2021-03-09,205.85,205.85,205.85,205.85,205.85,OLECTRA
2021-03-08,196.05,196.05,196.05,196.05,196.05,OLECTRA
2021-03-05,184.1,186.75,184.1,186.75,186.75,OLECTRA
2021-03-04,176.0,179.95,175.5,177.5,177.9,OLECTRA
2021-03-03,178.0,181.0,176.95,178.2,178.9,OLECTRA
2021-03-02,179.05,183.0,175.5,177.7,176.95,OLECTRA
2021-03-01,183.7,184.7,176.65,178.1,177.7,OLECTRA
2021-02-26,181.6,184.95,177.0,180.8,181.3,OLECTRA
2021-02-25,188.0,189.05,180.0,183.6,183.85,OLECTRA
2021-02-24,186.5,186.7,182.0,184.6,185.3,OLECTRA
2021-02-23,171.35,177.85,166.5,177.85,177.85,OLECTRA
2021-02-22,175.9,178.75,168.2,168.6,169.4,OLECTRA
2021-02-19,177.0,179.35,170.5,174.0,174.05,OLECTRA
2021-02-18,179.4,181.0,175.15,177.3,176.8,OLECTRA
2021-02-17,176.0,184.7,175.1,178.0,177.75,OLECTRA
2021-02-16,181.0,187.9,174.1,175.5,175.95,OLECTRA
2021-02-15,182.1,186.75,180.8,180.8,180.8,OLECTRA
2021-02-12,188.95,196.15,186.9,191.4,190.3,OLECTRA
2021-02-11,180.0,187.55,180.0,186.5,186.85,OLECTRA
2021-02-10,181.7,185.0,174.35,179.45,178.65,OLECTRA
2021-02-09,173.2,181.4,171.55,177.0,177.15,OLECTRA
2021-02-08,184.45,184.45,166.95,180.0,177.7,OLECTRA
2021-02-05,175.7,175.7,175.7,175.7,175.7,OLECTRA
2021-02-04,167.35,167.35,167.35,167.35,167.35,OLECTRA
2021-02-03,159.4,159.4,159.4,159.4,159.4,OLECTRA
2021-02-02,151.85,151.85,151.85,151.85,151.85,OLECTRA
2021-02-01,140.0,144.65,139.85,144.65,144.65,OLECTRA
2021-01-29,137.8,137.8,136.1,137.8,137.8,OLECTRA
2021-01-28,126.35,132.8,126.35,132.8,131.25,OLECTRA
2021-01-27,129.0,131.25,124.6,130.0,129.35,OLECTRA
2021-01-25,130.35,134.55,128.05,129.0,128.85,OLECTRA
2021-01-22,134.7,134.7,126.95,130.0,129.55,OLECTRA
2021-01-21,138.0,138.7,132.0,133.85,132.95,OLECTRA
2021-01-20,138.15,141.55,135.5,138.0,137.6,OLECTRA
2021-01-19,135.4,139.95,135.0,137.95,138.0,OLECTRA
2021-01-18,137.0,139.0,131.45,132.9,134.0,OLECTRA
2021-01-15,138.9,140.05,135.15,137.8,137.55,OLECTRA
2021-01-14,142.2,142.9,138.55,139.15,139.15,OLECTRA
2021-01-13,148.65,148.65,135.75,141.0,142.2,OLECTRA
2021-01-12,137.85,143.5,135.0,141.4,141.6,OLECTRA
2021-01-11,138.25,141.0,137.0,138.5,137.85,OLECTRA
2021-01-08,140.55,140.9,135.5,136.3,136.1,OLECTRA
2021-01-07,142.4,144.7,139.0,139.3,139.25,OLECTRA
2021-01-06,138.3,140.15,134.25,139.0,139.75,OLECTRA
2021-01-05,132.0,135.5,128.45,133.2,133.5,OLECTRA
2021-01-04,136.4,137.05,131.4,133.75,132.65,OLECTRA
2021-01-01,136.95,138.7,130.0,133.0,131.9,OLECTRA
2020-12-31,139.0,143.3,133.8,136.0,135.75,OLECTRA
2020-12-30,130.4,137.65,126.85,136.95,136.5,OLECTRA
2020-12-29,117.8,127.95,113.2,127.95,125.15,OLECTRA
2020-12-28,117.9,118.4,114.6,116.95,116.35,OLECTRA
2020-12-24,113.5,115.5,110.0,115.0,113.8,OLECTRA
2020-12-23,109.5,115.8,105.9,112.25,112.1,OLECTRA
2020-12-22,96.25,108.0,95.0,107.5,106.65,OLECTRA
2020-12-21,111.3,111.3,100.2,100.2,100.5,OLECTRA
2020-12-18,117.45,119.9,107.65,110.95,111.3,OLECTRA
2020-12-17,114.65,114.65,109.05,113.6,113.4,OLECTRA
2020-12-16,107.95,108.7,103.0,104.15,104.25,OLECTRA
2020-12-15,101.4,107.3,100.05,106.3,105.8,OLECTRA
2020-12-14,101.0,106.9,98.0,100.0,99.65,OLECTRA
2020-12-11,95.0,103.05,94.25,102.0,101.0,OLECTRA
2020-12-10,102.1,102.1,92.0,93.8,93.7,OLECTRA
