DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,77.5,78.9,76.0,77.4,99.7,55.4,ORBTEXP
2021-11-11,78.5,79.0,72.1,77.85,99.7,55.4,ORBTEXP
2021-11-10,79.95,80.4,77.15,79.2,99.7,55.4,ORBTEXP
2021-11-09,78.5,80.8,78.5,79.25,99.7,55.4,ORBTEXP
2021-11-08,79.55,80.95,78.0,78.9,99.7,55.4,ORBTEXP
2021-11-04,75.65,81.9,75.65,80.85,99.7,55.4,ORBTEXP
2021-11-03,78.5,79.75,76.1,76.55,99.7,55.4,ORBTEXP
2021-11-02,77.35,80.7,77.35,78.25,99.7,55.4,ORBTEXP
2021-11-01,80.3,81.8,78.1,78.85,99.7,55.4,ORBTEXP
2021-10-29,81.0,81.85,77.0,80.3,99.7,55.4,ORBTEXP
2021-10-28,80.45,81.8,78.05,79.2,99.7,55.4,ORBTEXP
2021-10-27,82.05,85.4,78.25,78.85,99.7,55.4,ORBTEXP
2021-10-26,81.2,84.6,81.2,83.45,99.7,55.4,ORBTEXP
2021-10-25,77.1,79.35,77.1,77.85,99.7,55.4,ORBTEXP
2021-10-22,79.0,79.45,76.0,77.1,99.7,55.4,ORBTEXP
2021-10-21,79.3,79.4,76.75,77.45,99.7,55.4,ORBTEXP
2021-10-20,81.0,81.0,76.05,77.2,99.7,55.4,ORBTEXP
2021-10-19,81.0,82.0,78.55,79.8,99.7,55.4,ORBTEXP
2021-10-18,83.5,83.5,79.0,81.4,99.7,55.4,ORBTEXP
2021-10-14,81.8,86.9,78.1,79.75,99.7,55.4,ORBTEXP
2021-10-13,85.3,87.6,81.65,82.8,99.7,55.4,ORBTEXP
2021-10-12,87.0,89.05,85.1,86.25,99.7,55.4,ORBTEXP
2021-10-11,84.0,91.9,82.1,87.9,99.7,55.4,ORBTEXP
2021-10-08,84.65,85.6,78.65,83.0,99.7,54.35,ORBTEXP
2021-10-07,85.9,89.0,84.15,85.65,99.7,54.35,ORBTEXP
2021-10-06,76.95,90.0,75.4,83.75,99.7,54.35,ORBTEXP
2021-10-05,74.3,76.65,74.3,75.25,99.7,54.35,ORBTEXP
2021-10-04,77.0,77.0,74.2,74.9,99.7,54.35,ORBTEXP
2021-10-01,78.05,78.05,75.55,76.0,99.7,54.35,ORBTEXP
