DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,71.45,73.35,69.5,70.5,122.9,63.25,ORIENTLTD
2021-11-11,72.1,72.1,70.1,71.45,122.9,63.25,ORIENTLTD
2021-11-10,70.25,72.85,70.1,70.65,122.9,63.25,ORIENTLTD
2021-11-09,72.0,73.35,70.2,71.2,122.9,63.25,ORIENTLTD
2021-11-08,70.95,72.0,68.4,71.7,122.9,63.25,ORIENTLTD
2021-11-04,71.6,71.6,69.25,70.95,122.9,62.25,ORIENTLTD
2021-11-03,71.85,71.85,68.35,69.5,122.9,62.25,ORIENTLTD
2021-11-02,68.5,73.0,66.1,69.8,122.9,62.25,ORIENTLTD
2021-11-01,73.7,73.7,66.4,67.15,122.9,62.25,ORIENTLTD
2021-10-29,67.7,69.9,66.0,67.25,122.9,62.25,ORIENTLTD
2021-10-28,68.1,70.0,66.35,69.3,122.9,62.25,ORIENTLTD
2021-10-27,70.85,70.85,68.1,68.2,122.9,62.25,ORIENTLTD
2021-10-26,65.5,70.2,65.5,68.05,122.9,62.25,ORIENTLTD
2021-10-25,69.55,70.3,67.15,67.95,122.9,62.25,ORIENTLTD
2021-10-22,70.3,71.0,68.25,69.55,122.9,62.25,ORIENTLTD
2021-10-21,70.95,73.25,69.9,71.3,122.9,62.25,ORIENTLTD
2021-10-20,71.35,72.9,68.0,71.35,122.9,62.25,ORIENTLTD
2021-10-19,72.6,73.95,70.1,71.35,122.9,62.25,ORIENTLTD
2021-10-18,73.05,75.05,72.45,73.4,122.9,62.25,ORIENTLTD
2021-10-14,76.4,76.4,73.0,73.85,122.9,62.25,ORIENTLTD
2021-10-13,75.5,76.3,72.55,73.1,122.9,62.25,ORIENTLTD
2021-10-12,76.55,77.05,75.25,76.15,122.9,62.25,ORIENTLTD
2021-10-11,78.2,78.2,76.0,76.5,122.9,62.25,ORIENTLTD
2021-10-08,78.1,78.3,76.1,78.1,122.9,62.25,ORIENTLTD
2021-10-07,78.2,78.2,76.3,76.55,122.9,62.25,ORIENTLTD
2021-10-06,76.0,78.6,75.0,76.35,122.9,62.25,ORIENTLTD
2021-10-05,72.25,75.9,72.25,74.95,122.9,62.25,ORIENTLTD
2021-10-04,70.5,73.0,70.5,72.7,122.9,62.25,ORIENTLTD
2021-10-01,69.25,72.85,69.15,71.1,122.9,62.25,ORIENTLTD
2021-09-30,69.95,71.9,69.9,70.95,122.9,62.25,ORIENTLTD
2021-09-29,68.45,70.0,66.45,69.3,122.9,62.25,ORIENTLTD
2021-09-28,68.9,68.9,66.15,67.45,122.9,62.25,ORIENTLTD
2021-09-27,71.3,71.4,66.6,69.1,122.9,62.25,ORIENTLTD
2021-09-24,69.15,72.0,67.3,68.25,122.9,62.25,ORIENTLTD
2021-09-23,69.1,71.15,69.1,70.0,122.9,62.25,ORIENTLTD
2021-09-22,70.05,71.15,70.05,70.9,122.9,62.25,ORIENTLTD
2021-09-21,69.15,71.25,68.35,70.95,122.9,62.25,ORIENTLTD
2021-09-20,69.65,73.0,68.0,70.0,122.9,62.25,ORIENTLTD
2021-09-17,70.25,72.55,68.65,69.65,122.9,62.25,ORIENTLTD
2021-09-16,72.5,72.5,68.25,70.25,122.9,62.25,ORIENTLTD
2021-09-15,70.0,70.8,68.45,70.65,122.9,62.25,ORIENTLTD
2021-09-14,67.9,70.95,66.85,69.9,122.9,62.25,ORIENTLTD
2021-09-13,66.35,68.6,65.6,67.85,122.9,62.25,ORIENTLTD
2021-09-09,67.0,67.0,66.0,66.35,122.9,62.25,ORIENTLTD
2021-09-08,66.25,67.0,65.35,66.45,122.9,62.25,ORIENTLTD
2021-09-07,66.4,66.95,66.25,66.25,122.9,62.25,ORIENTLTD
2021-09-06,68.0,68.0,65.5,66.3,122.9,62.25,ORIENTLTD
2021-09-03,68.35,68.4,66.5,66.6,122.9,62.25,ORIENTLTD
2021-09-02,66.1,67.95,66.1,67.05,122.9,62.25,ORIENTLTD
2021-09-01,68.05,68.05,66.0,66.8,122.9,62.25,ORIENTLTD
2021-08-31,68.6,68.6,66.0,66.05,122.9,62.25,ORIENTLTD
2021-08-30,69.6,69.6,66.0,66.6,122.9,62.25,ORIENTLTD
2021-08-27,67.75,67.75,65.0,66.35,122.9,62.25,ORIENTLTD
2021-08-26,66.9,68.5,63.3,65.75,122.9,62.25,ORIENTLTD
2021-08-25,64.45,66.9,64.45,65.6,122.9,62.25,ORIENTLTD
2021-08-24,67.75,67.75,63.25,65.5,122.9,62.25,ORIENTLTD
2021-08-23,69.15,69.45,65.6,65.6,122.9,62.25,ORIENTLTD
2021-08-20,65.2,70.4,65.2,69.05,122.9,62.25,ORIENTLTD
2021-08-18,70.15,70.85,67.3,67.45,122.9,62.25,ORIENTLTD
2021-08-17,72.3,73.9,70.1,70.1,122.9,62.25,ORIENTLTD
2021-08-16,78.45,78.45,73.45,73.75,122.9,62.25,ORIENTLTD
