DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-04,304.1,309.0,293.55,301.65,296.0,309.0,40.1,PANAMAPET
2021-08-03,279.7,308.0,279.55,302.1,301.25,308.0,40.1,PANAMAPET
2021-08-02,271.45,283.95,271.1,277.9,278.6,283.95,40.1,PANAMAPET
2021-07-30,270.65,278.9,267.0,268.5,269.35,278.9,40.1,PANAMAPET
2021-07-29,269.0,278.5,268.1,269.9,270.15,278.5,40.1,PANAMAPET
2021-07-28,256.2,267.5,250.5,266.65,266.05,272.0,40.1,PANAMAPET
2021-07-27,252.0,262.2,252.0,257.5,253.95,272.0,40.1,PANAMAPET
2021-07-26,250.0,251.2,247.2,250.0,249.6,272.0,40.1,PANAMAPET
2021-07-23,251.0,254.55,247.7,249.7,249.05,272.0,40.1,PANAMAPET
2021-07-22,252.0,255.45,247.15,250.0,249.95,272.0,40.1,PANAMAPET
2021-07-20,250.2,255.0,242.55,246.9,244.9,272.0,40.1,PANAMAPET
2021-07-19,252.75,259.5,247.1,253.95,251.7,272.0,40.1,PANAMAPET
2021-07-16,258.8,261.0,252.45,254.5,253.8,272.0,40.1,PANAMAPET
2021-07-15,264.0,266.4,257.05,258.0,257.8,272.0,40.1,PANAMAPET
2021-07-14,268.15,270.8,259.35,264.0,262.75,272.0,40.1,PANAMAPET
2021-07-13,254.85,272.0,254.8,266.0,265.7,272.0,40.1,PANAMAPET
2021-07-12,256.5,258.55,253.0,254.6,254.85,270.0,40.1,PANAMAPET
2021-07-09,249.85,257.8,245.15,253.3,251.35,270.0,40.1,PANAMAPET
2021-07-08,253.95,257.1,247.55,249.85,249.5,270.0,40.1,PANAMAPET
2021-07-07,261.4,262.85,252.9,254.0,254.7,270.0,40.1,PANAMAPET
2021-07-06,250.0,270.0,250.0,260.7,257.9,270.0,40.1,PANAMAPET
2021-07-05,249.3,249.3,241.25,243.0,244.4,264.3,40.1,PANAMAPET
2021-07-02,240.9,244.7,239.0,243.0,240.9,264.3,40.1,PANAMAPET
2021-07-01,241.0,242.4,236.0,238.55,238.1,264.3,40.1,PANAMAPET
2021-06-30,238.0,242.0,235.0,236.5,236.5,264.3,40.1,PANAMAPET
2021-06-29,245.75,245.8,234.0,237.2,235.4,264.3,40.1,PANAMAPET
2021-06-28,238.3,248.5,238.3,244.0,244.35,264.3,40.1,PANAMAPET
2021-06-25,247.5,247.5,238.85,240.2,240.65,264.3,40.1,PANAMAPET
2021-06-24,249.7,250.3,242.5,246.2,245.05,264.3,40.1,PANAMAPET
2021-06-23,250.95,256.7,242.0,245.25,244.8,264.3,40.1,PANAMAPET
2021-06-22,256.0,264.3,247.0,248.8,249.15,264.3,40.1,PANAMAPET
2021-06-21,230.0,245.0,228.05,244.95,244.05,252.8,40.1,PANAMAPET
2021-06-18,245.65,245.7,224.05,235.4,232.1,252.8,37.0,PANAMAPET
2021-06-17,245.25,252.8,235.65,244.5,243.15,252.8,37.0,PANAMAPET
2021-06-16,243.5,250.0,243.0,246.0,246.55,250.0,37.0,PANAMAPET
2021-06-15,233.5,243.9,233.5,242.0,241.95,243.9,37.0,PANAMAPET
2021-06-14,228.7,237.0,225.1,231.9,231.55,242.4,37.0,PANAMAPET
2021-06-11,230.9,242.4,227.0,228.0,229.4,242.4,37.0,PANAMAPET
2021-06-10,211.7,232.95,211.7,228.0,227.25,234.0,37.0,PANAMAPET
2021-06-09,212.0,218.8,208.45,210.05,209.8,234.0,37.0,PANAMAPET
2021-06-08,215.0,215.0,206.4,209.15,209.15,234.0,37.0,PANAMAPET
2021-06-07,211.9,216.0,211.0,211.15,211.8,234.0,37.0,PANAMAPET
2021-06-04,214.0,215.0,207.6,209.0,210.05,234.0,34.2,PANAMAPET
2021-06-03,212.25,215.5,210.0,213.0,212.4,234.0,34.2,PANAMAPET
2021-06-02,214.5,217.0,207.55,212.15,212.65,234.0,34.2,PANAMAPET
2021-06-01,229.9,229.9,206.05,211.0,211.6,234.0,34.2,PANAMAPET
2021-05-31,210.05,234.0,209.0,220.6,220.2,234.0,34.2,PANAMAPET
2021-05-28,218.25,219.8,207.25,208.8,210.05,220.75,31.3,PANAMAPET
2021-05-27,217.65,220.75,214.0,216.55,216.5,220.75,31.3,PANAMAPET
2021-05-26,210.95,219.0,209.9,216.0,215.55,219.0,31.3,PANAMAPET
2021-05-25,209.9,213.0,205.1,209.8,209.25,213.7,31.3,PANAMAPET
