DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-11,295.85,295.85,295.85,295.85,295.85,142.9,PAR
2021-10-08,281.8,281.8,281.8,281.8,281.8,142.9,PAR
2021-10-07,268.4,268.4,268.4,268.4,268.4,142.9,PAR
2021-10-06,255.2,255.65,247.55,255.65,255.65,142.9,PAR
2021-10-05,240.9,243.5,234.1,243.5,243.5,142.9,PAR
2021-10-04,231.95,231.95,226.0,231.95,231.95,142.9,PAR
2021-10-01,219.0,220.95,212.1,220.95,220.95,142.9,PAR
2021-09-30,207.0,210.45,206.0,210.45,210.45,142.9,PAR
2021-09-29,193.0,200.45,191.75,200.45,200.45,142.9,PAR
2021-09-28,187.85,190.95,182.05,190.95,190.95,142.9,PAR
2021-09-27,179.8,181.9,173.8,181.9,181.9,142.9,PAR
2021-09-24,173.25,173.25,167.0,173.25,173.25,142.9,PAR
2021-09-23,164.0,165.0,160.1,165.0,165.0,142.9,PAR
2021-09-22,155.0,157.15,147.0,157.15,163.95,142.9,PAR
2021-09-21,162.9,163.95,149.35,149.7,163.95,142.9,PAR
2021-09-20,157.5,157.5,152.0,157.2,157.5,142.9,PAR
2021-09-17,150.0,150.0,150.0,150.0,150.0,142.9,PAR
2021-09-16,142.9,142.9,142.9,142.9,142.9,142.9,PAR
