DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,79.7,82.0,78.0,78.35,96.45,36.1,PFOCUS
2021-11-11,78.5,79.3,76.9,78.25,96.45,36.1,PFOCUS
2021-11-10,77.25,79.45,77.25,77.55,96.45,36.1,PFOCUS
2021-11-09,79.0,80.45,76.75,77.25,96.45,36.1,PFOCUS
2021-11-08,79.1,80.0,78.35,78.5,96.45,36.1,PFOCUS
2021-11-04,79.95,80.0,77.15,79.4,96.45,36.1,PFOCUS
2021-11-03,79.9,80.45,76.05,77.35,96.45,36.1,PFOCUS
2021-11-02,80.55,84.4,77.7,78.25,96.45,36.1,PFOCUS
2021-11-01,82.0,82.5,80.0,80.5,96.45,36.1,PFOCUS
2021-10-29,79.85,83.2,77.5,80.7,96.45,36.1,PFOCUS
2021-10-28,84.7,84.7,78.9,79.45,96.45,36.1,PFOCUS
2021-10-27,83.0,84.0,80.3,83.0,96.45,36.1,PFOCUS
2021-10-26,82.6,84.8,80.05,81.95,96.45,36.1,PFOCUS
2021-10-25,84.45,84.45,78.85,83.25,96.45,36.1,PFOCUS
2021-10-22,86.25,88.0,80.7,83.0,96.45,35.35,PFOCUS
2021-10-21,78.65,86.85,78.65,84.9,96.45,35.35,PFOCUS
2021-10-20,82.75,82.75,82.75,82.75,96.45,35.35,PFOCUS
2021-10-19,96.2,96.2,87.1,87.1,96.45,35.35,PFOCUS
2021-10-18,90.75,91.65,85.8,91.65,96.45,35.35,PFOCUS
2021-10-14,86.7,87.3,82.35,87.3,96.45,35.35,PFOCUS
2021-10-13,81.9,83.15,79.2,83.15,96.45,35.35,PFOCUS
2021-10-12,77.4,79.2,75.6,79.2,96.45,35.35,PFOCUS
2021-10-11,71.65,75.45,71.65,75.45,96.45,35.35,PFOCUS
2021-10-08,75.4,75.4,71.6,71.9,96.45,35.35,PFOCUS
2021-10-07,74.4,75.75,71.05,72.45,96.45,35.35,PFOCUS
2021-10-06,75.2,76.6,74.1,74.2,96.45,35.35,PFOCUS
2021-10-05,77.4,77.8,74.25,74.95,96.45,35.35,PFOCUS
2021-10-04,77.3,77.5,74.3,76.6,96.45,35.35,PFOCUS
2021-10-01,73.9,75.0,71.4,74.25,96.45,35.35,PFOCUS
2021-09-30,76.9,76.9,72.5,73.65,96.45,35.35,PFOCUS
2021-09-29,70.2,74.2,70.2,74.2,96.45,35.35,PFOCUS
2021-09-28,71.25,74.25,69.65,70.7,96.45,35.35,PFOCUS
2021-09-27,79.9,80.0,73.3,73.3,96.45,35.35,PFOCUS
2021-09-24,80.15,81.95,77.0,77.15,96.45,34.15,PFOCUS
2021-09-23,83.5,83.95,79.9,80.7,96.45,34.15,PFOCUS
2021-09-22,81.0,83.5,76.9,82.3,96.45,34.15,PFOCUS
2021-09-21,82.0,82.4,78.45,79.85,96.45,34.15,PFOCUS
2021-09-20,82.85,85.5,82.55,82.55,96.45,34.15,PFOCUS
2021-09-17,88.45,90.45,84.8,86.85,96.45,34.15,PFOCUS
2021-09-16,81.55,90.05,81.55,89.25,96.45,34.15,PFOCUS
2021-09-15,83.0,88.0,83.0,85.8,96.45,34.15,PFOCUS
2021-09-14,96.45,96.45,87.35,87.35,96.45,34.15,PFOCUS
2021-09-13,91.9,91.9,91.9,91.9,91.9,34.15,PFOCUS
2021-09-09,87.55,87.55,87.55,87.55,87.55,34.15,PFOCUS
2021-09-08,83.4,83.4,83.4,83.4,83.4,34.15,PFOCUS
2021-09-07,79.45,79.45,79.45,79.45,79.45,34.15,PFOCUS
2021-09-06,75.7,75.7,75.7,75.7,75.9,34.15,PFOCUS
2021-09-03,72.1,72.1,70.15,72.1,75.9,34.15,PFOCUS
2021-09-02,68.0,68.7,66.0,68.7,75.9,34.15,PFOCUS
2021-09-01,68.0,70.95,65.2,65.45,75.9,34.15,PFOCUS
2021-08-31,64.5,68.6,62.8,68.6,75.9,34.15,PFOCUS
2021-08-30,67.0,67.4,64.8,65.35,75.9,34.15,PFOCUS
2021-08-27,72.0,72.0,67.65,68.2,75.9,34.15,PFOCUS
2021-08-26,67.8,72.35,67.65,71.2,75.9,34.15,PFOCUS
2021-08-25,67.5,70.15,65.55,68.95,75.9,34.15,PFOCUS
2021-08-24,64.85,66.85,58.95,66.85,75.9,34.15,PFOCUS
2021-08-23,60.8,60.8,59.2,60.8,75.9,34.15,PFOCUS
2021-08-20,55.3,55.3,55.0,55.3,75.9,34.15,PFOCUS
2021-08-18,49.5,52.4,49.5,50.3,75.9,34.15,PFOCUS
2021-08-17,52.45,52.5,49.7,50.5,75.9,34.15,PFOCUS
2021-08-16,56.0,56.0,50.1,51.9,75.9,34.15,PFOCUS
2021-08-13,54.15,55.9,53.05,54.95,75.9,25.65,PFOCUS
2021-08-12,52.95,54.95,50.95,54.1,75.9,25.65,PFOCUS
2021-08-11,54.0,55.1,48.45,51.3,75.9,25.65,PFOCUS
2021-08-10,57.8,57.8,52.85,53.8,75.9,25.65,PFOCUS
2021-08-09,57.95,57.95,55.8,57.0,75.9,24.6,PFOCUS
2021-08-06,58.7,58.7,54.6,55.5,75.9,24.6,PFOCUS
2021-08-05,58.1,60.7,57.05,58.1,75.9,23.55,PFOCUS
2021-08-04,62.2,62.7,58.95,59.4,75.9,23.55,PFOCUS
2021-08-03,62.65,62.65,60.6,61.05,75.9,23.55,PFOCUS
2021-08-02,63.0,64.1,60.7,61.4,75.9,23.55,PFOCUS
2021-07-30,60.85,62.7,60.5,61.05,75.9,23.55,PFOCUS
2021-07-29,60.0,61.75,58.6,61.05,75.9,23.55,PFOCUS
2021-07-28,62.0,62.5,58.25,59.25,75.9,23.55,PFOCUS
2021-07-27,64.85,64.9,60.45,61.05,75.9,22.2,PFOCUS
2021-07-26,63.4,64.0,61.95,62.8,75.9,17.0,PFOCUS
2021-07-23,59.1,62.05,57.8,61.6,75.9,17.0,PFOCUS
2021-07-22,58.7,60.45,57.2,59.1,75.9,17.0,PFOCUS
2021-07-20,60.05,61.25,58.25,58.35,75.9,17.0,PFOCUS
2021-04-26,69.0,74.4,68.35,71.15,75.9,17.0,PFOCUS
2021-04-23,73.95,74.9,70.25,70.5,75.9,17.0,PFOCUS
2021-04-22,71.5,75.9,68.2,73.95,75.9,17.0,PFOCUS
2021-04-20,69.0,70.9,68.5,69.25,75.7,17.0,PFOCUS
2021-04-19,66.1,70.35,63.95,66.9,75.7,17.0,PFOCUS
2021-04-16,64.0,72.0,63.1,68.9,75.7,17.0,PFOCUS
2021-04-15,64.5,65.15,61.6,63.5,75.7,17.0,PFOCUS
2021-04-13,64.05,65.9,63.55,63.85,75.7,17.0,PFOCUS
2021-04-12,67.55,67.8,62.35,63.75,75.7,17.0,PFOCUS
2021-04-09,68.75,71.35,67.55,68.5,75.7,17.0,PFOCUS
2021-04-08,68.25,72.8,67.25,68.75,75.7,17.0,PFOCUS
2021-04-07,71.9,75.7,67.15,68.45,75.7,17.0,PFOCUS
2021-04-06,60.1,71.7,59.4,70.45,73.75,17.0,PFOCUS
2021-04-05,60.45,61.3,55.15,59.75,73.75,17.0,PFOCUS
2021-04-01,57.8,61.7,57.65,60.85,73.75,17.0,PFOCUS
2021-03-31,58.0,59.3,57.0,57.25,73.75,17.0,PFOCUS
2021-03-30,60.55,61.95,57.9,58.55,73.75,17.0,PFOCUS
2021-03-26,61.3,62.9,56.8,60.65,73.75,17.0,PFOCUS
2021-03-25,54.45,63.5,51.6,59.9,73.75,17.0,PFOCUS
2021-03-24,55.6,56.95,53.0,53.75,73.75,17.0,PFOCUS
2021-03-23,57.7,58.45,56.15,56.4,73.75,17.0,PFOCUS
2021-03-22,60.45,60.45,56.2,56.65,73.75,17.0,PFOCUS
2021-03-19,58.0,58.9,56.1,58.2,73.75,17.0,PFOCUS
2021-03-18,58.8,60.2,54.4,56.8,73.75,17.0,PFOCUS
2021-03-17,61.5,61.5,57.6,57.85,73.75,17.0,PFOCUS
2021-03-16,59.4,62.9,57.65,60.1,73.75,17.0,PFOCUS
2021-03-15,63.5,63.5,57.4,59.35,73.75,17.0,PFOCUS
2021-03-12,62.0,65.9,61.0,61.8,73.75,17.0,PFOCUS
2021-03-10,64.0,65.2,61.4,61.95,73.75,17.0,PFOCUS
2021-03-09,66.85,68.85,63.3,64.2,73.75,17.0,PFOCUS
2021-03-08,70.0,72.6,65.0,66.45,73.75,17.0,PFOCUS
2021-03-05,70.0,72.9,63.65,69.8,73.75,17.0,PFOCUS
2021-03-04,66.8,73.75,64.5,71.15,73.75,17.0,PFOCUS
2021-03-03,58.7,69.0,56.7,69.0,69.0,17.0,PFOCUS
2021-03-02,56.95,59.6,55.55,57.5,66.9,17.0,PFOCUS
2021-03-01,61.0,61.9,56.6,57.25,66.9,17.0,PFOCUS
2021-02-26,60.45,66.9,58.05,60.25,66.9,17.0,PFOCUS
2021-02-25,53.7,62.1,51.75,61.2,62.1,17.0,PFOCUS
2021-02-24,53.5,53.55,50.65,51.75,58.95,17.0,PFOCUS
2021-02-23,51.5,53.55,51.5,52.65,58.95,17.0,PFOCUS
2021-02-22,53.4,54.3,51.0,51.5,58.95,17.0,PFOCUS
2021-02-19,54.05,58.25,53.1,53.95,58.95,17.0,PFOCUS
2021-02-18,51.5,55.5,48.65,54.7,58.95,17.0,PFOCUS
2021-02-17,52.7,53.45,49.7,50.9,58.95,17.0,PFOCUS
2021-02-16,49.2,54.85,49.2,53.9,58.95,17.0,PFOCUS
2021-02-15,52.45,52.8,48.35,49.15,58.95,17.0,PFOCUS
2021-02-12,54.25,54.25,51.6,52.25,58.95,17.0,PFOCUS
2021-02-11,52.05,53.8,49.5,53.3,58.95,17.0,PFOCUS
2021-02-10,49.7,51.7,48.3,51.4,58.95,17.0,PFOCUS
2021-02-09,50.9,51.45,48.0,48.95,58.95,17.0,PFOCUS
2021-02-08,45.65,51.0,45.6,50.3,58.95,17.0,PFOCUS
2021-02-05,46.05,46.5,45.6,45.85,58.95,17.0,PFOCUS
2021-02-04,46.95,47.2,45.6,45.95,58.95,17.0,PFOCUS
2021-02-03,47.4,47.4,45.85,46.8,58.95,17.0,PFOCUS
2021-02-02,45.25,47.3,45.25,46.45,58.95,17.0,PFOCUS
