DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,56.8,56.8,54.35,55.1,79.7,19.75,PIONEEREMB
2021-11-11,56.7,58.3,55.25,56.15,79.7,19.75,PIONEEREMB
2021-11-10,57.0,57.35,55.4,55.95,79.7,19.75,PIONEEREMB
2021-11-09,55.2,57.35,55.2,56.25,79.7,19.75,PIONEEREMB
2021-11-08,55.25,55.85,54.3,55.3,79.7,19.75,PIONEEREMB
2021-11-04,55.0,55.95,54.5,54.9,79.7,19.2,PIONEEREMB
2021-11-03,57.3,57.3,54.4,54.8,79.7,19.2,PIONEEREMB
2021-11-02,58.4,58.4,56.25,56.75,79.7,19.2,PIONEEREMB
2021-11-01,56.2,60.45,55.65,57.55,79.7,19.2,PIONEEREMB
2021-10-29,58.6,58.6,55.8,56.2,79.7,19.2,PIONEEREMB
2021-10-28,58.0,59.4,57.5,58.5,79.7,19.2,PIONEEREMB
2021-10-27,58.25,59.8,58.05,58.35,79.7,19.2,PIONEEREMB
2021-10-26,56.75,58.95,56.75,58.35,79.7,19.2,PIONEEREMB
2021-10-25,58.5,59.85,56.35,57.1,79.7,19.2,PIONEEREMB
2021-10-22,58.85,59.7,57.5,58.45,79.7,18.6,PIONEEREMB
2021-10-21,59.9,60.45,58.1,59.0,79.7,18.6,PIONEEREMB
2021-10-20,60.7,60.7,58.3,59.25,79.7,18.6,PIONEEREMB
2021-10-19,62.15,62.15,59.65,59.8,79.7,18.6,PIONEEREMB
2021-10-18,62.7,62.9,60.6,61.25,79.7,18.6,PIONEEREMB
2021-10-14,61.9,63.2,61.3,61.85,79.7,18.6,PIONEEREMB
2021-10-13,61.85,62.95,61.65,61.75,79.7,18.6,PIONEEREMB
2021-10-12,62.9,62.9,61.3,62.35,79.7,18.6,PIONEEREMB
2021-10-11,62.1,63.5,62.1,62.25,79.7,18.6,PIONEEREMB
2021-10-08,61.8,63.3,61.8,61.95,79.7,18.6,PIONEEREMB
2021-10-07,62.65,63.7,61.25,61.75,79.7,18.6,PIONEEREMB
