DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-01-22,2.9,2.95,2.85,2.9,2.85,4.25,0.95,RNAVAL
2021-01-21,2.95,3.05,2.9,2.95,2.95,4.25,0.95,RNAVAL
2021-01-20,3.05,3.05,2.9,3.0,3.0,4.25,0.95,RNAVAL
2021-01-19,2.95,3.0,2.95,3.0,3.0,4.25,0.95,RNAVAL
2021-01-18,3.05,3.05,2.9,2.95,2.9,4.25,0.95,RNAVAL
2021-01-15,3.05,3.05,2.95,3.05,3.0,4.25,0.95,RNAVAL
2021-01-14,3.1,3.1,3.0,3.05,3.05,4.25,0.95,RNAVAL
2021-01-13,3.15,3.15,3.05,3.1,3.05,4.25,0.95,RNAVAL
2021-01-12,3.05,3.15,3.05,3.15,3.1,4.25,0.95,RNAVAL
2021-01-11,3.2,3.25,3.05,3.15,3.1,4.25,0.95,RNAVAL
2021-01-08,3.25,3.25,3.15,3.2,3.2,4.25,0.95,RNAVAL
2021-01-07,3.3,3.35,3.2,3.25,3.2,4.25,0.95,RNAVAL
2021-01-06,3.4,3.45,3.25,3.3,3.25,4.25,0.95,RNAVAL
2021-01-05,3.2,3.4,3.15,3.4,3.4,4.25,0.95,RNAVAL
2021-01-04,3.15,3.3,3.15,3.3,3.25,4.25,0.95,RNAVAL
2021-01-01,3.2,3.3,3.15,3.2,3.2,4.25,0.95,RNAVAL
2020-12-31,3.15,3.25,3.1,3.2,3.15,4.25,0.95,RNAVAL
2020-12-30,3.2,3.2,3.05,3.15,3.1,4.25,0.95,RNAVAL
2020-12-29,3.2,3.25,3.05,3.15,3.15,4.25,0.95,RNAVAL
2020-12-28,3.35,3.35,3.15,3.2,3.15,4.25,0.95,RNAVAL
2020-12-24,3.35,3.35,3.2,3.25,3.3,4.25,0.95,RNAVAL
2020-12-23,3.05,3.2,3.05,3.2,3.2,4.25,0.95,RNAVAL
2020-12-22,3.05,3.15,3.05,3.05,3.05,4.25,0.95,RNAVAL
2020-12-21,3.35,3.35,3.2,3.2,3.2,4.25,0.95,RNAVAL
2020-12-18,3.55,3.6,3.35,3.35,3.35,4.25,0.95,RNAVAL
2020-12-17,3.45,3.6,3.4,3.55,3.5,4.25,0.95,RNAVAL
2020-12-16,3.4,3.55,3.4,3.5,3.45,4.25,0.95,RNAVAL
2020-12-15,3.7,3.85,3.55,3.55,3.55,4.25,0.95,RNAVAL
2020-12-14,3.7,3.7,3.6,3.7,3.7,4.25,0.95,RNAVAL
2020-12-11,3.4,3.55,3.4,3.55,3.55,4.25,0.95,RNAVAL
2020-12-10,3.5,3.55,3.35,3.45,3.4,4.25,0.95,RNAVAL
2020-12-09,3.65,3.7,3.45,3.55,3.5,4.25,0.95,RNAVAL
2020-12-08,3.6,3.6,3.35,3.55,3.55,4.25,0.95,RNAVAL
2020-12-07,3.4,3.45,3.15,3.45,3.45,4.25,0.95,RNAVAL
2020-12-04,3.55,3.6,3.3,3.35,3.3,4.25,0.95,RNAVAL
2020-12-03,3.4,3.45,3.4,3.45,3.45,4.25,0.95,RNAVAL
2020-12-02,3.2,3.3,3.2,3.3,3.3,4.25,0.95,RNAVAL
2020-12-01,2.9,3.2,2.9,3.2,3.15,4.25,0.95,RNAVAL
2020-11-27,3.05,3.1,3.05,3.05,3.05,4.25,0.95,RNAVAL
2020-11-26,3.25,3.3,3.2,3.2,3.2,4.25,0.95,RNAVAL
2020-11-25,3.65,3.65,3.35,3.35,3.35,4.25,0.95,RNAVAL
2020-11-24,3.5,3.5,3.5,3.5,3.5,4.25,0.95,RNAVAL
2020-11-23,3.35,3.35,3.35,3.35,3.35,4.25,0.95,RNAVAL
2020-11-20,3.2,3.2,3.2,3.2,3.2,4.25,0.95,RNAVAL
2020-11-19,3.05,3.05,2.9,3.05,3.05,4.25,0.95,RNAVAL
2020-11-18,2.95,2.95,2.95,2.95,2.95,4.25,0.95,RNAVAL
2020-11-17,2.85,2.85,2.85,2.85,2.85,4.25,0.95,RNAVAL
2020-11-14,2.75,2.75,2.75,2.75,2.75,4.25,0.95,RNAVAL
2020-11-13,2.65,2.65,2.6,2.65,2.65,4.25,0.95,RNAVAL
2020-11-12,2.55,2.55,2.45,2.55,2.55,4.25,0.95,RNAVAL
