DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,168.0,177.1,165.15,169.55,214.65,32.5,PITTIENG
2021-10-28,180.0,181.65,171.4,171.4,214.65,32.5,PITTIENG
2021-10-27,178.2,182.6,173.0,180.4,214.65,32.5,PITTIENG
2021-10-26,163.35,173.95,163.35,173.95,214.65,32.5,PITTIENG
2021-10-25,167.05,169.65,160.55,165.7,214.65,32.5,PITTIENG
2021-10-22,168.55,176.5,165.0,167.35,214.65,31.2,PITTIENG
2021-10-21,169.9,178.0,169.9,172.75,214.65,31.2,PITTIENG
2021-10-20,173.0,174.5,168.75,169.9,214.65,31.2,PITTIENG
2021-10-19,178.0,181.4,172.0,173.3,214.65,31.2,PITTIENG
2021-10-18,188.0,188.0,176.85,178.2,214.65,31.2,PITTIENG
2021-10-14,188.7,191.0,185.0,186.15,214.65,29.25,PITTIENG
2021-10-13,184.0,189.0,172.9,185.5,214.65,29.25,PITTIENG
2021-10-12,191.25,193.4,181.7,182.0,214.65,29.25,PITTIENG
2021-10-11,184.9,191.9,183.1,191.25,214.65,29.25,PITTIENG
2021-10-08,188.25,188.25,179.5,182.8,214.65,29.25,PITTIENG
2021-10-07,170.5,179.3,170.5,179.3,214.65,29.25,PITTIENG
2021-10-06,172.0,176.05,167.0,170.8,214.65,29.25,PITTIENG
2021-10-05,168.9,171.5,163.5,167.7,214.65,29.25,PITTIENG
2021-10-04,155.7,163.5,155.7,163.5,214.65,29.25,PITTIENG
2021-10-01,152.0,158.95,150.4,155.75,214.65,29.25,PITTIENG
2021-09-30,149.55,154.2,146.1,153.55,214.65,29.25,PITTIENG
2021-09-29,143.85,147.65,143.0,146.9,214.65,29.25,PITTIENG
2021-09-28,147.0,149.5,143.8,145.35,214.65,29.25,PITTIENG
2021-09-27,153.9,153.9,146.65,146.95,214.65,29.25,PITTIENG
2021-09-24,146.0,150.35,136.45,150.35,214.65,29.25,PITTIENG
2021-09-23,149.7,149.7,142.0,143.2,214.65,29.25,PITTIENG
2021-09-22,147.9,150.3,145.05,145.7,214.65,29.25,PITTIENG
2021-09-21,145.8,150.95,138.5,145.0,214.65,29.25,PITTIENG
2021-09-20,149.0,154.9,145.35,145.75,214.65,29.25,PITTIENG
2021-09-17,165.0,165.0,153.0,153.0,214.65,29.25,PITTIENG
2021-09-16,166.5,166.5,160.45,161.05,214.65,29.25,PITTIENG
