DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,339.95,344.0,338.0,338.5,395.9,157.0,PNCINFRA
2021-11-11,336.3,342.5,335.0,337.45,395.9,157.0,PNCINFRA
2021-11-10,339.3,341.0,335.1,336.95,395.9,157.0,PNCINFRA
2021-11-09,338.5,344.9,334.3,338.05,395.9,157.0,PNCINFRA
2021-11-08,342.9,345.45,331.95,337.1,395.9,157.0,PNCINFRA
2021-11-04,336.7,348.6,336.7,341.65,395.9,157.0,PNCINFRA
2021-11-03,326.7,338.0,324.4,333.75,395.9,157.0,PNCINFRA
2021-11-02,327.0,330.05,324.35,325.05,395.9,157.0,PNCINFRA
2021-11-01,325.15,332.15,323.75,326.3,395.9,157.0,PNCINFRA
2021-10-29,331.9,338.65,323.0,324.4,395.9,157.0,PNCINFRA
2021-10-28,332.9,338.75,329.0,331.15,395.9,157.0,PNCINFRA
2021-10-27,339.0,348.9,336.3,339.05,395.9,157.0,PNCINFRA
2021-10-26,330.85,344.55,330.85,335.95,395.9,157.0,PNCINFRA
2021-10-25,345.6,345.6,327.1,330.75,395.9,157.0,PNCINFRA
2021-10-22,359.0,359.9,338.15,342.15,395.9,157.0,PNCINFRA
2021-10-21,363.5,368.75,355.0,358.4,395.9,157.0,PNCINFRA
2021-10-20,356.9,360.25,345.7,358.1,395.9,157.0,PNCINFRA
2021-10-19,374.9,374.9,354.0,356.55,395.9,157.0,PNCINFRA
2021-10-18,379.85,380.6,368.0,371.65,395.9,157.0,PNCINFRA
2021-10-14,392.0,392.65,374.2,377.5,395.9,157.0,PNCINFRA
2021-10-13,365.0,395.9,364.3,391.35,395.9,157.0,PNCINFRA
2021-10-12,365.0,368.0,360.15,365.2,394.95,157.0,PNCINFRA
2021-10-11,359.5,373.0,359.35,368.7,394.95,157.0,PNCINFRA
2021-10-08,362.25,366.85,355.8,357.4,394.95,157.0,PNCINFRA
2021-10-07,366.0,370.2,361.6,363.85,394.95,157.0,PNCINFRA
2021-10-06,372.95,376.25,358.55,363.45,394.95,157.0,PNCINFRA
2021-10-05,357.0,379.9,356.45,370.4,394.95,157.0,PNCINFRA
2021-10-04,369.3,369.3,357.0,359.1,394.95,157.0,PNCINFRA
2021-10-01,390.0,392.9,366.15,371.45,394.95,154.9,PNCINFRA
2021-09-30,354.0,394.95,354.0,382.85,394.95,154.9,PNCINFRA
2021-09-29,351.0,357.65,349.85,355.25,388.7,154.9,PNCINFRA
2021-09-28,362.8,364.8,353.0,355.5,388.7,154.9,PNCINFRA
2021-09-27,370.45,377.65,356.6,362.05,388.7,154.9,PNCINFRA
2021-09-24,357.65,370.5,355.4,368.05,388.7,150.3,PNCINFRA
2021-09-23,359.35,362.05,352.25,354.85,388.7,150.3,PNCINFRA
2021-09-22,351.0,364.05,351.0,359.55,388.7,150.3,PNCINFRA
2021-09-21,353.4,357.9,347.0,355.2,388.7,150.3,PNCINFRA
2021-09-20,364.35,368.7,352.8,355.7,388.7,150.3,PNCINFRA
2021-09-17,368.0,388.0,362.65,372.65,388.7,150.3,PNCINFRA
2021-09-16,355.0,373.95,352.45,370.35,388.7,150.3,PNCINFRA
2021-09-15,357.2,360.0,354.1,357.75,388.7,150.3,PNCINFRA
2021-09-14,364.7,365.5,359.25,361.95,388.7,150.3,PNCINFRA
2021-09-13,359.0,366.2,355.0,362.25,388.7,150.3,PNCINFRA
2021-09-09,362.0,367.0,358.7,359.8,388.7,147.95,PNCINFRA
2021-09-08,375.0,375.8,365.0,367.55,388.7,147.95,PNCINFRA
2021-09-07,360.0,388.7,349.65,373.8,388.7,147.95,PNCINFRA
2021-09-06,363.8,364.55,356.95,360.4,364.55,147.95,PNCINFRA
2021-09-03,353.0,363.0,351.05,359.9,363.0,147.95,PNCINFRA
2021-09-02,345.0,352.75,341.0,349.4,352.75,147.95,PNCINFRA
2021-09-01,315.45,341.8,311.2,338.25,341.8,147.95,PNCINFRA
2021-08-31,308.0,316.0,308.0,314.15,329.2,147.95,PNCINFRA
2021-08-30,306.45,317.8,306.45,310.05,329.2,147.95,PNCINFRA
2021-08-27,302.3,308.0,302.3,304.45,329.2,147.95,PNCINFRA
2021-08-26,308.0,309.0,298.15,302.3,329.2,147.95,PNCINFRA
2021-08-25,300.0,311.0,299.05,309.0,329.2,147.95,PNCINFRA
2021-08-24,305.8,309.0,297.0,298.4,329.2,147.95,PNCINFRA
2021-08-23,296.0,314.05,294.8,304.4,329.2,147.95,PNCINFRA
2021-08-20,298.0,303.5,288.0,290.6,329.2,140.1,PNCINFRA
2021-08-18,304.55,308.8,300.25,301.7,329.2,140.1,PNCINFRA
2021-08-17,314.0,314.7,302.1,304.55,329.2,140.1,PNCINFRA
2021-08-16,303.1,316.5,303.05,314.25,329.2,140.1,PNCINFRA
2021-08-13,309.6,313.5,304.7,308.4,329.2,135.3,PNCINFRA
2021-08-12,292.0,311.3,292.0,309.85,329.2,135.3,PNCINFRA
2021-08-11,294.5,304.5,275.5,294.35,329.2,135.3,PNCINFRA
2021-08-10,305.2,308.5,290.5,295.2,329.2,135.3,PNCINFRA
2021-08-09,302.0,315.2,302.0,307.45,329.2,135.3,PNCINFRA
2021-08-06,301.65,306.0,301.65,303.0,329.2,126.5,PNCINFRA
2021-08-05,311.7,313.6,301.2,304.95,329.2,126.5,PNCINFRA
2021-08-04,313.5,316.9,302.4,307.3,329.2,126.5,PNCINFRA
2021-08-03,314.0,318.0,311.35,313.0,329.2,126.5,PNCINFRA
2021-08-02,315.0,319.25,311.7,312.1,329.2,126.5,PNCINFRA
2021-07-30,312.05,320.2,312.05,314.9,329.2,126.5,PNCINFRA
2021-07-29,322.6,322.6,310.9,313.0,329.2,126.5,PNCINFRA
2021-07-28,323.7,324.7,312.1,320.95,329.2,126.5,PNCINFRA
2021-07-27,318.2,329.2,318.2,321.55,329.2,126.5,PNCINFRA
2021-07-26,319.9,322.95,313.55,319.8,329.0,126.5,PNCINFRA
2021-07-23,326.2,329.0,315.0,318.45,329.0,126.5,PNCINFRA
2021-07-22,312.95,325.8,310.2,322.9,325.8,126.5,PNCINFRA
2021-07-20,308.35,314.65,300.1,310.0,321.9,126.5,PNCINFRA
2021-07-19,317.1,321.9,306.0,308.35,321.9,126.5,PNCINFRA
2021-07-16,303.0,319.95,298.8,317.1,319.95,126.5,PNCINFRA
2021-07-15,297.0,304.9,297.0,303.0,314.45,126.5,PNCINFRA
2021-07-14,305.85,308.95,294.05,296.1,314.45,126.5,PNCINFRA
2021-07-13,304.3,309.0,303.75,305.85,314.45,126.5,PNCINFRA
2021-07-12,305.0,314.45,302.0,304.1,314.45,126.5,PNCINFRA
2021-07-09,297.25,302.35,292.55,300.75,311.0,126.5,PNCINFRA
2021-07-08,303.0,311.0,297.15,299.9,311.0,126.5,PNCINFRA
2021-07-07,296.0,308.0,289.55,303.6,309.7,126.5,PNCINFRA
2021-07-06,306.0,308.8,293.8,295.55,309.7,126.5,PNCINFRA
2021-07-05,293.85,309.7,293.0,305.7,309.7,126.5,PNCINFRA
2021-07-02,292.0,298.0,286.0,291.2,298.2,126.5,PNCINFRA
2021-07-01,287.9,297.4,283.5,292.4,298.2,126.5,PNCINFRA
2021-06-30,261.9,298.2,261.0,288.45,298.2,126.5,PNCINFRA
2021-06-29,247.45,264.4,246.7,260.15,289.55,126.5,PNCINFRA
2021-06-28,247.8,254.3,244.0,245.5,289.55,126.5,PNCINFRA
2021-06-25,254.0,262.0,245.1,249.95,289.55,126.5,PNCINFRA
2021-06-24,254.9,255.55,250.25,251.95,289.55,126.5,PNCINFRA
2021-06-23,252.2,253.3,245.0,249.2,289.55,126.5,PNCINFRA
2021-06-22,261.0,261.65,249.0,251.4,289.55,126.5,PNCINFRA
2021-06-21,246.5,259.85,242.5,256.4,289.55,126.5,PNCINFRA
2021-06-18,253.0,254.45,239.0,248.25,289.55,121.95,PNCINFRA
2021-06-17,254.0,255.85,248.75,252.85,289.55,121.95,PNCINFRA
2021-06-16,249.5,261.0,248.15,256.9,289.55,121.95,PNCINFRA
2021-06-15,254.5,255.7,245.1,246.8,289.55,121.95,PNCINFRA
2021-06-14,257.65,258.85,250.05,251.95,289.55,121.95,PNCINFRA
2021-06-11,258.5,262.0,254.0,256.05,289.55,118.0,PNCINFRA
2021-06-10,255.4,260.0,254.0,256.2,289.55,118.0,PNCINFRA
2021-06-09,260.9,263.0,250.55,253.15,289.55,118.0,PNCINFRA
2021-06-08,265.5,266.15,259.0,259.7,289.55,118.0,PNCINFRA
2021-06-07,265.0,266.0,262.3,262.75,289.55,118.0,PNCINFRA
2021-06-04,260.0,264.85,260.0,262.3,289.55,106.55,PNCINFRA
2021-06-03,261.9,262.0,257.5,258.9,289.55,106.55,PNCINFRA
2021-06-02,252.0,259.35,252.0,258.2,289.55,106.55,PNCINFRA
2021-06-01,260.0,261.0,250.25,251.15,289.55,106.55,PNCINFRA
2021-05-31,257.6,260.5,256.2,258.4,289.55,106.55,PNCINFRA
2021-05-28,261.1,261.4,255.1,256.2,289.55,101.0,PNCINFRA
2021-05-27,254.05,264.0,246.1,261.25,289.55,101.0,PNCINFRA
2021-05-26,251.0,255.7,251.0,254.05,289.55,101.0,PNCINFRA
2021-05-25,255.5,256.45,250.5,253.1,289.55,101.0,PNCINFRA
2021-05-24,252.9,255.8,249.45,254.35,289.55,101.0,PNCINFRA
2021-05-21,246.5,252.7,245.7,249.45,289.55,101.0,PNCINFRA
2021-05-20,242.35,250.0,241.0,245.75,289.55,101.0,PNCINFRA
2021-05-19,238.75,242.0,230.0,240.2,289.55,101.0,PNCINFRA
2021-05-18,233.05,244.0,232.85,237.1,289.55,101.0,PNCINFRA
2021-05-17,230.85,236.0,230.5,233.45,289.55,101.0,PNCINFRA
2021-05-14,230.0,239.8,227.1,228.5,289.55,101.0,PNCINFRA
2021-05-12,223.05,232.9,223.05,228.6,289.55,101.0,PNCINFRA
2021-05-11,224.0,225.05,221.05,223.0,289.55,101.0,PNCINFRA
