DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-14,1.1,1.15,1.05,1.15,1.15,0.4,PRADIP
2021-10-13,1.1,1.1,1.1,1.1,1.1,0.4,PRADIP
2021-10-12,1.05,1.05,1.05,1.05,1.05,0.3,PRADIP
2021-10-11,1.0,1.05,1.0,1.0,1.05,0.3,PRADIP
2020-12-16,0.75,0.75,0.7,0.75,1.0,0.3,PRADIP
2020-12-15,0.75,0.75,0.7,0.7,1.0,0.3,PRADIP
2020-12-14,0.75,0.75,0.75,0.75,1.0,0.3,PRADIP
2020-12-11,0.65,0.7,0.65,0.7,1.0,0.3,PRADIP
2020-12-10,0.7,0.7,0.7,0.7,1.0,0.3,PRADIP
2020-12-09,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-12-07,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-12-04,0.5,0.55,0.5,0.55,1.0,0.3,PRADIP
2020-12-03,0.5,0.5,0.5,0.5,1.0,0.3,PRADIP
2020-12-02,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-12-01,0.45,0.55,0.45,0.55,1.0,0.3,PRADIP
2020-11-27,0.5,0.5,0.5,0.5,1.0,0.3,PRADIP
2020-11-26,0.5,0.5,0.5,0.5,1.0,0.3,PRADIP
2020-11-25,0.55,0.6,0.5,0.5,1.0,0.3,PRADIP
2020-11-24,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-11-23,0.5,0.5,0.5,0.5,1.0,0.3,PRADIP
2020-11-20,0.5,0.5,0.5,0.5,1.0,0.3,PRADIP
2020-11-19,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-11-18,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-11-17,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-11-10,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-11-05,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-11-04,0.5,0.55,0.5,0.55,1.0,0.3,PRADIP
2020-11-03,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-10-30,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-10-29,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-10-27,0.6,0.6,0.5,0.5,1.0,0.3,PRADIP
2020-10-26,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-10-23,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-10-22,0.5,0.6,0.5,0.6,1.0,0.3,PRADIP
2020-10-21,0.45,0.55,0.45,0.55,1.0,0.3,PRADIP
2020-10-19,0.5,0.5,0.5,0.5,1.0,0.3,PRADIP
2020-10-15,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-10-14,0.5,0.55,0.5,0.5,1.0,0.3,PRADIP
2020-10-13,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-10-07,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-10-06,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-10-05,0.65,0.65,0.6,0.6,1.0,0.3,PRADIP
2020-09-30,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-09-29,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-09-24,0.7,0.7,0.7,0.7,1.0,0.3,PRADIP
2020-09-22,0.7,0.7,0.7,0.7,1.0,0.3,PRADIP
2020-09-21,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-09-18,0.55,0.65,0.55,0.65,1.0,0.3,PRADIP
2020-09-16,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-09-15,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-09-14,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-09-11,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-09-10,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-09-09,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-09-08,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-09-07,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-09-03,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-09-02,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-09-01,0.6,0.7,0.6,0.65,1.0,0.3,PRADIP
2020-08-31,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-08-28,0.55,0.6,0.55,0.6,1.0,0.3,PRADIP
2020-08-26,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-08-25,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-08-24,0.55,0.55,0.55,0.55,1.0,0.3,PRADIP
2020-08-20,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-08-19,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-08-18,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-08-17,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-08-13,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-08-12,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-08-11,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-08-10,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-08-07,0.7,0.7,0.65,0.65,1.0,0.3,PRADIP
2020-08-05,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-08-04,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-08-03,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-07-31,0.6,0.6,0.55,0.55,1.0,0.3,PRADIP
2020-07-30,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-07-28,0.6,0.65,0.6,0.6,1.0,0.3,PRADIP
2020-07-27,0.6,0.65,0.6,0.65,1.0,0.3,PRADIP
2020-07-24,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-07-23,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-07-22,0.6,0.6,0.6,0.6,1.0,0.3,PRADIP
2020-07-21,0.65,0.65,0.65,0.65,1.0,0.3,PRADIP
2020-07-20,0.7,0.7,0.7,0.7,1.0,0.3,PRADIP
2020-07-13,0.75,0.75,0.7,0.7,1.0,0.3,PRADIP
2020-07-10,0.75,0.75,0.75,0.75,1.0,0.3,PRADIP
2020-07-09,0.75,0.75,0.75,0.75,1.0,0.3,PRADIP
2020-07-08,0.8,0.8,0.8,0.8,1.0,0.3,PRADIP
2020-07-07,0.85,0.85,0.85,0.85,1.0,0.3,PRADIP
2020-07-06,1.0,1.0,0.9,0.9,1.0,0.3,PRADIP
2020-07-03,0.95,0.95,0.9,0.95,0.95,0.3,PRADIP
2020-07-02,0.95,0.95,0.9,0.9,0.95,0.3,PRADIP
