DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,3.35,3.35,3.35,3.35,3.35,0.55,PRAKASHSTL
2021-11-11,3.2,3.2,3.2,3.2,3.2,0.55,PRAKASHSTL
2021-11-10,3.05,3.05,3.05,3.05,3.05,0.55,PRAKASHSTL
2021-11-09,2.9,2.95,2.9,2.95,2.95,0.55,PRAKASHSTL
2021-11-08,2.8,2.85,2.75,2.85,2.9,0.55,PRAKASHSTL
2021-11-04,2.65,2.75,2.6,2.75,2.9,0.55,PRAKASHSTL
2021-11-03,2.75,2.8,2.65,2.65,2.9,0.55,PRAKASHSTL
2021-11-02,2.7,2.75,2.65,2.75,2.9,0.55,PRAKASHSTL
2021-11-01,2.65,2.65,2.55,2.65,2.9,0.55,PRAKASHSTL
2021-10-29,2.5,2.55,2.4,2.55,2.9,0.55,PRAKASHSTL
2021-10-28,2.45,2.55,2.4,2.45,2.9,0.55,PRAKASHSTL
2021-10-27,2.55,2.65,2.5,2.5,2.9,0.55,PRAKASHSTL
2021-10-26,2.6,2.7,2.6,2.6,2.9,0.55,PRAKASHSTL
2021-10-25,2.9,2.9,2.7,2.7,2.9,0.55,PRAKASHSTL
2021-10-22,2.8,2.8,2.8,2.8,2.8,0.55,PRAKASHSTL
2021-10-21,2.7,2.7,2.6,2.7,2.75,0.55,PRAKASHSTL
2021-10-20,2.6,2.75,2.35,2.6,2.75,0.55,PRAKASHSTL
2021-10-19,2.65,2.65,2.4,2.6,2.65,0.55,PRAKASHSTL
2021-10-18,2.45,2.45,2.45,2.45,2.6,0.55,PRAKASHSTL
2021-10-14,2.05,2.25,2.05,2.25,2.6,0.55,PRAKASHSTL
2021-10-13,2.1,2.15,2.05,2.05,2.6,0.55,PRAKASHSTL
2021-10-12,2.15,2.15,2.0,2.1,2.6,0.55,PRAKASHSTL
2021-10-11,2.1,2.2,2.05,2.1,2.6,0.55,PRAKASHSTL
2021-10-08,2.1,2.1,2.0,2.1,2.6,0.55,PRAKASHSTL
2021-10-07,2.0,2.15,2.0,2.05,2.6,0.55,PRAKASHSTL
2021-10-06,2.05,2.1,1.95,2.0,2.6,0.55,PRAKASHSTL
2021-10-05,2.1,2.15,2.0,2.05,2.6,0.55,PRAKASHSTL
2021-10-04,2.05,2.15,2.0,2.05,2.6,0.55,PRAKASHSTL
2021-10-01,2.05,2.1,2.0,2.05,2.6,0.55,PRAKASHSTL
2021-09-30,2.1,2.15,2.05,2.05,2.6,0.55,PRAKASHSTL
2021-09-29,2.05,2.15,1.95,2.1,2.6,0.55,PRAKASHSTL
2021-09-28,2.05,2.1,2.0,2.05,2.6,0.55,PRAKASHSTL
2021-09-27,2.05,2.15,2.05,2.05,2.6,0.55,PRAKASHSTL
2021-09-24,2.1,2.1,2.05,2.05,2.6,0.55,PRAKASHSTL
2021-09-23,2.15,2.25,2.05,2.1,2.6,0.55,PRAKASHSTL
2021-09-22,2.05,2.2,2.05,2.15,2.6,0.55,PRAKASHSTL
2021-09-21,2.1,2.15,2.05,2.1,2.6,0.55,PRAKASHSTL
2021-09-20,2.25,2.25,2.15,2.15,2.6,0.55,PRAKASHSTL
2021-09-17,2.45,2.45,2.25,2.25,2.6,0.55,PRAKASHSTL
2021-09-16,2.35,2.35,2.3,2.35,2.6,0.55,PRAKASHSTL
2021-09-15,2.25,2.25,2.2,2.25,2.6,0.55,PRAKASHSTL
2021-09-14,2.0,2.15,2.0,2.15,2.6,0.55,PRAKASHSTL
2021-09-13,2.05,2.15,2.05,2.05,2.6,0.55,PRAKASHSTL
2021-09-09,2.15,2.15,2.15,2.15,2.6,0.55,PRAKASHSTL
2021-09-08,2.25,2.25,2.25,2.25,2.6,0.55,PRAKASHSTL
2021-09-07,2.35,2.35,2.35,2.35,2.6,0.55,PRAKASHSTL
2021-09-06,2.6,2.6,2.45,2.45,2.6,0.55,PRAKASHSTL
