DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-20,37.2,37.2,37.2,37.2,62.0,28.4,PRAXIS
2021-10-19,40.4,41.0,39.15,39.15,62.0,28.4,PRAXIS
2021-10-18,40.4,44.6,40.4,41.2,62.0,28.4,PRAXIS
2021-10-14,42.5,42.5,42.5,42.5,62.0,28.4,PRAXIS
2021-10-13,49.4,49.4,44.7,44.7,62.0,28.4,PRAXIS
2021-10-12,46.4,47.05,46.4,47.05,62.0,28.4,PRAXIS
2021-10-11,43.8,44.85,40.8,44.85,62.0,28.4,PRAXIS
2021-10-08,39.0,40.8,35.35,40.8,62.0,28.4,PRAXIS
2021-10-07,35.0,37.1,35.0,37.1,62.0,28.4,PRAXIS
2021-10-06,32.8,33.75,32.8,33.75,62.0,28.4,PRAXIS
2021-10-05,31.45,32.7,31.45,32.15,62.0,28.4,PRAXIS
2021-10-04,32.25,32.25,31.1,31.45,62.0,28.4,PRAXIS
2021-10-01,29.3,30.75,29.0,30.75,62.0,28.4,PRAXIS
2021-09-30,31.2,31.5,29.05,29.3,62.0,28.4,PRAXIS
2021-09-29,32.4,32.45,30.0,30.55,62.0,28.4,PRAXIS
2021-09-28,32.9,33.1,30.8,31.45,62.0,28.4,PRAXIS
2021-09-27,32.7,34.0,32.3,32.3,62.0,28.4,PRAXIS
2021-09-24,35.4,35.4,32.2,33.95,62.0,28.4,PRAXIS
2021-09-23,33.65,33.75,32.85,33.75,62.0,28.4,PRAXIS
2021-09-22,31.5,32.15,30.0,32.15,62.0,28.4,PRAXIS
2021-09-21,30.25,31.75,29.8,30.65,62.0,28.4,PRAXIS
2021-09-20,31.85,31.85,29.7,31.35,62.0,28.4,PRAXIS
2021-09-17,31.05,32.95,30.65,31.2,62.0,28.4,PRAXIS
2021-09-16,33.4,33.4,31.1,31.65,62.0,28.4,PRAXIS
2021-09-15,29.8,32.7,29.8,32.7,62.0,28.4,PRAXIS
2021-09-14,31.2,32.1,31.15,31.15,62.0,28.4,PRAXIS
2021-09-13,36.15,36.15,32.75,32.75,62.0,28.4,PRAXIS
2021-09-09,34.45,34.45,33.3,34.45,62.0,28.4,PRAXIS
2021-09-08,32.2,32.85,31.95,32.85,62.0,28.4,PRAXIS
2021-09-07,28.6,31.3,28.4,31.3,62.0,28.4,PRAXIS
2021-09-06,55.25,55.25,55.25,55.25,62.0,33.15,PRAXIS
2021-09-03,52.65,52.65,52.65,52.65,62.0,32.1,PRAXIS
2021-09-02,50.15,50.15,46.4,50.15,62.0,32.1,PRAXIS
2021-09-01,47.8,47.8,47.8,47.8,62.0,32.1,PRAXIS
2021-08-31,45.5,45.55,45.5,45.55,62.0,32.1,PRAXIS
2021-08-30,44.65,44.65,42.15,43.4,62.0,32.1,PRAXIS
2021-08-27,43.6,44.4,42.3,42.7,62.0,29.5,PRAXIS
2021-08-26,42.3,43.45,42.3,42.3,62.0,29.5,PRAXIS
