DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-06-02,38.25,38.25,38.25,38.25,38.25,38.25,13.7,PROZONINTU
2021-06-01,34.8,34.8,34.8,34.8,34.8,34.8,13.7,PROZONINTU
2021-05-31,30.0,31.65,29.5,31.65,31.65,31.65,13.7,PROZONINTU
2021-05-28,25.7,28.8,25.5,28.8,28.8,28.8,13.7,PROZONINTU
2021-05-27,21.4,24.8,20.8,23.65,24.0,28.1,13.7,PROZONINTU
2021-05-26,20.55,21.2,19.1,21.05,20.7,28.1,13.7,PROZONINTU
2021-05-25,20.75,21.3,19.9,20.15,20.15,28.1,13.7,PROZONINTU
2021-05-24,19.8,21.1,19.65,20.1,20.25,28.1,13.7,PROZONINTU
2021-05-21,20.0,20.0,19.2,19.4,19.4,28.1,13.7,PROZONINTU
2021-05-20,19.85,19.85,19.2,19.65,19.45,28.1,13.7,PROZONINTU
2021-05-19,19.65,19.9,19.15,19.25,19.35,28.1,13.7,PROZONINTU
2021-05-18,20.25,20.25,19.5,19.65,19.65,28.1,13.7,PROZONINTU
2021-05-17,20.7,20.85,18.1,19.6,19.7,28.1,13.7,PROZONINTU
2021-05-14,19.15,20.9,18.45,20.25,20.4,28.1,13.7,PROZONINTU
2021-05-12,19.55,19.55,18.35,18.65,18.7,28.1,13.7,PROZONINTU
2021-05-11,20.2,20.2,18.1,19.05,19.15,28.1,13.7,PROZONINTU
2021-05-10,17.5,20.25,17.5,20.25,20.25,28.1,13.7,PROZONINTU
2021-05-07,17.05,17.1,16.85,16.95,16.9,28.1,13.7,PROZONINTU
2021-05-06,17.45,17.45,16.7,16.95,16.8,28.1,13.7,PROZONINTU
2021-05-05,16.9,17.3,16.8,16.85,16.9,28.1,13.7,PROZONINTU
2021-05-04,17.45,17.5,15.45,16.8,16.75,28.1,13.7,PROZONINTU
2021-05-03,17.25,17.4,16.7,17.1,17.1,28.1,13.7,PROZONINTU
2021-04-30,16.85,17.3,16.85,17.25,17.2,28.1,13.7,PROZONINTU
2021-04-29,17.5,17.5,16.8,16.85,16.95,28.1,13.7,PROZONINTU
2021-04-28,17.25,17.55,17.1,17.4,17.35,28.1,13.7,PROZONINTU
2021-04-27,17.45,17.45,16.95,17.05,17.0,28.1,13.7,PROZONINTU
2021-04-26,17.25,17.5,16.8,17.4,17.25,28.1,13.7,PROZONINTU
2021-04-23,17.4,17.45,16.85,17.05,17.0,28.1,10.8,PROZONINTU
2021-04-22,16.65,17.2,16.55,17.1,17.15,28.1,10.8,PROZONINTU
2021-04-20,16.5,17.05,16.05,16.7,16.65,28.1,10.8,PROZONINTU
2021-04-19,16.25,16.6,15.55,16.4,16.35,28.1,10.8,PROZONINTU
2021-04-16,16.75,16.75,16.4,16.55,16.45,28.1,9.8,PROZONINTU
2021-04-15,16.75,17.2,16.4,16.5,16.55,28.1,9.8,PROZONINTU
2021-04-13,17.0,17.05,16.6,16.7,16.7,28.1,9.8,PROZONINTU
2021-04-12,17.45,17.45,16.5,16.5,16.6,28.1,9.8,PROZONINTU
2021-04-09,17.25,17.75,16.75,17.25,17.25,28.1,8.0,PROZONINTU
2021-04-08,17.35,19.1,14.15,17.3,16.75,28.1,8.0,PROZONINTU
2021-04-07,17.25,17.4,17.0,17.25,17.25,28.1,8.0,PROZONINTU
2021-04-06,17.0,17.4,16.75,17.4,17.15,28.1,8.0,PROZONINTU
2021-04-05,17.2,17.2,16.3,17.0,16.9,28.1,8.0,PROZONINTU
2021-04-01,16.85,17.25,16.65,17.25,17.1,28.1,7.55,PROZONINTU
2021-03-31,17.0,17.1,16.5,16.85,16.65,28.1,7.55,PROZONINTU
2021-03-30,17.3,17.5,16.8,17.0,16.9,28.1,7.55,PROZONINTU
2021-03-26,17.0,17.5,16.8,17.1,17.1,28.1,7.25,PROZONINTU
2021-03-25,17.7,17.7,16.8,16.95,16.85,28.1,7.25,PROZONINTU
2021-03-24,18.0,18.0,17.3,17.5,17.6,28.1,7.25,PROZONINTU
2021-03-23,18.15,18.25,17.95,18.0,18.0,28.1,7.25,PROZONINTU
2021-03-22,17.9,19.5,17.3,17.95,17.95,28.1,7.25,PROZONINTU
