DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2020-08-17,1.25,1.25,1.25,1.25,1.25,PSL
2020-08-14,1.3,1.3,1.3,1.3,1.3,PSL
2020-08-13,1.45,1.45,1.35,1.35,1.35,PSL
2020-08-12,1.4,1.4,1.4,1.4,1.4,PSL
2020-08-11,1.35,1.35,1.35,1.35,1.35,PSL
2020-08-10,1.3,1.3,1.3,1.3,1.3,PSL
2020-08-07,1.25,1.25,1.25,1.25,1.25,PSL
2020-08-06,1.2,1.2,1.2,1.2,1.2,PSL
2020-08-05,1.15,1.15,1.15,1.15,1.15,PSL
2020-08-04,1.1,1.1,1.1,1.1,1.1,PSL
2020-08-03,1.05,1.05,1.05,1.05,1.05,PSL
2020-07-31,1.0,1.0,1.0,1.0,1.0,PSL
2020-07-30,0.95,0.95,0.95,0.95,0.95,PSL
2020-07-29,0.9,0.9,0.9,0.9,0.9,PSL
2020-07-28,0.85,0.85,0.85,0.85,0.85,PSL
2020-07-27,0.8,0.8,0.8,0.8,0.8,PSL
2020-07-24,0.75,0.75,0.75,0.75,0.75,PSL
2020-07-23,0.7,0.7,0.7,0.7,0.7,PSL
2020-07-22,0.65,0.65,0.65,0.65,0.65,PSL
2020-07-21,0.55,0.6,0.55,0.6,0.6,PSL
