DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-08,974.0,978.5,949.8,971.05,988.9,384.0,RADICO
2021-10-07,961.45,988.9,954.95,968.8,988.9,384.0,RADICO
2021-10-06,907.0,959.0,907.0,948.4,965.0,384.0,RADICO
2021-10-05,909.7,939.7,899.25,905.0,965.0,384.0,RADICO
2021-10-04,902.5,915.0,898.15,910.45,965.0,384.0,RADICO
2021-10-01,879.9,902.4,864.05,896.6,965.0,384.0,RADICO
2021-09-30,893.65,907.0,876.0,881.0,965.0,384.0,RADICO
2021-09-29,903.5,903.5,882.5,885.75,965.0,384.0,RADICO
2021-09-28,905.0,913.9,897.65,905.3,965.0,384.0,RADICO
2021-09-27,896.0,911.0,893.25,900.65,965.0,384.0,RADICO
2021-09-24,904.25,911.5,885.1,893.25,965.0,384.0,RADICO
2021-09-23,900.0,917.9,894.85,900.45,965.0,384.0,RADICO
2021-09-22,895.0,919.75,884.2,888.3,965.0,384.0,RADICO
2021-09-21,923.1,929.0,882.25,887.3,965.0,384.0,RADICO
2021-09-20,917.0,965.0,903.65,931.05,965.0,384.0,RADICO
2021-09-17,915.0,958.0,906.55,924.85,958.0,384.0,RADICO
2021-09-16,903.4,918.85,898.2,907.2,945.0,384.0,RADICO
2021-09-15,901.6,905.0,895.0,902.85,945.0,384.0,RADICO
2021-09-14,900.75,925.0,890.1,895.05,945.0,384.0,RADICO
2021-09-13,908.95,908.95,895.0,897.6,945.0,384.0,RADICO
2021-09-09,886.7,914.05,886.7,909.15,945.0,376.4,RADICO
2021-09-08,897.7,909.6,886.0,893.15,945.0,376.4,RADICO
2021-09-07,906.0,927.8,890.25,896.45,945.0,376.4,RADICO
2021-09-06,895.0,912.5,894.7,903.65,945.0,376.4,RADICO
2021-09-03,900.0,911.8,889.1,894.7,945.0,376.4,RADICO
2021-09-02,888.0,923.9,888.0,897.95,945.0,376.4,RADICO
2021-09-01,878.0,886.6,859.75,880.55,945.0,376.4,RADICO
2021-08-31,882.0,892.0,871.1,874.15,945.0,376.4,RADICO
2021-08-30,870.0,891.85,867.45,882.7,945.0,376.4,RADICO
2021-08-27,885.0,885.0,860.0,865.4,945.0,376.4,RADICO
2021-08-26,872.4,908.9,871.25,885.1,945.0,376.4,RADICO
2021-08-25,869.8,888.0,868.25,879.3,945.0,376.4,RADICO
2021-08-24,851.15,882.7,833.0,868.6,945.0,376.4,RADICO
2021-08-23,891.0,898.0,848.0,857.9,945.0,376.4,RADICO
2021-08-20,890.0,901.1,880.0,884.35,945.0,376.4,RADICO
2021-08-18,922.4,925.5,890.0,904.2,945.0,376.4,RADICO
2021-08-17,900.0,932.7,897.0,919.9,945.0,376.4,RADICO
2021-08-16,916.5,923.5,900.35,903.65,945.0,376.4,RADICO
2021-08-13,939.4,944.0,915.0,920.55,945.0,375.5,RADICO
2021-08-12,905.0,945.0,905.0,935.25,945.0,375.5,RADICO
2021-08-11,855.1,903.0,851.0,892.05,917.9,375.5,RADICO
2021-08-10,850.8,860.0,840.0,849.95,917.9,375.5,RADICO
2021-08-09,871.7,878.95,850.0,854.9,917.9,375.5,RADICO
2021-08-06,891.5,893.8,870.0,874.8,917.9,360.5,RADICO
2021-08-05,885.0,894.9,872.85,889.05,917.9,360.5,RADICO
2021-08-04,894.45,898.35,868.0,885.0,917.9,360.5,RADICO
2021-08-03,894.4,897.95,882.2,886.7,917.9,360.5,RADICO
2021-08-02,910.1,913.5,885.0,893.6,917.9,360.5,RADICO
2021-07-30,878.15,917.9,865.3,903.1,917.9,360.5,RADICO
2021-07-29,835.55,893.05,835.55,880.45,893.05,360.5,RADICO
2021-07-28,832.7,857.85,820.0,831.35,878.75,360.5,RADICO
2021-07-27,846.0,857.95,820.1,826.45,878.75,360.5,RADICO
2021-07-26,862.0,878.75,841.1,846.2,878.75,360.5,RADICO
2021-07-23,847.0,874.8,842.4,861.7,874.8,360.5,RADICO
2021-07-22,818.5,855.85,815.85,843.4,855.85,360.5,RADICO
2021-07-20,834.85,835.0,802.1,811.55,846.85,360.5,RADICO
2021-07-19,790.0,846.85,781.7,828.0,846.85,360.5,RADICO
2021-07-16,761.6,799.4,761.6,790.75,825.0,360.5,RADICO
2021-07-15,772.6,773.9,751.15,757.8,825.0,360.5,RADICO
2021-07-14,765.5,780.0,756.15,773.8,825.0,360.5,RADICO
2021-07-13,782.8,787.7,766.05,771.35,825.0,360.5,RADICO
2021-07-12,781.0,788.45,771.4,780.7,825.0,360.5,RADICO
2021-07-09,764.4,785.0,754.05,778.2,825.0,360.5,RADICO
2021-07-08,755.8,764.95,752.0,760.8,825.0,360.5,RADICO
2021-07-07,743.1,760.0,740.1,752.0,825.0,360.5,RADICO
2021-07-06,759.0,767.0,736.5,743.1,825.0,360.5,RADICO
