DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,162.5,163.4,161.5,161.6,166.9,37.25,RAJMET
2021-11-11,163.65,164.0,162.0,162.05,166.9,37.25,RAJMET
2021-11-10,165.0,166.9,163.5,163.65,166.9,37.25,RAJMET
2021-11-09,158.5,164.5,158.5,164.0,164.5,37.25,RAJMET
2021-11-08,154.5,159.05,154.5,158.95,160.5,37.25,RAJMET
2021-11-04,155.4,156.5,154.9,156.2,160.5,37.25,RAJMET
2021-11-03,156.5,157.7,152.9,154.55,160.5,37.25,RAJMET
2021-11-02,156.8,157.4,156.2,156.6,160.5,37.25,RAJMET
2021-11-01,156.75,157.6,156.0,156.75,160.5,37.25,RAJMET
2021-10-29,153.0,156.45,153.0,156.0,160.5,37.25,RAJMET
2021-10-28,153.5,153.65,152.4,152.8,160.5,37.25,RAJMET
2021-10-27,154.05,154.25,153.0,153.5,160.5,37.25,RAJMET
2021-10-26,160.5,160.5,153.8,154.0,160.5,37.25,RAJMET
2021-10-25,147.7,154.35,146.4,153.6,154.35,37.25,RAJMET
2021-10-22,147.3,147.75,145.5,147.0,151.3,37.25,RAJMET
2021-10-21,150.0,150.0,146.0,147.4,151.3,37.25,RAJMET
2021-10-20,144.5,151.3,143.2,149.15,151.3,37.25,RAJMET
2021-10-19,144.85,144.85,142.6,144.1,147.4,37.25,RAJMET
2021-10-18,141.5,145.7,141.5,144.85,147.4,37.25,RAJMET
2021-10-14,144.0,144.45,142.1,142.3,147.4,37.25,RAJMET
2021-10-13,147.4,147.4,143.7,143.75,147.4,37.25,RAJMET
2021-10-12,142.5,144.7,141.0,144.4,145.0,37.25,RAJMET
2021-06-16,139.0,145.0,139.0,144.95,145.0,37.25,RAJMET
2021-06-15,136.0,138.9,135.0,138.6,138.9,37.25,RAJMET
2021-06-14,127.5,133.7,127.5,133.7,133.7,37.25,RAJMET
2021-06-11,125.1,128.0,123.35,127.7,128.0,37.25,RAJMET
2021-06-10,120.5,123.0,119.5,123.0,123.0,37.25,RAJMET
2021-06-09,112.0,118.4,112.0,118.4,118.4,37.25,RAJMET
2021-06-08,110.0,114.4,110.0,113.2,114.4,37.25,RAJMET
2021-06-07,109.0,109.75,106.65,109.75,109.75,37.25,RAJMET
2021-06-04,102.5,106.0,102.5,105.7,106.0,37.25,RAJMET
2021-06-03,96.9,102.9,96.7,102.8,102.9,37.25,RAJMET
2021-06-02,97.05,98.8,97.05,98.35,101.5,37.25,RAJMET
2021-06-01,100.0,100.0,97.0,97.4,101.5,37.25,RAJMET
2021-05-31,97.5,98.25,97.4,98.0,101.5,37.25,RAJMET
2021-05-28,96.6,97.4,96.6,97.35,101.5,37.25,RAJMET
2021-05-27,97.95,97.95,96.45,97.1,101.5,37.25,RAJMET
2021-05-26,98.0,98.5,97.6,97.65,101.5,37.25,RAJMET
2021-05-25,98.45,98.5,97.4,97.75,101.5,37.25,RAJMET
2021-05-24,98.05,99.15,97.3,97.8,101.5,37.25,RAJMET
2021-05-21,96.65,98.35,96.65,98.05,101.5,37.25,RAJMET
2021-05-20,97.4,97.5,96.65,97.0,101.5,37.25,RAJMET
2021-05-19,97.0,98.0,96.75,97.8,101.5,37.25,RAJMET
2021-05-18,97.0,97.0,96.2,96.75,101.5,37.25,RAJMET
2021-05-17,96.4,97.0,96.1,96.45,101.5,37.25,RAJMET
2021-05-14,97.2,97.75,96.15,96.45,101.5,37.25,RAJMET
2021-05-12,95.45,95.9,94.65,95.9,101.5,37.25,RAJMET
2021-05-11,93.1,96.7,93.1,94.65,101.5,37.25,RAJMET
2021-05-10,93.0,95.0,93.0,94.95,101.5,37.25,RAJMET
2021-05-07,93.0,93.0,91.0,92.75,101.5,37.25,RAJMET
2021-05-06,93.0,93.0,91.95,92.7,101.5,37.25,RAJMET
2021-05-05,92.8,92.8,92.0,92.25,101.5,37.25,RAJMET
2021-05-04,92.0,92.8,91.1,92.35,101.5,37.25,RAJMET
2021-05-03,92.0,92.0,90.7,91.35,101.5,37.25,RAJMET
2021-04-30,92.3,92.45,90.25,90.5,101.5,37.25,RAJMET
2021-04-29,89.0,91.9,89.0,90.8,101.5,37.25,RAJMET
2021-04-28,89.0,91.0,89.0,90.2,101.5,37.25,RAJMET
2021-04-27,89.0,90.0,88.5,89.25,101.5,37.25,RAJMET
2021-03-10,86.55,94.0,86.55,89.65,101.5,37.25,RAJMET
2021-03-09,91.1,96.9,91.1,91.1,101.5,37.25,RAJMET
2021-03-08,101.5,101.5,93.0,95.85,101.5,37.25,RAJMET
2021-03-05,99.7,100.0,92.1,96.8,100.0,37.25,RAJMET
2021-03-04,95.3,95.3,90.5,95.25,95.3,37.25,RAJMET
2021-03-03,90.8,90.8,90.8,90.8,90.8,37.25,RAJMET
2021-03-02,86.5,86.5,86.5,86.5,86.5,37.25,RAJMET
2021-02-26,82.4,82.4,82.4,82.4,82.4,37.25,RAJMET
2021-02-25,78.5,78.5,78.5,78.5,78.5,37.25,RAJMET
2021-02-24,74.8,74.8,74.8,74.8,74.8,37.25,RAJMET
2021-02-23,71.25,71.25,71.25,71.25,71.25,37.25,RAJMET
2021-02-22,64.8,64.8,64.8,64.8,64.8,37.25,RAJMET
2021-02-19,58.95,58.95,58.95,58.95,58.95,37.25,RAJMET
2021-02-18,53.6,53.6,53.6,53.6,53.6,37.25,RAJMET
2021-02-17,44.7,44.7,44.7,44.7,44.7,37.25,RAJMET
2021-02-16,37.25,37.25,37.25,37.25,37.25,37.25,RAJMET
