DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,263.65,268.5,258.05,265.35,362.6,232.35,RALLIS
2021-10-28,266.5,266.5,260.5,261.75,362.6,232.35,RALLIS
2021-10-27,264.5,270.5,264.05,265.4,362.6,232.35,RALLIS
2021-10-26,263.8,266.4,260.2,262.0,362.6,232.35,RALLIS
2021-10-25,277.0,278.0,261.5,262.45,362.6,232.35,RALLIS
2021-10-22,279.35,281.0,274.75,275.55,362.6,232.35,RALLIS
2021-10-21,282.5,289.0,275.65,276.65,362.6,232.35,RALLIS
2021-10-20,287.0,295.0,279.9,282.45,362.6,232.35,RALLIS
2021-10-19,321.5,324.75,286.0,304.1,362.6,232.35,RALLIS
2021-10-18,315.8,323.5,310.5,319.15,362.6,232.35,RALLIS
2021-10-14,317.75,319.8,311.5,313.75,362.6,232.35,RALLIS
2021-10-13,306.75,324.25,305.2,314.75,362.6,232.35,RALLIS
2021-10-12,307.8,307.8,301.5,304.95,362.6,232.35,RALLIS
2021-10-11,310.85,314.25,305.0,307.7,362.6,232.35,RALLIS
2021-10-08,298.0,311.65,295.1,309.3,362.6,232.35,RALLIS
2021-10-07,293.0,297.8,290.0,292.85,362.6,232.35,RALLIS
2021-10-06,296.0,298.75,288.2,291.95,362.6,232.35,RALLIS
2021-10-05,284.95,293.0,284.6,290.15,362.6,232.35,RALLIS
2021-10-04,285.9,286.75,283.0,285.3,362.6,232.35,RALLIS
2021-10-01,285.0,286.75,284.0,284.8,362.6,232.35,RALLIS
2021-09-30,286.95,293.75,284.6,285.9,362.6,232.35,RALLIS
2021-09-29,283.65,288.8,283.1,285.35,362.6,232.35,RALLIS
2021-09-28,286.1,289.25,281.0,283.65,362.6,232.35,RALLIS
2021-09-27,287.2,292.0,283.85,285.65,362.6,232.35,RALLIS
2021-09-24,288.0,296.8,285.75,286.8,362.6,232.35,RALLIS
2021-09-23,291.95,293.3,286.1,287.2,362.6,232.35,RALLIS
2021-09-22,288.0,293.85,288.0,290.95,362.6,232.35,RALLIS
2021-09-21,285.0,289.0,281.35,287.15,362.6,232.35,RALLIS
2021-09-20,290.0,293.35,285.3,286.85,362.6,232.35,RALLIS
2021-09-17,295.3,297.4,285.55,291.65,362.6,232.35,RALLIS
2021-09-16,299.0,301.2,292.2,292.9,362.6,232.35,RALLIS
2021-09-15,294.0,302.0,293.1,298.5,362.6,232.35,RALLIS
2021-09-14,292.35,299.55,291.15,293.05,362.6,232.35,RALLIS
2021-09-13,290.0,294.65,288.4,292.35,362.6,232.35,RALLIS
2021-09-09,291.0,296.0,288.3,291.7,362.6,232.35,RALLIS
2021-09-08,295.0,296.55,289.6,290.9,362.6,232.35,RALLIS
2021-09-07,281.0,294.0,277.0,292.35,362.6,232.35,RALLIS
2021-09-06,280.1,283.75,279.4,280.5,362.6,232.35,RALLIS
2021-09-03,280.05,282.0,278.2,279.2,362.6,232.35,RALLIS
2021-09-02,278.9,283.5,277.95,279.3,362.6,232.35,RALLIS
2021-09-01,281.9,281.9,277.25,277.8,362.6,232.35,RALLIS
2021-08-31,280.6,284.3,278.05,281.9,362.6,232.35,RALLIS
2021-08-30,280.2,283.0,277.0,279.1,362.6,232.35,RALLIS
2021-08-27,288.0,288.5,278.55,279.4,362.6,232.35,RALLIS
2021-08-26,276.45,288.3,276.45,286.05,362.6,232.35,RALLIS
2021-08-25,273.5,278.0,273.0,276.0,362.6,232.35,RALLIS
2021-08-24,274.5,277.95,272.05,272.9,362.6,232.35,RALLIS
2021-08-23,281.7,284.0,270.15,274.4,362.6,232.35,RALLIS
2021-08-20,286.0,286.0,278.0,279.4,362.6,232.35,RALLIS
2021-08-18,288.65,295.4,285.1,285.8,362.6,232.35,RALLIS
2021-08-17,286.9,292.0,282.2,288.65,362.6,232.35,RALLIS
2021-08-16,293.8,295.2,283.55,287.05,362.6,232.35,RALLIS
2021-08-13,297.0,303.6,291.5,293.7,362.6,232.35,RALLIS
2021-08-12,300.9,306.35,296.0,296.7,362.6,232.35,RALLIS
2021-08-11,300.45,301.95,286.35,299.65,362.6,232.35,RALLIS
2021-08-10,311.85,313.95,295.0,300.45,362.6,232.35,RALLIS
2021-08-09,313.8,316.15,310.0,313.15,362.6,232.35,RALLIS
2021-08-06,310.0,319.25,309.55,311.6,362.6,232.35,RALLIS
2021-08-05,315.7,316.55,311.0,312.65,362.6,232.35,RALLIS
2021-08-04,319.0,323.75,310.8,312.1,362.6,232.35,RALLIS
2021-08-03,324.75,326.05,317.3,318.35,362.6,232.35,RALLIS
2021-08-02,327.25,331.65,323.1,324.65,362.6,232.35,RALLIS
2021-07-30,319.0,331.95,317.55,324.35,362.6,232.35,RALLIS
2021-07-29,316.5,322.0,316.5,318.1,362.6,232.35,RALLIS
2021-07-28,314.9,319.0,307.45,316.5,362.6,232.35,RALLIS
2021-07-27,319.3,328.5,313.1,314.2,362.6,232.35,RALLIS
2021-07-26,318.15,322.75,317.0,317.7,362.6,232.35,RALLIS
2021-07-23,326.6,328.8,316.0,318.2,362.6,232.35,RALLIS
2021-07-22,337.0,337.0,324.65,326.25,362.6,232.35,RALLIS
2021-07-20,335.25,335.9,322.8,327.1,362.6,232.35,RALLIS
2021-07-19,338.0,338.0,331.6,333.55,362.6,232.35,RALLIS
2021-07-16,338.35,341.85,333.25,338.75,362.6,232.35,RALLIS
2021-07-15,320.0,338.7,319.3,335.3,362.6,232.35,RALLIS
2021-07-14,315.0,325.2,313.0,319.25,362.6,232.35,RALLIS
2021-07-13,319.25,320.25,314.0,314.7,362.6,232.35,RALLIS
2021-07-12,315.0,323.4,315.0,318.05,362.6,232.35,RALLIS
2021-07-09,322.8,323.2,313.5,315.0,362.6,232.35,RALLIS
2021-07-08,322.0,323.55,320.2,321.7,362.6,232.35,RALLIS
2021-07-07,324.75,324.75,319.5,321.2,362.6,232.35,RALLIS
2021-07-06,325.0,328.0,321.4,323.1,362.6,232.35,RALLIS
2021-07-05,324.75,325.1,321.6,323.95,362.6,232.35,RALLIS
2021-07-02,325.0,325.75,320.9,323.3,362.6,232.35,RALLIS
2021-07-01,325.8,330.5,321.2,323.65,362.6,232.35,RALLIS
2021-06-30,325.0,328.4,324.15,324.9,362.6,232.35,RALLIS
2021-06-29,328.5,328.75,323.0,325.25,362.6,232.35,RALLIS
2021-06-28,326.1,330.4,326.1,327.8,362.6,232.35,RALLIS
2021-06-25,330.5,339.8,322.2,324.1,362.6,232.35,RALLIS
2021-06-24,335.95,337.3,327.0,328.0,362.6,232.35,RALLIS
2021-06-23,342.35,342.75,332.6,334.65,362.6,232.35,RALLIS
2021-06-22,340.1,347.7,335.25,339.55,362.6,232.35,RALLIS
2021-06-21,338.45,346.95,335.0,340.85,362.6,232.35,RALLIS
2021-06-18,358.4,362.6,335.2,344.65,362.6,232.35,RALLIS
2021-06-17,337.5,358.1,334.05,353.65,358.1,232.35,RALLIS
2021-06-16,341.85,343.45,336.7,340.1,352.6,232.35,RALLIS
2021-06-15,339.1,344.8,336.35,340.75,352.6,232.35,RALLIS
2021-06-14,345.9,345.9,328.0,338.55,352.6,232.35,RALLIS
2021-06-11,350.0,351.3,342.1,343.9,352.6,228.5,RALLIS
2021-06-10,342.8,351.7,341.6,345.25,352.6,228.5,RALLIS
2021-06-09,329.65,352.6,328.2,339.3,352.6,228.5,RALLIS
2021-06-08,328.05,336.85,321.55,329.75,339.8,228.5,RALLIS
2021-06-07,321.0,331.7,318.8,324.45,339.8,228.5,RALLIS
2021-06-04,318.8,324.8,316.1,317.85,339.8,214.5,RALLIS
2021-06-03,312.5,320.7,310.0,318.9,339.8,214.5,RALLIS
2021-06-02,307.9,312.8,307.75,311.0,339.8,214.5,RALLIS
2021-06-01,315.35,317.25,306.25,310.6,339.8,214.5,RALLIS
2021-05-31,312.65,320.35,307.0,313.25,339.8,214.5,RALLIS
2021-05-28,309.45,314.8,305.5,311.15,339.8,206.0,RALLIS
2021-05-27,307.0,311.0,303.5,309.05,339.8,206.0,RALLIS
2021-05-26,304.7,312.0,303.8,307.0,339.8,206.0,RALLIS
2021-05-25,310.5,314.9,299.6,302.9,339.8,206.0,RALLIS
2021-05-24,314.15,315.8,308.0,309.2,339.8,206.0,RALLIS
2021-05-21,318.8,319.2,312.25,313.55,339.8,195.2,RALLIS
2021-05-20,316.35,324.0,313.6,315.55,339.8,195.2,RALLIS
2021-05-19,317.15,317.15,311.6,313.55,339.8,195.2,RALLIS
2021-05-18,310.95,319.0,310.95,315.0,339.8,195.2,RALLIS
2021-05-17,312.8,320.8,305.55,309.95,339.8,195.2,RALLIS
2021-05-14,321.4,324.9,300.0,310.4,339.8,195.2,RALLIS
2021-05-12,319.9,334.0,315.05,318.65,339.8,195.2,RALLIS
2021-05-11,300.0,322.4,296.25,313.1,339.8,195.2,RALLIS
2021-05-10,294.0,306.65,293.15,301.8,339.8,195.2,RALLIS
2021-05-07,291.95,298.0,288.35,290.15,339.8,195.2,RALLIS
2021-05-06,296.6,297.8,286.5,289.55,339.8,195.2,RALLIS
2021-05-05,290.3,300.0,288.65,294.15,339.8,195.2,RALLIS
2021-05-04,298.0,303.0,286.0,288.75,339.8,195.2,RALLIS
2021-05-03,281.8,300.0,279.7,296.6,339.8,195.2,RALLIS
2021-04-30,284.0,284.95,278.5,280.85,339.8,195.2,RALLIS
2021-04-29,288.8,290.0,279.8,285.0,339.8,195.2,RALLIS
2021-04-28,285.6,290.95,283.7,285.05,339.8,195.2,RALLIS
2021-04-27,283.0,286.25,277.4,284.8,339.8,195.2,RALLIS
2021-04-26,277.0,289.4,274.05,280.6,339.8,195.2,RALLIS
2021-04-23,283.45,291.0,267.05,274.95,339.8,192.6,RALLIS
2021-04-22,271.0,283.5,271.0,281.6,339.8,192.6,RALLIS
2021-04-20,269.5,273.4,268.15,270.6,339.8,192.6,RALLIS
2021-04-19,270.0,271.45,261.0,269.05,339.8,192.6,RALLIS
2021-04-16,259.15,270.5,259.15,269.1,339.8,192.6,RALLIS
2021-04-15,260.0,265.8,257.25,259.0,339.8,192.6,RALLIS
2021-04-13,257.3,264.4,257.2,262.35,339.8,192.6,RALLIS
2021-04-12,266.6,266.6,251.9,256.6,339.8,192.6,RALLIS
2021-04-09,266.8,278.5,266.05,269.15,339.8,171.35,RALLIS
2021-04-08,273.0,274.65,265.3,266.55,339.8,171.35,RALLIS
2021-04-07,259.0,272.5,259.0,270.7,339.8,171.35,RALLIS
2021-04-06,257.2,261.8,254.7,257.85,339.8,171.35,RALLIS
2021-04-05,259.7,259.95,252.2,257.05,339.8,171.35,RALLIS
2021-04-01,256.1,261.0,254.25,259.8,339.8,158.0,RALLIS
2021-03-31,263.0,263.55,252.2,252.8,339.8,158.0,RALLIS
2021-03-30,267.9,267.9,260.25,261.25,339.8,158.0,RALLIS
2021-03-26,265.15,267.5,261.95,263.75,339.8,125.0,RALLIS
2021-03-25,266.3,266.75,260.3,265.0,339.8,125.0,RALLIS
2021-03-24,263.8,270.45,260.0,266.3,339.8,125.0,RALLIS
2021-03-23,260.8,266.7,260.2,264.8,339.8,125.0,RALLIS
2021-03-22,255.0,261.0,254.0,259.65,339.8,125.0,RALLIS
2021-03-19,251.2,256.0,243.85,253.35,339.8,125.0,RALLIS
2021-03-18,259.2,263.6,250.55,253.45,339.8,125.0,RALLIS
2021-03-17,266.85,269.5,256.25,258.3,339.8,125.0,RALLIS
2021-03-16,270.0,270.45,263.3,266.4,339.8,125.0,RALLIS
2021-03-15,266.5,271.8,258.8,269.7,339.8,125.0,RALLIS
2021-03-12,270.0,272.8,263.25,265.8,339.8,125.0,RALLIS
2021-03-10,269.35,270.9,266.25,268.7,339.8,125.0,RALLIS
2021-03-09,274.9,276.6,267.2,268.55,339.8,125.0,RALLIS
2021-03-08,273.45,281.8,270.9,272.25,339.8,125.0,RALLIS
2021-03-05,277.6,281.1,268.15,270.65,339.8,125.0,RALLIS
2021-03-04,280.0,286.7,275.15,277.6,339.8,125.0,RALLIS
2021-03-03,259.5,282.0,258.85,279.65,339.8,125.0,RALLIS
2021-03-02,257.45,261.8,257.4,258.0,339.8,125.0,RALLIS
