DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,215.35,217.25,214.15,214.7,214.85,RBLBANK
2021-07-15,216.0,218.2,211.8,215.05,214.95,RBLBANK
2021-07-14,219.45,221.5,218.05,218.35,218.75,RBLBANK
2021-07-13,221.25,221.85,217.0,219.1,219.4,RBLBANK
2021-07-12,220.9,222.4,218.0,219.8,220.0,RBLBANK
2021-07-09,215.95,220.75,212.35,218.7,218.95,RBLBANK
2021-07-08,223.75,226.4,215.1,215.85,215.75,RBLBANK
2021-07-07,214.9,224.65,211.65,223.3,223.4,RBLBANK
2021-07-06,213.85,214.8,212.05,213.1,213.35,RBLBANK
2021-07-05,211.5,214.15,211.15,213.75,213.85,RBLBANK
2021-07-02,210.95,212.85,209.5,211.05,210.9,RBLBANK
2021-07-01,211.6,211.85,209.25,210.3,209.85,RBLBANK
2021-06-30,212.0,213.85,210.0,210.5,210.5,RBLBANK
2021-06-29,215.5,216.1,210.7,211.9,211.85,RBLBANK
2021-06-28,213.2,218.0,211.65,215.5,214.7,RBLBANK
2021-06-25,209.0,213.8,208.1,212.0,212.25,RBLBANK
2021-06-24,209.3,209.8,206.7,207.75,207.45,RBLBANK
2021-06-23,211.75,211.8,208.0,208.0,208.35,RBLBANK
2021-06-22,214.0,214.75,209.4,209.95,210.1,RBLBANK
2021-06-21,202.0,212.9,201.1,211.9,212.0,RBLBANK
2021-06-18,211.1,211.35,201.3,207.3,206.75,RBLBANK
2021-06-17,214.0,216.0,209.0,209.2,209.7,RBLBANK
2021-06-16,219.8,220.0,215.1,215.65,215.8,RBLBANK
2021-06-15,218.1,223.35,217.65,219.5,219.55,RBLBANK
2021-06-14,218.25,218.35,213.0,216.5,216.6,RBLBANK
2021-06-11,219.7,222.0,216.8,218.3,218.25,RBLBANK
2021-06-10,215.45,219.45,214.05,218.6,218.35,RBLBANK
2021-06-09,216.5,220.25,212.0,213.65,213.75,RBLBANK
2021-06-08,218.0,218.9,213.05,216.6,216.45,RBLBANK
2021-06-07,216.0,220.4,215.1,216.8,216.7,RBLBANK
2021-06-04,218.65,220.35,211.25,215.0,214.75,RBLBANK
2021-06-03,223.7,223.7,217.5,218.65,218.85,RBLBANK
2021-06-02,211.0,222.5,210.0,221.85,221.15,RBLBANK
2021-06-01,215.1,216.3,210.05,211.5,211.3,RBLBANK
2021-05-31,216.2,216.4,212.8,213.8,214.2,RBLBANK
2021-05-28,212.1,217.3,211.3,216.15,216.25,RBLBANK
2021-05-27,209.55,212.0,206.35,211.3,211.05,RBLBANK
2021-05-26,206.5,209.5,203.5,207.75,207.85,RBLBANK
2021-05-25,211.5,211.75,205.05,206.7,206.1,RBLBANK
2021-05-24,210.0,212.0,205.85,209.6,210.0,RBLBANK
2021-05-21,207.0,209.0,205.15,207.8,207.7,RBLBANK
2021-05-20,201.0,207.85,200.35,204.95,204.25,RBLBANK
2021-05-19,199.0,201.9,196.05,199.8,199.95,RBLBANK
2021-05-18,201.0,202.95,198.3,199.0,199.2,RBLBANK
2021-05-17,190.4,198.0,188.05,197.15,197.0,RBLBANK
2021-05-14,190.0,191.6,186.3,187.95,187.7,RBLBANK
2021-05-12,186.0,190.2,185.2,187.8,187.85,RBLBANK
2021-05-11,184.95,187.8,183.5,185.95,186.2,RBLBANK
2021-05-10,188.9,192.0,186.45,187.5,187.55,RBLBANK
2021-05-07,185.1,188.5,184.55,185.3,186.3,RBLBANK
2021-05-06,184.5,186.0,181.35,185.2,185.0,RBLBANK
2021-05-05,180.25,186.9,180.25,184.1,184.2,RBLBANK
2021-05-04,184.0,188.5,180.0,182.9,181.75,RBLBANK
2021-05-03,183.6,186.2,177.75,181.8,181.2,RBLBANK
2021-04-30,187.0,191.45,184.7,185.1,185.75,RBLBANK
2021-04-29,195.95,196.55,188.5,190.65,190.3,RBLBANK
2021-04-28,187.55,194.8,186.7,192.6,193.65,RBLBANK
2021-04-27,184.15,187.0,182.8,186.5,186.55,RBLBANK
2021-04-26,181.8,185.2,179.7,184.5,184.2,RBLBANK
2021-04-23,175.75,182.5,173.75,177.55,178.2,RBLBANK
2021-04-22,170.0,177.25,169.65,176.3,176.35,RBLBANK
2021-04-20,179.0,179.95,172.6,174.0,174.55,RBLBANK
2021-04-19,180.0,181.0,173.3,175.3,175.6,RBLBANK
2021-04-16,190.5,192.0,187.0,187.2,187.75,RBLBANK
2021-04-15,192.3,197.5,184.2,189.5,189.7,RBLBANK
2021-04-13,191.4,195.3,186.65,193.3,193.65,RBLBANK
2021-04-12,205.0,205.8,183.0,189.35,188.65,RBLBANK
2021-04-09,212.0,215.6,209.0,211.0,211.05,RBLBANK
2021-04-08,217.75,218.7,212.4,213.05,213.25,RBLBANK
2021-04-07,212.0,217.9,210.0,215.35,216.2,RBLBANK
2021-04-06,210.0,213.4,206.65,212.35,212.1,RBLBANK
2021-04-05,214.95,215.0,203.0,206.65,206.25,RBLBANK
2021-04-01,210.9,217.0,208.35,216.2,216.2,RBLBANK
2021-03-31,208.7,210.35,203.75,207.35,207.55,RBLBANK
2021-03-30,213.0,214.4,206.95,208.8,208.05,RBLBANK
2021-03-26,213.9,215.4,210.15,211.0,211.1,RBLBANK
2021-03-25,217.0,217.0,203.75,210.75,210.05,RBLBANK
2021-03-24,224.85,225.45,215.0,216.3,215.9,RBLBANK
2021-03-23,226.0,231.0,224.1,226.5,226.8,RBLBANK
2021-03-22,228.1,230.6,223.1,225.25,225.25,RBLBANK
2021-03-19,220.25,229.5,214.4,228.45,228.55,RBLBANK
2021-03-18,227.3,229.5,217.25,223.0,222.95,RBLBANK
2021-03-17,235.0,236.3,222.0,222.2,223.4,RBLBANK
2021-03-16,239.9,240.25,233.55,234.8,235.1,RBLBANK
2021-03-15,243.55,244.0,230.8,238.3,238.25,RBLBANK
2021-03-12,245.0,249.25,241.6,243.0,243.1,RBLBANK
2021-03-10,248.65,249.05,239.5,241.75,241.9,RBLBANK
2021-03-09,246.7,253.7,242.05,245.0,245.45,RBLBANK
2021-03-08,244.75,249.5,243.1,243.8,244.3,RBLBANK
2021-03-05,248.0,248.0,238.3,242.55,242.35,RBLBANK
2021-03-04,243.8,254.15,241.05,249.5,249.35,RBLBANK
2021-03-03,238.9,251.0,238.0,248.6,248.95,RBLBANK
2021-03-02,237.0,241.0,233.8,237.1,236.75,RBLBANK
2021-03-01,239.0,239.7,232.05,236.3,236.05,RBLBANK
2021-02-26,238.4,241.85,234.2,235.45,235.6,RBLBANK
2021-02-25,250.25,256.8,247.1,249.5,248.95,RBLBANK
2021-02-24,237.0,249.0,230.05,246.5,246.55,RBLBANK
2021-02-23,238.6,239.35,231.3,236.5,236.05,RBLBANK
2021-02-22,246.9,248.05,233.8,235.6,236.5,RBLBANK
2021-02-19,250.0,259.9,243.25,247.2,246.25,RBLBANK
2021-02-18,254.0,256.9,249.0,250.1,250.15,RBLBANK
2021-02-17,257.6,258.35,251.2,251.75,253.15,RBLBANK
2021-02-16,255.7,262.0,249.45,257.6,258.5,RBLBANK
2021-02-15,244.0,256.45,243.3,254.75,254.0,RBLBANK
2021-02-12,244.2,247.4,240.1,241.05,241.45,RBLBANK
2021-02-11,243.05,246.25,241.1,244.25,243.8,RBLBANK
2021-02-10,246.35,248.8,239.3,243.3,243.05,RBLBANK
2021-02-09,248.5,250.85,243.25,245.85,246.35,RBLBANK
2021-02-08,254.0,257.95,246.0,247.6,247.4,RBLBANK
2021-02-05,259.0,268.8,248.8,250.5,251.1,RBLBANK
2021-02-04,253.95,258.95,251.0,257.15,257.3,RBLBANK
2021-02-03,243.9,262.4,239.0,255.8,256.55,RBLBANK
2021-02-02,242.1,249.35,238.0,242.0,242.4,RBLBANK
2021-02-01,215.95,244.85,212.3,238.1,236.85,RBLBANK
2021-01-29,219.95,231.25,212.5,214.45,213.8,RBLBANK
2021-01-28,213.6,220.5,209.2,215.5,215.05,RBLBANK
2021-01-27,224.0,227.1,217.35,218.5,218.65,RBLBANK
2021-01-25,236.85,240.0,218.1,222.9,222.75,RBLBANK
2021-01-22,250.0,250.65,228.75,236.9,232.8,RBLBANK
2021-01-21,254.25,265.6,248.25,251.7,250.55,RBLBANK
2021-01-20,256.4,257.85,252.0,253.6,253.75,RBLBANK
2021-01-19,248.1,255.05,245.5,254.5,254.25,RBLBANK
2021-01-18,251.75,253.0,242.8,243.0,244.4,RBLBANK
2021-01-15,254.0,259.75,251.55,253.25,253.9,RBLBANK
2021-01-14,256.3,258.95,253.05,254.2,254.2,RBLBANK
2021-01-13,258.35,263.6,247.2,254.0,254.4,RBLBANK
2021-01-12,253.0,263.1,249.7,256.9,257.5,RBLBANK
2021-01-11,266.75,267.0,254.9,256.0,255.95,RBLBANK
2021-01-08,272.05,274.3,263.85,265.4,265.05,RBLBANK
2021-01-07,266.85,273.0,263.1,269.3,269.3,RBLBANK
2021-01-06,252.95,270.55,252.05,262.65,264.2,RBLBANK
2021-01-05,237.95,252.0,236.6,250.5,250.85,RBLBANK
2021-01-04,233.3,240.9,231.6,239.0,239.6,RBLBANK
2021-01-01,231.1,233.15,230.5,231.1,231.05,RBLBANK
2020-12-31,231.0,233.1,229.5,230.7,231.05,RBLBANK
2020-12-30,232.9,234.0,228.1,232.0,232.5,RBLBANK
2020-12-29,231.0,237.4,228.15,232.5,232.8,RBLBANK
2020-12-28,223.0,230.0,221.85,229.5,229.1,RBLBANK
2020-12-24,223.0,225.75,218.7,220.4,220.35,RBLBANK
2020-12-23,209.0,223.35,207.2,221.95,221.2,RBLBANK
2020-12-22,208.2,211.0,197.75,208.6,208.45,RBLBANK
2020-12-21,226.05,228.0,202.0,204.0,206.55,RBLBANK
2020-12-18,236.7,236.95,225.8,227.25,227.65,RBLBANK
2020-12-17,241.0,242.75,234.6,236.0,236.8,RBLBANK
2020-12-16,238.2,244.0,237.75,241.55,241.8,RBLBANK
2020-12-15,235.0,238.0,228.2,237.6,237.1,RBLBANK
2020-12-14,238.4,239.2,234.2,234.7,234.85,RBLBANK
2020-12-11,236.0,242.5,233.6,235.5,235.55,RBLBANK
2020-12-10,237.0,242.8,231.5,235.0,234.7,RBLBANK
2020-12-09,239.35,240.3,235.5,238.5,236.8,RBLBANK
2020-12-08,244.85,245.2,233.55,236.65,237.3,RBLBANK
2020-12-07,236.65,244.9,230.2,243.05,242.95,RBLBANK
2020-12-04,232.9,239.5,230.55,237.5,237.2,RBLBANK
2020-12-03,227.4,234.75,226.5,231.95,231.8,RBLBANK
2020-12-02,227.7,230.5,221.3,225.35,225.75,RBLBANK
2020-12-01,225.45,227.8,220.1,225.0,225.7,RBLBANK
2020-11-27,224.0,227.0,222.4,223.5,223.8,RBLBANK
2020-11-26,228.55,229.8,219.75,222.7,222.4,RBLBANK
2020-11-25,229.0,236.0,222.65,226.2,226.6,RBLBANK
2020-11-24,216.4,230.0,215.6,225.45,226.4,RBLBANK
2020-11-23,215.0,218.0,211.45,213.4,212.65,RBLBANK
2020-11-20,213.8,215.45,207.1,211.4,211.6,RBLBANK
2020-11-19,217.0,219.2,210.2,212.0,212.0,RBLBANK
2020-11-18,211.95,223.0,210.6,220.2,221.25,RBLBANK
2020-11-17,208.3,213.4,206.25,212.65,212.3,RBLBANK
2020-11-14,207.4,209.55,205.55,205.85,207.25,RBLBANK
2020-11-13,198.7,207.6,196.85,207.25,205.6,RBLBANK
2020-11-12,205.0,207.7,201.5,202.15,202.5,RBLBANK
2020-11-11,211.0,213.7,200.75,205.35,205.65,RBLBANK
2020-11-10,199.3,213.85,198.5,208.65,209.5,RBLBANK
