DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,76.6,77.4,75.5,76.65,100.15,42.1,RCF
2021-10-28,78.15,78.2,76.5,76.8,100.15,42.1,RCF
2021-10-27,78.75,79.65,77.8,78.1,100.15,42.1,RCF
2021-10-26,78.2,80.2,78.15,78.55,100.15,42.1,RCF
2021-10-25,80.85,80.85,77.1,78.0,100.15,42.1,RCF
2021-10-22,82.95,82.95,80.0,80.25,100.15,42.1,RCF
2021-10-21,80.5,83.1,80.05,82.55,100.15,42.1,RCF
2021-10-20,81.95,82.45,80.05,80.5,100.15,42.1,RCF
2021-10-19,83.95,85.7,82.45,82.8,100.15,42.1,RCF
2021-10-18,83.8,84.25,83.05,83.45,100.15,42.1,RCF
2021-10-14,83.4,84.8,82.7,82.9,100.15,42.1,RCF
2021-10-13,83.9,84.5,82.6,83.05,100.15,42.1,RCF
2021-10-12,82.5,86.2,81.3,82.9,100.15,42.1,RCF
2021-10-11,83.85,84.0,82.05,82.3,100.15,42.1,RCF
2021-10-08,83.4,86.55,80.5,84.3,100.15,42.1,RCF
2021-10-07,83.2,83.9,82.4,82.65,100.15,42.1,RCF
2021-10-06,83.85,84.5,81.9,82.35,100.15,42.1,RCF
2021-10-05,82.8,84.75,82.45,83.6,100.15,42.1,RCF
2021-10-04,81.4,84.7,81.1,82.6,100.15,42.1,RCF
2021-10-01,82.1,82.45,79.9,80.7,100.15,42.1,RCF
2021-09-30,84.05,84.4,82.3,82.7,100.15,42.1,RCF
2021-09-29,83.8,85.95,83.05,83.6,100.15,42.1,RCF
2021-09-28,86.25,87.8,83.25,84.3,100.15,42.1,RCF
2021-09-27,82.55,88.9,80.15,85.6,100.15,42.1,RCF
2021-09-24,74.45,87.0,74.1,82.5,100.15,41.65,RCF
2021-09-23,74.75,75.2,73.8,74.15,100.15,41.65,RCF
2021-09-22,74.2,75.3,73.75,74.1,100.15,41.65,RCF
2021-09-21,73.0,74.35,72.5,73.65,100.15,41.65,RCF
2021-09-20,72.2,75.6,72.2,73.15,100.15,41.65,RCF
2021-09-17,75.85,76.15,72.8,74.05,100.15,41.65,RCF
2021-09-16,75.4,77.2,75.4,75.6,100.15,41.65,RCF
2021-09-15,75.0,75.9,74.75,75.35,100.15,41.65,RCF
2021-09-14,73.9,75.1,73.55,74.6,100.15,41.65,RCF
2021-09-13,73.85,74.5,73.0,73.7,100.15,41.65,RCF
2021-09-09,74.45,75.1,73.9,74.1,100.15,41.65,RCF
2021-09-08,73.8,74.35,73.1,73.6,100.15,41.65,RCF
2021-09-07,75.0,75.2,73.55,73.75,100.15,41.65,RCF
2021-09-06,75.2,75.7,74.5,75.0,100.15,41.65,RCF
2021-09-03,75.6,76.3,74.4,74.9,100.15,41.65,RCF
2021-09-02,72.9,76.75,72.7,75.4,100.15,41.65,RCF
2021-09-01,72.3,74.1,71.45,72.95,100.15,41.65,RCF
2021-08-31,73.2,73.35,72.0,72.15,100.15,41.65,RCF
2021-08-30,73.75,73.75,72.8,73.1,100.15,41.65,RCF
2021-08-27,71.3,73.2,71.1,72.35,100.15,41.65,RCF
2021-08-26,71.5,72.3,71.05,71.35,100.15,41.65,RCF
2021-08-25,71.9,72.35,71.1,71.5,100.15,41.65,RCF
2021-08-24,69.7,71.95,68.85,71.25,100.15,41.65,RCF
2021-08-23,72.55,72.8,69.0,69.2,100.15,41.65,RCF
2021-08-20,72.4,73.15,71.3,71.55,100.15,41.65,RCF
2021-08-18,74.35,74.75,73.2,73.55,100.15,41.65,RCF
2021-08-17,75.3,75.4,73.25,74.1,100.15,41.65,RCF
2021-08-16,75.8,78.8,74.1,75.4,100.15,41.65,RCF
2021-08-13,76.65,77.9,75.9,76.25,100.15,41.65,RCF
2021-08-12,74.85,77.2,74.8,75.9,100.15,41.65,RCF
2021-08-11,75.25,75.6,71.3,74.5,100.15,41.65,RCF
2021-08-10,81.0,81.25,74.35,74.9,100.15,41.65,RCF
2021-08-09,82.1,82.7,80.7,81.0,100.15,41.65,RCF
2021-08-06,80.9,84.5,80.8,82.05,100.15,41.65,RCF
2021-08-05,82.3,82.45,80.05,80.85,100.15,41.65,RCF
2021-08-04,84.8,85.3,82.0,82.2,100.15,41.65,RCF
2021-08-03,85.0,86.2,84.1,85.0,100.15,41.65,RCF
2021-08-02,84.85,85.5,83.75,84.95,100.15,41.65,RCF
2021-07-30,81.0,87.9,80.7,84.1,100.15,41.65,RCF
2021-07-29,81.15,81.4,80.55,80.75,100.15,41.65,RCF
2021-07-28,81.15,82.75,79.1,80.55,100.15,41.65,RCF
2021-07-27,83.55,83.9,80.5,81.1,100.15,41.65,RCF
2021-07-26,80.05,83.5,79.7,82.05,100.15,41.65,RCF
2021-07-23,80.9,81.05,79.35,80.0,100.15,41.65,RCF
2021-07-22,81.2,82.2,80.05,80.35,100.15,41.65,RCF
2021-07-20,82.2,82.85,79.65,80.3,100.15,41.65,RCF
2021-07-19,83.15,83.9,82.45,82.85,100.15,41.65,RCF
2021-07-16,85.0,86.2,83.35,83.8,100.15,41.65,RCF
2021-07-15,83.0,84.65,82.6,83.35,100.15,41.65,RCF
2021-07-14,83.25,84.45,82.85,83.1,100.15,41.65,RCF
2021-07-13,83.65,84.9,83.25,83.6,100.15,41.65,RCF
2021-07-12,84.45,84.8,82.7,83.1,100.15,41.65,RCF
2021-07-09,83.45,84.35,83.0,83.6,100.15,41.65,RCF
2021-07-08,87.75,87.75,83.25,83.75,100.15,41.65,RCF
2021-07-07,82.05,88.9,81.75,87.15,100.15,41.65,RCF
2021-07-06,83.1,83.5,82.15,82.3,100.15,41.65,RCF
2021-07-05,84.25,84.5,83.15,83.35,100.15,41.65,RCF
2021-07-02,85.9,86.65,83.8,84.1,100.15,41.65,RCF
2021-07-01,83.7,85.5,82.5,85.0,100.15,41.65,RCF
2021-06-30,82.5,84.3,81.85,83.6,100.15,41.65,RCF
2021-06-29,81.15,83.6,81.05,82.2,100.15,41.65,RCF
2021-06-28,81.55,81.55,80.4,80.6,100.15,41.65,RCF
2021-06-25,81.5,82.2,80.9,81.1,100.15,41.65,RCF
2021-06-24,82.1,82.35,80.75,81.15,100.15,41.65,RCF
2021-06-23,82.8,83.1,81.55,81.85,100.15,41.65,RCF
2021-06-22,82.15,84.15,82.15,82.35,100.15,41.65,RCF
2021-06-21,81.2,82.85,80.8,81.95,100.15,41.65,RCF
2021-06-18,85.0,85.15,80.6,82.75,100.15,41.65,RCF
2021-06-17,85.85,87.9,84.2,84.75,100.15,41.65,RCF
2021-06-16,82.25,87.35,81.25,85.75,100.15,41.65,RCF
2021-06-15,82.5,83.65,81.15,82.2,100.15,41.65,RCF
2021-06-14,83.1,83.1,80.6,82.05,100.15,41.65,RCF
2021-06-11,84.35,84.7,82.85,83.15,100.15,41.65,RCF
2021-06-10,83.15,84.9,82.8,83.9,100.15,41.65,RCF
2021-06-09,83.25,85.3,82.1,82.65,100.15,41.65,RCF
2021-06-08,83.2,84.25,82.55,83.15,100.15,41.65,RCF
2021-06-07,82.75,84.4,82.2,83.15,100.15,41.65,RCF
2021-06-04,82.3,83.0,82.2,82.45,100.15,41.65,RCF
