DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,2.95,2.95,2.9,2.9,5.05,1.5,RCOM
2021-11-11,3.0,3.0,2.9,2.95,5.05,1.5,RCOM
2021-11-10,3.0,3.0,2.95,2.95,5.05,1.5,RCOM
2021-11-09,2.95,3.05,2.95,2.95,5.05,1.5,RCOM
2021-11-08,3.05,3.05,2.9,2.95,5.05,1.5,RCOM
2021-11-04,3.05,3.05,3.0,3.0,5.05,1.5,RCOM
2021-11-03,3.1,3.1,3.0,3.0,5.05,1.5,RCOM
2021-11-02,2.95,3.2,2.95,3.1,5.05,1.5,RCOM
2021-11-01,2.9,2.95,2.85,2.95,5.05,1.5,RCOM
2021-10-29,2.95,2.95,2.8,2.85,5.05,1.5,RCOM
2021-10-28,2.9,2.95,2.85,2.95,5.05,1.5,RCOM
2021-10-27,3.05,3.05,2.95,3.0,5.05,1.5,RCOM
2021-10-26,3.0,3.1,2.95,3.05,5.05,1.5,RCOM
2021-10-25,3.05,3.1,2.95,2.95,5.05,1.5,RCOM
2021-10-22,3.1,3.15,3.0,3.05,5.05,1.5,RCOM
2021-10-21,3.0,3.2,3.0,3.05,5.05,1.5,RCOM
2021-10-20,3.05,3.1,2.95,3.0,5.05,1.5,RCOM
2021-10-19,3.15,3.15,3.05,3.05,5.05,1.5,RCOM
2021-10-18,3.15,3.2,3.1,3.1,5.05,1.5,RCOM
2021-10-14,3.25,3.25,3.1,3.15,5.05,1.5,RCOM
2021-10-13,3.25,3.25,3.15,3.15,5.05,1.5,RCOM
2021-10-12,3.35,3.35,3.1,3.2,5.05,1.5,RCOM
2021-10-11,3.3,3.5,3.2,3.3,5.05,1.5,RCOM
2021-10-08,3.35,3.4,3.2,3.2,5.05,1.5,RCOM
2021-10-07,3.1,3.35,3.05,3.3,5.05,1.5,RCOM
2021-10-06,3.1,3.15,3.0,3.05,5.05,1.5,RCOM
2021-10-05,3.05,3.2,3.0,3.05,5.05,1.5,RCOM
2021-10-04,3.1,3.15,3.05,3.05,5.05,1.5,RCOM
2021-10-01,3.05,3.1,3.0,3.05,5.05,1.5,RCOM
2021-09-30,3.1,3.1,3.0,3.1,5.05,1.5,RCOM
2021-09-29,3.05,3.2,3.0,3.1,5.05,1.5,RCOM
2021-09-28,3.05,3.1,3.0,3.05,5.05,1.5,RCOM
2021-09-27,3.1,3.15,3.05,3.1,5.05,1.5,RCOM
2021-09-24,3.25,3.3,3.1,3.1,5.05,1.5,RCOM
2021-09-23,3.15,3.25,3.1,3.25,5.05,1.5,RCOM
2021-09-22,3.05,3.2,3.0,3.1,5.05,1.5,RCOM
2021-09-21,3.1,3.15,3.0,3.05,5.05,1.5,RCOM
2021-09-20,3.3,3.35,3.15,3.15,5.05,1.5,RCOM
2021-09-17,3.5,3.55,3.25,3.3,5.05,1.5,RCOM
2021-09-16,3.4,3.4,3.25,3.4,5.05,1.5,RCOM
2021-09-15,3.2,3.25,3.1,3.25,5.05,1.5,RCOM
2021-09-14,3.2,3.2,3.05,3.1,5.05,1.5,RCOM
2021-09-13,3.05,3.05,3.0,3.05,5.05,1.5,RCOM
2021-09-09,2.85,2.95,2.8,2.95,5.05,1.5,RCOM
2021-09-08,2.85,2.9,2.75,2.85,5.05,1.5,RCOM
2021-09-07,2.85,2.85,2.75,2.8,5.05,1.5,RCOM
2021-09-06,2.95,2.95,2.85,2.85,5.05,1.5,RCOM
