DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-11,318.0,321.0,312.5,314.0,430.0,176.0,REPCOHOME
2021-10-08,323.0,323.9,313.15,316.3,430.0,164.65,REPCOHOME
2021-10-07,315.4,325.25,314.75,319.0,430.0,164.65,REPCOHOME
2021-10-06,319.25,323.5,310.0,311.25,430.0,164.65,REPCOHOME
2021-10-05,315.45,325.8,314.4,318.8,430.0,164.65,REPCOHOME
2021-10-04,313.0,323.05,310.25,314.9,430.0,164.65,REPCOHOME
2021-10-01,313.0,315.0,302.75,306.75,430.0,161.0,REPCOHOME
2021-09-30,319.55,324.9,312.1,313.35,430.0,161.0,REPCOHOME
2021-09-29,318.0,323.8,315.05,319.55,430.0,161.0,REPCOHOME
2021-09-28,325.0,325.4,317.0,320.35,430.0,161.0,REPCOHOME
2021-09-27,318.8,327.0,318.0,322.15,430.0,161.0,REPCOHOME
2021-09-24,319.65,323.25,312.0,317.8,430.0,148.2,REPCOHOME
2021-09-23,305.1,329.4,305.1,315.8,430.0,148.2,REPCOHOME
2021-09-22,295.5,309.9,295.5,304.3,430.0,148.2,REPCOHOME
2021-09-21,298.0,302.8,290.8,294.3,430.0,148.2,REPCOHOME
2021-09-20,308.0,310.85,297.65,299.75,430.0,148.2,REPCOHOME
2021-09-17,305.6,313.0,300.55,310.05,430.0,148.2,REPCOHOME
2021-09-16,305.9,308.7,299.8,301.75,430.0,148.2,REPCOHOME
2021-09-15,299.3,306.65,299.0,302.65,430.0,148.2,REPCOHOME
2021-09-14,299.5,304.0,297.6,300.0,430.0,148.2,REPCOHOME
2021-09-13,304.9,308.0,296.75,300.75,430.0,148.2,REPCOHOME
2021-09-09,308.8,309.8,301.0,304.05,430.0,148.2,REPCOHOME
2021-09-08,304.05,316.0,299.65,309.2,430.0,148.2,REPCOHOME
2021-09-07,304.5,314.0,300.0,304.75,430.0,148.2,REPCOHOME
2021-09-06,296.35,302.95,296.35,300.3,430.0,148.2,REPCOHOME
2021-09-03,305.0,306.9,294.45,295.05,430.0,148.2,REPCOHOME
2021-09-02,307.0,307.45,300.0,303.0,430.0,148.2,REPCOHOME
2021-09-01,299.9,313.35,298.1,303.8,430.0,148.2,REPCOHOME
2021-08-31,305.0,306.35,297.0,299.9,430.0,148.2,REPCOHOME
2021-08-30,291.65,349.7,291.65,304.85,430.0,148.2,REPCOHOME
2021-08-27,293.0,294.75,289.0,291.45,430.0,148.2,REPCOHOME
2021-08-26,297.9,297.9,289.0,293.0,430.0,148.2,REPCOHOME
2021-08-25,297.0,303.35,294.0,295.15,430.0,148.2,REPCOHOME
2021-08-24,286.85,298.15,284.55,295.45,430.0,148.2,REPCOHOME
2021-08-23,314.0,316.15,271.5,287.6,430.0,148.2,REPCOHOME
2021-08-20,317.85,328.45,308.05,310.8,430.0,130.6,REPCOHOME
2021-08-18,303.6,317.15,303.6,315.45,430.0,130.6,REPCOHOME
2021-08-17,312.9,313.0,300.9,302.5,430.0,130.6,REPCOHOME
2021-08-16,319.05,319.05,266.7,312.85,430.0,130.6,REPCOHOME
2021-08-13,333.0,334.9,323.0,327.65,430.0,130.6,REPCOHOME
2021-08-12,324.0,330.75,320.3,329.8,430.0,130.6,REPCOHOME
2021-08-11,326.0,326.0,298.4,320.85,430.0,130.6,REPCOHOME
2021-08-10,332.5,333.0,319.85,321.75,430.0,130.6,REPCOHOME
2021-08-09,334.95,335.8,327.0,330.15,430.0,130.6,REPCOHOME
2021-08-06,333.0,336.9,320.1,325.55,430.0,130.6,REPCOHOME
2021-08-05,332.65,336.6,329.0,330.9,430.0,130.6,REPCOHOME
2021-08-04,352.0,352.95,324.55,330.0,430.0,130.6,REPCOHOME
2021-08-03,339.5,355.0,334.35,349.45,430.0,130.6,REPCOHOME
2021-08-02,341.0,345.0,336.8,339.85,430.0,130.6,REPCOHOME
2021-07-30,349.95,349.95,338.2,339.5,430.0,130.6,REPCOHOME
2021-07-29,347.7,352.8,346.0,347.4,430.0,130.6,REPCOHOME
2021-07-28,353.0,359.55,339.5,344.4,430.0,130.6,REPCOHOME
2021-07-27,357.7,363.9,353.1,354.65,430.0,130.6,REPCOHOME
2021-07-26,357.05,360.0,352.0,354.35,430.0,130.6,REPCOHOME
2021-07-23,363.0,367.35,355.0,356.45,430.0,121.3,REPCOHOME
2021-07-22,368.0,369.7,358.0,361.0,430.0,121.3,REPCOHOME
2021-07-20,378.0,378.0,360.0,362.25,430.0,121.3,REPCOHOME
2021-07-19,380.0,380.0,370.1,372.65,430.0,121.3,REPCOHOME
2021-07-16,388.9,390.6,376.0,379.05,430.0,113.4,REPCOHOME
2021-07-15,382.5,389.9,380.05,386.15,430.0,113.4,REPCOHOME
2021-07-14,372.5,394.0,371.5,376.7,430.0,113.4,REPCOHOME
2021-07-13,370.0,372.0,365.9,370.15,430.0,113.4,REPCOHOME
2021-07-12,370.0,370.0,363.0,368.7,430.0,113.4,REPCOHOME
2021-07-09,365.0,369.95,358.85,365.0,430.0,113.4,REPCOHOME
2021-07-08,368.0,372.0,361.0,365.05,430.0,113.4,REPCOHOME
2021-07-07,369.0,371.0,364.05,367.8,430.0,113.4,REPCOHOME
2021-07-06,367.0,373.0,363.0,366.1,430.0,113.4,REPCOHOME
2021-07-05,361.7,368.85,356.5,362.8,430.0,113.4,REPCOHOME
2021-07-02,371.4,372.05,353.5,356.25,430.0,113.4,REPCOHOME
2021-07-01,375.9,378.0,363.0,364.4,430.0,113.4,REPCOHOME
2021-06-30,380.0,385.0,370.0,372.5,430.0,113.4,REPCOHOME
2021-06-29,377.7,380.0,371.0,375.0,430.0,113.4,REPCOHOME
2021-06-28,377.0,379.9,370.55,375.15,430.0,113.4,REPCOHOME
2021-06-25,364.05,373.0,363.95,368.2,430.0,113.4,REPCOHOME
2021-06-24,369.85,370.05,361.8,362.75,430.0,113.4,REPCOHOME
2021-06-23,385.0,385.0,362.3,369.65,430.0,113.4,REPCOHOME
2021-06-22,371.0,380.05,370.0,373.75,430.0,113.4,REPCOHOME
2021-06-21,372.85,375.95,361.1,368.95,430.0,113.4,REPCOHOME
2021-06-18,393.0,393.0,356.75,372.85,430.0,99.4,REPCOHOME
2021-06-17,395.0,399.45,386.0,390.05,430.0,99.4,REPCOHOME
2021-06-16,403.0,408.75,394.0,396.4,430.0,99.4,REPCOHOME
2021-06-15,414.0,423.0,400.0,402.9,430.0,99.4,REPCOHOME
2021-06-14,385.0,430.0,371.0,410.2,430.0,99.4,REPCOHOME
2021-06-11,378.9,386.85,370.1,380.5,386.9,94.95,REPCOHOME
2021-06-10,367.25,383.65,367.25,372.7,386.9,94.95,REPCOHOME
2021-06-09,372.0,384.0,363.0,367.55,386.9,94.95,REPCOHOME
2021-06-08,369.95,376.95,366.95,371.5,386.9,94.95,REPCOHOME
2021-06-07,365.0,377.0,365.0,367.6,386.9,94.95,REPCOHOME
2021-06-04,370.0,379.8,366.85,371.45,386.9,90.35,REPCOHOME
2021-06-03,373.0,378.65,371.0,373.8,386.9,90.35,REPCOHOME
2021-06-02,378.0,378.0,363.1,369.65,386.9,90.35,REPCOHOME
2021-06-01,355.95,361.95,352.5,355.7,386.9,90.35,REPCOHOME
2021-05-31,337.0,386.9,332.0,352.55,386.9,90.35,REPCOHOME
2021-05-28,334.25,341.0,332.25,336.4,378.0,90.35,REPCOHOME
2021-05-27,340.55,340.85,331.55,334.25,378.0,90.35,REPCOHOME
2021-05-26,342.0,347.6,338.1,339.6,378.0,90.35,REPCOHOME
2021-05-25,353.0,359.95,333.0,340.95,378.0,90.35,REPCOHOME
2021-05-24,348.0,352.35,344.05,350.15,378.0,90.35,REPCOHOME
2021-05-21,343.95,347.9,340.4,343.95,378.0,90.35,REPCOHOME
2021-05-20,341.05,346.0,338.0,340.9,378.0,90.35,REPCOHOME
2021-05-19,341.05,344.95,338.55,340.1,378.0,90.35,REPCOHOME
2021-05-18,338.1,341.0,334.0,339.35,378.0,90.35,REPCOHOME
2021-05-17,344.0,344.0,331.5,335.3,378.0,90.35,REPCOHOME
2021-05-14,345.95,347.95,335.15,336.55,378.0,90.35,REPCOHOME
2021-05-12,348.0,354.45,338.0,343.55,378.0,90.35,REPCOHOME
2021-05-11,340.0,351.0,338.1,341.0,378.0,90.35,REPCOHOME
2021-05-10,333.95,353.1,333.95,343.35,378.0,90.35,REPCOHOME
2021-05-07,332.95,337.95,330.25,331.05,378.0,90.35,REPCOHOME
2021-05-06,347.95,347.95,328.15,332.1,378.0,90.35,REPCOHOME
2021-05-05,345.0,361.55,341.0,347.95,378.0,90.35,REPCOHOME
2021-05-04,329.75,344.85,329.05,340.15,378.0,90.35,REPCOHOME
2021-05-03,323.0,331.0,320.25,329.75,378.0,90.35,REPCOHOME
2021-04-30,333.0,334.0,317.15,330.55,378.0,90.35,REPCOHOME
2021-04-29,333.0,335.1,325.3,330.15,378.0,90.35,REPCOHOME
2021-04-28,325.95,334.45,325.0,330.6,378.0,90.35,REPCOHOME
2021-04-27,320.05,331.3,319.05,324.7,378.0,90.35,REPCOHOME
2021-04-26,314.1,324.95,312.0,320.05,378.0,90.35,REPCOHOME
2021-04-23,314.0,318.0,310.05,315.65,378.0,90.35,REPCOHOME
2021-04-22,303.0,318.0,301.55,311.95,378.0,90.35,REPCOHOME
