DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-04,670.0,682.85,664.5,670.0,670.05,699.0,217.0,RGL
2021-08-03,698.9,698.9,655.0,670.0,666.7,699.0,217.0,RGL
2021-08-02,643.9,699.0,643.9,697.9,693.4,699.0,217.0,RGL
2021-07-30,623.0,644.3,608.55,639.0,632.65,644.3,210.05,RGL
2021-07-29,572.35,623.7,560.1,623.7,617.2,623.7,210.05,RGL
2021-07-28,562.8,573.0,559.0,570.0,564.55,593.0,210.05,RGL
2021-07-27,555.3,569.95,551.0,554.9,554.15,593.0,210.05,RGL
2021-07-26,554.45,557.05,545.6,551.25,553.35,593.0,210.05,RGL
2021-07-23,558.0,564.0,545.0,545.3,548.05,593.0,210.05,RGL
2021-07-22,562.7,571.9,549.75,552.0,553.75,593.0,210.05,RGL
2021-07-20,549.7,566.7,541.6,547.05,549.35,593.0,210.05,RGL
2021-07-19,552.0,556.0,542.0,545.2,547.05,593.0,210.05,RGL
2021-07-16,559.0,561.85,542.75,546.0,547.3,593.0,210.05,RGL
2021-07-15,559.8,565.0,547.5,558.4,557.95,593.0,210.05,RGL
2021-07-14,557.5,561.0,542.0,560.0,552.95,593.0,210.05,RGL
2021-07-13,543.25,560.0,536.5,545.5,545.9,593.0,210.05,RGL
2021-07-12,546.7,553.35,530.0,538.95,536.5,593.0,210.05,RGL
2021-07-09,554.7,554.7,530.2,537.9,536.65,593.0,210.05,RGL
2021-07-08,557.0,558.35,535.15,540.0,539.95,593.0,210.05,RGL
2021-07-07,555.9,561.5,548.4,554.65,553.15,593.0,210.05,RGL
2021-07-06,567.95,570.85,543.0,550.3,556.25,593.0,210.05,RGL
2021-07-05,573.2,582.0,552.1,562.0,565.9,593.0,210.05,RGL
2021-07-02,588.3,592.15,552.6,570.6,565.3,593.0,209.05,RGL
2021-07-01,581.55,590.0,575.1,582.0,585.2,593.0,209.05,RGL
2021-06-30,582.0,591.8,572.5,577.0,581.35,593.0,209.05,RGL
2021-06-29,565.0,580.0,555.0,572.0,567.2,593.0,209.05,RGL
2021-06-28,555.3,565.4,545.0,561.0,561.45,593.0,209.05,RGL
2021-06-25,567.0,569.8,550.3,558.95,555.3,593.0,209.05,RGL
2021-06-24,561.5,579.05,550.75,555.5,562.15,593.0,209.05,RGL
2021-06-23,583.25,583.25,550.05,556.0,556.45,593.0,209.05,RGL
2021-06-22,586.95,588.5,558.0,560.0,570.2,593.0,209.05,RGL
2021-06-21,565.0,583.0,550.05,578.0,575.2,593.0,209.05,RGL
2021-06-18,593.0,593.0,543.75,577.95,574.7,593.0,209.05,RGL
2021-06-17,563.35,584.0,557.15,579.0,572.75,584.0,209.05,RGL
2021-06-16,548.5,576.0,538.0,563.85,560.4,576.0,209.05,RGL
2021-06-15,539.0,549.35,533.45,542.5,545.1,564.0,209.05,RGL
2021-06-14,535.95,549.5,519.55,540.0,541.5,564.0,209.05,RGL
2021-06-11,542.15,543.0,522.1,529.7,530.25,564.0,207.0,RGL
2021-06-10,545.9,545.9,522.75,534.95,531.1,564.0,207.0,RGL
2021-06-09,539.0,558.2,519.9,529.15,525.4,564.0,207.0,RGL
2021-06-08,545.0,554.95,528.0,547.9,545.35,564.0,207.0,RGL
2021-06-07,526.05,549.05,526.05,541.15,542.0,564.0,207.0,RGL
2021-06-04,511.25,545.0,511.15,527.05,525.5,564.0,194.55,RGL
2021-06-03,498.95,519.0,496.0,510.0,510.85,564.0,194.55,RGL
2021-06-02,502.35,504.9,491.05,495.0,494.3,564.0,194.55,RGL
2021-06-01,501.35,505.0,484.6,492.0,501.15,564.0,194.55,RGL
2021-05-31,512.95,512.95,492.4,501.0,501.1,564.0,194.55,RGL
2021-05-28,505.25,524.9,502.75,511.0,517.6,564.0,194.55,RGL
2021-05-27,514.95,522.3,502.0,503.2,510.4,564.0,194.55,RGL
2021-05-26,520.2,524.25,502.6,510.0,513.8,564.0,194.55,RGL
2021-05-25,515.25,525.9,515.0,520.1,520.15,564.0,194.55,RGL
2021-05-24,506.6,519.45,502.65,511.05,515.15,564.0,194.55,RGL
2021-05-21,498.7,564.0,490.0,500.0,500.05,564.0,184.05,RGL
2021-05-20,491.0,499.9,484.5,491.25,495.35,520.0,184.05,RGL
2021-05-19,480.25,492.85,479.9,489.0,488.05,520.0,184.05,RGL
2021-05-18,479.9,497.8,465.0,479.0,482.0,520.0,184.05,RGL
2021-05-17,478.7,487.95,459.45,475.2,477.25,520.0,184.05,RGL
2021-05-14,479.7,482.0,448.8,459.55,461.35,520.0,184.05,RGL
2021-05-12,489.7,520.0,467.65,472.5,473.5,520.0,184.05,RGL
2021-05-11,399.8,478.25,399.2,471.0,460.4,478.25,184.05,RGL
2021-05-10,396.95,411.0,389.7,399.65,398.55,419.3,184.05,RGL
2021-05-07,385.95,395.95,380.15,382.0,389.75,419.3,184.05,RGL
2021-05-06,389.55,389.55,380.0,383.0,381.85,419.3,184.05,RGL
2021-05-05,389.9,393.8,382.0,384.0,384.25,419.3,184.05,RGL
2021-05-04,401.6,401.6,376.0,386.5,381.9,419.3,184.05,RGL
2021-05-03,399.0,399.8,386.1,395.2,393.75,419.3,184.05,RGL
2021-04-30,401.3,408.0,389.25,393.15,391.15,419.3,184.05,RGL
2021-04-29,410.0,411.2,393.05,399.6,399.4,419.3,184.05,RGL
2021-04-28,419.3,419.3,398.6,400.0,406.05,419.3,184.05,RGL
2021-04-27,413.75,419.0,404.85,412.0,408.15,419.0,184.05,RGL
2021-04-26,379.5,409.7,379.5,407.0,404.35,409.7,184.05,RGL
2021-04-23,374.9,387.8,374.9,377.9,379.45,399.9,184.05,RGL
2021-04-22,371.5,378.7,363.05,375.05,374.9,399.9,184.05,RGL
2021-04-20,375.0,392.0,370.0,371.55,372.45,399.9,184.05,RGL
2021-04-19,380.0,385.0,370.0,376.0,377.9,399.9,184.05,RGL
2021-04-16,394.0,399.9,371.05,389.0,389.25,399.9,184.05,RGL
2021-04-15,373.0,393.3,372.8,385.05,387.9,393.3,184.05,RGL
2021-04-13,358.95,382.0,358.95,381.0,375.95,388.9,184.05,RGL
2021-04-12,381.0,386.9,351.5,358.0,359.0,388.9,184.05,RGL
