DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,8.3,8.45,8.1,8.2,8.2,ROLTA
2021-07-15,8.35,8.7,8.25,8.3,8.3,ROLTA
2021-07-14,8.35,8.7,8.2,8.4,8.35,ROLTA
2021-07-13,9.0,9.2,8.6,8.6,8.6,ROLTA
2021-07-12,9.3,9.4,8.9,8.9,9.05,ROLTA
2021-07-09,9.0,9.3,8.8,9.1,9.1,ROLTA
2021-07-08,8.85,9.4,8.7,9.15,9.05,ROLTA
2021-07-07,9.2,9.85,9.05,9.05,9.05,ROLTA
2021-07-06,10.05,10.05,9.15,9.3,9.5,ROLTA
2021-07-05,9.6,9.6,9.25,9.6,9.6,ROLTA
2021-07-02,8.9,9.15,8.85,9.15,9.15,ROLTA
2021-07-01,8.55,8.75,8.45,8.75,8.75,ROLTA
2021-06-30,8.25,8.6,8.1,8.4,8.35,ROLTA
2021-06-29,7.6,8.2,7.5,8.2,8.2,ROLTA
2021-06-28,8.0,8.2,7.85,7.85,7.85,ROLTA
2021-06-25,8.45,8.45,8.25,8.25,8.25,ROLTA
2021-06-24,9.25,9.55,8.65,8.65,8.65,ROLTA
2021-06-23,9.1,9.1,8.45,9.1,9.1,ROLTA
2021-06-22,8.7,8.7,8.7,8.7,8.7,ROLTA
2021-06-21,7.8,8.3,7.7,8.3,8.3,ROLTA
2021-06-18,7.95,7.95,7.25,7.95,7.95,ROLTA
2021-06-17,7.15,7.6,7.05,7.6,7.6,ROLTA
2021-06-16,7.25,7.25,7.0,7.25,7.25,ROLTA
2021-06-15,6.65,6.95,6.6,6.95,6.95,ROLTA
2021-06-14,6.7,6.75,6.35,6.65,6.65,ROLTA
2021-06-11,6.85,6.85,6.4,6.7,6.65,ROLTA
2021-06-10,6.3,6.55,6.3,6.55,6.55,ROLTA
2021-06-09,6.6,6.65,6.15,6.3,6.25,ROLTA
2021-06-08,6.55,6.6,6.05,6.45,6.45,ROLTA
2021-06-07,6.15,6.35,6.0,6.35,6.35,ROLTA
2021-06-04,6.1,6.2,5.95,6.05,6.05,ROLTA
2021-06-03,6.1,6.25,5.95,6.05,6.1,ROLTA
2021-06-02,6.1,6.1,5.85,6.0,6.0,ROLTA
2021-06-01,6.75,6.75,6.15,6.15,6.15,ROLTA
2021-05-31,6.15,6.45,5.95,6.45,6.45,ROLTA
2021-05-28,6.4,6.4,5.6,6.05,5.9,ROLTA
2021-05-27,5.5,5.85,5.45,5.85,5.85,ROLTA
2021-05-26,4.95,5.35,4.85,5.35,5.35,ROLTA
2021-05-25,4.9,4.95,4.85,4.9,4.9,ROLTA
2021-05-24,4.8,4.95,4.75,4.9,4.85,ROLTA
2021-05-21,4.8,4.9,4.7,4.75,4.75,ROLTA
2021-05-20,5.0,5.0,4.8,4.85,4.8,ROLTA
2021-05-19,4.95,5.05,4.9,4.9,4.95,ROLTA
2021-05-18,5.15,5.15,4.9,5.0,4.95,ROLTA
2021-05-17,4.85,5.15,4.8,5.1,5.05,ROLTA
2021-05-14,5.05,5.1,4.6,4.85,4.8,ROLTA
2021-05-12,5.25,5.35,4.9,4.95,4.95,ROLTA
2021-05-11,4.9,5.45,4.75,5.2,5.15,ROLTA
2021-05-10,4.8,5.05,4.35,5.05,5.05,ROLTA
2021-05-07,4.25,4.6,4.15,4.6,4.6,ROLTA
2021-05-06,4.15,4.25,4.1,4.25,4.2,ROLTA
2021-05-05,4.3,4.35,4.1,4.1,4.15,ROLTA
2021-05-04,4.7,4.75,4.2,4.25,4.2,ROLTA
2021-05-03,4.75,4.95,4.55,4.7,4.65,ROLTA
2021-04-30,5.2,5.4,4.7,4.9,4.8,ROLTA
2021-04-29,4.85,4.95,4.7,4.95,4.95,ROLTA
2021-04-28,4.2,4.5,4.1,4.5,4.5,ROLTA
2021-04-27,4.15,4.2,4.1,4.15,4.1,ROLTA
2021-04-26,4.2,4.25,4.0,4.1,4.1,ROLTA
2021-04-23,4.0,4.15,3.95,4.15,4.1,ROLTA
2021-04-22,4.0,4.05,3.95,4.0,4.0,ROLTA
2021-04-20,4.2,4.25,4.05,4.1,4.05,ROLTA
2021-04-19,4.0,4.15,3.85,4.1,4.1,ROLTA
2021-04-16,4.0,4.1,4.0,4.05,4.05,ROLTA
2021-04-15,4.15,4.2,3.8,4.05,4.0,ROLTA
2021-04-13,3.9,4.2,3.8,4.2,4.15,ROLTA
2021-04-12,4.25,4.25,3.8,3.95,3.9,ROLTA
2021-04-09,4.15,4.3,3.95,4.2,4.2,ROLTA
2021-04-08,4.2,4.2,3.5,3.95,3.95,ROLTA
2021-04-07,3.85,3.85,3.85,3.85,3.85,ROLTA
2021-04-06,3.7,3.7,3.7,3.7,3.7,ROLTA
2021-04-05,3.4,3.55,3.35,3.55,3.55,ROLTA
2021-04-01,3.2,3.4,3.15,3.4,3.4,ROLTA
2021-03-31,3.35,3.4,3.25,3.25,3.25,ROLTA
2021-03-30,3.6,3.6,3.4,3.4,3.4,ROLTA
2021-03-26,3.75,3.8,3.55,3.55,3.55,ROLTA
2021-03-25,3.85,3.9,3.7,3.7,3.7,ROLTA
2021-03-24,3.95,4.0,3.85,3.85,3.85,ROLTA
2021-03-23,3.9,4.0,3.9,3.9,3.95,ROLTA
2021-03-22,4.0,4.0,3.85,3.95,3.9,ROLTA
2021-03-19,3.9,4.0,3.85,3.9,3.95,ROLTA
2021-03-18,3.95,4.0,3.9,4.0,3.95,ROLTA
2021-03-17,4.0,4.0,3.95,4.0,3.95,ROLTA
2021-03-16,4.05,4.1,3.95,4.05,4.0,ROLTA
2021-03-15,4.15,4.15,3.95,4.0,4.05,ROLTA
2021-03-12,4.2,4.2,4.1,4.15,4.15,ROLTA
2021-03-10,4.1,4.2,4.05,4.2,4.2,ROLTA
2021-03-09,4.1,4.1,4.05,4.1,4.1,ROLTA
2021-03-08,4.1,4.1,4.05,4.1,4.05,ROLTA
2021-03-05,4.15,4.15,4.05,4.1,4.1,ROLTA
2021-03-04,4.1,4.2,4.05,4.1,4.1,ROLTA
2021-03-03,4.15,4.2,4.05,4.1,4.1,ROLTA
2021-03-02,4.15,4.2,4.1,4.15,4.15,ROLTA
2021-03-01,4.05,4.15,4.0,4.1,4.1,ROLTA
2021-02-26,4.1,4.15,4.05,4.1,4.05,ROLTA
2021-02-25,4.05,4.2,4.0,4.2,4.15,ROLTA
2021-02-24,4.05,4.1,3.9,4.0,4.0,ROLTA
2021-02-23,4.1,4.2,3.95,4.0,4.05,ROLTA
2021-02-22,4.45,4.5,4.1,4.15,4.15,ROLTA
2021-02-19,4.05,4.3,4.05,4.3,4.3,ROLTA
2021-02-18,4.1,4.1,3.95,4.05,4.1,ROLTA
2021-02-17,4.15,4.15,4.05,4.05,4.1,ROLTA
2021-02-16,4.1,4.15,4.1,4.1,4.1,ROLTA
2021-02-15,4.1,4.15,4.05,4.1,4.1,ROLTA
2021-02-12,4.1,4.2,4.05,4.1,4.05,ROLTA
2021-02-11,4.2,4.2,4.1,4.15,4.1,ROLTA
2021-02-10,4.1,4.25,4.05,4.2,4.15,ROLTA
2021-02-09,4.15,4.15,4.0,4.05,4.05,ROLTA
2021-02-08,4.15,4.2,4.05,4.2,4.15,ROLTA
2021-02-05,4.2,4.2,4.1,4.15,4.1,ROLTA
2021-02-04,4.2,4.2,4.1,4.2,4.2,ROLTA
2021-02-03,4.15,4.2,4.1,4.2,4.15,ROLTA
2021-02-02,4.15,4.2,4.1,4.2,4.15,ROLTA
2021-02-01,4.3,4.35,4.1,4.15,4.2,ROLTA
2021-01-29,4.15,4.3,4.15,4.2,4.2,ROLTA
2021-01-28,3.9,4.15,3.9,4.1,4.1,ROLTA
