DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,1962.8,1969.2,1935.0,1947.8,2389.0,885.0,ROUTE
2021-11-11,1978.0,1978.65,1947.05,1952.15,2389.0,885.0,ROUTE
2021-11-10,1968.0,1998.8,1960.1,1978.65,2389.0,885.0,ROUTE
2021-11-09,1975.0,1987.0,1941.1,1971.65,2389.0,885.0,ROUTE
2021-11-08,1999.7,2009.4,1955.0,1987.7,2389.0,885.0,ROUTE
2021-11-04,2000.0,2008.95,1991.0,1996.5,2389.0,885.0,ROUTE
2021-11-03,1991.8,1991.8,1952.1,1975.15,2389.0,885.0,ROUTE
2021-11-02,1963.0,1990.0,1944.0,1977.5,2389.0,885.0,ROUTE
2021-11-01,1896.7,1979.95,1892.0,1954.0,2389.0,885.0,ROUTE
2021-10-29,1885.0,1895.95,1835.0,1877.65,2389.0,772.0,ROUTE
2021-10-28,1943.0,1948.0,1881.0,1891.0,2389.0,772.0,ROUTE
2021-10-27,1982.0,1982.0,1925.5,1939.75,2389.0,772.0,ROUTE
2021-10-26,1920.0,1980.0,1919.0,1968.8,2389.0,772.0,ROUTE
2021-10-25,1994.7,1996.0,1890.0,1920.0,2389.0,772.0,ROUTE
2021-10-22,2036.7,2069.55,1980.0,1985.75,2389.0,706.55,ROUTE
2021-10-21,2095.0,2111.15,2000.0,2021.55,2389.0,706.55,ROUTE
2021-10-20,2179.4,2184.0,2045.0,2083.45,2389.0,706.55,ROUTE
2021-10-19,2344.9,2350.2,2130.0,2168.3,2389.0,706.55,ROUTE
2021-10-18,2243.0,2337.65,2240.0,2264.25,2389.0,706.55,ROUTE
2021-10-14,2269.85,2279.75,2209.0,2223.1,2389.0,687.6,ROUTE
2021-10-13,2327.8,2338.0,2242.0,2259.65,2389.0,687.6,ROUTE
2021-10-12,2310.0,2389.0,2275.2,2306.95,2389.0,687.6,ROUTE
2021-10-11,2164.9,2332.0,2151.0,2296.05,2332.0,687.6,ROUTE
2021-10-08,2065.0,2142.9,2037.4,2116.45,2307.0,687.6,ROUTE
2021-10-07,2026.7,2060.0,2003.35,2054.1,2307.0,687.6,ROUTE
2021-10-06,2014.3,2030.0,1995.0,2009.2,2307.0,687.6,ROUTE
2021-10-05,2049.7,2098.7,1995.5,2005.65,2307.0,687.6,ROUTE
2021-10-04,2050.0,2063.75,2030.0,2051.65,2307.0,687.6,ROUTE
2021-10-01,1942.0,2064.85,1935.1,2042.15,2307.0,687.6,ROUTE
2021-09-30,1972.0,1973.95,1935.0,1949.85,2307.0,687.6,ROUTE
2021-09-29,1931.7,1980.05,1915.0,1965.05,2307.0,687.6,ROUTE
2021-09-28,1972.0,1974.6,1940.0,1943.7,2307.0,687.6,ROUTE
2021-09-27,2008.7,2013.0,1950.0,1966.0,2307.0,687.6,ROUTE
2021-09-24,1997.7,2034.0,1981.1,1995.85,2307.0,625.0,ROUTE
2021-09-23,1996.7,2010.0,1960.0,1997.3,2307.0,625.0,ROUTE
2021-09-22,1962.8,2000.0,1948.1,1981.35,2307.0,625.0,ROUTE
2021-09-21,1968.9,1988.8,1916.0,1949.65,2307.0,625.0,ROUTE
2021-09-20,1995.0,2039.0,1955.55,1967.1,2307.0,625.0,ROUTE
2021-09-17,2054.0,2058.95,1985.0,2007.35,2307.0,625.0,ROUTE
2021-09-16,2070.8,2088.0,2040.0,2048.9,2307.0,625.0,ROUTE
2021-09-15,2014.0,2091.1,2010.0,2058.2,2307.0,625.0,ROUTE
2021-09-14,2038.0,2054.0,2008.0,2013.15,2307.0,625.0,ROUTE
2021-09-13,1993.0,2037.9,1990.0,2022.6,2307.0,625.0,ROUTE
2021-09-09,1994.8,2000.1,1980.0,1995.85,2307.0,625.0,ROUTE
2021-09-08,2008.0,2027.65,1990.05,2005.5,2307.0,625.0,ROUTE
2021-09-07,2033.0,2044.75,1985.0,1998.45,2307.0,625.0,ROUTE
2021-09-06,2010.0,2075.0,2009.85,2025.4,2307.0,625.0,ROUTE
2021-09-03,2009.7,2024.7,1981.25,1997.35,2307.0,625.0,ROUTE
2021-09-02,1963.2,2022.95,1962.0,1994.35,2307.0,625.0,ROUTE
2021-09-01,1985.9,2011.0,1955.5,1963.2,2307.0,625.0,ROUTE
2021-08-31,1989.5,2037.0,1969.4,1975.6,2307.0,625.0,ROUTE
2021-08-30,1904.4,2007.9,1895.5,1982.75,2307.0,625.0,ROUTE
2021-08-27,1916.0,1917.95,1880.0,1888.55,2307.0,625.0,ROUTE
2021-08-26,1934.0,1939.7,1893.95,1909.9,2307.0,625.0,ROUTE
2021-08-25,1906.7,1958.5,1898.5,1927.85,2307.0,625.0,ROUTE
