DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-29,273.8,282.15,269.0,272.35,349.3,134.4,RUBYMILLS
2021-10-28,285.05,287.0,273.3,275.45,349.3,134.4,RUBYMILLS
2021-10-27,294.85,294.85,281.0,284.4,349.3,134.4,RUBYMILLS
2021-10-26,279.9,289.7,278.95,285.25,349.3,134.4,RUBYMILLS
2021-10-25,286.5,286.5,272.1,277.05,349.3,134.4,RUBYMILLS
2021-10-22,286.7,293.0,281.05,282.6,349.3,134.4,RUBYMILLS
2021-10-21,288.25,289.9,282.2,284.25,349.3,134.4,RUBYMILLS
2021-10-20,290.55,293.9,280.0,283.15,349.3,134.4,RUBYMILLS
2021-10-19,302.35,308.1,285.0,291.5,349.3,134.4,RUBYMILLS
2021-10-18,295.1,307.0,292.25,301.95,349.3,134.4,RUBYMILLS
2021-10-14,299.0,302.0,290.0,291.2,349.3,134.4,RUBYMILLS
2021-10-13,295.1,302.0,294.25,295.8,349.3,134.4,RUBYMILLS
2021-10-12,295.05,304.0,291.1,294.35,349.3,134.4,RUBYMILLS
2021-10-11,301.55,305.0,296.85,297.85,349.3,134.4,RUBYMILLS
2021-10-08,302.35,305.0,296.85,298.25,349.3,134.4,RUBYMILLS
2021-10-07,301.05,308.85,297.45,300.35,349.3,134.4,RUBYMILLS
2021-10-06,307.05,313.25,296.5,298.45,349.3,134.4,RUBYMILLS
2021-10-05,314.95,317.1,305.0,306.1,349.3,134.4,RUBYMILLS
2021-10-04,306.0,324.0,305.8,314.45,349.3,134.4,RUBYMILLS
2021-10-01,280.1,319.65,271.55,305.75,349.3,134.4,RUBYMILLS
2021-09-30,281.7,284.0,277.0,277.95,349.3,134.4,RUBYMILLS
2021-09-29,282.0,285.45,277.1,278.2,349.3,134.4,RUBYMILLS
2021-09-28,282.5,284.0,277.35,279.3,349.3,134.4,RUBYMILLS
2021-09-27,284.95,288.45,277.95,280.95,349.3,134.4,RUBYMILLS
2021-09-24,290.3,292.0,279.0,282.05,349.3,134.4,RUBYMILLS
2021-09-23,293.9,297.8,286.55,290.25,349.3,134.4,RUBYMILLS
2021-09-22,283.0,302.8,277.5,291.9,349.3,134.4,RUBYMILLS
2021-09-21,276.05,283.8,271.75,280.45,349.3,134.4,RUBYMILLS
2021-09-20,280.0,285.0,276.0,278.65,349.3,134.4,RUBYMILLS
2021-09-17,293.0,298.95,277.25,283.35,349.3,134.4,RUBYMILLS
2021-09-16,291.0,306.4,291.0,293.7,349.3,134.4,RUBYMILLS
2021-09-15,294.4,299.35,290.1,291.4,349.3,134.4,RUBYMILLS
2021-09-14,303.5,303.5,293.25,296.6,349.3,134.4,RUBYMILLS
2021-09-13,295.0,312.0,282.1,301.2,349.3,134.4,RUBYMILLS
2021-09-09,295.0,296.15,279.5,287.15,349.3,134.4,RUBYMILLS
2021-09-08,276.8,314.5,276.8,294.3,349.3,134.4,RUBYMILLS
2021-09-07,277.0,282.9,273.4,278.55,349.3,134.4,RUBYMILLS
2021-09-06,273.2,280.0,273.2,276.9,349.3,134.4,RUBYMILLS
2021-09-03,275.0,277.5,272.85,274.8,349.3,134.4,RUBYMILLS
2021-09-02,279.0,283.75,272.6,274.7,349.3,134.4,RUBYMILLS
2021-09-01,274.75,283.95,271.2,278.4,349.3,134.4,RUBYMILLS
2021-08-31,278.0,281.8,271.7,274.7,349.3,134.4,RUBYMILLS
2021-08-30,279.95,284.35,276.0,279.85,349.3,134.4,RUBYMILLS
2021-08-27,268.0,278.35,265.5,275.2,349.3,134.4,RUBYMILLS
2021-08-26,273.3,277.9,267.05,269.85,349.3,134.4,RUBYMILLS
2021-08-25,272.8,280.0,268.35,271.25,349.3,134.4,RUBYMILLS
2021-08-24,267.0,271.9,263.3,267.3,349.3,134.4,RUBYMILLS
2021-08-23,280.0,284.75,256.3,260.35,349.3,134.4,RUBYMILLS
2021-08-20,283.1,287.85,275.05,278.3,349.3,134.4,RUBYMILLS
2021-08-18,278.1,311.65,278.1,288.95,349.3,134.4,RUBYMILLS
2021-08-17,279.25,287.0,275.65,277.2,349.3,134.4,RUBYMILLS
2021-08-16,282.0,286.5,273.85,276.7,349.3,134.4,RUBYMILLS
2021-08-13,295.0,304.8,286.3,289.7,349.3,134.4,RUBYMILLS
2021-08-12,289.0,308.8,288.95,293.85,349.3,134.4,RUBYMILLS
2021-08-11,287.9,294.0,266.2,287.05,349.3,134.4,RUBYMILLS
2021-08-10,294.0,301.4,274.05,280.5,349.3,134.4,RUBYMILLS
2021-08-09,307.95,310.3,292.0,294.9,349.3,134.4,RUBYMILLS
2021-08-06,308.0,316.5,301.0,303.8,349.3,134.4,RUBYMILLS
2021-08-05,312.05,317.3,297.0,302.25,349.3,134.4,RUBYMILLS
2021-08-04,330.0,331.9,309.0,312.4,349.3,134.4,RUBYMILLS
2021-08-03,300.0,349.3,296.55,328.75,349.3,134.4,RUBYMILLS
2021-08-02,287.0,300.65,286.95,295.85,319.9,134.4,RUBYMILLS
2021-07-30,296.05,304.0,282.3,285.75,319.9,134.4,RUBYMILLS
2021-07-29,300.5,305.4,292.35,298.1,319.9,134.4,RUBYMILLS
2021-07-28,278.95,319.9,272.05,303.3,319.9,134.4,RUBYMILLS
2021-07-27,275.1,284.0,271.15,272.45,299.6,134.4,RUBYMILLS
2021-07-26,279.65,285.0,276.0,276.9,299.6,134.4,RUBYMILLS
2021-07-23,281.0,294.0,275.95,279.65,299.6,134.4,RUBYMILLS
