DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,100.0,100.8,97.4,98.0,97.95,RUCHIRA
2021-07-15,103.9,103.9,99.0,99.15,99.6,RUCHIRA
2021-07-14,102.0,105.75,98.5,104.0,103.75,RUCHIRA
2021-07-13,98.0,102.0,97.95,101.6,101.45,RUCHIRA
2021-07-12,97.35,100.0,97.15,97.65,97.7,RUCHIRA
2021-07-09,97.95,99.9,95.85,96.75,97.25,RUCHIRA
2021-07-08,101.9,103.65,96.5,97.5,97.5,RUCHIRA
2021-07-07,95.4,105.4,94.05,101.3,101.55,RUCHIRA
2021-07-06,95.0,97.8,91.0,91.0,91.55,RUCHIRA
2021-07-05,90.25,94.0,90.25,93.25,93.45,RUCHIRA
2021-07-02,89.9,92.75,87.6,89.8,90.0,RUCHIRA
2021-07-01,92.7,94.55,89.5,89.75,89.9,RUCHIRA
2021-06-30,90.0,92.85,87.5,91.5,92.05,RUCHIRA
2021-06-29,91.85,92.8,88.8,89.85,89.4,RUCHIRA
2021-06-28,91.85,94.8,90.25,90.9,91.3,RUCHIRA
2021-06-25,93.6,93.75,90.25,91.0,91.15,RUCHIRA
2021-06-24,96.7,97.65,92.2,92.95,92.95,RUCHIRA
2021-06-23,95.3,100.45,94.0,95.25,95.1,RUCHIRA
2021-06-22,92.0,98.9,90.9,94.15,94.35,RUCHIRA
2021-06-21,90.0,96.3,86.1,92.0,91.5,RUCHIRA
2021-06-18,84.95,94.9,76.3,91.45,91.65,RUCHIRA
2021-06-17,85.75,87.7,83.7,83.8,84.3,RUCHIRA
2021-06-16,86.8,89.1,84.0,85.55,85.85,RUCHIRA
2021-06-15,80.55,87.8,80.55,86.0,86.0,RUCHIRA
2021-06-14,82.3,82.85,79.1,80.0,80.45,RUCHIRA
2021-06-11,83.95,86.05,81.0,82.2,81.65,RUCHIRA
2021-06-10,83.5,85.4,82.25,83.0,83.15,RUCHIRA
2021-06-09,78.65,87.9,78.65,83.5,83.35,RUCHIRA
2021-06-08,83.5,83.5,77.5,79.45,79.15,RUCHIRA
2021-06-07,86.0,86.0,81.55,83.0,82.65,RUCHIRA
2021-06-04,77.0,84.0,77.0,81.3,81.25,RUCHIRA
2021-06-03,70.0,79.8,69.75,76.5,76.85,RUCHIRA
2021-06-02,68.95,71.35,67.95,69.55,69.6,RUCHIRA
2021-06-01,68.3,69.6,67.0,68.5,68.65,RUCHIRA
2021-05-31,67.7,69.45,67.5,67.9,68.25,RUCHIRA
2021-05-28,68.45,68.7,67.05,67.3,67.45,RUCHIRA
2021-05-27,66.65,71.2,65.75,68.05,68.15,RUCHIRA
2021-05-26,67.95,68.55,66.3,66.45,66.5,RUCHIRA
2021-05-25,69.7,69.7,67.5,68.0,67.95,RUCHIRA
2021-05-24,67.0,68.5,65.65,68.05,68.3,RUCHIRA
2021-05-21,69.45,69.45,66.5,67.45,67.1,RUCHIRA
2021-05-20,67.2,70.5,65.85,67.5,67.1,RUCHIRA
2021-05-19,63.95,68.0,63.95,66.2,66.2,RUCHIRA
2021-05-18,64.0,66.35,62.85,63.6,63.7,RUCHIRA
2021-05-17,67.6,67.6,63.2,63.6,63.7,RUCHIRA
2021-05-14,67.9,67.9,64.5,65.15,65.2,RUCHIRA
2021-05-12,67.6,68.0,65.4,65.8,66.3,RUCHIRA
2021-05-11,64.75,70.15,63.0,67.5,67.5,RUCHIRA
2021-05-10,66.0,66.25,64.5,65.5,64.75,RUCHIRA
2021-05-07,64.5,67.4,64.5,66.5,65.45,RUCHIRA
2021-05-06,65.45,65.45,63.0,64.0,63.7,RUCHIRA
2021-05-05,67.3,67.75,64.1,64.3,64.45,RUCHIRA
2021-05-04,63.05,73.0,62.9,66.9,67.15,RUCHIRA
2021-05-03,63.0,64.95,61.85,62.65,62.8,RUCHIRA
2021-04-30,62.8,65.1,61.85,63.65,63.45,RUCHIRA
2021-04-29,61.3,62.35,60.5,62.2,61.75,RUCHIRA
2021-04-28,60.1,62.4,60.0,61.05,61.35,RUCHIRA
2021-04-27,60.9,61.0,59.25,61.0,60.75,RUCHIRA
2021-04-26,59.0,60.55,58.6,60.0,59.95,RUCHIRA
2021-04-23,59.15,59.5,58.45,58.75,59.0,RUCHIRA
2021-04-22,57.3,59.3,57.3,59.0,59.15,RUCHIRA
2021-04-20,59.7,61.75,56.5,57.15,57.75,RUCHIRA
2021-04-19,61.0,61.0,59.35,59.95,60.35,RUCHIRA
2021-04-16,61.2,62.85,60.1,61.0,60.95,RUCHIRA
2021-04-15,62.95,62.95,60.0,60.65,61.1,RUCHIRA
2021-04-13,61.0,62.7,61.0,61.45,61.5,RUCHIRA
2021-04-12,64.5,64.5,60.0,60.0,60.4,RUCHIRA
2021-04-09,64.4,65.7,63.7,64.55,64.8,RUCHIRA
2021-04-08,63.35,64.6,62.55,63.75,63.65,RUCHIRA
2021-04-07,62.6,64.0,62.05,62.5,62.35,RUCHIRA
2021-04-06,63.6,64.3,62.15,62.9,62.6,RUCHIRA
2021-04-05,63.15,63.15,60.8,62.25,61.8,RUCHIRA
2021-04-01,64.0,64.9,62.5,63.15,63.35,RUCHIRA
2021-03-31,63.05,64.9,61.15,63.9,62.05,RUCHIRA
2021-03-30,63.0,64.6,62.5,63.9,63.35,RUCHIRA
2021-03-26,63.3,63.3,61.5,63.0,62.85,RUCHIRA
2021-03-25,64.35,66.05,60.0,61.0,61.0,RUCHIRA
2021-03-24,67.7,67.7,63.5,65.5,64.95,RUCHIRA
2021-03-23,63.75,66.7,63.7,65.8,65.95,RUCHIRA
2021-03-22,67.0,67.5,63.0,63.5,63.75,RUCHIRA
2021-03-19,66.85,67.5,62.1,67.4,66.8,RUCHIRA
2021-03-18,72.0,72.2,64.1,66.55,66.4,RUCHIRA
2021-03-17,74.45,74.5,69.2,70.8,70.45,RUCHIRA
2021-03-16,71.95,75.9,71.55,72.5,72.8,RUCHIRA
2021-03-15,70.1,72.95,68.1,69.5,69.4,RUCHIRA
2021-03-12,69.25,72.45,68.25,68.75,68.7,RUCHIRA
2021-03-10,69.35,71.5,69.0,69.4,69.25,RUCHIRA
2021-03-09,71.55,72.3,69.1,70.2,70.35,RUCHIRA
2021-03-08,71.0,73.35,71.0,71.65,71.35,RUCHIRA
2021-03-05,71.0,72.7,70.4,72.0,71.1,RUCHIRA
2021-03-04,72.0,72.6,70.25,72.45,72.0,RUCHIRA
2021-03-03,72.95,74.7,70.7,71.75,72.1,RUCHIRA
2021-03-02,67.75,72.7,67.15,72.0,72.05,RUCHIRA
2021-03-01,66.0,68.85,64.0,67.0,67.1,RUCHIRA
2021-02-26,63.5,65.4,62.3,65.0,64.55,RUCHIRA
2021-02-25,64.55,64.9,63.3,63.7,63.8,RUCHIRA
2021-02-24,63.1,65.55,63.0,64.5,64.3,RUCHIRA
2021-02-23,64.0,65.55,63.6,63.9,63.85,RUCHIRA
2021-02-22,64.65,66.7,62.25,63.75,63.75,RUCHIRA
2021-02-19,65.75,66.8,63.6,64.5,64.4,RUCHIRA
2021-02-18,61.3,65.85,61.0,64.7,64.15,RUCHIRA
2021-02-17,59.2,63.55,59.1,63.0,62.35,RUCHIRA
2021-02-16,57.6,60.55,57.6,59.25,59.25,RUCHIRA
2021-02-15,60.0,60.0,57.85,58.1,58.3,RUCHIRA
2021-02-12,62.1,65.7,58.55,58.85,60.0,RUCHIRA
2021-02-11,60.65,62.5,59.3,61.6,61.55,RUCHIRA
2021-02-10,61.8,61.9,60.1,60.6,60.65,RUCHIRA
2021-02-09,60.2,62.05,60.2,60.25,61.05,RUCHIRA
2021-02-08,63.65,63.65,59.35,60.45,60.3,RUCHIRA
2021-02-05,61.25,63.0,61.25,62.5,62.5,RUCHIRA
2021-02-04,61.3,62.0,60.6,61.7,61.8,RUCHIRA
2021-02-03,63.35,63.35,60.05,61.0,60.8,RUCHIRA
2021-02-02,59.8,61.6,59.2,61.6,61.45,RUCHIRA
2020-12-16,63.95,66.7,63.0,65.0,65.3,RUCHIRA
2020-12-15,64.5,64.7,62.0,63.95,64.1,RUCHIRA
2020-12-14,67.1,67.1,64.2,64.7,64.65,RUCHIRA
2020-12-11,66.65,67.85,64.6,66.5,65.75,RUCHIRA
2020-12-10,69.0,69.0,64.0,66.05,66.65,RUCHIRA
2020-12-09,71.0,71.55,67.3,68.9,68.85,RUCHIRA
2020-12-08,70.0,74.3,69.35,71.1,71.5,RUCHIRA
2020-12-07,56.9,67.55,56.9,67.55,67.55,RUCHIRA
2020-12-04,58.55,58.8,52.4,56.3,56.3,RUCHIRA
2020-12-03,58.25,60.0,55.55,57.7,58.15,RUCHIRA
2020-12-02,57.0,60.1,56.45,58.3,58.25,RUCHIRA
2020-12-01,51.75,55.25,51.75,55.25,55.25,RUCHIRA
2020-11-27,50.0,50.35,48.8,50.2,50.25,RUCHIRA
2020-11-26,49.35,50.35,48.9,49.9,49.45,RUCHIRA
2020-11-25,51.8,51.8,48.8,49.05,49.25,RUCHIRA
2020-11-24,50.8,51.0,49.2,50.0,50.25,RUCHIRA
2020-11-23,50.15,50.7,49.05,49.65,49.6,RUCHIRA
2020-11-20,50.55,51.45,48.1,50.1,50.05,RUCHIRA
2020-11-19,49.85,51.65,48.7,50.05,50.05,RUCHIRA
2020-11-18,48.4,49.9,47.5,49.8,49.6,RUCHIRA
2020-11-17,47.1,48.0,46.05,48.0,47.45,RUCHIRA
2020-11-14,46.4,47.15,45.75,47.15,47.1,RUCHIRA
2020-11-13,45.55,46.5,45.5,46.2,46.35,RUCHIRA
2020-11-12,45.5,46.6,45.5,46.05,46.1,RUCHIRA
2020-11-11,47.85,47.85,45.75,45.85,46.05,RUCHIRA
2020-11-10,46.75,48.95,46.05,46.9,47.15,RUCHIRA
2020-11-09,48.2,49.35,45.0,47.0,47.1,RUCHIRA
2020-11-06,46.3,49.3,46.3,47.5,47.5,RUCHIRA
