DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-23,477.0,481.95,460.05,469.75,470.05,519.95,150.2,RUPA
2021-07-22,477.8,487.9,466.0,472.0,475.3,519.95,150.2,RUPA
2021-07-20,476.0,483.0,465.2,474.0,473.8,519.95,150.2,RUPA
2021-07-19,481.0,482.0,475.55,479.85,478.85,519.95,150.2,RUPA
2021-07-16,487.0,489.0,478.0,479.7,480.25,519.95,150.2,RUPA
2021-07-15,487.2,493.0,482.0,482.0,483.7,519.95,150.2,RUPA
2021-07-14,484.85,499.0,481.0,486.0,486.75,519.95,150.2,RUPA
2021-07-13,472.0,492.85,467.1,481.9,484.05,519.95,150.2,RUPA
2021-07-12,480.0,488.4,465.25,472.0,470.7,519.95,150.2,RUPA
2021-07-09,478.85,485.8,475.0,476.6,478.9,519.95,150.2,RUPA
2021-07-08,482.0,488.0,471.25,477.0,476.3,519.95,150.2,RUPA
2021-07-07,482.0,491.5,475.0,481.0,482.65,519.95,150.2,RUPA
2021-07-06,507.8,510.0,475.0,481.5,481.55,519.95,150.2,RUPA
2021-07-05,500.7,518.0,496.05,503.0,504.75,519.95,150.2,RUPA
2021-07-02,481.4,519.95,476.0,495.8,495.25,519.95,150.2,RUPA
2021-07-01,476.85,486.95,472.1,476.25,479.85,506.9,150.2,RUPA
2021-06-30,482.0,493.0,471.55,473.45,473.2,506.9,150.2,RUPA
2021-06-29,483.75,484.0,478.1,481.25,481.5,506.9,150.2,RUPA
2021-06-28,484.5,486.95,477.5,480.5,482.15,506.9,150.2,RUPA
2021-06-25,483.5,483.85,476.05,479.0,479.35,506.9,150.2,RUPA
2021-06-24,484.4,487.85,477.55,480.0,482.65,506.9,150.2,RUPA
2021-06-23,489.3,493.0,479.1,485.0,484.4,506.9,150.2,RUPA
2021-06-22,458.0,499.0,458.0,483.0,482.35,506.9,150.2,RUPA
2021-06-21,454.9,459.7,448.05,455.1,456.4,506.9,150.2,RUPA
2021-06-18,475.25,478.9,435.0,466.0,459.0,506.9,150.2,RUPA
2021-06-17,479.0,484.6,468.2,475.0,473.75,506.9,150.2,RUPA
2021-06-16,485.95,487.7,478.0,479.0,480.6,506.9,150.2,RUPA
2021-06-15,475.0,485.0,467.85,485.0,483.75,506.9,150.2,RUPA
2021-06-14,478.1,478.1,462.75,472.0,473.05,506.9,150.2,RUPA
2021-06-11,484.7,485.7,467.2,472.0,471.4,506.9,150.2,RUPA
2021-06-10,477.7,485.2,476.0,481.25,481.45,506.9,150.2,RUPA
2021-06-09,481.0,488.0,468.0,474.0,473.4,506.9,150.2,RUPA
2021-06-08,462.7,489.0,448.7,479.3,480.45,506.9,150.2,RUPA
2021-06-07,478.3,482.5,457.0,461.0,460.0,506.9,150.2,RUPA
2021-06-04,487.0,489.9,472.0,476.3,477.0,506.9,146.3,RUPA
2021-06-03,474.0,506.9,470.75,477.9,479.4,506.9,146.3,RUPA
2021-06-02,489.95,504.9,472.0,477.0,478.65,504.9,146.3,RUPA
2021-06-01,458.0,476.15,442.0,476.15,476.15,476.15,146.3,RUPA
2021-05-31,412.7,427.7,390.0,393.45,396.8,427.7,146.3,RUPA
2021-05-28,384.95,418.9,368.0,409.8,411.95,418.9,140.1,RUPA
2021-05-27,341.0,383.0,340.05,376.0,374.95,383.0,140.1,RUPA
2021-05-26,339.9,360.0,327.45,332.4,333.85,361.75,140.1,RUPA
2021-05-25,332.0,336.05,322.0,324.5,324.85,361.75,140.1,RUPA
2021-05-24,321.9,333.0,320.05,325.0,328.4,361.75,140.1,RUPA
2021-05-21,321.0,328.5,318.0,321.0,320.25,361.75,137.55,RUPA
2021-05-20,317.8,332.0,317.75,319.0,320.1,361.75,137.55,RUPA
2021-05-19,311.0,345.0,308.15,315.0,315.3,361.75,137.55,RUPA
2021-05-18,308.25,313.0,307.55,309.95,309.6,361.75,137.55,RUPA
2021-05-17,308.95,312.0,304.7,306.05,306.7,361.75,137.55,RUPA
2021-05-14,308.3,314.95,304.75,306.95,305.3,361.75,137.55,RUPA
2021-05-12,317.5,317.5,305.0,306.65,306.75,361.75,137.55,RUPA
2021-05-11,302.0,323.7,301.0,308.2,308.55,361.75,137.55,RUPA
2021-05-10,297.1,309.8,296.0,306.0,305.65,361.75,137.55,RUPA
2021-05-07,295.2,298.75,293.65,297.0,295.1,361.75,120.0,RUPA
2021-05-06,295.6,298.0,293.5,298.0,296.2,361.75,120.0,RUPA
2021-05-05,294.15,299.0,292.0,294.85,293.55,361.75,120.0,RUPA
2021-05-04,299.75,299.75,291.7,295.0,292.85,361.75,120.0,RUPA
2021-05-03,289.5,297.1,289.5,292.8,293.1,361.75,120.0,RUPA
2021-04-30,302.75,303.7,297.1,297.1,298.85,361.75,120.0,RUPA
2021-04-29,310.0,310.0,301.15,301.25,302.7,361.75,120.0,RUPA
2021-04-28,304.0,308.3,302.45,304.0,305.25,361.75,120.0,RUPA
2021-04-27,297.95,302.4,297.95,300.9,299.4,361.75,120.0,RUPA
2021-04-26,300.1,303.05,295.5,297.9,297.35,361.75,120.0,RUPA
2021-04-23,293.9,302.0,291.8,298.5,298.7,361.75,120.0,RUPA
2021-04-22,298.05,300.0,292.15,294.8,294.5,361.75,120.0,RUPA
2021-04-20,299.9,304.0,293.65,297.0,297.35,361.75,120.0,RUPA
2021-04-19,295.15,302.0,292.7,296.0,298.35,361.75,120.0,RUPA
2021-04-16,297.9,308.0,297.0,302.0,302.65,361.75,120.0,RUPA
2021-04-15,297.5,302.65,294.75,296.65,296.4,361.75,120.0,RUPA
2021-04-13,297.45,305.0,296.1,298.8,298.2,361.75,120.0,RUPA
2021-04-12,306.0,306.0,293.45,295.5,295.95,361.75,120.0,RUPA
2021-04-09,309.7,316.35,308.5,311.2,310.15,361.75,120.0,RUPA
2021-04-08,308.2,316.05,307.1,307.9,308.85,361.75,120.0,RUPA
2021-04-07,297.0,308.05,297.0,307.1,306.45,361.75,120.0,RUPA
2021-04-06,298.2,305.9,291.4,299.95,299.75,361.75,120.0,RUPA
2021-04-05,307.0,308.9,294.7,296.0,296.6,361.75,120.0,RUPA
2021-04-01,309.9,312.45,306.0,306.0,307.5,361.75,112.0,RUPA
