DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,31.7,31.95,31.5,31.55,31.55,RVNL
2021-07-15,31.9,32.05,31.6,31.75,31.75,RVNL
2021-07-14,32.1,32.15,31.75,31.85,31.85,RVNL
2021-07-13,32.5,32.5,32.0,32.1,32.05,RVNL
2021-07-12,32.3,32.4,32.05,32.25,32.2,RVNL
2021-07-09,32.3,32.45,32.0,32.15,32.15,RVNL
2021-07-08,32.0,33.45,31.85,32.4,32.3,RVNL
2021-07-07,31.95,32.5,31.55,32.1,32.05,RVNL
2021-07-06,32.3,32.4,31.8,31.95,31.9,RVNL
2021-07-05,32.45,32.5,32.1,32.3,32.25,RVNL
2021-07-02,32.6,32.85,32.1,32.2,32.2,RVNL
2021-07-01,34.0,34.0,32.45,32.75,32.6,RVNL
2021-06-30,33.5,34.5,33.4,33.75,33.7,RVNL
2021-06-29,32.75,33.5,32.55,32.8,32.85,RVNL
2021-06-28,32.9,33.2,32.5,32.6,32.55,RVNL
2021-06-25,32.45,33.3,32.4,32.6,32.7,RVNL
2021-06-24,32.25,32.9,32.1,32.3,32.3,RVNL
2021-06-23,32.35,32.7,31.85,32.15,32.05,RVNL
2021-06-22,32.5,32.9,32.05,32.2,32.15,RVNL
2021-06-21,30.95,32.45,30.6,32.3,32.2,RVNL
2021-06-18,32.1,32.1,30.45,31.35,31.3,RVNL
2021-06-17,32.3,32.85,31.65,31.85,31.85,RVNL
2021-06-16,32.9,33.25,32.2,32.35,32.4,RVNL
2021-06-15,33.8,34.0,32.55,32.75,32.7,RVNL
2021-06-14,31.95,33.7,30.7,33.5,33.4,RVNL
2021-06-11,31.65,32.35,31.55,31.85,31.8,RVNL
2021-06-10,31.45,31.75,31.25,31.45,31.45,RVNL
2021-06-09,31.6,32.5,30.65,31.15,31.1,RVNL
2021-06-08,31.85,31.9,31.0,31.5,31.45,RVNL
2021-06-07,31.1,32.1,31.0,31.6,31.55,RVNL
2021-06-04,29.95,31.85,29.5,30.8,30.65,RVNL
2021-06-03,29.95,30.1,29.6,29.8,29.8,RVNL
2021-06-02,29.5,30.05,29.4,29.75,29.7,RVNL
2021-06-01,29.85,29.85,29.2,29.35,29.3,RVNL
2021-05-31,29.5,29.65,29.15,29.5,29.5,RVNL
2021-05-28,29.65,29.8,28.65,29.0,28.9,RVNL
2021-05-27,29.95,30.1,29.55,29.6,29.6,RVNL
2021-05-26,30.1,30.35,29.9,30.05,29.95,RVNL
2021-05-25,30.4,30.55,29.9,30.05,30.0,RVNL
2021-05-24,30.25,30.85,29.9,30.15,30.1,RVNL
2021-05-21,30.0,30.35,29.85,29.9,29.95,RVNL
2021-05-20,29.75,30.4,29.4,29.85,29.8,RVNL
2021-05-19,29.25,30.1,29.25,29.6,29.6,RVNL
2021-05-18,29.3,29.7,29.25,29.3,29.3,RVNL
2021-05-17,29.45,29.7,29.2,29.35,29.3,RVNL
2021-05-14,29.85,30.2,29.1,29.25,29.2,RVNL
2021-05-12,29.45,30.4,29.3,29.6,29.6,RVNL
2021-05-11,28.8,29.6,28.6,29.35,29.35,RVNL
2021-05-10,28.25,29.3,28.15,29.05,28.95,RVNL
2021-05-07,28.45,28.7,28.1,28.15,28.15,RVNL
2021-05-06,28.4,29.15,28.15,28.25,28.4,RVNL
2021-05-05,28.5,28.6,28.1,28.35,28.3,RVNL
2021-05-04,27.9,29.2,27.7,28.05,28.05,RVNL
2021-05-03,27.05,27.8,26.9,27.7,27.55,RVNL
2021-04-30,27.25,27.65,27.05,27.1,27.2,RVNL
2021-04-29,27.95,27.95,27.2,27.3,27.3,RVNL
2021-04-28,27.6,27.95,27.5,27.7,27.7,RVNL
2021-04-27,26.75,27.7,26.65,27.35,27.45,RVNL
2021-04-26,26.75,27.0,26.55,26.6,26.65,RVNL
2021-04-23,26.7,26.9,26.35,26.55,26.5,RVNL
2021-04-22,26.85,26.85,26.45,26.6,26.5,RVNL
2021-04-20,26.9,27.35,26.55,26.6,26.75,RVNL
2021-04-19,26.7,27.0,26.35,26.7,26.75,RVNL
2021-04-16,27.35,28.15,27.2,27.65,27.7,RVNL
2021-04-15,27.3,27.7,26.9,27.3,27.25,RVNL
2021-04-13,27.05,27.7,26.85,27.45,27.45,RVNL
2021-04-12,28.4,28.5,27.0,27.1,27.05,RVNL
2021-04-09,29.45,29.7,29.0,29.15,29.1,RVNL
2021-04-08,29.4,29.75,29.35,29.6,29.45,RVNL
2021-04-07,30.0,30.6,29.8,30.55,30.35,RVNL
2021-04-06,29.8,30.15,29.35,30.05,30.0,RVNL
2021-04-05,29.7,30.2,28.8,29.7,29.5,RVNL
2021-04-01,29.3,30.2,29.2,29.7,29.65,RVNL
