DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-28,16.0,16.25,15.6,15.7,41.6,14.8,SADBHIN
2021-10-27,16.0,16.4,15.75,16.05,41.6,14.8,SADBHIN
2021-10-26,15.65,16.0,15.5,15.9,41.6,14.8,SADBHIN
2021-10-25,16.05,16.1,15.45,15.7,41.6,14.8,SADBHIN
2021-10-22,16.2,16.45,15.8,16.05,41.6,14.8,SADBHIN
2021-10-21,16.45,16.45,15.7,16.0,41.6,14.8,SADBHIN
2021-10-20,17.2,17.2,16.1,16.15,41.6,14.8,SADBHIN
2021-10-19,17.95,18.4,16.85,16.9,41.6,14.8,SADBHIN
2021-10-18,17.5,17.7,17.0,17.7,41.6,14.8,SADBHIN
2021-10-14,16.2,16.9,16.0,16.9,41.6,14.8,SADBHIN
2021-10-13,16.15,16.2,15.65,16.1,41.6,14.8,SADBHIN
2021-10-12,16.0,16.45,15.8,15.9,41.6,14.8,SADBHIN
2021-10-11,16.1,16.25,15.8,15.95,41.6,14.8,SADBHIN
2021-10-08,16.15,16.2,15.9,15.95,41.6,14.8,SADBHIN
2021-10-07,16.1,16.35,15.9,16.0,41.6,14.8,SADBHIN
2021-10-06,16.25,16.4,15.95,16.1,41.6,14.8,SADBHIN
2021-10-05,16.45,16.45,15.9,16.05,41.6,14.8,SADBHIN
2021-10-04,16.25,16.45,16.1,16.3,41.6,14.8,SADBHIN
2021-10-01,16.6,16.7,15.95,16.1,41.6,14.8,SADBHIN
2021-09-30,16.05,16.7,15.95,16.65,41.6,14.8,SADBHIN
2021-09-29,16.05,16.2,15.6,15.95,41.6,14.8,SADBHIN
2021-09-28,16.05,16.3,15.7,16.05,41.6,14.8,SADBHIN
2021-09-27,16.0,16.2,15.7,15.85,41.6,14.8,SADBHIN
2021-09-24,16.55,16.95,15.75,15.9,41.6,14.8,SADBHIN
2021-09-23,16.35,16.9,16.35,16.55,41.6,14.8,SADBHIN
2021-09-22,16.3,16.6,16.3,16.45,41.6,14.8,SADBHIN
2021-09-21,16.4,16.7,16.15,16.3,41.6,14.8,SADBHIN
2021-09-20,17.5,17.95,16.95,16.95,41.6,14.8,SADBHIN
2021-09-17,18.05,18.25,16.8,17.8,41.6,14.8,SADBHIN
2021-09-16,17.4,17.4,17.05,17.4,41.6,14.8,SADBHIN
2021-09-15,16.25,16.6,15.85,16.6,41.6,14.8,SADBHIN
2021-09-14,15.55,16.0,14.85,15.85,41.6,14.8,SADBHIN
2021-09-13,15.75,16.1,15.0,15.3,41.6,14.8,SADBHIN
2021-09-09,16.65,16.7,15.75,15.75,41.6,14.8,SADBHIN
2021-09-08,16.8,17.0,16.35,16.55,41.6,14.8,SADBHIN
2021-09-07,16.4,16.85,15.85,16.45,41.6,14.8,SADBHIN
2021-09-06,17.3,17.45,16.4,16.45,41.6,14.8,SADBHIN
2021-09-03,17.5,17.8,16.85,16.95,41.6,14.8,SADBHIN
2021-09-02,18.2,18.35,17.4,17.45,41.6,14.8,SADBHIN
2021-09-01,17.75,17.75,17.15,17.75,41.6,14.8,SADBHIN
