DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,788.7,788.7,756.0,770.0,763.4,SAFARI
2021-07-15,769.65,799.9,765.1,783.4,781.8,SAFARI
2021-07-14,789.85,791.95,761.0,770.0,769.3,SAFARI
2021-07-13,761.9,842.45,761.9,791.15,783.3,SAFARI
2021-07-12,695.0,760.0,687.15,751.9,751.7,SAFARI
2021-07-09,687.95,698.0,685.55,690.0,689.7,SAFARI
2021-07-08,692.0,700.0,681.75,690.0,687.2,SAFARI
2021-07-07,695.0,715.0,680.1,688.85,691.35,SAFARI
2021-07-06,670.2,700.0,670.2,690.0,683.95,SAFARI
2021-07-05,666.6,685.0,659.95,677.0,678.35,SAFARI
2021-07-02,662.95,685.0,660.05,672.4,666.6,SAFARI
2021-07-01,659.0,690.0,657.0,663.0,661.55,SAFARI
2021-06-30,659.0,663.95,651.35,656.4,658.35,SAFARI
2021-06-29,645.3,664.0,645.3,658.0,655.85,SAFARI
2021-06-28,654.85,659.0,643.1,648.0,645.3,SAFARI
2021-06-25,647.4,671.95,642.25,648.0,650.25,SAFARI
2021-06-24,652.5,652.5,642.3,647.0,644.0,SAFARI
2021-06-23,658.05,659.85,646.0,648.0,647.95,SAFARI
2021-06-22,679.0,679.0,648.2,655.05,653.8,SAFARI
2021-06-21,670.0,690.0,652.55,665.0,660.1,SAFARI
2021-06-18,666.25,684.0,650.0,680.0,673.1,SAFARI
2021-06-17,672.0,683.75,661.15,667.0,665.7,SAFARI
2021-06-16,689.9,689.9,667.7,673.75,674.65,SAFARI
2021-06-15,678.0,705.0,675.0,681.0,679.4,SAFARI
2021-06-14,683.0,698.95,650.5,685.5,685.0,SAFARI
2021-06-11,700.0,705.55,680.05,684.0,681.95,SAFARI
2021-06-10,665.9,690.0,664.15,690.0,684.65,SAFARI
2021-06-09,668.0,679.45,642.15,660.0,652.75,SAFARI
2021-06-08,678.75,685.75,669.0,671.0,670.9,SAFARI
2021-06-07,684.05,699.0,671.25,682.9,678.75,SAFARI
2021-06-04,680.7,699.15,665.85,682.0,678.05,SAFARI
2021-06-03,696.0,717.85,674.65,686.65,680.7,SAFARI
2021-06-02,688.0,690.0,655.0,678.25,674.6,SAFARI
2021-06-01,620.0,705.0,610.5,666.0,682.3,SAFARI
2021-05-31,620.0,627.0,596.55,610.7,612.15,SAFARI
2021-05-28,612.0,620.0,603.05,609.0,615.9,SAFARI
2021-05-27,616.0,625.75,601.05,611.0,606.95,SAFARI
2021-05-26,620.95,630.0,610.05,615.0,613.4,SAFARI
2021-05-25,613.2,631.2,611.9,620.0,621.45,SAFARI
2021-05-24,617.0,624.5,602.4,611.9,607.9,SAFARI
2021-05-21,586.9,639.5,584.2,616.2,618.6,SAFARI
2021-05-20,585.55,587.95,569.1,582.0,581.6,SAFARI
2021-05-19,585.95,595.0,567.0,582.0,578.95,SAFARI
2021-05-18,596.6,598.95,578.0,579.5,580.35,SAFARI
2021-05-17,593.45,614.55,587.7,588.5,588.7,SAFARI
2021-05-14,600.0,608.0,576.0,589.0,585.0,SAFARI
2021-05-12,595.4,604.7,591.05,593.9,592.1,SAFARI
2021-05-11,593.0,603.05,591.95,596.0,600.1,SAFARI
2021-05-10,605.0,612.05,592.0,598.3,596.0,SAFARI
2021-05-07,616.0,616.0,588.6,599.9,599.45,SAFARI
2021-05-06,608.3,623.45,601.0,606.0,609.1,SAFARI
2021-05-05,611.8,613.85,590.5,608.0,602.55,SAFARI
2021-05-04,631.85,631.85,607.25,611.0,611.6,SAFARI
2021-05-03,610.35,618.7,600.1,610.0,609.95,SAFARI
2021-04-30,605.0,625.0,590.0,620.0,619.65,SAFARI
2021-04-29,611.45,615.15,593.3,600.0,601.25,SAFARI
2021-04-28,610.15,624.9,602.25,613.0,611.4,SAFARI
2021-04-27,605.85,625.0,601.4,610.0,611.25,SAFARI
2021-04-26,580.0,615.0,580.0,610.05,605.85,SAFARI
2021-04-23,598.4,598.4,576.0,585.5,582.55,SAFARI
2021-04-22,571.85,599.5,571.65,582.0,586.25,SAFARI
2021-04-20,566.25,585.75,556.0,581.0,575.1,SAFARI
2021-04-19,569.0,574.95,544.05,573.0,563.4,SAFARI
2021-04-16,569.0,575.0,553.65,572.5,573.45,SAFARI
2021-04-15,567.0,572.7,542.05,557.0,560.75,SAFARI
2021-04-13,582.05,593.25,556.85,564.7,563.1,SAFARI
2021-04-12,615.0,615.0,570.0,591.7,588.45,SAFARI
2021-04-09,630.0,630.0,610.05,619.75,616.3,SAFARI
2021-04-08,620.55,646.5,620.0,622.0,622.8,SAFARI
2021-04-07,639.0,640.0,618.15,635.0,631.35,SAFARI
2021-04-06,604.5,639.7,579.0,627.0,621.0,SAFARI
2021-04-05,608.4,616.8,590.0,600.5,600.0,SAFARI
2021-04-01,606.2,629.45,605.1,612.25,615.75,SAFARI
2021-03-31,602.0,609.8,596.0,605.0,606.25,SAFARI
2021-03-30,612.7,612.7,595.0,596.0,598.55,SAFARI
2021-03-26,629.4,629.4,607.25,614.3,612.7,SAFARI
2021-03-25,606.0,621.65,585.0,620.0,616.85,SAFARI
2021-03-24,631.7,631.7,607.25,611.1,611.75,SAFARI
2021-03-23,631.95,645.0,620.55,632.85,631.1,SAFARI
2021-03-22,651.8,662.35,622.2,626.4,626.3,SAFARI
2021-03-19,652.35,658.15,613.65,650.05,651.55,SAFARI
2021-03-18,681.85,681.9,650.0,652.5,652.35,SAFARI
2021-03-17,714.0,715.0,650.1,670.0,663.35,SAFARI
2021-03-16,684.95,730.0,660.15,692.0,695.1,SAFARI
2021-03-15,651.05,683.35,651.05,669.95,663.95,SAFARI
2021-03-12,654.5,660.0,650.0,650.0,650.35,SAFARI
2021-03-10,655.0,664.8,650.0,650.05,650.35,SAFARI
2021-03-09,669.45,677.5,650.0,650.1,653.25,SAFARI
2021-03-08,685.0,699.95,655.55,657.5,661.7,SAFARI
2021-03-05,680.8,709.7,676.05,690.0,682.85,SAFARI
2021-03-04,680.0,699.85,674.05,674.05,678.25,SAFARI
2021-03-03,668.0,685.0,668.0,682.0,681.0,SAFARI
2021-03-02,660.0,684.0,650.15,670.0,668.7,SAFARI
2021-03-01,623.0,661.9,623.0,659.0,650.6,SAFARI
2021-02-26,616.05,645.65,616.05,640.0,637.55,SAFARI
2021-02-25,614.6,676.0,612.5,632.0,636.25,SAFARI
2021-02-24,622.0,634.0,575.0,608.0,611.05,SAFARI
2021-02-23,616.75,625.0,609.1,621.35,613.15,SAFARI
2021-02-22,624.8,624.8,606.2,607.0,611.9,SAFARI
2021-02-19,615.9,624.95,594.45,604.25,606.65,SAFARI
2021-02-18,620.0,624.9,602.2,606.4,607.0,SAFARI
2021-02-17,588.8,630.0,582.0,614.0,613.2,SAFARI
2021-02-16,630.0,650.0,582.55,591.0,590.65,SAFARI
2021-02-15,555.05,618.95,555.05,589.0,587.55,SAFARI
2021-02-12,550.0,560.0,518.55,554.0,544.0,SAFARI
2021-02-11,555.05,565.0,544.1,550.0,548.25,SAFARI
2021-02-10,557.35,563.5,552.0,552.0,555.35,SAFARI
2021-02-09,562.85,565.0,553.2,565.0,562.8,SAFARI
2021-02-08,565.0,565.0,552.4,560.0,562.85,SAFARI
2021-02-05,555.0,565.0,550.25,550.25,556.35,SAFARI
2021-02-04,555.0,565.0,550.0,555.0,553.4,SAFARI
2021-02-03,553.9,560.5,546.6,555.0,556.6,SAFARI
2021-02-02,555.65,565.0,544.1,544.1,551.25,SAFARI
2021-02-01,545.05,560.0,535.6,553.45,555.65,SAFARI
2021-01-29,547.05,553.45,536.1,542.05,549.9,SAFARI
2021-01-28,524.95,550.0,522.05,540.0,545.6,SAFARI
2021-01-27,535.0,541.75,526.35,530.3,528.55,SAFARI
2021-01-25,562.0,565.85,536.1,539.95,541.15,SAFARI
2021-01-22,563.25,567.35,535.0,550.0,549.4,SAFARI
2021-01-21,563.0,574.3,558.0,563.35,566.25,SAFARI
2021-01-20,566.0,570.0,553.05,560.0,560.3,SAFARI
2021-01-19,537.55,575.0,536.5,565.0,566.0,SAFARI
2021-01-18,543.4,568.35,532.5,540.0,539.75,SAFARI
2021-01-15,546.5,559.9,536.3,549.0,549.85,SAFARI
2021-01-14,556.1,562.15,552.3,555.05,555.8,SAFARI
2021-01-13,558.6,571.0,555.0,555.0,555.35,SAFARI
2021-01-12,557.0,571.75,555.65,557.75,558.45,SAFARI
2021-01-11,557.45,571.9,555.0,558.0,558.65,SAFARI
2021-01-08,554.25,560.0,546.0,555.0,556.35,SAFARI
2021-01-07,563.0,589.9,550.0,557.6,554.2,SAFARI
2021-01-06,528.95,595.0,526.3,555.05,560.6,SAFARI
2021-01-05,523.3,532.2,520.85,528.0,526.15,SAFARI
2021-01-04,538.0,538.0,520.0,529.0,532.2,SAFARI
2021-01-01,507.0,537.0,507.0,528.0,529.05,SAFARI
2020-12-31,526.8,526.8,473.65,517.0,517.95,SAFARI
2020-12-30,520.1,534.35,515.3,528.3,525.7,SAFARI
2020-12-29,529.0,539.6,517.15,520.3,524.55,SAFARI
2020-12-28,521.3,538.95,517.55,525.25,523.7,SAFARI
2020-12-24,517.0,534.95,517.0,523.0,521.3,SAFARI
2020-12-23,509.0,522.95,509.0,515.0,514.75,SAFARI
2020-12-22,519.0,520.0,452.3,514.0,509.65,SAFARI
2020-12-21,565.0,565.0,495.1,512.5,503.75,SAFARI
2020-12-18,551.0,567.7,548.35,554.0,556.2,SAFARI
2020-12-17,553.7,560.0,542.0,547.85,549.45,SAFARI
2020-12-16,548.0,550.9,521.2,545.0,545.65,SAFARI
2020-12-15,551.0,557.4,536.2,542.0,541.6,SAFARI
2020-12-14,566.0,567.9,540.05,547.8,547.0,SAFARI
2020-12-11,556.0,569.0,546.05,569.0,564.0,SAFARI
2020-12-10,568.0,578.0,552.0,556.7,555.4,SAFARI
2020-12-09,580.0,588.9,555.05,566.0,564.25,SAFARI
2020-12-08,612.0,644.0,565.0,576.1,582.05,SAFARI
2020-12-07,535.0,637.7,530.95,614.0,612.0,SAFARI
2020-12-04,550.0,550.15,520.15,534.95,531.45,SAFARI
2020-12-03,517.0,550.0,517.0,537.1,538.15,SAFARI
2020-12-02,544.0,544.0,514.0,515.05,521.55,SAFARI
2020-12-01,550.0,555.1,528.0,532.8,530.4,SAFARI
2020-11-27,547.0,554.95,536.95,545.0,541.15,SAFARI
2020-11-26,555.0,555.0,533.0,536.1,535.9,SAFARI
2020-11-25,525.0,553.8,520.4,546.05,546.8,SAFARI
2020-11-24,525.2,537.5,509.0,525.75,521.75,SAFARI
2020-11-23,547.95,547.95,520.05,522.2,525.2,SAFARI
2020-11-20,550.0,567.95,535.0,547.5,542.45,SAFARI
2020-11-19,515.0,588.0,509.05,554.0,547.55,SAFARI
2020-11-18,480.15,530.0,475.0,529.0,515.05,SAFARI
2020-11-17,478.95,482.0,470.25,480.0,480.15,SAFARI
2020-11-14,464.8,474.0,464.7,473.8,471.9,SAFARI
2020-11-13,464.95,469.0,453.65,464.0,461.75,SAFARI
2020-11-12,451.0,464.65,450.05,461.5,461.7,SAFARI
2020-11-11,456.95,465.95,451.2,454.5,456.4,SAFARI
2020-11-10,470.0,475.0,441.25,453.95,453.0,SAFARI
2020-11-09,467.65,472.85,454.35,455.55,458.95,SAFARI
2020-11-06,500.0,507.65,462.1,467.85,467.55,SAFARI
2020-11-05,472.6,522.0,460.0,518.15,500.75,SAFARI
2020-11-04,434.0,475.0,429.5,460.0,463.3,SAFARI
2020-11-03,431.95,438.05,416.1,428.0,430.85,SAFARI
2020-11-02,410.7,434.0,408.5,418.0,424.9,SAFARI
2020-10-30,419.8,419.8,410.0,412.0,412.3,SAFARI
2020-10-29,413.05,420.8,405.25,411.25,411.9,SAFARI
2020-10-28,421.9,421.9,410.0,417.0,413.05,SAFARI
2020-10-27,411.05,425.4,406.4,418.0,419.5,SAFARI
2020-10-26,413.65,426.0,412.7,417.0,418.55,SAFARI
2020-10-23,412.0,427.0,412.0,418.0,418.8,SAFARI
2020-10-22,406.2,421.75,406.2,419.95,418.7,SAFARI
2020-10-21,415.95,415.95,407.1,409.0,409.8,SAFARI
2020-10-20,405.25,413.8,405.2,406.0,407.65,SAFARI
2020-10-19,410.4,414.95,403.95,405.25,407.95,SAFARI
2020-10-16,417.0,417.0,409.25,410.0,410.1,SAFARI
2020-10-15,417.0,417.0,406.75,410.0,410.1,SAFARI
2020-10-14,409.0,416.9,407.15,411.0,411.15,SAFARI
2020-10-13,409.3,413.05,400.15,407.9,407.7,SAFARI
2020-10-12,413.7,413.7,398.0,403.95,400.1,SAFARI
2020-10-09,405.0,420.0,396.0,406.5,409.95,SAFARI
2020-10-08,409.1,409.1,397.3,402.0,399.8,SAFARI
2020-10-07,402.15,403.65,397.5,399.1,400.45,SAFARI
2020-10-06,397.1,413.0,397.1,401.2,403.85,SAFARI
2020-10-05,409.0,410.0,397.25,406.05,407.85,SAFARI
2020-10-01,390.4,407.2,390.4,407.2,404.95,SAFARI
2020-09-30,390.0,395.95,389.9,390.05,392.15,SAFARI
2020-09-29,395.0,397.0,388.4,392.0,390.85,SAFARI
2020-09-28,396.0,396.0,390.0,392.0,392.95,SAFARI
2020-09-25,390.0,395.95,383.0,385.5,392.85,SAFARI
2020-09-24,385.95,391.45,373.05,388.9,387.8,SAFARI
2020-09-23,386.5,392.75,356.0,389.95,389.25,SAFARI
2020-09-22,378.55,383.95,357.55,383.0,374.55,SAFARI
2020-09-21,397.95,402.25,372.05,379.0,378.15,SAFARI
2020-09-18,406.0,410.0,395.0,396.0,397.5,SAFARI
2020-09-17,406.9,406.9,397.0,397.2,400.8,SAFARI
2020-09-16,408.0,410.95,401.05,408.85,405.55,SAFARI
2020-09-15,410.0,414.0,401.0,405.95,405.3,SAFARI
2020-09-14,389.0,414.0,377.55,409.5,408.6,SAFARI
2020-09-11,386.2,392.0,371.0,380.5,381.15,SAFARI
2020-09-10,386.45,400.3,378.0,387.7,386.05,SAFARI
2020-09-09,385.0,396.95,380.3,386.9,386.55,SAFARI
2020-09-08,399.0,410.0,387.1,387.1,392.15,SAFARI
2020-09-07,403.0,404.8,390.75,396.5,395.6,SAFARI
2020-09-04,394.0,419.0,390.5,403.0,402.6,SAFARI
2020-09-03,410.0,410.0,397.0,397.0,400.45,SAFARI
2020-09-02,416.6,420.8,405.1,406.2,407.5,SAFARI
2020-09-01,401.95,419.0,398.8,416.5,415.4,SAFARI
2020-08-31,439.0,439.0,387.95,400.1,401.95,SAFARI
2020-08-28,429.95,433.7,416.5,423.0,424.1,SAFARI
2020-08-27,437.0,446.0,410.25,426.7,424.4,SAFARI
2020-08-26,406.95,484.7,394.05,429.95,431.2,SAFARI
2020-08-25,425.0,434.7,396.3,403.0,403.95,SAFARI
2020-08-24,374.7,431.75,374.1,409.95,416.45,SAFARI
2020-08-21,377.0,396.0,365.05,374.1,371.95,SAFARI
2020-08-20,358.2,378.4,350.55,371.95,372.95,SAFARI
2020-08-19,358.25,361.95,357.1,360.0,359.8,SAFARI
2020-08-18,360.0,372.95,355.0,359.0,359.65,SAFARI
2020-08-17,362.8,362.8,343.95,358.7,360.35,SAFARI
2020-08-14,362.9,364.9,357.55,360.0,359.85,SAFARI
2020-08-13,362.5,365.0,358.0,360.85,359.45,SAFARI
2020-08-12,361.3,362.5,358.5,360.15,359.9,SAFARI
2020-08-11,364.95,364.95,360.05,361.0,361.35,SAFARI
2020-08-10,363.3,366.95,358.0,360.9,360.45,SAFARI
2020-08-07,359.0,365.0,357.8,360.0,360.25,SAFARI
2020-08-06,371.9,371.9,355.55,360.1,362.15,SAFARI
2020-08-05,372.6,375.6,363.05,365.0,365.05,SAFARI
2020-08-04,360.55,372.3,354.95,372.0,370.0,SAFARI
2020-08-03,365.6,370.9,323.9,361.9,360.55,SAFARI
2020-07-31,367.3,371.45,362.0,365.0,365.6,SAFARI
2020-07-30,373.0,378.0,360.1,368.0,368.25,SAFARI
2020-07-29,375.25,378.0,367.05,372.55,371.05,SAFARI
