DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,280.9,280.9,272.1,274.3,1550.0,252.8,SAGCEM
2021-11-11,283.0,284.55,277.05,279.35,1550.0,252.8,SAGCEM
2021-11-10,288.0,291.6,282.4,284.35,1550.0,252.8,SAGCEM
2021-11-09,295.65,296.5,288.0,289.85,1550.0,252.8,SAGCEM
2021-11-08,279.0,298.0,279.0,294.5,1550.0,252.8,SAGCEM
2021-11-04,271.7,277.0,271.0,275.6,1550.0,252.8,SAGCEM
2021-11-03,276.9,276.9,268.0,269.7,1550.0,252.8,SAGCEM
2021-11-02,277.9,280.0,275.0,275.7,1550.0,252.8,SAGCEM
2021-11-01,281.0,284.0,274.05,276.7,1550.0,252.8,SAGCEM
2021-10-29,266.9,282.4,260.85,280.25,1550.0,252.8,SAGCEM
2021-10-28,265.0,276.15,261.0,265.05,1550.0,252.8,SAGCEM
2021-10-27,284.8,294.9,267.05,270.15,1550.0,252.8,SAGCEM
2021-10-26,275.0,289.45,273.4,285.95,1550.0,252.8,SAGCEM
2021-10-25,286.05,292.0,275.3,277.05,1550.0,252.8,SAGCEM
2021-10-22,294.0,295.0,283.35,287.35,1550.0,252.8,SAGCEM
2021-10-21,287.5,290.6,281.5,288.65,1550.0,252.8,SAGCEM
2021-10-20,287.3,292.95,280.0,284.5,1550.0,252.8,SAGCEM
2021-10-19,294.0,295.95,285.2,286.3,1550.0,252.8,SAGCEM
2021-10-18,299.3,303.1,292.0,292.75,1550.0,252.8,SAGCEM
2021-10-14,295.1,305.05,295.1,296.7,1550.0,252.8,SAGCEM
2021-10-13,286.9,303.0,282.0,296.7,1550.0,252.8,SAGCEM
2021-10-12,295.5,298.2,285.5,286.9,1550.0,252.8,SAGCEM
2021-10-11,305.0,306.1,293.0,294.65,1550.0,252.8,SAGCEM
2021-10-08,308.9,314.65,301.35,302.65,1550.0,252.8,SAGCEM
2021-10-07,310.7,314.85,304.0,305.3,1550.0,252.8,SAGCEM
2021-10-06,298.0,314.4,296.0,307.8,1550.0,252.8,SAGCEM
2021-10-05,299.0,302.4,297.25,299.25,1550.0,252.8,SAGCEM
2021-10-04,290.75,303.0,289.05,296.6,1550.0,252.8,SAGCEM
2021-10-01,294.55,294.55,285.35,288.15,1550.0,252.8,SAGCEM
2021-09-30,300.0,301.75,293.3,294.55,1550.0,252.8,SAGCEM
2021-09-29,302.0,302.0,292.55,300.1,1550.0,252.8,SAGCEM
2021-09-28,284.0,305.7,278.35,301.6,1550.0,252.8,SAGCEM
2021-09-27,289.75,297.85,280.0,282.2,1550.0,252.8,SAGCEM
2021-09-24,285.8,290.0,277.0,287.3,1550.0,252.8,SAGCEM
2021-09-23,279.9,290.8,276.15,281.4,1550.0,252.8,SAGCEM
2021-09-22,282.55,282.55,275.0,276.85,1550.0,252.8,SAGCEM
2021-09-21,289.0,289.9,270.55,282.55,1550.0,252.8,SAGCEM
2021-09-20,284.75,290.0,275.5,285.2,1550.0,252.8,SAGCEM
2021-09-17,273.45,284.75,273.45,281.0,1550.0,252.8,SAGCEM
2021-09-16,276.5,276.5,272.0,275.95,1550.0,252.8,SAGCEM
2021-09-15,274.85,280.0,272.5,273.4,1550.0,252.8,SAGCEM
2021-09-14,276.95,276.95,273.0,274.35,1550.0,252.8,SAGCEM
2021-09-13,275.0,276.0,270.05,272.65,1550.0,252.8,SAGCEM
2021-09-09,270.95,273.95,266.85,267.45,1550.0,252.8,SAGCEM
2021-09-08,269.65,277.25,268.0,269.55,1550.0,252.8,SAGCEM
2021-09-07,276.9,276.9,268.0,269.6,1550.0,252.8,SAGCEM
2021-09-06,279.45,281.75,270.5,273.1,1550.0,252.8,SAGCEM
2021-09-03,280.0,281.0,275.1,276.6,1550.0,252.8,SAGCEM
2021-09-02,280.0,283.45,274.7,276.5,1550.0,252.8,SAGCEM
2021-09-01,284.8,284.8,275.15,276.7,1550.0,252.8,SAGCEM
2021-08-31,283.15,288.8,278.0,279.95,1550.0,252.8,SAGCEM
2021-08-30,277.8,290.0,277.05,283.15,1550.0,252.8,SAGCEM
2021-08-27,280.0,283.0,275.2,276.7,1550.0,252.8,SAGCEM
2021-08-26,282.55,289.1,278.0,280.35,1550.0,252.8,SAGCEM
2021-08-25,288.8,295.0,281.0,282.55,1550.0,252.8,SAGCEM
2021-08-24,271.0,290.95,268.75,285.0,1550.0,252.8,SAGCEM
2021-08-23,298.5,298.8,270.0,277.9,1550.0,252.8,SAGCEM
2021-08-20,291.2,309.0,291.2,294.45,1550.0,252.8,SAGCEM
2021-08-18,310.85,310.85,252.8,294.05,1550.0,252.8,SAGCEM
2021-08-17,308.9,317.0,301.0,308.25,1550.0,301.0,SAGCEM
2021-08-16,1480.0,1530.1,1453.0,1518.2,1550.0,444.0,SAGCEM
2021-08-13,1543.8,1543.8,1471.1,1480.85,1550.0,444.0,SAGCEM
2021-08-12,1534.0,1550.0,1501.0,1523.8,1550.0,444.0,SAGCEM
2021-08-11,1450.1,1522.0,1424.9,1510.05,1550.0,444.0,SAGCEM
2021-08-10,1524.95,1538.0,1382.2,1434.15,1550.0,444.0,SAGCEM
2021-08-09,1542.0,1549.0,1498.25,1518.0,1550.0,444.0,SAGCEM
2021-08-06,1486.0,1549.0,1486.0,1514.05,1550.0,444.0,SAGCEM
2021-08-05,1549.0,1550.0,1483.25,1501.05,1550.0,444.0,SAGCEM
2021-08-04,1466.0,1549.0,1461.2,1513.1,1549.0,444.0,SAGCEM
2021-08-03,1417.0,1466.35,1415.0,1457.8,1466.35,444.0,SAGCEM
2021-08-02,1345.0,1428.0,1341.0,1398.85,1428.0,444.0,SAGCEM
2021-07-30,1304.9,1334.9,1301.2,1313.6,1390.0,440.0,SAGCEM
2021-07-29,1349.0,1389.0,1294.0,1301.2,1390.0,440.0,SAGCEM
2021-07-28,1373.7,1373.7,1320.0,1342.0,1390.0,440.0,SAGCEM
2021-07-27,1295.0,1390.0,1295.0,1362.8,1390.0,440.0,SAGCEM
2021-07-26,1239.95,1314.9,1239.95,1288.0,1315.0,440.0,SAGCEM
2021-07-23,1284.8,1284.8,1221.0,1234.15,1315.0,400.25,SAGCEM
2021-07-22,1190.0,1315.0,1176.05,1271.95,1315.0,400.25,SAGCEM
2021-07-20,1130.0,1200.0,1121.45,1163.7,1200.0,400.25,SAGCEM
2021-07-19,1113.0,1138.45,1100.75,1127.45,1195.0,400.25,SAGCEM
2021-07-16,1137.95,1140.7,1105.0,1115.15,1195.0,369.1,SAGCEM
2021-07-15,1124.95,1168.0,1119.3,1135.8,1195.0,369.1,SAGCEM
2021-07-14,1116.95,1124.5,1103.1,1115.2,1195.0,369.1,SAGCEM
2021-07-13,1128.95,1128.95,1099.0,1107.75,1195.0,369.1,SAGCEM
2021-07-12,1120.0,1133.0,1104.95,1117.5,1195.0,369.1,SAGCEM
2021-07-09,1107.9,1109.5,1098.05,1103.75,1195.0,335.0,SAGCEM
2021-07-08,1124.7,1135.0,1097.0,1109.1,1195.0,335.0,SAGCEM
2021-07-07,1110.35,1132.35,1108.0,1111.5,1195.0,335.0,SAGCEM
2021-07-06,1115.0,1148.95,1109.0,1117.35,1195.0,335.0,SAGCEM
2021-07-05,1075.0,1119.85,1075.0,1101.1,1195.0,335.0,SAGCEM
2021-07-02,1149.0,1155.0,1116.1,1121.4,1195.0,330.0,SAGCEM
2021-07-01,1125.0,1125.0,1100.0,1103.0,1195.0,330.0,SAGCEM
2021-06-30,1114.0,1133.3,1090.4,1098.5,1195.0,330.0,SAGCEM
2021-06-29,1147.7,1147.7,1100.0,1107.65,1195.0,330.0,SAGCEM
2021-06-28,1142.25,1179.9,1104.7,1132.65,1195.0,330.0,SAGCEM
2021-06-25,1100.0,1119.0,1062.4,1104.7,1195.0,330.0,SAGCEM
2021-06-24,1124.0,1124.0,1072.85,1083.05,1195.0,330.0,SAGCEM
2021-06-23,1150.0,1150.0,1080.0,1087.1,1195.0,330.0,SAGCEM
2021-06-22,1046.0,1123.85,1035.05,1123.85,1195.0,330.0,SAGCEM
2021-06-21,1001.2,1048.0,1001.2,1021.7,1195.0,330.0,SAGCEM
2021-06-18,1066.2,1079.0,982.35,1040.45,1195.0,330.0,SAGCEM
2021-06-17,1130.0,1188.0,1065.1,1084.7,1195.0,330.0,SAGCEM
2021-06-16,1090.0,1195.0,1045.0,1141.0,1195.0,330.0,SAGCEM
