DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-04,674.85,679.9,657.0,666.0,662.15,734.45,231.0,SAKSOFT
2021-08-03,690.0,699.25,682.1,687.7,685.7,734.45,231.0,SAKSOFT
2021-08-02,700.0,710.0,680.6,685.0,685.45,734.45,231.0,SAKSOFT
2021-07-30,660.7,672.0,648.05,666.0,660.55,734.45,210.0,SAKSOFT
2021-07-29,676.05,683.1,655.9,661.95,660.7,734.45,210.0,SAKSOFT
2021-07-28,699.0,699.0,664.6,675.1,673.35,734.45,210.0,SAKSOFT
2021-07-27,685.5,695.0,677.5,680.25,682.25,734.45,210.0,SAKSOFT
2021-07-26,686.1,690.9,675.0,682.0,680.7,734.45,210.0,SAKSOFT
2021-07-23,694.9,716.1,680.0,685.0,682.4,734.45,210.0,SAKSOFT
2021-07-22,664.9,700.0,664.85,688.0,691.15,734.45,210.0,SAKSOFT
2021-07-20,688.0,691.0,633.15,659.9,658.05,734.45,210.0,SAKSOFT
2021-07-19,684.55,699.9,669.0,684.9,684.55,734.45,210.0,SAKSOFT
2021-07-16,705.6,709.9,681.05,686.2,685.8,734.45,187.35,SAKSOFT
2021-07-15,714.95,734.45,693.0,698.0,698.4,734.45,187.35,SAKSOFT
2021-07-14,626.0,685.75,625.05,680.1,682.55,685.75,187.35,SAKSOFT
2021-07-13,635.0,648.85,620.0,625.0,623.45,682.0,187.35,SAKSOFT
2021-07-12,632.95,644.0,628.05,632.0,631.75,682.0,187.35,SAKSOFT
2021-07-09,642.8,642.8,618.85,627.6,628.45,682.0,187.35,SAKSOFT
2021-07-08,607.2,666.5,581.15,643.5,645.75,682.0,187.35,SAKSOFT
2021-07-07,617.7,626.0,600.0,602.25,605.95,682.0,187.35,SAKSOFT
2021-07-06,642.25,642.25,613.4,617.0,616.2,682.0,187.35,SAKSOFT
2021-07-05,644.9,659.95,625.0,636.0,638.4,682.0,187.35,SAKSOFT
2021-07-02,630.1,682.0,625.0,640.0,640.55,682.0,185.0,SAKSOFT
2021-07-01,579.8,640.7,571.0,626.0,626.95,640.7,185.0,SAKSOFT
2021-06-30,530.45,606.2,529.15,575.0,568.2,606.2,185.0,SAKSOFT
2021-06-29,534.0,540.0,524.0,528.0,526.3,552.7,185.0,SAKSOFT
2021-06-28,489.9,552.7,486.9,524.6,525.8,552.7,185.0,SAKSOFT
2021-06-25,480.0,489.3,480.0,483.0,484.4,540.0,176.3,SAKSOFT
