DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,218.2,220.0,205.55,208.15,220.0,98.1,SALZERELEC
2021-11-11,204.0,219.4,204.0,216.45,219.4,98.1,SALZERELEC
2021-11-10,195.15,208.0,193.0,200.65,208.0,98.1,SALZERELEC
2021-11-09,200.0,207.75,195.8,197.65,207.75,98.1,SALZERELEC
2021-11-08,180.6,207.0,177.05,202.9,207.0,98.1,SALZERELEC
2021-11-04,181.5,184.0,179.0,180.6,189.5,97.5,SALZERELEC
2021-11-03,161.95,188.65,159.9,180.55,189.5,97.5,SALZERELEC
2021-11-02,162.05,169.75,157.95,161.05,189.5,97.5,SALZERELEC
2021-11-01,157.25,159.95,156.0,156.8,189.5,97.5,SALZERELEC
2021-10-29,155.2,158.0,154.0,155.65,189.5,97.05,SALZERELEC
2021-10-28,157.8,158.3,155.0,157.55,189.5,97.05,SALZERELEC
2021-10-27,155.2,159.45,155.2,156.85,189.5,97.05,SALZERELEC
2021-10-26,153.9,156.75,153.1,155.45,189.5,97.05,SALZERELEC
2021-10-25,157.7,158.8,152.05,152.85,189.5,97.05,SALZERELEC
2021-10-22,158.7,162.4,155.5,156.8,189.5,91.0,SALZERELEC
2021-10-21,158.6,160.95,156.0,157.6,189.5,91.0,SALZERELEC
2021-10-20,162.7,163.75,156.15,158.4,189.5,91.0,SALZERELEC
2021-10-19,162.2,169.0,161.0,161.7,189.5,91.0,SALZERELEC
2021-10-18,165.55,168.4,162.4,163.2,189.5,91.0,SALZERELEC
2021-10-14,167.55,170.55,164.7,165.55,189.5,89.85,SALZERELEC
2021-10-13,168.0,170.0,164.0,164.7,189.5,89.85,SALZERELEC
2021-10-12,164.8,169.0,164.15,167.3,189.5,89.85,SALZERELEC
2021-10-11,168.8,172.0,159.2,164.8,189.5,89.85,SALZERELEC
2021-10-08,172.3,172.3,168.1,169.1,189.5,89.85,SALZERELEC
2021-10-07,169.7,173.9,168.0,170.2,189.5,89.85,SALZERELEC
2021-10-06,173.15,173.25,166.6,168.0,189.5,89.85,SALZERELEC
2021-10-05,170.65,176.0,169.2,172.0,189.5,89.85,SALZERELEC
2021-10-04,168.9,173.75,163.45,171.0,189.5,89.85,SALZERELEC
2021-10-01,163.95,168.65,161.25,165.1,189.5,89.85,SALZERELEC
2021-09-30,157.0,163.25,156.7,161.2,189.5,89.85,SALZERELEC
2021-09-29,156.0,159.0,154.3,158.0,189.5,89.85,SALZERELEC
2021-09-28,160.45,163.9,155.85,157.05,189.5,89.85,SALZERELEC
2021-09-27,158.5,165.0,156.5,159.4,189.5,89.85,SALZERELEC
2021-09-24,163.65,163.65,158.0,159.3,189.5,87.6,SALZERELEC
2021-09-23,165.95,167.0,162.0,162.4,189.5,87.6,SALZERELEC
2021-09-22,155.5,168.4,150.3,164.85,189.5,87.6,SALZERELEC
2021-09-21,155.0,156.25,150.0,153.6,189.5,87.6,SALZERELEC
2021-09-20,157.0,159.8,152.1,153.8,189.5,87.6,SALZERELEC
2021-09-17,160.3,162.5,156.6,158.15,189.5,87.6,SALZERELEC
2021-09-16,162.75,163.45,159.1,160.4,189.5,87.6,SALZERELEC
2021-09-15,162.0,163.4,159.5,161.25,189.5,87.6,SALZERELEC
2021-09-14,161.6,163.55,159.7,160.35,189.5,87.6,SALZERELEC
2021-09-13,165.8,168.6,158.25,160.15,189.5,87.6,SALZERELEC
2021-09-09,165.0,171.95,163.5,165.8,189.5,87.6,SALZERELEC
2021-09-08,166.95,166.95,162.4,163.85,189.5,87.6,SALZERELEC
2021-09-07,169.0,170.8,164.0,164.75,189.5,87.6,SALZERELEC
2021-09-06,167.55,172.7,162.7,169.95,189.5,87.6,SALZERELEC
2021-09-03,168.75,174.75,162.1,167.55,189.5,87.6,SALZERELEC
2021-09-02,149.3,153.55,149.15,150.7,189.5,87.6,SALZERELEC
2021-09-01,151.45,152.45,146.0,149.3,189.5,87.6,SALZERELEC
2021-08-31,152.6,153.45,147.2,148.45,189.5,87.6,SALZERELEC
2021-08-30,150.4,154.5,149.3,152.6,189.5,87.6,SALZERELEC
2021-08-27,153.55,153.55,147.5,148.9,189.5,87.6,SALZERELEC
2021-08-26,149.0,155.8,145.8,153.65,189.5,87.6,SALZERELEC
2021-08-25,148.0,149.0,145.2,147.85,189.5,87.6,SALZERELEC
2021-08-24,144.0,146.0,141.3,144.95,189.5,87.6,SALZERELEC
2021-08-23,154.25,156.0,138.1,140.2,189.5,87.6,SALZERELEC
2021-08-20,151.0,152.7,148.45,150.25,189.5,87.6,SALZERELEC
2021-08-18,160.55,160.55,151.2,152.45,189.5,87.6,SALZERELEC
2021-08-17,163.2,166.0,157.1,158.6,189.5,87.6,SALZERELEC
2021-08-16,163.3,167.0,162.3,163.7,189.5,87.6,SALZERELEC
2021-08-13,164.0,171.45,164.0,167.3,189.5,87.0,SALZERELEC
2021-08-12,165.0,170.75,163.05,166.45,189.5,87.0,SALZERELEC
2021-08-11,164.85,167.9,155.15,162.55,189.5,87.0,SALZERELEC
2021-08-10,175.0,176.2,160.0,164.65,189.5,87.0,SALZERELEC
2021-08-09,171.45,177.5,166.9,174.2,189.5,87.0,SALZERELEC
2021-08-06,171.0,175.45,169.85,170.55,189.5,82.1,SALZERELEC
2021-08-05,175.0,175.2,168.05,170.75,189.5,82.1,SALZERELEC
2021-08-04,181.65,184.2,173.0,173.8,189.5,82.1,SALZERELEC
2021-08-03,184.5,186.9,180.0,180.85,189.5,82.1,SALZERELEC
2021-08-02,174.1,189.5,174.1,184.95,189.5,82.1,SALZERELEC
2021-07-30,177.0,180.95,172.6,173.25,187.15,81.3,SALZERELEC
2021-07-29,162.65,183.45,162.65,176.6,187.15,81.3,SALZERELEC
2021-07-28,171.55,173.65,164.0,167.3,187.15,81.3,SALZERELEC
2021-07-27,173.8,178.0,171.65,172.8,187.15,81.3,SALZERELEC
2021-07-26,172.15,177.0,172.15,173.05,187.15,81.3,SALZERELEC
2021-07-23,178.0,182.0,172.1,173.25,187.15,81.3,SALZERELEC
2021-07-22,181.0,183.0,176.05,177.05,187.15,81.3,SALZERELEC
2021-07-20,181.0,183.5,172.0,175.6,187.15,81.3,SALZERELEC
2021-07-19,175.8,184.75,173.0,180.0,187.15,81.3,SALZERELEC
2021-07-16,178.7,184.2,176.05,177.15,187.15,80.5,SALZERELEC
2021-07-15,182.2,183.7,175.1,176.1,187.15,80.5,SALZERELEC
2021-07-14,183.7,187.15,179.5,183.3,187.15,80.5,SALZERELEC
2021-07-13,173.95,184.6,173.1,183.05,184.6,80.5,SALZERELEC
2021-07-12,174.0,177.0,170.0,171.75,177.0,80.5,SALZERELEC
2021-07-09,164.9,168.2,163.65,166.15,174.6,80.5,SALZERELEC
2021-07-08,162.6,167.7,158.25,162.35,174.6,80.5,SALZERELEC
2021-07-07,166.0,168.4,162.55,163.35,174.6,80.5,SALZERELEC
2021-07-06,163.4,169.5,163.2,165.65,174.6,80.5,SALZERELEC
2021-07-05,161.7,164.3,159.4,162.6,174.6,80.5,SALZERELEC
2021-07-02,163.5,164.65,158.95,160.0,174.6,80.5,SALZERELEC
2021-07-01,162.3,164.7,158.35,163.5,174.6,80.5,SALZERELEC
2021-06-30,162.0,165.65,160.55,161.85,174.6,80.5,SALZERELEC
2021-06-29,158.0,162.45,158.0,161.0,174.6,80.5,SALZERELEC
2021-06-28,159.7,160.0,155.55,156.5,174.6,80.5,SALZERELEC
2021-06-25,160.0,161.15,157.0,157.95,174.6,80.5,SALZERELEC
2021-06-24,158.8,162.15,157.3,158.35,174.6,80.5,SALZERELEC
2021-06-23,156.55,160.4,153.2,157.85,174.6,80.5,SALZERELEC
2021-06-22,152.0,155.05,150.0,153.0,174.6,80.5,SALZERELEC
2021-06-21,145.55,151.0,142.6,148.4,174.6,80.5,SALZERELEC
2021-06-18,151.6,153.25,140.65,145.55,174.6,75.0,SALZERELEC
2021-06-17,155.95,160.0,148.0,149.15,174.6,75.0,SALZERELEC
2021-06-16,160.0,161.5,152.0,154.5,174.6,75.0,SALZERELEC
2021-06-15,171.0,173.95,157.1,160.8,174.6,75.0,SALZERELEC
2021-06-14,165.8,174.6,155.55,169.9,174.6,75.0,SALZERELEC
2021-06-11,165.1,174.45,162.5,164.8,174.45,67.3,SALZERELEC
