DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,3.75,3.75,3.75,3.75,3.75,1.7,SAMBHAAV
2021-11-11,3.6,3.6,3.6,3.6,3.6,1.45,SAMBHAAV
2021-11-10,3.45,3.45,3.45,3.45,3.45,1.45,SAMBHAAV
2021-11-09,3.3,3.3,3.3,3.3,3.3,1.45,SAMBHAAV
2021-11-08,3.15,3.15,3.15,3.15,3.15,1.45,SAMBHAAV
2021-11-04,3.0,3.0,3.0,3.0,3.15,1.45,SAMBHAAV
2021-11-03,2.9,2.9,2.9,2.9,3.15,1.45,SAMBHAAV
2021-11-02,2.8,2.8,2.7,2.8,3.15,1.45,SAMBHAAV
2021-11-01,2.8,2.85,2.7,2.7,3.15,1.45,SAMBHAAV
2021-10-29,2.8,2.8,2.65,2.8,3.15,1.45,SAMBHAAV
2021-10-28,2.85,2.85,2.7,2.75,3.15,1.45,SAMBHAAV
2021-10-27,2.75,2.8,2.65,2.8,3.15,1.45,SAMBHAAV
2021-10-26,2.75,2.8,2.65,2.7,3.15,1.45,SAMBHAAV
2021-10-25,2.8,2.85,2.7,2.7,3.15,1.45,SAMBHAAV
2021-10-22,2.9,2.9,2.75,2.8,3.15,1.45,SAMBHAAV
2021-10-21,2.9,2.95,2.8,2.85,3.15,1.45,SAMBHAAV
2021-10-20,2.9,2.95,2.8,2.85,3.15,1.45,SAMBHAAV
2021-10-19,3.0,3.0,2.85,2.9,3.15,1.45,SAMBHAAV
2021-10-18,2.95,3.0,2.85,2.95,3.15,1.45,SAMBHAAV
2021-10-14,2.9,3.05,2.85,2.9,3.15,1.45,SAMBHAAV
2021-10-13,3.0,3.05,2.9,2.95,3.15,1.45,SAMBHAAV
2021-10-12,3.0,3.15,2.85,2.95,3.15,1.45,SAMBHAAV
2021-05-19,2.75,2.75,2.65,2.65,3.15,1.45,SAMBHAAV
2021-05-18,2.95,2.95,2.75,2.75,3.15,1.45,SAMBHAAV
2021-05-17,2.85,2.85,2.75,2.85,3.15,1.45,SAMBHAAV
2021-05-14,2.75,2.75,2.65,2.75,3.15,1.45,SAMBHAAV
2021-05-12,2.65,2.65,2.65,2.65,3.15,1.45,SAMBHAAV
2021-05-11,2.55,2.55,2.55,2.55,3.15,1.45,SAMBHAAV
2021-05-10,2.45,2.45,2.4,2.45,3.15,1.45,SAMBHAAV
2021-05-07,2.35,2.35,2.3,2.35,3.15,1.45,SAMBHAAV
2021-05-06,2.25,2.25,2.25,2.25,3.15,1.45,SAMBHAAV
2021-05-05,2.05,2.15,2.0,2.15,3.15,1.45,SAMBHAAV
2021-05-04,2.1,2.1,2.0,2.05,3.15,1.45,SAMBHAAV
2021-05-03,2.05,2.1,2.0,2.05,3.15,1.45,SAMBHAAV
2021-04-30,2.1,2.1,2.0,2.05,3.15,1.45,SAMBHAAV
2021-04-29,2.1,2.1,2.0,2.1,3.15,1.45,SAMBHAAV
2021-04-28,2.1,2.1,1.95,2.05,3.15,1.45,SAMBHAAV
2021-04-27,1.95,2.1,1.95,2.0,3.15,1.45,SAMBHAAV
2021-04-26,2.1,2.1,1.95,2.0,3.15,1.45,SAMBHAAV
2021-04-23,2.1,2.1,2.0,2.0,3.15,1.45,SAMBHAAV
2021-04-22,2.1,2.1,2.0,2.05,3.15,1.45,SAMBHAAV
2021-04-20,2.15,2.15,2.0,2.0,3.15,1.45,SAMBHAAV
2021-04-19,2.15,2.15,2.0,2.1,3.15,1.45,SAMBHAAV
2021-04-16,2.1,2.1,1.95,2.05,3.15,1.25,SAMBHAAV
2021-04-15,2.25,2.25,2.05,2.05,3.15,1.25,SAMBHAAV
2021-04-13,2.25,2.25,2.05,2.15,3.15,1.25,SAMBHAAV
2021-04-12,2.35,2.35,2.15,2.15,3.15,1.25,SAMBHAAV
2021-04-09,2.2,2.25,2.15,2.25,3.15,1.2,SAMBHAAV
2021-04-08,2.15,2.15,2.1,2.15,3.15,1.2,SAMBHAAV
2021-04-07,2.1,2.2,2.0,2.05,3.15,1.2,SAMBHAAV
2021-04-06,2.05,2.15,1.95,2.1,3.15,1.2,SAMBHAAV
2021-04-05,2.05,2.1,1.95,2.05,3.15,1.2,SAMBHAAV
2021-04-01,2.1,2.1,1.9,2.05,3.15,1.15,SAMBHAAV
2021-03-31,2.0,2.15,2.0,2.0,3.15,1.15,SAMBHAAV
2021-03-30,2.2,2.2,2.0,2.1,3.15,1.15,SAMBHAAV
2021-03-26,2.2,2.3,2.1,2.1,3.15,1.15,SAMBHAAV
2021-03-25,2.3,2.35,2.2,2.2,3.15,1.15,SAMBHAAV
2021-03-24,2.4,2.4,2.2,2.3,3.15,1.15,SAMBHAAV
2021-03-23,2.4,2.45,2.3,2.3,3.15,1.15,SAMBHAAV
2021-03-22,2.5,2.6,2.4,2.4,3.15,1.15,SAMBHAAV
2021-03-19,2.35,2.5,2.35,2.5,3.15,1.15,SAMBHAAV
2021-03-18,2.5,2.65,2.45,2.45,3.15,1.15,SAMBHAAV
2021-03-17,2.65,2.65,2.55,2.55,3.15,1.15,SAMBHAAV
2021-03-16,2.5,2.65,2.5,2.65,3.15,1.15,SAMBHAAV
2021-03-15,2.55,2.65,2.55,2.6,3.15,1.15,SAMBHAAV
2021-03-12,2.65,2.7,2.55,2.55,3.15,1.15,SAMBHAAV
2021-03-10,2.7,2.75,2.65,2.65,3.15,1.15,SAMBHAAV
2021-03-09,2.75,2.75,2.55,2.65,3.15,1.15,SAMBHAAV
2021-03-08,2.65,2.65,2.45,2.65,3.15,1.15,SAMBHAAV
2021-03-05,2.75,2.75,2.55,2.55,3.15,1.15,SAMBHAAV
2021-03-04,2.65,2.7,2.55,2.65,3.15,1.15,SAMBHAAV
2021-03-03,2.55,2.75,2.55,2.65,3.15,1.15,SAMBHAAV
2021-03-02,2.8,2.85,2.65,2.65,3.15,1.15,SAMBHAAV
2021-03-01,2.85,2.85,2.65,2.75,3.15,1.15,SAMBHAAV
2021-02-26,2.85,2.85,2.65,2.75,3.15,1.15,SAMBHAAV
2021-02-25,2.75,2.75,2.6,2.75,3.15,1.15,SAMBHAAV
2021-02-24,2.55,2.65,2.45,2.65,3.15,1.15,SAMBHAAV
2021-02-23,2.45,2.55,2.35,2.55,3.15,1.15,SAMBHAAV
2021-02-22,2.55,2.55,2.45,2.45,3.15,1.15,SAMBHAAV
2021-02-19,2.7,2.7,2.55,2.55,3.15,1.15,SAMBHAAV
2021-02-18,2.65,2.75,2.65,2.65,3.15,1.15,SAMBHAAV
2021-02-17,2.8,2.8,2.65,2.75,3.15,1.15,SAMBHAAV
2021-02-16,2.9,2.9,2.7,2.75,3.15,1.15,SAMBHAAV
2021-02-15,2.9,2.9,2.75,2.8,3.15,1.15,SAMBHAAV
2021-02-12,2.7,2.8,2.6,2.8,3.15,1.15,SAMBHAAV
2021-02-11,2.65,2.7,2.65,2.7,3.15,1.15,SAMBHAAV
2021-02-10,2.85,2.9,2.75,2.75,3.15,1.15,SAMBHAAV
2021-02-09,2.7,2.85,2.65,2.85,3.15,1.15,SAMBHAAV
2021-02-08,2.8,2.85,2.7,2.75,3.15,1.15,SAMBHAAV
2021-02-05,2.9,3.0,2.8,2.8,3.15,1.15,SAMBHAAV
2021-02-04,2.8,2.95,2.75,2.9,3.15,1.15,SAMBHAAV
2021-02-03,3.0,3.05,2.85,2.85,3.15,1.15,SAMBHAAV
2021-02-02,2.95,2.95,2.85,2.95,3.15,1.15,SAMBHAAV
2021-02-01,2.85,2.85,2.75,2.85,3.15,1.15,SAMBHAAV
2021-01-29,2.75,2.75,2.75,2.75,3.15,1.15,SAMBHAAV
2021-01-28,2.65,2.65,2.65,2.65,3.15,1.15,SAMBHAAV
2021-01-27,2.45,2.55,2.4,2.55,3.15,1.15,SAMBHAAV
2021-01-25,2.45,2.65,2.45,2.45,3.15,1.15,SAMBHAAV
2021-01-22,2.6,2.7,2.5,2.55,3.15,1.15,SAMBHAAV
2021-01-21,2.7,2.7,2.6,2.6,3.15,1.15,SAMBHAAV
2021-01-20,2.9,2.9,2.7,2.7,3.15,1.15,SAMBHAAV
2021-01-19,2.8,2.85,2.75,2.8,3.15,1.15,SAMBHAAV
2021-01-18,3.15,3.15,2.85,2.85,3.15,1.15,SAMBHAAV
2021-01-15,3.05,3.05,2.85,3.0,3.05,1.15,SAMBHAAV
2021-01-14,2.95,2.95,2.95,2.95,2.95,1.15,SAMBHAAV
2021-01-13,2.85,2.85,2.85,2.85,2.9,1.15,SAMBHAAV
2021-01-12,2.75,2.75,2.75,2.75,2.9,1.15,SAMBHAAV
2021-01-11,2.65,2.65,2.65,2.65,2.9,1.15,SAMBHAAV
2021-01-08,2.45,2.55,2.45,2.55,2.9,1.15,SAMBHAAV
2021-01-07,2.45,2.45,2.3,2.45,2.9,1.15,SAMBHAAV
2021-01-06,2.3,2.35,2.25,2.35,2.9,1.15,SAMBHAAV
2021-01-05,2.3,2.35,2.2,2.25,2.9,1.15,SAMBHAAV
2021-01-04,2.35,2.35,2.2,2.3,2.9,1.15,SAMBHAAV
2021-01-01,2.25,2.25,2.15,2.25,2.9,1.15,SAMBHAAV
2020-12-31,2.2,2.2,2.05,2.15,2.9,1.15,SAMBHAAV
2020-12-30,2.05,2.15,1.95,2.1,2.9,1.15,SAMBHAAV
2020-12-29,2.2,2.2,2.05,2.05,2.9,1.15,SAMBHAAV
2020-12-28,2.1,2.15,2.1,2.15,2.9,1.15,SAMBHAAV
2020-12-24,2.15,2.25,2.05,2.1,2.9,1.15,SAMBHAAV
2020-12-23,2.2,2.2,2.05,2.15,2.9,1.15,SAMBHAAV
2020-12-22,2.15,2.2,2.15,2.15,2.9,1.15,SAMBHAAV
2020-12-21,2.35,2.35,2.2,2.25,2.9,1.15,SAMBHAAV
2020-12-18,2.3,2.3,2.2,2.3,2.9,1.15,SAMBHAAV
2020-12-17,2.3,2.35,2.15,2.25,2.9,1.15,SAMBHAAV
2020-12-16,2.25,2.3,2.1,2.25,2.9,1.15,SAMBHAAV
2020-12-15,2.4,2.4,2.2,2.2,2.9,1.15,SAMBHAAV
2020-12-14,2.45,2.45,2.25,2.3,2.9,1.15,SAMBHAAV
2020-12-11,2.4,2.4,2.2,2.35,3.0,1.15,SAMBHAAV
2020-12-10,2.2,2.3,2.2,2.3,3.0,1.15,SAMBHAAV
2020-12-09,2.2,2.2,2.2,2.2,3.0,1.15,SAMBHAAV
2020-12-08,2.0,2.1,2.0,2.1,3.0,1.15,SAMBHAAV
2020-12-07,2.0,2.0,1.95,2.0,3.0,1.15,SAMBHAAV
2020-12-04,1.95,1.95,1.9,1.95,3.35,1.15,SAMBHAAV
2020-12-03,1.9,1.95,1.85,1.9,3.35,1.15,SAMBHAAV
2020-12-02,1.9,2.0,1.9,1.9,3.35,1.15,SAMBHAAV
2020-12-01,2.0,2.0,1.9,1.95,3.35,1.15,SAMBHAAV
2020-11-27,1.9,1.95,1.9,1.95,3.5,1.15,SAMBHAAV
2020-11-26,1.85,1.9,1.85,1.9,3.5,1.15,SAMBHAAV
2020-11-25,1.9,1.9,1.85,1.85,3.5,1.15,SAMBHAAV
2020-11-24,1.9,1.9,1.8,1.85,3.5,1.15,SAMBHAAV
2020-11-23,1.9,1.95,1.85,1.85,3.5,1.15,SAMBHAAV
2020-11-20,1.85,1.95,1.85,1.9,4.15,1.15,SAMBHAAV
2020-11-19,2.0,2.0,1.9,1.9,4.15,1.15,SAMBHAAV
2020-11-18,1.95,1.95,1.9,1.95,4.15,1.15,SAMBHAAV
2020-11-17,1.9,2.0,1.9,1.9,4.15,1.15,SAMBHAAV
2020-11-14,1.95,1.95,1.9,1.95,4.15,1.15,SAMBHAAV
2020-11-13,1.95,1.95,1.85,1.9,4.15,1.15,SAMBHAAV
2020-11-12,2.0,2.0,1.9,1.9,4.15,1.15,SAMBHAAV
2020-11-11,1.9,1.95,1.9,1.95,4.15,1.15,SAMBHAAV
2020-11-10,2.0,2.0,1.9,1.9,4.15,1.15,SAMBHAAV
2020-11-09,1.95,1.95,1.85,1.95,4.15,1.15,SAMBHAAV
2020-11-06,1.9,1.95,1.9,1.9,4.15,1.15,SAMBHAAV
2020-11-05,1.95,1.95,1.9,1.95,4.15,1.15,SAMBHAAV
2020-11-04,1.9,1.95,1.9,1.95,4.15,1.15,SAMBHAAV
2020-11-03,1.85,1.95,1.85,1.9,4.15,1.15,SAMBHAAV
2020-11-02,1.9,1.95,1.85,1.9,4.15,1.15,SAMBHAAV
2020-10-30,1.95,1.95,1.9,1.9,4.15,1.15,SAMBHAAV
2020-10-29,2.0,2.0,1.9,1.9,4.15,1.15,SAMBHAAV
2020-10-28,1.85,1.95,1.85,1.95,4.15,1.15,SAMBHAAV
2020-10-27,1.9,2.0,1.9,1.9,4.15,1.15,SAMBHAAV
2020-10-26,2.05,2.05,1.9,1.95,4.15,1.15,SAMBHAAV
2020-10-23,1.95,2.0,1.9,2.0,4.15,1.15,SAMBHAAV
2020-10-22,1.9,1.95,1.85,1.95,4.15,1.15,SAMBHAAV
2020-10-21,2.0,2.1,1.85,1.9,4.15,1.15,SAMBHAAV
2020-10-20,1.9,1.95,1.7,1.95,4.15,1.15,SAMBHAAV
2020-10-19,1.85,1.95,1.7,1.8,4.15,1.15,SAMBHAAV
2020-10-16,1.75,1.8,1.65,1.8,4.15,1.15,SAMBHAAV
2020-10-15,1.65,1.65,1.55,1.65,4.15,1.15,SAMBHAAV
2020-10-14,1.65,1.65,1.45,1.5,4.15,1.15,SAMBHAAV
