DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-11,834.2,840.0,803.6,807.9,1084.7,486.25,SANDESH
2021-10-08,785.9,846.95,782.9,817.8,1084.7,486.25,SANDESH
2021-10-07,780.25,797.9,780.0,784.75,1084.7,486.25,SANDESH
2021-10-06,786.15,803.0,780.0,782.15,1084.7,486.25,SANDESH
2021-10-05,799.95,804.9,783.8,794.6,1084.7,486.25,SANDESH
2021-10-04,778.35,820.0,778.0,799.85,1084.7,486.25,SANDESH
2021-10-01,780.15,789.95,775.0,780.8,1084.7,486.25,SANDESH
2021-09-30,788.0,798.7,776.3,786.05,1084.7,486.25,SANDESH
2021-09-29,774.35,787.7,774.0,782.0,1084.7,486.25,SANDESH
2021-09-28,783.65,795.9,772.6,777.55,1084.7,486.25,SANDESH
2021-09-27,790.4,806.0,775.5,785.0,1084.7,486.25,SANDESH
2021-09-24,818.95,818.95,786.3,799.45,1084.7,480.1,SANDESH
2021-09-23,804.0,805.0,779.75,786.45,1084.7,480.1,SANDESH
2021-09-22,808.0,808.0,771.0,789.85,1084.7,480.1,SANDESH
2021-09-21,777.65,799.95,770.1,772.7,1084.7,480.1,SANDESH
2021-09-20,809.65,809.65,783.15,788.45,1084.7,480.1,SANDESH
2021-09-17,796.0,803.0,785.0,797.3,1084.7,480.1,SANDESH
2021-09-16,809.5,809.5,790.0,796.0,1084.7,480.1,SANDESH
2021-09-15,800.0,805.0,792.0,795.8,1084.7,480.1,SANDESH
2021-09-14,783.1,804.9,775.0,793.2,1084.7,480.1,SANDESH
2021-09-13,790.0,795.0,766.95,777.7,1084.7,480.1,SANDESH
2021-09-09,776.75,789.95,761.15,764.0,1084.7,480.1,SANDESH
2021-09-08,789.6,796.05,767.75,773.7,1084.7,480.1,SANDESH
2021-09-07,790.65,798.55,785.0,787.8,1084.7,480.1,SANDESH
2021-09-06,781.5,796.95,781.5,790.5,1084.7,480.1,SANDESH
2021-09-03,807.15,807.15,785.0,786.5,1084.7,480.1,SANDESH
2021-09-02,781.0,806.4,781.0,792.0,1084.7,480.1,SANDESH
2021-09-01,786.95,806.0,786.95,792.85,1084.7,480.1,SANDESH
2021-08-31,815.85,815.85,792.05,794.65,1084.7,480.1,SANDESH
2021-08-30,800.95,806.35,787.05,796.05,1084.7,480.1,SANDESH
2021-08-27,797.05,809.0,781.0,791.05,1084.7,480.1,SANDESH
2021-08-26,799.85,814.15,785.2,789.45,1084.7,480.1,SANDESH
2021-08-25,794.0,794.0,771.0,785.95,1084.7,480.1,SANDESH
2021-08-24,775.05,792.95,766.0,780.55,1084.7,480.1,SANDESH
2021-08-23,806.75,817.0,768.95,771.3,1084.7,480.1,SANDESH
2021-08-20,830.05,835.1,800.0,805.45,1084.7,480.1,SANDESH
2021-08-18,834.65,849.1,819.0,840.25,1084.7,480.1,SANDESH
2021-08-17,860.0,870.15,825.2,831.5,1084.7,480.1,SANDESH
2021-08-16,869.85,918.95,840.25,850.65,1084.7,480.1,SANDESH
2021-08-13,904.95,904.95,864.65,870.35,1084.7,460.15,SANDESH
2021-08-12,889.85,895.0,882.1,889.35,1084.7,460.15,SANDESH
2021-08-11,871.15,890.0,841.05,879.75,1084.7,460.15,SANDESH
2021-08-10,900.0,910.0,861.45,876.55,1084.7,460.15,SANDESH
2021-08-09,924.95,924.95,888.0,899.8,1084.7,460.15,SANDESH
2021-08-06,904.0,904.0,882.3,884.75,1084.7,457.65,SANDESH
2021-08-05,899.9,899.9,875.45,880.15,1084.7,457.65,SANDESH
2021-08-04,928.0,928.0,885.0,895.7,1084.7,457.65,SANDESH
2021-08-03,937.75,937.75,900.0,905.35,1084.7,457.65,SANDESH
2021-08-02,917.0,927.8,901.85,915.35,1084.7,457.65,SANDESH
2021-07-30,945.0,945.0,900.1,906.65,1084.7,457.65,SANDESH
2021-07-29,925.0,939.0,903.15,916.15,1084.7,457.65,SANDESH
2021-07-28,924.5,932.2,886.3,900.75,1084.7,457.65,SANDESH
2021-07-27,957.5,965.05,902.0,911.75,1084.7,457.65,SANDESH
2021-07-26,995.0,995.0,940.0,947.65,1084.7,457.65,SANDESH
2021-07-23,979.0,981.0,932.3,941.75,1084.7,457.65,SANDESH
2021-07-22,980.0,1008.75,957.15,968.1,1084.7,457.65,SANDESH
2021-07-20,977.2,1020.0,971.0,975.6,1084.7,457.65,SANDESH
2021-07-19,932.0,1074.0,932.0,966.55,1084.7,457.65,SANDESH
2021-07-16,920.0,959.7,915.0,920.85,1084.7,457.65,SANDESH
2021-07-15,970.1,980.0,907.0,915.25,1084.7,457.65,SANDESH
2021-07-14,1035.0,1084.7,945.45,956.1,1084.7,457.65,SANDESH
2021-07-13,815.0,982.25,809.25,982.25,982.25,457.65,SANDESH
2021-07-12,829.9,829.9,812.1,818.55,859.0,457.65,SANDESH
2021-07-09,813.0,830.0,806.5,822.15,859.0,457.65,SANDESH
2021-07-08,829.95,829.95,805.2,810.5,859.0,457.65,SANDESH
2021-07-07,812.0,836.3,809.95,823.9,859.0,457.65,SANDESH
2021-07-06,848.0,848.0,811.0,822.9,859.0,457.65,SANDESH
