DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,208.5,211.5,203.2,204.0,205.2,SANGHVIMOV
2021-07-15,209.85,212.0,205.0,206.0,207.15,SANGHVIMOV
2021-07-14,209.0,212.0,206.5,208.8,209.15,SANGHVIMOV
2021-07-13,208.7,212.4,201.65,206.55,205.3,SANGHVIMOV
2021-07-12,208.65,216.85,206.0,206.05,207.25,SANGHVIMOV
2021-07-09,213.7,214.2,204.0,206.0,207.15,SANGHVIMOV
2021-07-08,220.0,221.35,210.6,213.0,212.4,SANGHVIMOV
2021-07-07,210.0,222.15,204.45,218.0,219.35,SANGHVIMOV
2021-07-06,212.0,218.0,208.0,208.35,210.3,SANGHVIMOV
2021-07-05,222.4,222.45,210.0,212.8,212.55,SANGHVIMOV
2021-07-02,204.8,230.0,199.35,220.0,220.95,SANGHVIMOV
2021-07-01,200.6,204.8,198.15,200.9,200.1,SANGHVIMOV
2021-06-30,203.9,204.0,200.0,200.9,200.8,SANGHVIMOV
2021-06-29,201.5,206.8,199.5,201.6,201.6,SANGHVIMOV
2021-06-28,200.0,201.0,196.1,199.45,199.8,SANGHVIMOV
2021-06-25,195.8,199.45,193.0,196.25,196.25,SANGHVIMOV
2021-06-24,199.8,199.8,192.2,193.8,193.7,SANGHVIMOV
2021-06-23,203.95,203.95,195.05,195.85,196.65,SANGHVIMOV
2021-06-22,198.9,199.5,196.55,197.9,198.2,SANGHVIMOV
2021-06-21,197.8,203.0,190.0,195.0,195.65,SANGHVIMOV
2021-06-18,206.0,207.0,191.0,199.0,198.45,SANGHVIMOV
2021-06-17,206.8,206.8,201.0,204.5,203.9,SANGHVIMOV
2021-06-16,206.9,207.7,192.65,201.0,200.0,SANGHVIMOV
2021-06-15,182.8,208.5,179.0,208.35,203.3,SANGHVIMOV
2021-06-14,172.95,183.2,165.2,183.0,178.9,SANGHVIMOV
2021-06-11,179.8,179.8,168.8,172.0,171.65,SANGHVIMOV
2021-06-10,178.4,182.65,176.15,177.0,178.15,SANGHVIMOV
2021-06-09,185.0,193.0,175.0,176.2,176.95,SANGHVIMOV
2021-06-08,177.5,190.95,173.55,185.5,184.25,SANGHVIMOV
2021-06-07,179.05,184.0,174.2,174.5,176.0,SANGHVIMOV
2021-06-04,168.0,182.5,166.25,176.25,178.25,SANGHVIMOV
2021-06-03,171.75,171.8,167.3,167.9,168.05,SANGHVIMOV
2021-06-02,169.8,171.5,168.15,169.3,169.4,SANGHVIMOV
2021-06-01,169.9,177.9,165.05,167.5,168.8,SANGHVIMOV
2021-05-31,167.0,173.45,161.05,170.95,170.2,SANGHVIMOV
2021-05-28,168.0,169.25,165.0,165.0,165.6,SANGHVIMOV
2021-05-27,166.0,177.7,165.05,166.95,168.1,SANGHVIMOV
2021-05-26,165.4,167.0,165.15,167.0,166.5,SANGHVIMOV
2021-05-25,166.2,167.1,165.25,165.9,165.4,SANGHVIMOV
2021-05-24,167.8,169.15,165.55,165.9,166.2,SANGHVIMOV
2021-05-21,169.0,171.85,166.0,166.0,168.65,SANGHVIMOV
2021-05-20,169.65,172.0,166.0,170.4,168.7,SANGHVIMOV
2021-05-19,164.0,174.4,163.1,167.0,166.7,SANGHVIMOV
2021-05-18,165.95,168.2,162.0,164.05,164.7,SANGHVIMOV
2021-05-17,166.5,168.75,162.1,163.5,162.8,SANGHVIMOV
2021-05-14,156.2,163.95,149.1,163.5,162.05,SANGHVIMOV
2021-05-12,151.5,158.0,151.5,154.5,154.05,SANGHVIMOV
2021-05-11,159.8,167.4,154.1,154.55,154.5,SANGHVIMOV
2021-05-10,136.85,162.0,136.85,162.0,160.85,SANGHVIMOV
2021-05-07,127.8,136.0,127.55,135.95,135.55,SANGHVIMOV
2021-05-06,126.9,129.75,126.0,128.0,126.65,SANGHVIMOV
2021-05-05,129.0,129.75,126.25,127.0,127.1,SANGHVIMOV
2021-05-04,135.65,139.95,123.25,127.0,126.0,SANGHVIMOV
2021-05-03,125.35,138.75,125.35,135.1,135.65,SANGHVIMOV
2021-04-30,126.0,127.9,124.25,125.1,125.35,SANGHVIMOV
2021-04-29,126.1,130.35,125.9,127.3,127.8,SANGHVIMOV
2021-04-28,127.8,127.8,124.0,125.25,125.3,SANGHVIMOV
2021-04-27,128.75,128.75,123.0,124.9,124.65,SANGHVIMOV
2021-04-26,127.45,132.45,122.0,127.0,125.2,SANGHVIMOV
2021-04-23,127.6,133.95,125.0,126.6,126.85,SANGHVIMOV
2021-04-22,133.05,135.0,125.0,126.15,126.9,SANGHVIMOV
2021-04-20,139.7,144.55,133.0,133.0,134.3,SANGHVIMOV
2021-04-19,118.95,141.7,113.65,136.7,137.85,SANGHVIMOV
2021-04-16,116.3,127.9,114.5,122.25,122.0,SANGHVIMOV
2021-04-15,113.15,120.05,113.15,114.0,114.95,SANGHVIMOV
2021-04-13,111.45,123.5,107.2,119.0,118.85,SANGHVIMOV
2021-04-12,114.0,114.0,105.0,109.3,106.2,SANGHVIMOV
2021-04-09,118.0,118.0,112.7,115.9,114.4,SANGHVIMOV
2021-04-08,113.7,117.0,112.0,116.5,115.0,SANGHVIMOV
2021-04-07,113.75,114.4,110.05,110.05,110.3,SANGHVIMOV
2021-04-06,101.9,117.7,101.9,113.95,113.35,SANGHVIMOV
2021-04-05,102.5,108.75,96.95,101.9,101.05,SANGHVIMOV
2021-04-01,99.9,108.45,99.9,105.0,105.1,SANGHVIMOV
2021-03-31,100.2,104.55,97.45,100.95,100.45,SANGHVIMOV
2021-03-30,105.8,105.8,99.0,101.1,101.8,SANGHVIMOV
2021-03-26,104.5,106.05,101.6,101.6,102.7,SANGHVIMOV
