DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-20,32.0,32.1,30.05,30.8,72.0,18.0,SANGINITA
2021-10-19,34.2,34.4,30.9,31.65,72.0,18.0,SANGINITA
2021-10-18,36.2,37.25,32.8,33.05,72.0,18.0,SANGINITA
2021-10-14,37.05,38.3,35.6,36.1,72.0,18.0,SANGINITA
2021-10-13,40.8,42.1,37.8,38.8,72.0,18.0,SANGINITA
2021-10-12,38.0,41.5,38.0,40.05,72.0,18.0,SANGINITA
2021-10-11,39.5,41.3,34.9,37.55,72.0,18.0,SANGINITA
2021-10-08,45.9,47.2,38.7,39.55,72.0,18.0,SANGINITA
2021-10-07,39.4,42.05,38.0,42.05,72.0,18.0,SANGINITA
2021-10-06,35.05,35.05,33.0,35.05,72.0,18.0,SANGINITA
2021-10-05,30.0,31.9,29.65,31.9,72.0,18.0,SANGINITA
2021-10-04,26.05,29.4,26.05,29.0,72.0,18.0,SANGINITA
2021-10-01,25.6,27.2,25.6,26.9,75.9,18.0,SANGINITA
2021-09-30,26.0,26.0,25.45,25.95,75.9,18.0,SANGINITA
2021-09-29,26.1,26.1,25.65,25.75,75.9,18.0,SANGINITA
2021-09-28,25.7,26.4,25.7,26.0,75.9,18.0,SANGINITA
2021-09-27,26.9,26.9,25.8,26.2,75.9,18.0,SANGINITA
2021-09-24,26.4,27.05,26.35,26.45,86.4,18.0,SANGINITA
2021-09-23,26.75,27.4,26.7,26.75,86.4,18.0,SANGINITA
2021-09-22,27.15,27.4,26.7,26.85,86.4,18.0,SANGINITA
2021-09-21,26.5,27.35,26.15,26.95,86.4,18.0,SANGINITA
2021-09-20,27.8,27.8,26.75,26.9,86.4,18.0,SANGINITA
2021-09-17,27.15,28.7,27.1,27.2,90.65,18.0,SANGINITA
2021-09-16,28.95,28.95,27.6,27.85,90.65,18.0,SANGINITA
2021-09-15,28.5,29.0,28.0,28.35,90.65,18.0,SANGINITA
