DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,793.5,825.5,793.5,820.4,860.0,682.0,SANSERA
2021-11-11,774.0,815.0,774.0,801.95,860.0,682.0,SANSERA
2021-11-10,725.0,735.0,715.1,720.3,860.0,682.0,SANSERA
2021-11-09,731.0,735.0,722.25,724.45,860.0,682.0,SANSERA
2021-11-08,733.0,734.0,715.0,725.65,860.0,682.0,SANSERA
2021-11-04,725.4,738.95,725.4,733.0,860.0,682.0,SANSERA
2021-11-03,748.8,748.8,718.4,725.4,860.0,682.0,SANSERA
2021-11-02,719.5,740.0,713.0,735.4,860.0,682.0,SANSERA
2021-11-01,695.0,717.2,694.65,715.1,860.0,682.0,SANSERA
2021-10-29,728.0,741.15,682.0,707.4,860.0,682.0,SANSERA
2021-10-28,738.1,745.0,723.25,740.3,860.0,709.05,SANSERA
2021-10-27,753.05,759.0,732.65,743.1,860.0,709.05,SANSERA
2021-10-26,730.0,758.25,724.0,753.05,860.0,709.05,SANSERA
2021-10-25,753.0,753.0,709.05,730.95,860.0,709.05,SANSERA
2021-10-22,784.0,784.0,735.0,746.6,860.0,735.0,SANSERA
2021-10-21,790.05,809.45,771.0,775.05,860.0,771.0,SANSERA
2021-10-20,802.1,809.4,779.1,789.9,860.0,779.1,SANSERA
2021-10-19,803.65,824.0,800.0,810.9,860.0,785.0,SANSERA
2021-10-18,804.0,820.0,802.0,803.6,860.0,785.0,SANSERA
2021-10-14,825.0,829.0,801.5,810.3,860.0,785.0,SANSERA
2021-10-13,792.0,832.9,791.0,820.95,860.0,785.0,SANSERA
2021-10-12,796.1,799.85,787.05,790.85,860.0,785.0,SANSERA
2021-10-11,803.6,810.85,797.0,799.05,860.0,785.0,SANSERA
2021-10-08,801.3,814.6,798.15,804.9,860.0,785.0,SANSERA
2021-10-07,805.0,806.0,791.5,804.65,860.0,785.0,SANSERA
2021-10-06,801.1,809.0,785.0,795.3,860.0,785.0,SANSERA
2021-10-05,806.3,809.4,796.35,804.25,860.0,792.0,SANSERA
2021-10-04,807.0,816.25,803.1,806.3,860.0,792.0,SANSERA
2021-10-01,800.0,821.0,792.0,810.45,860.0,792.0,SANSERA
2021-09-30,801.5,816.55,800.0,806.1,860.0,795.1,SANSERA
2021-09-29,814.85,814.85,795.1,802.3,860.0,795.1,SANSERA
2021-09-28,853.9,855.0,803.5,815.65,860.0,801.0,SANSERA
2021-09-27,847.95,860.0,832.3,846.8,860.0,801.0,SANSERA
2021-09-24,811.5,841.95,801.0,818.55,841.95,801.0,SANSERA
