DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,1318.95,1338.0,1303.05,1307.5,1525.0,648.0,SASKEN
2021-11-11,1312.5,1340.0,1295.1,1312.35,1525.0,648.0,SASKEN
2021-11-10,1293.85,1361.8,1262.65,1308.3,1525.0,648.0,SASKEN
2021-11-09,1325.25,1347.0,1286.25,1293.85,1525.0,648.0,SASKEN
2021-11-08,1320.0,1325.0,1278.0,1313.7,1525.0,648.0,SASKEN
2021-11-04,1294.0,1320.0,1292.0,1311.6,1525.0,648.0,SASKEN
2021-11-03,1253.95,1279.95,1242.95,1267.0,1525.0,648.0,SASKEN
2021-11-02,1260.15,1279.0,1242.05,1254.2,1525.0,648.0,SASKEN
2021-11-01,1231.85,1277.0,1231.85,1253.85,1525.0,648.0,SASKEN
2021-10-29,1266.0,1276.95,1184.0,1225.7,1525.0,646.0,SASKEN
2021-10-28,1300.0,1300.0,1250.05,1265.6,1525.0,646.0,SASKEN
2021-10-27,1333.5,1346.1,1288.75,1309.85,1525.0,646.0,SASKEN
2021-10-26,1297.0,1338.4,1290.85,1326.85,1525.0,646.0,SASKEN
2021-10-25,1404.3,1404.3,1264.0,1281.2,1525.0,646.0,SASKEN
2021-10-22,1490.0,1490.0,1370.8,1387.45,1525.0,646.0,SASKEN
2021-10-21,1470.0,1525.0,1439.95,1508.5,1525.0,646.0,SASKEN
2021-10-20,1475.0,1519.0,1414.0,1459.4,1519.0,646.0,SASKEN
2021-10-19,1416.9,1512.1,1381.0,1465.0,1512.1,646.0,SASKEN
2021-10-18,1397.25,1432.75,1370.0,1408.45,1485.0,646.0,SASKEN
2021-10-14,1406.25,1424.9,1366.2,1379.5,1485.0,646.0,SASKEN
2021-10-13,1347.35,1418.4,1338.4,1395.75,1485.0,646.0,SASKEN
2021-10-12,1345.6,1355.0,1330.0,1340.65,1485.0,646.0,SASKEN
2021-10-11,1353.7,1360.0,1335.0,1338.9,1485.0,646.0,SASKEN
2021-10-08,1332.5,1380.0,1323.15,1349.6,1485.0,646.0,SASKEN
2021-10-07,1312.0,1344.1,1312.0,1327.45,1485.0,646.0,SASKEN
2021-10-06,1333.05,1344.15,1305.0,1311.75,1485.0,646.0,SASKEN
2021-10-05,1345.0,1355.3,1321.65,1335.2,1485.0,646.0,SASKEN
2021-10-04,1355.0,1365.0,1333.3,1342.2,1485.0,646.0,SASKEN
2021-10-01,1338.2,1355.0,1333.25,1346.6,1485.0,646.0,SASKEN
2021-09-30,1339.0,1367.9,1335.15,1340.5,1485.0,646.0,SASKEN
2021-09-29,1365.0,1374.35,1333.0,1345.35,1485.0,646.0,SASKEN
2021-09-28,1409.9,1410.0,1355.5,1365.75,1485.0,646.0,SASKEN
2021-09-27,1385.25,1419.7,1375.0,1409.2,1485.0,646.0,SASKEN
2021-09-24,1371.9,1399.95,1363.0,1373.95,1485.0,598.1,SASKEN
2021-09-23,1375.0,1399.15,1350.0,1359.4,1485.0,598.1,SASKEN
2021-09-22,1372.0,1397.9,1368.0,1370.9,1485.0,598.1,SASKEN
2021-09-21,1375.1,1397.0,1346.5,1371.75,1485.0,598.1,SASKEN
2021-09-20,1410.0,1423.0,1380.0,1385.25,1485.0,598.1,SASKEN
2021-09-17,1389.0,1450.0,1366.0,1421.15,1485.0,565.7,SASKEN
2021-09-16,1408.0,1457.0,1382.05,1385.7,1485.0,565.7,SASKEN
2021-09-15,1420.0,1425.55,1400.0,1402.45,1485.0,565.7,SASKEN
2021-09-14,1480.0,1480.0,1402.5,1410.0,1485.0,565.7,SASKEN
2021-09-13,1362.8,1470.0,1345.0,1440.3,1485.0,565.7,SASKEN
2021-09-09,1360.0,1379.0,1341.0,1349.8,1485.0,538.55,SASKEN
2021-09-08,1389.7,1394.75,1362.0,1368.65,1485.0,538.55,SASKEN
2021-09-07,1404.85,1434.2,1366.0,1374.55,1485.0,538.55,SASKEN
2021-09-06,1402.65,1447.85,1395.15,1403.65,1485.0,538.55,SASKEN
2021-09-03,1484.0,1485.0,1401.15,1412.6,1485.0,538.55,SASKEN
2021-09-02,1357.2,1464.2,1357.2,1448.35,1464.2,538.55,SASKEN
2021-09-01,1380.0,1384.4,1350.0,1369.1,1429.0,538.55,SASKEN
2021-08-31,1337.0,1400.0,1336.25,1362.45,1429.0,538.55,SASKEN
2021-08-30,1301.0,1350.0,1301.0,1320.2,1429.0,538.55,SASKEN
2021-08-27,1327.0,1338.15,1313.45,1315.75,1429.0,538.55,SASKEN
2021-08-26,1314.0,1364.0,1314.0,1326.4,1429.0,538.55,SASKEN
2021-08-25,1329.0,1349.0,1320.95,1325.4,1429.0,538.55,SASKEN
2021-08-24,1284.5,1331.0,1282.85,1323.65,1429.0,538.55,SASKEN
2021-08-23,1305.3,1327.85,1252.8,1278.1,1429.0,538.55,SASKEN
2021-08-20,1335.0,1377.0,1280.0,1298.8,1429.0,538.55,SASKEN
2021-08-18,1269.5,1350.0,1250.15,1345.65,1429.0,538.55,SASKEN
2021-08-17,1242.0,1276.9,1217.3,1263.15,1429.0,538.55,SASKEN
2021-08-16,1257.6,1257.6,1230.65,1236.15,1429.0,538.55,SASKEN
2021-08-13,1272.0,1295.65,1240.05,1251.3,1429.0,538.55,SASKEN
2021-08-12,1229.7,1272.0,1229.7,1268.5,1429.0,538.55,SASKEN
2021-08-11,1220.05,1251.4,1181.05,1221.25,1429.0,538.55,SASKEN
2021-08-10,1296.0,1296.0,1210.0,1232.8,1429.0,538.55,SASKEN
2021-08-09,1311.7,1313.25,1282.85,1290.1,1429.0,538.55,SASKEN
2021-08-06,1303.0,1324.0,1294.0,1300.6,1429.0,536.0,SASKEN
2021-08-05,1295.0,1328.0,1280.25,1294.5,1429.0,536.0,SASKEN
2021-08-04,1305.0,1320.0,1275.0,1276.15,1429.0,536.0,SASKEN
2021-08-03,1323.95,1323.95,1297.95,1301.25,1429.0,536.0,SASKEN
2021-08-02,1315.0,1342.65,1308.0,1311.95,1429.0,536.0,SASKEN
2021-07-30,1315.9,1332.45,1305.0,1308.4,1429.0,475.0,SASKEN
2021-07-29,1327.25,1340.0,1301.0,1310.1,1429.0,475.0,SASKEN
2021-07-28,1314.25,1349.9,1277.1,1316.25,1429.0,475.0,SASKEN
2021-07-27,1325.0,1347.0,1300.65,1305.35,1429.0,475.0,SASKEN
2021-07-26,1345.0,1348.0,1320.0,1335.8,1429.0,475.0,SASKEN
2021-07-23,1292.0,1331.7,1270.05,1307.85,1429.0,471.0,SASKEN
2021-07-22,1375.0,1375.0,1275.0,1279.9,1429.0,471.0,SASKEN
2021-07-20,1401.0,1429.0,1327.8,1336.5,1429.0,471.0,SASKEN
2021-07-19,1293.9,1428.0,1290.0,1399.8,1428.0,471.0,SASKEN
2021-07-16,1331.0,1370.0,1290.05,1301.9,1373.85,458.9,SASKEN
2021-07-15,1348.8,1373.85,1301.3,1324.7,1373.85,458.9,SASKEN
2021-07-14,1190.0,1350.0,1185.5,1319.9,1350.0,458.9,SASKEN
2021-07-13,1215.1,1235.05,1163.95,1190.0,1280.0,458.9,SASKEN
2021-07-12,1199.0,1229.55,1191.15,1215.4,1280.0,458.9,SASKEN
2021-07-09,1192.0,1206.45,1174.0,1181.8,1280.0,458.9,SASKEN
2021-07-08,1197.0,1230.1,1176.05,1190.45,1280.0,458.9,SASKEN
2021-07-07,1184.0,1215.4,1156.7,1196.1,1280.0,458.9,SASKEN
2021-07-06,1210.15,1222.45,1170.0,1179.05,1280.0,458.9,SASKEN
2021-07-05,1248.0,1262.95,1195.0,1210.15,1280.0,458.9,SASKEN
2021-07-02,1183.0,1243.0,1177.15,1219.4,1280.0,458.9,SASKEN
2021-07-01,1249.95,1280.0,1171.0,1179.2,1280.0,458.9,SASKEN
2021-06-30,1027.0,1227.1,1027.0,1220.7,1227.1,458.9,SASKEN
2021-06-29,1026.6,1035.0,1011.0,1022.6,1078.0,458.9,SASKEN
2021-06-28,1021.0,1033.0,1018.05,1022.65,1078.0,458.9,SASKEN
2021-06-25,1049.0,1049.0,1012.25,1026.45,1078.0,442.0,SASKEN
2021-06-24,1025.0,1045.9,994.95,1033.55,1078.0,442.0,SASKEN
2021-06-23,1016.25,1039.95,1015.9,1021.2,1078.0,442.0,SASKEN
2021-06-22,1010.0,1035.0,1001.0,1010.8,1078.0,442.0,SASKEN
2021-06-21,1012.0,1029.0,990.2,1008.8,1078.0,442.0,SASKEN
2021-06-18,1017.3,1033.1,976.55,1006.95,1078.0,431.75,SASKEN
2021-06-17,1025.05,1055.0,996.95,1012.2,1078.0,431.75,SASKEN
2021-06-16,1035.0,1078.0,1028.0,1041.85,1078.0,431.75,SASKEN
2021-06-15,963.9,1060.0,963.9,1028.15,1062.15,431.75,SASKEN
2021-06-14,974.0,985.0,956.85,964.8,1062.15,431.75,SASKEN
2021-06-11,969.95,974.6,959.0,964.05,1062.15,416.75,SASKEN
2021-06-10,967.7,975.35,956.05,966.55,1062.15,416.75,SASKEN
2021-06-09,971.95,984.7,959.15,961.85,1062.15,416.75,SASKEN
2021-06-08,972.05,990.0,965.0,968.95,1062.15,416.75,SASKEN
2021-06-07,990.0,990.0,966.3,969.4,1062.15,416.75,SASKEN
2021-06-04,979.45,983.6,956.3,969.4,1062.15,407.0,SASKEN
2021-06-03,972.5,993.0,964.3,974.55,1062.15,407.0,SASKEN
2021-06-02,962.0,977.5,956.0,962.65,1062.15,407.0,SASKEN
2021-06-01,971.5,978.6,952.25,961.3,1062.15,407.0,SASKEN
2021-05-31,983.0,988.95,962.0,966.65,1062.15,407.0,SASKEN
2021-05-28,1012.0,1018.7,970.75,978.6,1062.15,377.5,SASKEN
2021-05-27,992.75,1027.0,985.2,1001.05,1062.15,377.5,SASKEN
2021-05-26,979.8,1008.0,970.5,978.05,1062.15,377.5,SASKEN
2021-05-25,955.95,983.0,953.75,971.8,1062.15,377.5,SASKEN
2021-05-24,949.0,984.95,937.95,951.15,1062.15,377.5,SASKEN
2021-05-21,940.15,949.5,931.75,939.1,1062.15,375.05,SASKEN
2021-05-20,949.3,954.65,930.05,935.45,1062.15,375.05,SASKEN
2021-05-19,950.0,968.75,935.9,944.55,1062.15,375.05,SASKEN
2021-05-18,963.95,963.95,934.95,947.5,1062.15,375.05,SASKEN
2021-05-17,936.9,949.0,921.0,928.35,1062.15,375.05,SASKEN
2021-05-14,968.0,969.1,930.0,932.2,1062.15,375.05,SASKEN
2021-05-12,975.0,979.95,955.0,959.7,1062.15,375.05,SASKEN
2021-05-11,960.0,976.7,949.95,963.55,1062.15,375.05,SASKEN
2021-05-10,963.3,979.0,951.6,965.85,1062.15,375.05,SASKEN
2021-05-07,979.8,995.5,959.25,963.3,1062.15,370.0,SASKEN
2021-05-06,905.05,992.05,901.85,970.55,1062.15,370.0,SASKEN
2021-05-05,910.0,922.5,902.0,907.45,1062.15,370.0,SASKEN
2021-05-04,934.45,935.95,905.4,907.75,1062.15,370.0,SASKEN
2021-05-03,930.35,940.0,873.1,929.8,1062.15,370.0,SASKEN
2021-04-30,927.0,949.95,916.85,930.35,1062.15,370.0,SASKEN
2021-04-29,932.0,939.65,926.3,932.4,1062.15,370.0,SASKEN
2021-04-28,946.95,946.95,927.55,930.25,1062.15,370.0,SASKEN
2021-04-27,934.0,947.1,924.4,933.1,1062.15,370.0,SASKEN
2021-04-26,932.0,943.7,928.3,930.65,1062.15,370.0,SASKEN
2021-04-23,945.0,1018.0,923.0,928.65,1062.15,370.0,SASKEN
2021-04-22,947.1,993.85,947.1,975.25,1062.15,370.0,SASKEN
2021-04-20,958.6,1020.0,940.15,945.55,1062.15,370.0,SASKEN
2021-04-19,958.55,963.5,926.9,948.6,1062.15,370.0,SASKEN
2021-04-16,936.95,972.0,918.0,959.15,1062.15,370.0,SASKEN
2021-04-15,956.9,975.2,916.3,929.4,1062.15,370.0,SASKEN
2021-04-13,981.2,1009.8,938.15,956.1,1062.15,370.0,SASKEN
2021-04-12,1005.95,1026.0,956.25,970.25,1062.15,370.0,SASKEN
2021-04-09,920.0,1062.15,917.95,1007.25,1062.15,365.0,SASKEN
2021-04-08,908.0,948.4,905.55,916.9,948.4,365.0,SASKEN
2021-04-07,912.0,930.0,895.1,902.5,943.75,365.0,SASKEN
2021-04-06,880.0,930.0,873.95,902.75,943.75,365.0,SASKEN
2021-04-05,892.0,892.0,857.1,873.25,943.75,365.0,SASKEN
2021-04-01,870.35,894.35,868.25,875.3,943.75,348.1,SASKEN
2021-03-31,872.0,882.0,854.5,874.35,943.75,348.1,SASKEN
2021-03-30,858.65,888.0,855.4,871.75,943.75,348.1,SASKEN
2021-03-26,855.0,869.45,845.1,854.35,943.75,345.05,SASKEN
2021-03-25,912.0,912.0,837.2,849.35,943.75,345.05,SASKEN
2021-03-24,911.0,938.95,905.0,915.0,943.75,345.05,SASKEN
2021-03-23,917.9,939.9,915.0,921.7,943.75,345.05,SASKEN
2021-03-22,850.4,943.75,836.95,913.35,943.75,345.05,SASKEN
2021-03-19,830.05,857.0,805.1,846.15,928.7,335.15,SASKEN
2021-03-18,855.9,867.05,836.0,845.4,928.7,335.15,SASKEN
2021-03-17,872.0,896.35,850.2,854.5,928.7,335.15,SASKEN
2021-03-16,869.9,908.0,860.65,874.55,928.7,335.15,SASKEN
2021-03-15,859.85,868.95,845.1,863.5,928.7,335.15,SASKEN
2021-03-12,855.05,869.85,849.05,855.55,928.7,335.15,SASKEN
2021-03-10,860.0,868.0,842.05,857.6,928.7,335.15,SASKEN
2021-03-09,863.3,876.9,852.0,856.2,928.7,335.15,SASKEN
2021-03-08,862.0,878.9,853.05,859.0,928.7,335.15,SASKEN
2021-03-05,871.05,883.75,853.5,857.55,928.7,335.15,SASKEN
2021-03-04,860.05,894.9,860.05,879.4,928.7,335.15,SASKEN
2021-03-03,888.75,913.0,865.0,874.9,928.7,335.15,SASKEN
2021-03-02,849.0,885.8,848.0,879.2,928.7,335.15,SASKEN
2021-03-01,843.2,855.0,837.4,848.2,928.7,335.15,SASKEN
2021-02-26,830.0,854.9,829.0,843.25,928.7,335.15,SASKEN
2021-02-25,868.9,870.1,851.05,856.25,928.7,335.15,SASKEN
2021-02-24,874.65,880.9,833.05,860.4,928.7,335.15,SASKEN
2021-02-23,811.0,887.8,811.0,867.55,928.7,335.15,SASKEN
2021-02-22,832.3,835.0,804.4,810.6,928.7,335.15,SASKEN
2021-02-19,840.55,841.75,823.0,828.15,928.7,335.15,SASKEN
2021-02-18,831.75,850.0,825.65,836.4,928.7,335.15,SASKEN
2021-02-17,818.95,834.55,815.15,829.55,928.7,335.15,SASKEN
2021-02-16,830.1,830.1,817.3,821.1,928.7,335.15,SASKEN
2021-02-15,836.7,836.7,814.95,829.0,928.7,335.15,SASKEN
2021-02-12,821.25,843.0,821.25,832.5,928.7,335.15,SASKEN
2021-02-11,816.15,834.9,814.2,825.4,928.7,335.15,SASKEN
2021-02-10,814.5,826.0,809.0,816.15,928.7,335.15,SASKEN
2021-02-09,837.0,837.0,815.0,818.4,928.7,335.15,SASKEN
2021-02-08,819.0,839.0,811.3,831.05,928.7,335.15,SASKEN
2021-02-05,836.45,841.5,812.05,814.9,928.7,335.15,SASKEN
2021-02-04,835.5,847.0,828.05,832.25,928.7,335.15,SASKEN
2021-02-03,840.65,857.0,824.9,838.4,928.7,335.15,SASKEN
2021-02-02,814.85,848.65,814.85,841.65,928.7,335.15,SASKEN
2021-02-01,808.0,818.0,792.0,810.75,928.7,335.15,SASKEN
2021-01-29,812.0,823.9,794.0,799.25,928.7,335.15,SASKEN
2021-01-28,825.0,825.05,799.6,803.1,928.7,335.15,SASKEN
2021-01-27,824.2,845.2,816.0,827.75,928.7,335.15,SASKEN
2021-01-25,843.55,854.95,819.0,823.55,928.7,335.15,SASKEN
2021-01-22,880.0,887.15,835.05,839.35,928.7,335.15,SASKEN
2021-01-21,918.95,928.7,869.0,875.9,928.7,335.15,SASKEN
2021-01-20,860.0,923.7,847.45,903.2,923.7,335.15,SASKEN
2021-01-19,836.05,854.65,831.8,847.15,889.9,335.15,SASKEN
2021-01-18,859.5,859.5,828.5,831.4,889.9,335.15,SASKEN
2021-01-15,853.65,868.4,845.45,856.55,889.9,335.15,SASKEN
2021-01-14,841.75,857.0,841.75,849.65,889.9,335.15,SASKEN
2021-01-13,857.6,871.2,840.0,844.15,889.9,335.15,SASKEN
2021-01-12,855.5,861.75,847.15,852.7,889.9,335.15,SASKEN
2021-01-11,880.0,884.45,840.0,863.45,889.9,335.15,SASKEN
2021-01-08,834.85,889.9,830.05,867.5,889.9,335.15,SASKEN
2021-01-07,844.8,864.85,820.0,825.7,885.9,335.15,SASKEN
2021-01-06,827.0,885.9,822.7,836.35,885.9,335.15,SASKEN
2021-01-05,813.0,847.0,806.05,822.95,848.7,335.15,SASKEN
2021-01-04,826.7,847.95,805.0,812.6,848.7,335.15,SASKEN
2021-01-01,815.45,828.05,814.0,818.75,848.7,335.15,SASKEN
2020-12-31,817.5,835.0,805.25,811.35,848.7,335.15,SASKEN
2020-12-30,831.0,831.0,808.25,815.6,848.7,335.15,SASKEN
2020-12-29,820.0,848.7,800.1,827.95,848.7,335.15,SASKEN
2020-12-28,725.0,821.4,710.55,811.7,821.4,335.15,SASKEN
2020-12-24,732.0,736.7,723.05,726.85,794.0,335.15,SASKEN
2020-12-23,715.0,739.65,710.0,729.35,794.0,335.15,SASKEN
2020-12-22,702.0,718.65,685.0,706.85,794.0,335.15,SASKEN
2020-12-21,740.0,749.95,692.55,699.85,794.0,335.15,SASKEN
2020-12-18,742.0,754.0,724.85,737.85,794.0,335.15,SASKEN
2020-12-17,744.9,748.8,735.0,739.4,794.0,335.15,SASKEN
2020-12-16,745.0,753.25,735.25,742.5,794.0,335.15,SASKEN
2020-12-15,751.3,759.0,740.0,742.95,794.0,335.15,SASKEN
2020-12-14,755.05,794.0,751.35,762.5,794.0,335.15,SASKEN
2020-12-11,703.65,749.9,703.65,744.35,794.0,335.15,SASKEN
2020-12-10,710.0,713.95,695.0,700.1,794.0,335.15,SASKEN
2020-12-09,695.0,713.0,688.85,702.95,794.0,335.15,SASKEN
2020-12-08,703.0,714.5,687.7,691.7,794.0,335.15,SASKEN
2020-12-07,696.1,718.0,696.1,703.0,794.0,335.15,SASKEN
2020-12-04,700.0,710.0,690.5,702.95,794.0,335.15,SASKEN
2020-12-03,679.7,698.5,672.2,693.0,794.0,335.15,SASKEN
2020-12-02,666.05,684.4,666.05,676.3,794.0,335.15,SASKEN
2020-12-01,658.65,678.3,658.65,668.6,794.0,335.15,SASKEN
2020-11-27,664.45,669.0,653.0,655.35,794.0,335.15,SASKEN
2020-11-26,665.25,669.95,660.0,664.4,794.0,335.15,SASKEN
2020-11-25,677.5,677.5,663.9,664.65,794.0,335.15,SASKEN
2020-11-24,668.25,679.0,668.15,672.75,794.0,335.15,SASKEN
2020-11-23,670.1,674.95,666.0,668.25,794.0,335.15,SASKEN
2020-11-20,675.9,681.65,665.05,666.75,794.0,335.15,SASKEN
2020-11-19,684.0,687.35,670.6,675.15,794.0,335.15,SASKEN
2020-11-18,684.6,695.0,674.1,680.7,794.0,335.15,SASKEN
2020-11-17,677.05,699.7,677.05,689.5,794.0,335.15,SASKEN
2020-11-14,657.6,680.0,656.15,675.85,794.0,335.15,SASKEN
2020-11-13,650.2,659.0,648.0,651.5,794.0,335.15,SASKEN
2020-11-12,652.0,660.0,648.0,651.25,794.0,335.15,SASKEN
2020-11-11,658.0,669.0,651.1,654.5,794.0,335.15,SASKEN
2020-11-10,672.25,675.0,655.0,656.75,794.0,335.15,SASKEN
2020-11-09,664.55,673.95,664.05,668.9,794.0,335.15,SASKEN
2020-11-06,655.0,675.0,652.0,664.55,794.0,335.15,SASKEN
2020-11-05,654.15,669.95,654.15,659.7,794.0,335.15,SASKEN
2020-11-04,666.9,673.8,651.05,653.15,794.0,335.15,SASKEN
2020-11-03,660.35,669.95,654.05,663.55,794.0,335.15,SASKEN
2020-11-02,658.25,660.0,651.2,657.05,794.0,335.15,SASKEN
2020-10-30,657.0,670.9,650.0,654.95,794.0,335.15,SASKEN
2020-10-29,669.0,673.75,656.25,662.9,794.0,335.15,SASKEN
2020-10-28,683.0,683.0,662.4,669.6,794.0,335.15,SASKEN
2020-10-27,685.7,696.0,671.5,680.0,794.0,335.15,SASKEN
2020-10-26,659.95,689.7,646.0,680.45,794.0,335.15,SASKEN
2020-10-23,692.0,692.85,658.0,662.35,794.0,335.15,SASKEN
2020-10-22,731.0,731.0,668.95,687.35,794.0,335.15,SASKEN
2020-10-21,732.55,779.75,727.55,752.3,794.0,335.15,SASKEN
2020-10-20,726.8,754.85,718.75,726.9,794.0,335.15,SASKEN
2020-10-19,735.0,739.0,711.0,721.65,794.0,335.15,SASKEN
2020-10-16,729.9,740.35,702.0,727.45,794.0,335.15,SASKEN
2020-10-15,763.0,767.35,715.0,724.65,794.0,335.15,SASKEN
2020-10-14,745.5,794.0,745.5,762.2,794.0,335.15,SASKEN
2020-10-13,698.65,752.4,690.7,735.15,752.75,335.15,SASKEN
2020-10-12,709.0,714.95,690.1,693.65,752.75,335.15,SASKEN
