DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,89.35,94.4,89.0,94.0,93.75,SATIN
2021-07-15,89.45,92.4,88.3,89.25,89.3,SATIN
2021-07-14,90.15,91.5,89.0,89.5,89.75,SATIN
2021-07-13,92.0,92.4,90.55,90.8,90.9,SATIN
2021-07-12,90.3,93.6,90.25,91.2,91.15,SATIN
2021-07-09,89.45,90.35,88.6,89.35,89.3,SATIN
2021-07-08,92.3,94.0,88.95,89.2,89.45,SATIN
2021-07-07,86.3,91.0,84.1,90.85,90.3,SATIN
2021-07-06,86.45,88.0,85.1,85.9,85.6,SATIN
2021-07-05,87.0,88.25,84.8,86.1,85.9,SATIN
2021-07-02,86.5,87.15,85.9,86.0,86.5,SATIN
2021-07-01,87.05,89.15,85.0,86.05,85.9,SATIN
2021-06-30,88.8,89.0,86.5,86.8,87.0,SATIN
2021-06-29,90.6,90.65,87.45,87.9,87.75,SATIN
2021-06-28,90.4,91.05,89.0,90.2,89.7,SATIN
2021-06-25,89.0,90.9,89.0,89.75,89.65,SATIN
2021-06-24,91.3,91.3,89.05,90.0,89.65,SATIN
2021-06-23,92.4,93.35,89.1,90.2,89.9,SATIN
2021-06-22,94.9,94.9,91.0,91.5,91.6,SATIN
2021-06-21,90.0,95.0,88.45,93.6,93.35,SATIN
2021-06-18,92.95,94.65,88.1,92.0,91.8,SATIN
2021-06-17,92.0,96.5,90.2,92.9,92.2,SATIN
2021-06-16,100.0,100.0,91.05,92.6,92.7,SATIN
2021-06-15,97.45,97.45,95.0,97.45,97.2,SATIN
2021-06-14,93.0,93.0,87.9,90.0,88.6,SATIN
2021-06-11,94.3,95.25,89.0,90.5,90.65,SATIN
2021-06-10,88.3,95.1,88.3,93.3,93.05,SATIN
2021-06-09,90.0,92.7,86.7,88.25,88.3,SATIN
2021-06-08,85.4,91.4,84.5,89.45,89.2,SATIN
2021-06-07,86.4,88.0,84.5,85.4,85.2,SATIN
2021-06-04,85.45,86.8,82.8,85.1,84.5,SATIN
2021-06-03,85.0,88.4,85.0,86.05,85.85,SATIN
2021-06-02,85.0,85.0,84.0,84.4,84.2,SATIN
