DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-30,143.8,145.25,138.45,139.0,139.45,147.15,67.6,SCHNEIDER
2021-07-29,126.5,147.15,125.1,143.05,142.55,147.15,67.6,SCHNEIDER
2021-07-28,128.5,129.0,123.4,125.35,125.75,141.0,67.6,SCHNEIDER
2021-07-27,126.3,130.5,126.3,127.15,127.7,141.0,67.6,SCHNEIDER
2021-07-26,126.25,128.25,125.25,126.5,126.8,141.0,67.6,SCHNEIDER
2021-07-23,125.8,129.5,123.9,126.05,126.5,141.0,67.6,SCHNEIDER
2021-07-22,125.0,127.1,123.9,125.0,124.65,141.0,67.6,SCHNEIDER
2021-07-20,126.65,129.8,122.5,123.2,123.05,141.0,67.6,SCHNEIDER
2021-07-19,128.0,131.05,127.2,128.05,128.25,141.0,67.6,SCHNEIDER
2021-07-16,131.0,132.35,129.0,129.45,129.25,141.0,67.6,SCHNEIDER
2021-07-15,132.4,134.2,129.35,130.35,130.4,141.0,67.6,SCHNEIDER
2021-07-14,133.4,133.65,129.6,131.5,131.6,141.0,67.6,SCHNEIDER
2021-07-13,136.45,138.45,132.0,132.5,132.75,141.0,67.6,SCHNEIDER
2021-07-12,130.4,138.75,129.55,135.0,134.95,141.0,67.6,SCHNEIDER
2021-07-09,129.45,129.65,125.95,128.15,127.95,141.0,67.6,SCHNEIDER
2021-07-08,128.9,131.65,128.15,128.7,128.65,141.0,67.6,SCHNEIDER
2021-07-07,125.0,132.8,124.3,128.15,128.15,141.0,67.6,SCHNEIDER
2021-07-06,124.1,127.8,123.85,125.0,125.05,141.0,67.6,SCHNEIDER
2021-07-05,124.5,127.9,123.0,123.5,123.65,141.0,67.6,SCHNEIDER
2021-07-02,125.0,128.15,122.95,123.3,123.4,141.0,67.6,SCHNEIDER
2021-07-01,128.5,128.9,124.1,124.8,124.75,141.0,67.6,SCHNEIDER
2021-06-30,121.6,131.15,120.65,128.6,129.1,141.0,67.6,SCHNEIDER
2021-06-29,120.7,124.2,120.05,120.8,120.65,141.0,67.6,SCHNEIDER
2021-06-28,118.85,121.4,117.7,119.85,119.8,141.0,67.6,SCHNEIDER
2021-06-25,120.05,122.0,118.5,118.85,118.8,141.0,67.6,SCHNEIDER
2021-06-24,124.0,124.4,119.4,120.35,120.05,141.0,67.6,SCHNEIDER
2021-06-23,129.65,133.55,127.35,131.0,130.0,141.0,67.6,SCHNEIDER
2021-06-22,127.4,131.7,127.2,127.75,128.05,141.0,67.6,SCHNEIDER
2021-06-21,121.0,127.4,120.4,126.7,126.5,141.0,67.6,SCHNEIDER
2021-06-18,127.5,128.55,118.2,123.8,123.55,141.0,67.6,SCHNEIDER
2021-06-17,127.7,129.5,124.55,126.5,126.7,141.0,67.6,SCHNEIDER
2021-06-16,129.5,129.7,125.55,126.25,126.1,141.0,67.6,SCHNEIDER
2021-06-15,129.45,133.2,128.25,128.25,129.0,141.0,67.6,SCHNEIDER
2021-06-14,130.5,130.55,125.1,129.8,128.6,141.0,67.6,SCHNEIDER
2021-06-11,132.7,132.7,129.5,130.75,130.25,141.0,67.6,SCHNEIDER
2021-06-10,131.5,134.4,130.25,132.0,131.85,141.0,67.6,SCHNEIDER
2021-06-09,133.75,138.0,127.0,129.15,129.3,141.0,67.6,SCHNEIDER
2021-06-08,128.75,141.0,128.0,132.8,133.65,141.0,67.6,SCHNEIDER
2021-06-07,124.35,129.6,124.15,128.0,127.9,138.0,67.6,SCHNEIDER
2021-06-04,124.45,127.8,122.8,123.25,123.2,138.0,67.6,SCHNEIDER
2021-06-03,127.6,128.05,122.65,123.85,123.2,138.0,67.6,SCHNEIDER
2021-06-02,126.45,130.0,125.4,126.3,126.5,138.0,67.6,SCHNEIDER
2021-06-01,132.8,133.2,122.6,126.5,126.15,138.0,67.6,SCHNEIDER
2021-05-31,132.85,135.8,130.55,131.5,132.05,138.0,67.6,SCHNEIDER
2021-05-28,126.0,132.65,121.1,131.0,130.2,138.0,67.6,SCHNEIDER
2021-05-27,124.4,128.9,122.6,125.5,125.75,138.0,67.6,SCHNEIDER
2021-05-26,132.0,138.0,122.35,123.95,123.65,138.0,67.6,SCHNEIDER
2021-05-25,106.35,126.35,106.0,126.35,126.35,126.35,67.6,SCHNEIDER
2021-05-24,105.15,106.4,102.65,104.95,105.3,120.85,67.6,SCHNEIDER
2021-05-21,104.05,107.9,104.05,104.95,104.9,120.85,67.6,SCHNEIDER
2021-05-20,107.2,107.85,103.1,104.35,103.85,120.85,67.6,SCHNEIDER
2021-05-19,106.5,109.7,106.0,107.0,106.9,120.85,67.6,SCHNEIDER
2021-05-18,98.2,110.65,98.2,106.75,107.0,120.85,67.6,SCHNEIDER
2021-05-17,98.0,98.95,97.0,97.6,97.75,120.85,67.6,SCHNEIDER
2021-05-14,100.6,101.25,96.55,97.3,97.05,120.85,67.6,SCHNEIDER
2021-05-12,104.55,104.55,99.0,99.9,100.3,120.85,67.6,SCHNEIDER
2021-05-11,94.5,105.0,93.6,103.6,104.0,120.85,67.6,SCHNEIDER
2021-05-10,95.95,97.15,94.25,95.2,95.2,120.85,67.6,SCHNEIDER
2021-05-07,93.75,99.9,93.2,95.45,95.2,120.85,67.6,SCHNEIDER
2021-05-06,92.0,94.0,91.7,92.85,93.2,120.85,67.6,SCHNEIDER
2021-05-05,92.0,93.0,91.1,91.15,91.3,120.85,67.6,SCHNEIDER
2021-05-04,94.3,94.85,90.1,91.35,90.85,120.85,67.6,SCHNEIDER
2021-05-03,90.9,94.65,89.9,93.65,93.9,120.85,67.6,SCHNEIDER
2021-04-30,90.7,92.5,90.1,91.0,90.65,120.85,67.6,SCHNEIDER
2021-04-29,93.1,93.55,90.5,91.2,91.05,120.85,67.6,SCHNEIDER
2021-04-28,92.55,95.0,92.3,92.5,92.55,120.85,67.6,SCHNEIDER
2021-04-27,91.7,94.2,91.15,92.6,92.55,120.85,67.6,SCHNEIDER
2021-04-26,92.6,93.75,90.65,91.45,91.05,120.85,67.6,SCHNEIDER
2021-04-23,89.55,93.35,89.0,92.35,92.4,120.85,67.6,SCHNEIDER
2021-04-22,88.0,90.45,87.3,89.7,89.55,120.85,67.6,SCHNEIDER
2021-04-20,90.0,90.9,87.4,88.0,87.9,120.85,67.6,SCHNEIDER
2021-04-19,90.8,90.8,87.3,88.4,88.35,120.85,67.6,SCHNEIDER
2021-04-16,91.5,93.65,90.65,92.2,92.2,120.85,67.6,SCHNEIDER
2021-04-15,92.65,93.2,90.0,91.1,91.05,120.85,67.6,SCHNEIDER
2021-04-13,91.0,93.6,89.9,92.85,92.65,120.85,67.6,SCHNEIDER
2021-04-12,94.55,94.6,88.45,90.0,89.6,120.85,67.6,SCHNEIDER
2021-04-09,93.75,99.5,93.75,96.35,96.5,120.85,67.15,SCHNEIDER
2021-04-08,93.0,94.65,92.7,93.65,93.4,120.85,67.15,SCHNEIDER
2021-04-07,93.4,94.2,91.7,92.3,92.2,120.85,67.15,SCHNEIDER
2021-04-06,94.45,95.8,92.4,93.0,93.1,120.85,67.15,SCHNEIDER
2021-04-05,96.95,97.65,93.05,93.95,94.05,120.85,67.15,SCHNEIDER
2021-04-01,95.3,98.9,95.3,97.7,96.75,120.85,60.7,SCHNEIDER
2021-03-31,94.9,96.9,93.25,93.25,94.4,120.85,60.7,SCHNEIDER
2021-03-30,96.5,98.5,94.0,94.5,94.4,120.85,60.7,SCHNEIDER
2021-03-26,94.8,96.8,93.85,95.9,95.55,120.85,58.0,SCHNEIDER
2021-03-25,97.0,97.0,92.85,93.95,93.65,120.85,58.0,SCHNEIDER
2021-03-24,100.4,101.45,96.0,96.6,96.55,120.85,58.0,SCHNEIDER
2021-03-23,98.2,102.9,97.45,100.85,101.45,120.85,58.0,SCHNEIDER
2021-03-22,95.85,99.65,95.25,97.5,98.2,120.85,58.0,SCHNEIDER
2021-03-19,93.35,99.7,91.3,97.0,96.8,120.85,58.0,SCHNEIDER
2021-03-18,97.95,98.25,92.3,94.0,93.05,120.85,58.0,SCHNEIDER
2021-03-17,100.05,101.45,95.1,96.0,96.05,120.85,58.0,SCHNEIDER
2021-03-16,100.05,103.4,98.8,99.6,99.7,120.85,58.0,SCHNEIDER
2021-03-15,103.05,103.5,98.65,100.25,99.95,120.85,58.0,SCHNEIDER
2021-03-12,106.5,106.8,101.2,102.75,102.2,120.85,58.0,SCHNEIDER
2021-03-10,107.95,108.55,104.85,105.5,105.5,120.85,58.0,SCHNEIDER
2021-03-09,109.0,111.4,105.65,106.95,107.0,120.85,58.0,SCHNEIDER
2021-03-08,108.65,112.9,107.05,108.2,108.05,120.85,58.0,SCHNEIDER
2021-03-05,114.0,115.0,106.25,108.75,107.3,120.85,58.0,SCHNEIDER
