DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,203.15,208.85,190.25,194.25,195.75,228.8,125.35,SESHAPAPER
2021-07-23,212.05,223.0,211.75,215.4,215.35,228.8,125.35,SESHAPAPER
2021-07-22,207.0,215.2,205.35,210.7,211.5,228.8,125.35,SESHAPAPER
2021-07-20,213.4,214.8,201.0,206.1,205.35,228.8,125.35,SESHAPAPER
2021-07-19,213.0,216.95,210.1,211.7,211.55,228.8,125.35,SESHAPAPER
2021-07-16,216.9,219.0,214.4,215.4,216.5,228.8,125.35,SESHAPAPER
2021-07-15,228.0,228.8,214.0,215.85,215.85,228.8,125.35,SESHAPAPER
2021-07-14,214.5,227.45,212.25,223.1,223.7,227.45,125.35,SESHAPAPER
2021-07-13,213.2,221.4,213.2,214.8,214.2,224.3,125.35,SESHAPAPER
2021-07-12,216.8,219.0,211.0,213.6,212.55,224.3,125.35,SESHAPAPER
2021-07-09,211.8,224.3,202.2,216.4,217.05,224.3,125.35,SESHAPAPER
2021-07-08,216.85,216.85,204.0,208.9,207.05,223.0,125.35,SESHAPAPER
2021-07-07,214.0,223.0,209.9,214.1,214.55,223.0,125.35,SESHAPAPER
2021-07-06,196.3,202.65,194.0,200.45,199.75,206.8,125.35,SESHAPAPER
2021-07-05,195.5,203.95,192.35,196.55,196.3,206.8,125.35,SESHAPAPER
2021-07-02,192.0,197.1,191.25,191.9,192.45,206.8,125.35,SESHAPAPER
2021-07-01,199.4,206.8,186.8,191.0,191.7,206.8,125.35,SESHAPAPER
2021-06-30,184.0,204.7,184.0,198.55,198.6,204.7,125.35,SESHAPAPER
2021-06-29,185.45,192.0,183.75,185.0,186.0,195.0,125.35,SESHAPAPER
2021-06-28,187.0,188.85,183.0,185.0,185.0,195.0,125.35,SESHAPAPER
2021-06-25,185.8,189.0,181.0,187.0,183.85,195.0,125.35,SESHAPAPER
2021-06-24,188.8,192.0,181.25,184.15,184.25,195.0,125.35,SESHAPAPER
2021-06-23,187.9,195.0,185.0,187.25,186.5,195.0,125.35,SESHAPAPER
2021-06-22,173.35,189.8,173.35,185.9,184.7,193.0,125.35,SESHAPAPER
2021-06-21,171.75,176.5,169.75,174.0,172.45,193.0,125.35,SESHAPAPER
2021-06-18,171.6,174.55,165.0,171.5,171.75,193.0,125.35,SESHAPAPER
2021-06-17,174.65,177.1,169.5,171.0,170.7,193.0,125.35,SESHAPAPER
2021-06-16,180.65,180.65,171.55,173.0,173.95,193.0,125.35,SESHAPAPER
