DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-10-14,18.65,19.2,18.65,18.95,25.2,10.15,SETCO
2021-10-13,19.75,19.8,19.0,19.1,25.2,10.15,SETCO
2021-10-12,20.1,20.1,19.4,19.6,25.2,10.15,SETCO
2021-10-11,20.1,20.45,18.9,19.7,25.2,10.15,SETCO
2021-10-08,19.15,19.85,18.8,19.85,25.2,9.65,SETCO
2021-10-07,19.3,19.3,18.55,18.95,25.2,9.65,SETCO
2021-10-06,19.85,19.9,19.0,19.25,25.2,9.65,SETCO
2021-10-05,19.75,19.9,19.55,19.7,25.2,9.65,SETCO
2021-10-04,19.65,20.25,19.65,19.8,25.2,9.65,SETCO
2021-10-01,19.9,20.0,19.6,19.75,25.2,9.3,SETCO
2021-09-30,20.0,20.4,19.6,19.9,25.2,9.3,SETCO
2021-09-29,19.85,20.25,19.2,19.95,25.2,9.3,SETCO
2021-09-28,20.65,20.65,19.75,19.9,25.2,9.3,SETCO
2021-09-27,20.45,20.9,19.85,20.4,25.2,9.3,SETCO
2021-09-24,21.35,21.45,20.1,20.3,25.2,9.0,SETCO
2021-09-23,21.05,21.4,20.55,21.0,25.2,9.0,SETCO
2021-09-22,20.3,21.2,20.3,20.65,25.2,9.0,SETCO
2021-09-21,20.4,21.2,19.9,20.25,25.2,9.0,SETCO
2021-09-20,21.5,22.4,20.55,20.9,25.2,9.0,SETCO
2021-09-17,22.75,22.75,21.4,21.45,25.2,9.0,SETCO
2021-09-16,23.1,23.2,22.2,22.5,25.2,9.0,SETCO
2021-09-15,23.55,23.7,22.75,22.95,25.2,9.0,SETCO
2021-09-14,24.2,24.4,22.5,22.6,25.2,9.0,SETCO
2021-09-13,24.0,24.4,21.6,23.65,25.2,9.0,SETCO
2021-09-09,22.25,22.25,22.25,22.25,25.2,8.9,SETCO
2021-09-08,20.25,20.25,20.25,20.25,25.2,8.9,SETCO
2021-09-07,18.9,19.65,18.25,18.45,25.2,8.9,SETCO
2021-09-06,18.9,19.4,17.95,18.75,25.2,8.9,SETCO
2021-09-03,18.95,18.95,18.25,18.5,25.2,8.75,SETCO
2021-09-02,18.8,19.35,18.6,18.7,25.2,8.75,SETCO
2021-09-01,19.7,19.7,18.75,18.9,25.2,8.75,SETCO
2021-08-31,20.0,20.0,19.2,19.3,25.2,8.75,SETCO
2021-08-30,18.75,19.7,18.35,19.45,25.2,8.75,SETCO
2021-08-27,17.5,18.5,17.5,18.25,25.2,8.75,SETCO
2021-08-26,17.9,18.0,17.3,17.5,25.2,8.75,SETCO
2021-08-25,18.0,18.3,17.4,17.6,25.2,8.75,SETCO
2021-08-24,16.15,17.9,16.0,17.85,25.2,8.75,SETCO
2021-08-23,17.25,17.55,15.85,16.3,25.2,8.75,SETCO
2021-08-20,16.75,17.5,15.8,16.9,25.2,8.75,SETCO
2021-08-18,17.5,17.5,16.1,16.8,25.2,8.75,SETCO
2021-08-17,18.25,18.25,16.85,17.25,25.2,8.75,SETCO
2021-08-16,18.9,18.9,17.7,17.85,25.2,8.75,SETCO
2021-08-13,18.9,19.1,17.8,18.45,25.2,8.75,SETCO
2021-08-12,19.35,19.4,18.05,18.6,25.2,8.75,SETCO
2021-08-11,20.25,20.25,17.65,18.7,25.2,8.75,SETCO
2021-08-10,17.35,20.9,17.35,19.55,25.2,8.75,SETCO
2021-08-09,20.5,20.5,19.25,19.25,25.2,8.75,SETCO
2021-08-06,20.5,22.0,20.1,21.35,25.2,8.4,SETCO
2021-08-05,20.55,21.55,19.55,20.1,25.2,8.4,SETCO
2021-08-04,20.8,21.1,20.55,20.55,25.2,8.4,SETCO
