DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-09-27,379.0,382.56,377.14,380.86,386.8,210.06,SETFNIFBK
2021-09-24,376.0,380.0,375.99,377.14,386.8,204.0,SETFNIFBK
2021-09-23,371.0,377.4,371.0,376.53,386.8,204.0,SETFNIFBK
2021-09-22,373.0,374.98,368.31,369.42,386.8,204.0,SETFNIFBK
2021-09-21,372.0,373.08,365.78,372.27,386.8,204.0,SETFNIFBK
2021-09-20,376.0,376.99,370.45,371.43,386.8,204.0,SETFNIFBK
2021-09-17,376.17,383.18,373.0,376.77,386.8,204.0,SETFNIFBK
2021-09-16,366.0,377.04,366.0,376.17,386.8,204.0,SETFNIFBK
2021-09-15,365.42,369.66,364.52,368.87,386.8,204.0,SETFNIFBK
2021-09-14,365.0,366.99,364.66,365.42,386.8,204.0,SETFNIFBK
2021-09-13,365.63,367.0,362.9,364.31,386.8,204.0,SETFNIFBK
2021-09-09,367.0,370.0,365.1,365.63,386.8,204.0,SETFNIFBK
2021-09-08,365.0,368.19,363.87,367.41,386.8,204.0,SETFNIFBK
2021-09-07,367.87,367.87,361.05,364.77,386.8,204.0,SETFNIFBK
2021-09-06,370.0,371.1,366.0,366.41,386.8,204.0,SETFNIFBK
2021-09-03,369.0,371.0,365.95,368.19,386.8,204.0,SETFNIFBK
2021-09-02,368.0,370.0,365.19,368.31,386.8,204.0,SETFNIFBK
2021-09-01,365.0,369.39,364.8,366.08,386.8,204.0,SETFNIFBK
2021-08-31,365.0,370.68,356.27,364.8,386.8,204.0,SETFNIFBK
2021-08-30,357.0,363.96,357.0,363.54,386.8,204.0,SETFNIFBK
2021-08-27,355.27,357.4,353.8,357.05,386.8,204.0,SETFNIFBK
2021-08-26,355.0,357.27,354.0,355.88,386.8,204.0,SETFNIFBK
2021-08-25,356.0,358.16,355.0,355.57,386.8,204.0,SETFNIFBK
2021-08-24,353.0,357.74,348.3,357.03,386.8,204.0,SETFNIFBK
2021-08-23,352.0,353.0,348.0,352.08,386.8,204.0,SETFNIFBK
2021-08-20,356.53,356.53,349.65,350.48,386.8,204.0,SETFNIFBK
2021-08-18,359.0,360.85,354.5,356.53,386.8,204.0,SETFNIFBK
2021-08-17,360.6,361.0,356.66,358.56,386.8,204.0,SETFNIFBK
2021-08-16,362.4,362.4,359.61,360.11,386.8,204.0,SETFNIFBK
2021-08-13,359.43,362.0,358.59,361.39,386.8,204.0,SETFNIFBK
2021-08-12,358.0,360.0,357.0,359.43,386.8,204.0,SETFNIFBK
2021-08-11,359.49,360.9,355.25,357.46,386.8,204.0,SETFNIFBK
2021-08-10,360.0,361.81,358.16,359.49,386.8,204.0,SETFNIFBK
2021-08-09,358.0,361.23,336.8,359.45,386.8,204.0,SETFNIFBK
2021-08-06,360.0,360.0,356.93,358.27,386.8,204.0,SETFNIFBK
2021-08-05,358.0,361.0,356.0,357.7,386.8,204.0,SETFNIFBK
2021-08-04,351.14,360.99,351.14,358.92,386.8,204.0,SETFNIFBK
2021-08-03,346.3,351.49,346.3,351.14,386.8,204.0,SETFNIFBK
2021-08-02,346.95,347.96,345.24,346.38,386.8,204.0,SETFNIFBK
2021-07-30,345.0,347.45,342.5,345.24,386.8,204.0,SETFNIFBK
2021-07-29,345.09,347.64,345.09,346.79,386.8,204.0,SETFNIFBK
2021-07-28,347.47,349.9,341.32,345.09,386.8,204.0,SETFNIFBK
2021-07-27,349.0,350.95,346.38,347.47,386.8,204.0,SETFNIFBK
2021-07-26,349.4,350.0,346.45,348.55,386.8,204.0,SETFNIFBK
2021-07-23,347.0,349.84,343.85,349.4,386.8,204.0,SETFNIFBK
2021-07-22,345.0,350.0,345.0,346.53,386.8,204.0,SETFNIFBK
2021-07-20,351.0,351.0,343.58,344.32,386.8,204.0,SETFNIFBK
2021-07-19,357.0,357.0,349.25,350.43,386.8,204.0,SETFNIFBK
2021-07-16,358.0,358.66,356.3,357.4,386.8,204.0,SETFNIFBK
2021-07-15,356.0,359.84,355.06,359.0,386.8,204.0,SETFNIFBK
2021-07-14,355.0,356.8,353.5,356.46,386.8,204.0,SETFNIFBK
2021-07-13,353.0,356.03,352.32,355.55,386.8,204.0,SETFNIFBK
2021-07-12,351.0,353.44,350.0,351.11,386.8,204.0,SETFNIFBK
2021-07-09,352.0,352.0,348.43,350.86,386.8,204.0,SETFNIFBK
2021-07-08,356.99,356.99,351.0,352.87,386.8,204.0,SETFNIFBK
2021-07-07,354.64,357.0,352.62,356.47,386.8,204.0,SETFNIFBK
2021-07-06,354.0,356.5,351.52,354.64,386.8,204.0,SETFNIFBK
2021-07-05,349.85,352.5,343.0,351.95,386.8,204.0,SETFNIFBK
2021-07-02,346.0,348.6,346.0,347.77,386.8,204.0,SETFNIFBK
2021-07-01,348.32,349.0,346.5,346.76,386.8,204.0,SETFNIFBK
2021-06-30,349.97,351.81,347.04,347.56,386.8,204.0,SETFNIFBK
2021-06-29,351.0,352.0,348.99,349.93,386.8,204.0,SETFNIFBK
2021-06-28,353.03,354.21,351.0,351.99,386.8,204.0,SETFNIFBK
2021-06-25,352.0,354.0,347.48,351.95,386.8,204.0,SETFNIFBK
