DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-09-13,444.99,445.0,438.1,443.61,454.8,250.8,SETFNN50
2021-09-09,442.99,442.99,439.0,441.93,454.8,250.8,SETFNN50
2021-09-08,440.0,440.0,438.0,439.95,454.8,250.8,SETFNN50
2021-09-07,443.99,443.99,437.67,439.43,454.8,250.8,SETFNN50
2021-09-06,446.99,446.99,437.5,441.9,454.8,250.8,SETFNN50
2021-09-03,438.0,442.99,435.1,442.61,454.8,250.8,SETFNN50
2021-09-02,436.99,440.19,435.01,439.0,454.8,250.8,SETFNN50
2021-09-01,433.99,437.0,431.05,434.41,454.8,250.8,SETFNN50
2021-08-31,426.0,435.55,425.0,431.66,454.8,250.8,SETFNN50
2021-08-30,421.99,426.89,419.0,425.38,454.8,250.8,SETFNN50
2021-08-27,415.0,419.9,411.21,419.02,454.8,250.8,SETFNN50
2021-08-26,414.99,415.99,409.18,414.17,454.8,250.8,SETFNN50
2021-08-25,413.99,414.99,407.1,412.62,454.8,250.8,SETFNN50
2021-08-24,406.28,411.99,406.01,410.35,454.8,250.8,SETFNN50
2021-08-23,435.4,435.4,402.5,406.28,454.8,250.8,SETFNN50
2021-08-20,415.99,415.99,407.0,410.74,454.8,250.8,SETFNN50
2021-08-18,412.0,416.8,408.51,414.34,454.8,250.8,SETFNN50
2021-08-17,412.99,414.99,408.01,411.61,454.8,250.8,SETFNN50
2021-08-16,414.99,414.99,406.2,411.09,454.8,250.8,SETFNN50
2021-08-13,412.99,412.99,406.1,410.04,454.8,250.8,SETFNN50
2021-08-12,408.0,411.9,406.95,409.6,454.8,250.8,SETFNN50
2021-08-11,412.99,412.99,400.6,408.98,454.8,250.8,SETFNN50
2021-08-10,414.47,414.47,405.33,408.89,454.8,250.8,SETFNN50
2021-08-09,414.99,414.99,409.5,411.63,454.8,250.8,SETFNN50
2021-08-06,413.99,414.0,410.03,412.83,454.8,250.8,SETFNN50
2021-08-05,414.99,416.5,408.05,410.88,454.8,250.8,SETFNN50
2021-08-04,416.99,418.4,410.0,412.73,454.8,250.8,SETFNN50
2021-08-03,414.99,449.1,408.1,414.73,454.8,250.8,SETFNN50
2021-08-02,409.0,412.9,405.1,412.05,454.8,250.8,SETFNN50
2021-07-30,409.99,409.99,402.95,405.94,454.8,250.8,SETFNN50
2021-07-29,409.99,409.99,405.05,407.18,454.8,250.8,SETFNN50
2021-07-28,408.99,408.99,400.75,407.04,454.8,250.8,SETFNN50
2021-07-27,410.47,410.99,405.26,407.82,454.8,250.8,SETFNN50
2021-07-26,410.99,410.99,405.51,407.97,454.8,250.8,SETFNN50
2021-07-23,409.99,410.99,405.95,408.9,454.8,250.8,SETFNN50
2021-07-22,405.99,409.88,402.86,408.91,454.8,250.8,SETFNN50
2021-07-20,405.99,405.99,398.0,404.3,454.8,250.8,SETFNN50
2021-07-19,405.99,407.0,400.0,404.8,454.8,250.8,SETFNN50
2021-07-16,405.99,407.99,404.01,406.16,454.8,250.8,SETFNN50
2021-07-15,404.99,405.89,403.85,403.95,454.8,250.8,SETFNN50
2021-07-14,403.44,404.5,402.65,403.83,454.8,250.8,SETFNN50
2021-07-13,439.2,439.2,401.0,402.62,454.8,250.8,SETFNN50
2021-07-12,406.99,408.0,400.51,402.96,454.8,250.8,SETFNN50
2021-07-09,403.0,405.01,399.94,404.27,454.8,250.8,SETFNN50
2021-07-08,403.9,403.9,399.2,403.32,454.8,250.8,SETFNN50
2021-07-07,403.99,403.99,399.2,401.26,454.8,250.8,SETFNN50
2021-07-06,403.99,403.99,400.0,401.65,454.8,250.8,SETFNN50
2021-07-05,363.8,403.99,363.8,401.15,454.8,250.8,SETFNN50
2021-07-02,402.99,402.99,398.52,399.73,454.8,250.8,SETFNN50
2021-07-01,435.9,435.9,399.05,399.8,454.8,250.8,SETFNN50
2021-06-30,404.69,415.0,399.5,399.92,454.8,250.8,SETFNN50
2021-06-29,436.9,436.9,398.11,402.76,454.8,250.8,SETFNN50
2021-06-28,404.8,404.8,398.1,400.87,454.8,250.8,SETFNN50
2021-06-25,397.5,401.98,395.08,399.99,454.8,250.8,SETFNN50
2021-06-24,402.99,402.99,396.3,397.89,454.8,250.8,SETFNN50
2021-06-23,407.99,407.99,399.15,400.07,454.8,250.8,SETFNN50
2021-06-22,454.8,454.8,401.16,403.52,454.8,250.8,SETFNN50
2021-06-21,397.83,404.98,390.08,402.46,420.7,250.8,SETFNN50
2021-06-18,401.99,402.0,390.0,397.84,420.7,242.9,SETFNN50
2021-06-17,405.99,405.99,396.36,399.01,420.7,242.9,SETFNN50
2021-06-16,409.99,409.99,400.11,403.64,420.7,242.9,SETFNN50
2021-06-15,403.69,408.98,402.65,408.19,420.7,242.9,SETFNN50
2021-06-14,407.99,408.69,395.1,403.69,420.7,242.9,SETFNN50
2021-06-11,402.51,406.95,402.31,405.62,420.7,242.9,SETFNN50
2021-06-10,403.99,405.39,401.41,402.31,420.7,242.9,SETFNN50
2021-06-09,406.99,407.59,398.21,400.98,420.7,242.9,SETFNN50
2021-06-08,404.99,405.99,401.3,405.86,420.7,242.9,SETFNN50
2021-06-07,402.0,408.0,401.8,402.6,420.7,242.9,SETFNN50
2021-06-04,403.99,403.99,397.1,402.59,420.7,242.9,SETFNN50
2021-06-03,398.99,401.99,396.17,401.49,420.7,242.9,SETFNN50
2021-06-02,391.99,397.95,389.97,396.84,420.7,242.9,SETFNN50
2021-06-01,391.99,391.99,387.03,389.88,420.7,242.9,SETFNN50
2021-05-31,391.0,391.0,380.95,389.28,420.7,242.9,SETFNN50
2021-05-28,389.99,389.99,385.51,386.88,420.7,236.0,SETFNN50
2021-05-27,385.92,420.7,383.87,387.47,420.7,236.0,SETFNN50
2021-05-26,387.99,387.99,383.1,385.92,410.8,236.0,SETFNN50
2021-05-25,386.0,388.49,384.65,385.87,410.8,236.0,SETFNN50
2021-05-24,385.99,387.47,380.5,385.56,410.8,236.0,SETFNN50
2021-05-21,384.99,386.38,382.0,383.77,410.8,232.0,SETFNN50
2021-05-20,383.97,384.4,380.57,382.49,410.8,232.0,SETFNN50
2021-05-19,381.99,383.95,376.0,380.94,410.8,232.0,SETFNN50
2021-05-18,379.99,379.99,375.01,378.63,410.8,232.0,SETFNN50
2021-05-17,374.49,375.0,370.0,374.63,410.8,232.0,SETFNN50
2021-05-14,410.8,410.8,368.0,371.57,410.8,232.0,SETFNN50
2021-05-12,377.0,410.2,374.66,376.92,410.2,232.0,SETFNN50
2021-05-11,373.99,376.75,370.0,376.33,402.0,232.0,SETFNN50
2021-05-10,373.99,374.78,370.08,372.13,402.0,232.0,SETFNN50
2021-05-07,373.99,373.99,368.0,370.79,402.0,232.0,SETFNN50
2021-05-06,369.99,370.0,365.08,369.65,402.0,232.0,SETFNN50
2021-05-05,365.99,367.0,361.61,365.6,402.0,232.0,SETFNN50
2021-05-04,364.99,366.99,360.25,362.1,402.0,232.0,SETFNN50
2021-05-03,361.99,363.99,353.11,363.67,402.0,232.0,SETFNN50
2021-04-30,363.99,363.99,355.67,359.62,402.0,232.0,SETFNN50
2021-04-29,365.99,365.99,359.0,361.22,402.0,232.0,SETFNN50
2021-04-28,374.6,374.6,358.26,361.77,402.0,232.0,SETFNN50
2021-04-27,360.99,360.99,355.46,360.18,402.0,232.0,SETFNN50
2021-04-26,362.99,362.99,352.96,357.33,402.0,232.0,SETFNN50
2021-04-23,357.99,363.0,353.03,355.75,402.0,219.3,SETFNN50
2021-04-22,352.57,356.0,350.81,355.24,402.0,219.3,SETFNN50
2021-04-20,358.0,358.0,352.0,353.8,402.0,219.3,SETFNN50
2021-04-19,358.67,358.99,348.2,354.06,402.0,219.3,SETFNN50
2021-04-16,358.99,361.99,355.01,358.67,402.0,219.3,SETFNN50
2021-04-15,356.99,357.99,347.11,357.37,402.0,219.3,SETFNN50
2021-04-13,354.99,357.68,348.2,354.14,402.0,219.3,SETFNN50
2021-04-12,364.5,364.5,348.85,351.46,402.0,219.3,SETFNN50
2021-04-09,367.99,367.99,363.09,365.46,402.0,212.1,SETFNN50
2021-04-08,365.99,366.62,359.1,365.49,402.0,212.1,SETFNN50
2021-04-07,362.99,364.12,361.0,363.07,402.0,212.1,SETFNN50
2021-04-06,359.99,363.5,352.5,360.36,402.0,212.1,SETFNN50
2021-04-05,360.99,360.99,350.0,356.47,402.0,212.1,SETFNN50
