DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-12,165.15,169.65,161.55,165.95,200.0,135.9,SGIL
2021-11-11,172.9,174.7,160.35,165.15,200.0,135.9,SGIL
2021-11-10,148.4,177.0,144.0,172.75,200.0,135.9,SGIL
2021-11-09,149.0,152.7,144.6,147.5,200.0,135.9,SGIL
2021-11-08,151.8,152.95,146.0,148.95,200.0,135.9,SGIL
2021-11-04,148.6,148.6,145.0,146.3,200.0,135.9,SGIL
2021-11-03,150.0,156.0,142.15,143.65,200.0,135.9,SGIL
2021-11-02,156.5,156.5,150.0,152.35,200.0,135.9,SGIL
2021-11-01,142.6,153.65,142.6,152.2,200.0,135.9,SGIL
2021-10-29,140.0,146.55,138.5,145.1,200.0,135.9,SGIL
2021-10-28,142.8,142.8,139.45,139.9,200.0,135.9,SGIL
2021-10-27,142.85,142.85,135.9,140.05,200.0,135.9,SGIL
2021-10-26,138.0,142.1,137.0,140.15,200.0,136.0,SGIL
2021-10-25,148.0,151.5,136.0,137.9,200.0,136.0,SGIL
2021-10-22,156.85,156.85,145.4,148.0,200.0,137.85,SGIL
2021-10-21,156.35,158.95,149.0,153.2,200.0,137.85,SGIL
2021-10-20,154.0,157.7,144.6,156.25,200.0,137.85,SGIL
2021-10-19,152.9,152.9,145.05,151.2,200.0,137.85,SGIL
2021-10-18,154.0,155.7,147.8,148.9,200.0,137.85,SGIL
2021-10-14,158.15,159.15,142.35,150.75,200.0,137.85,SGIL
2021-10-13,158.0,162.0,154.55,155.05,200.0,137.85,SGIL
2021-10-12,153.0,158.0,150.0,154.0,200.0,137.85,SGIL
2021-10-11,144.0,156.0,142.0,150.8,200.0,137.85,SGIL
2021-10-08,142.65,147.15,139.95,141.4,200.0,137.85,SGIL
2021-10-07,145.0,148.45,142.0,142.65,200.0,137.85,SGIL
2021-10-06,147.5,147.65,141.9,143.3,200.0,137.85,SGIL
2021-10-05,147.6,147.6,138.15,142.2,200.0,137.85,SGIL
2021-10-04,146.0,150.0,137.85,143.35,200.0,137.85,SGIL
2021-10-01,148.65,148.65,139.9,142.4,200.0,138.6,SGIL
2021-09-30,146.75,150.25,144.55,146.15,200.0,138.6,SGIL
2021-09-29,148.0,148.0,141.05,144.55,200.0,138.6,SGIL
2021-09-28,147.0,149.1,141.0,145.25,200.0,138.6,SGIL
2021-09-27,147.95,149.5,138.6,141.65,200.0,138.6,SGIL
2021-09-24,152.9,152.9,145.0,147.95,200.0,142.25,SGIL
2021-09-23,152.0,152.0,144.0,148.7,200.0,142.25,SGIL
2021-09-22,150.0,153.0,143.15,148.4,200.0,142.25,SGIL
2021-09-21,145.0,152.8,143.0,150.0,200.0,142.25,SGIL
2021-09-20,150.0,153.0,149.0,149.2,200.0,142.25,SGIL
2021-09-17,155.15,155.15,149.15,150.0,200.0,142.25,SGIL
2021-09-16,159.85,159.85,150.6,152.1,200.0,142.25,SGIL
2021-09-15,152.25,157.05,147.1,155.85,200.0,142.25,SGIL
2021-09-14,152.5,154.2,148.15,149.25,200.0,142.25,SGIL
2021-09-13,157.9,162.95,149.05,152.5,200.0,142.25,SGIL
2021-09-09,153.05,160.0,152.35,158.95,200.0,142.25,SGIL
2021-09-08,155.45,159.55,152.25,155.1,200.0,142.25,SGIL
2021-09-07,163.85,163.85,154.0,155.45,200.0,142.25,SGIL
2021-09-06,158.0,161.65,155.3,158.8,200.0,142.25,SGIL
2021-09-03,160.0,162.0,153.75,155.0,200.0,142.25,SGIL
2021-09-02,164.6,164.6,155.25,159.0,200.0,142.25,SGIL
2021-09-01,164.35,164.35,157.1,159.9,200.0,142.25,SGIL
2021-08-31,152.5,168.0,152.5,159.55,200.0,142.25,SGIL
2021-08-30,155.05,159.0,152.35,153.4,200.0,142.25,SGIL
2021-08-27,150.1,155.15,150.05,153.95,200.0,142.25,SGIL
2021-08-26,158.0,158.0,151.3,153.2,200.0,142.25,SGIL
2021-08-25,163.95,163.95,155.0,156.0,200.0,142.25,SGIL
2021-08-24,150.0,162.0,150.0,160.05,200.0,142.25,SGIL
2021-08-23,167.95,167.95,142.25,150.05,200.0,142.25,SGIL
2021-08-20,163.9,163.9,150.8,153.1,200.0,150.55,SGIL
2021-08-18,163.95,169.0,159.0,159.6,200.0,150.55,SGIL
2021-08-17,172.95,173.0,164.15,165.65,200.0,150.55,SGIL
2021-08-16,170.0,174.0,162.15,173.35,200.0,150.55,SGIL
2021-08-13,184.9,185.0,166.0,167.85,200.0,150.55,SGIL
2021-08-12,165.05,179.0,165.05,177.95,200.0,150.55,SGIL
2021-08-11,165.1,168.85,150.95,164.25,200.0,150.55,SGIL
2021-08-10,174.0,174.1,156.2,163.8,200.0,150.55,SGIL
2021-08-09,194.0,194.0,171.0,171.5,200.0,150.55,SGIL
2021-08-06,189.0,189.0,171.6,176.9,200.0,150.55,SGIL
2021-08-05,175.35,180.0,169.85,178.75,200.0,150.55,SGIL
2021-08-04,179.7,179.95,173.0,173.15,200.0,150.55,SGIL
2021-08-03,190.0,190.0,176.9,177.95,200.0,150.55,SGIL
2021-08-02,198.75,198.75,184.0,187.0,200.0,150.55,SGIL
2021-07-30,196.9,197.0,190.0,192.7,200.0,150.55,SGIL
2021-07-29,192.0,198.8,152.4,187.25,200.0,150.55,SGIL
2021-07-28,182.95,200.0,150.55,174.3,200.0,150.55,SGIL
