DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2021-11-04,59.6,59.6,59.6,59.6,59.6,38.6,SIKKO
2021-11-03,56.8,56.8,56.8,56.8,56.8,38.6,SIKKO
2021-11-02,54.1,54.1,54.1,54.1,54.1,38.6,SIKKO
2021-11-01,51.55,51.55,50.2,51.55,51.55,38.6,SIKKO
2021-10-29,49.1,49.1,49.1,49.1,49.1,38.6,SIKKO
2021-10-28,46.8,46.8,46.8,46.8,46.8,38.6,SIKKO
2021-10-27,44.55,44.6,44.5,44.6,44.6,38.6,SIKKO
2021-10-26,42.5,42.5,40.3,42.5,42.5,38.6,SIKKO
2021-10-25,40.5,40.5,40.5,40.5,40.5,38.6,SIKKO
2021-10-22,38.6,38.6,38.6,38.6,38.6,38.6,SIKKO
