DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-06-16,5.25,5.35,4.9,5.05,5.05,SINTEX
2021-06-15,4.9,5.1,4.75,5.1,5.1,SINTEX
2021-06-14,4.95,5.15,4.9,4.9,4.9,SINTEX
2021-06-11,5.65,5.65,5.15,5.15,5.15,SINTEX
2021-06-10,5.4,5.4,5.4,5.4,5.4,SINTEX
2021-06-09,5.15,5.15,5.15,5.15,5.15,SINTEX
2021-06-08,4.7,4.7,4.7,4.7,4.7,SINTEX
2021-06-07,4.3,4.3,4.3,4.3,4.3,SINTEX
2021-06-04,3.9,3.95,3.8,3.95,3.95,SINTEX
2021-06-03,3.65,3.8,3.65,3.8,3.8,SINTEX
2021-06-02,3.65,3.7,3.6,3.65,3.65,SINTEX
2021-06-01,3.7,3.7,3.6,3.65,3.7,SINTEX
2021-05-31,3.7,3.75,3.65,3.7,3.7,SINTEX
2021-05-28,3.8,3.85,3.65,3.75,3.7,SINTEX
2021-05-27,3.65,3.75,3.65,3.75,3.75,SINTEX
2021-05-26,3.55,3.65,3.45,3.6,3.6,SINTEX
2021-05-25,3.55,3.55,3.4,3.5,3.5,SINTEX
2021-05-24,3.5,3.55,3.35,3.45,3.45,SINTEX
2021-05-21,3.4,3.55,3.4,3.45,3.45,SINTEX
2021-05-20,3.75,3.75,3.55,3.55,3.55,SINTEX
2021-05-19,3.75,3.8,3.7,3.75,3.7,SINTEX
2021-05-18,3.75,3.8,3.7,3.8,3.75,SINTEX
2021-05-17,3.75,3.8,3.65,3.75,3.7,SINTEX
2021-05-14,3.9,3.95,3.65,3.7,3.65,SINTEX
2021-05-12,3.8,3.8,3.5,3.8,3.8,SINTEX
2021-05-11,3.65,3.65,3.6,3.65,3.65,SINTEX
2021-05-10,3.45,3.5,3.4,3.5,3.5,SINTEX
2021-05-07,3.4,3.45,3.25,3.4,3.35,SINTEX
2021-05-06,3.5,3.5,3.35,3.45,3.4,SINTEX
2021-05-05,3.5,3.55,3.4,3.45,3.45,SINTEX
2021-05-04,3.5,3.55,3.45,3.45,3.45,SINTEX
2021-05-03,3.5,3.55,3.4,3.5,3.45,SINTEX
2021-04-30,3.45,3.55,3.35,3.55,3.55,SINTEX
2021-04-29,3.4,3.55,3.4,3.45,3.4,SINTEX
2021-04-28,3.55,3.6,3.45,3.45,3.45,SINTEX
2021-04-27,3.5,3.6,3.4,3.5,3.55,SINTEX
2020-10-21,2.8,2.8,2.8,2.8,2.8,SINTEX
2020-10-20,2.7,2.7,2.7,2.7,2.7,SINTEX
2020-10-19,2.6,2.6,2.6,2.6,2.6,SINTEX
2020-10-16,2.5,2.5,2.5,2.5,2.5,SINTEX
2020-10-15,2.4,2.4,2.4,2.4,2.4,SINTEX
2020-10-14,2.3,2.3,2.3,2.3,2.3,SINTEX
2020-10-13,2.2,2.2,2.2,2.2,2.2,SINTEX
2020-10-12,2.1,2.1,2.1,2.1,2.1,SINTEX
2020-10-09,2.0,2.0,2.0,2.0,2.0,SINTEX
2020-10-08,1.95,1.95,1.95,1.95,1.95,SINTEX
2020-10-07,1.8,1.9,1.8,1.9,1.9,SINTEX
2020-10-06,1.85,1.85,1.85,1.85,1.85,SINTEX
2020-10-05,1.9,1.9,1.9,1.9,1.9,SINTEX
2020-10-01,2.0,2.0,2.0,2.0,2.0,SINTEX
2020-09-30,2.2,2.25,2.1,2.1,2.1,SINTEX
2020-09-29,2.2,2.2,2.15,2.2,2.2,SINTEX
2020-09-28,2.0,2.1,2.0,2.1,2.1,SINTEX
2020-09-25,2.0,2.0,1.95,2.0,2.0,SINTEX
2020-09-24,2.05,2.05,1.95,1.95,1.95,SINTEX
2020-09-23,2.05,2.1,2.0,2.05,2.05,SINTEX
2020-09-22,2.1,2.15,2.05,2.1,2.05,SINTEX
2020-09-21,2.3,2.3,2.15,2.15,2.15,SINTEX
2020-09-18,2.25,2.35,2.2,2.2,2.25,SINTEX
2020-09-17,2.4,2.4,2.25,2.3,2.25,SINTEX
2020-09-16,2.3,2.35,2.25,2.35,2.35,SINTEX
2020-09-15,2.2,2.25,2.2,2.25,2.25,SINTEX
2020-09-14,2.1,2.15,2.05,2.15,2.15,SINTEX
2020-09-11,2.0,2.1,2.0,2.1,2.05,SINTEX
2020-09-10,2.1,2.2,2.1,2.1,2.1,SINTEX
2020-09-09,2.35,2.35,2.2,2.2,2.2,SINTEX
2020-09-08,2.3,2.3,2.3,2.3,2.3,SINTEX
2020-09-07,2.2,2.2,2.2,2.2,2.2,SINTEX
2020-09-04,2.1,2.1,2.05,2.1,2.1,SINTEX
2020-09-03,1.95,2.0,1.95,2.0,2.0,SINTEX
2020-09-02,1.95,2.05,1.95,1.95,1.95,SINTEX
2020-09-01,2.05,2.05,2.05,2.05,2.05,SINTEX
2020-08-31,2.25,2.25,2.15,2.15,2.15,SINTEX
2020-08-28,2.3,2.4,2.25,2.25,2.25,SINTEX
2020-08-27,2.25,2.4,2.25,2.35,2.35,SINTEX
2020-08-26,2.5,2.5,2.3,2.35,2.3,SINTEX
2020-08-25,2.4,2.4,2.3,2.4,2.4,SINTEX
2020-08-24,2.3,2.3,2.3,2.3,2.3,SINTEX
2020-08-21,2.2,2.2,2.2,2.2,2.2,SINTEX
2020-08-20,2.1,2.1,2.1,2.1,2.1,SINTEX
2020-08-19,2.0,2.0,2.0,2.0,2.0,SINTEX
2020-08-18,1.95,1.95,1.9,1.95,1.95,SINTEX
