DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,1.65,1.7,1.6,1.7,1.7,2.0,0.4,SITINET
2021-07-23,1.7,1.7,1.6,1.65,1.65,2.0,0.4,SITINET
2021-07-22,1.65,1.65,1.6,1.65,1.65,2.0,0.4,SITINET
2021-07-20,1.6,1.6,1.55,1.6,1.6,2.0,0.4,SITINET
2021-05-19,1.15,1.15,1.05,1.15,1.15,2.0,0.4,SITINET
2021-05-18,1.1,1.1,1.1,1.1,1.1,2.0,0.4,SITINET
2021-05-17,1.05,1.05,1.05,1.05,1.05,2.0,0.4,SITINET
2021-05-14,1.0,1.0,1.0,1.0,1.0,2.0,0.4,SITINET
2021-05-12,0.95,0.95,0.95,0.95,0.95,2.0,0.4,SITINET
2021-05-11,0.9,0.9,0.85,0.9,0.9,2.0,0.4,SITINET
2021-05-10,0.85,0.85,0.8,0.85,0.85,2.0,0.4,SITINET
2021-05-07,0.9,0.9,0.8,0.85,0.8,2.0,0.4,SITINET
2021-05-06,0.8,0.85,0.8,0.85,0.85,2.0,0.4,SITINET
2021-05-05,0.85,0.9,0.8,0.85,0.8,2.0,0.4,SITINET
2021-05-04,0.85,0.9,0.8,0.85,0.85,2.0,0.4,SITINET
2021-05-03,0.8,0.85,0.8,0.8,0.85,2.0,0.4,SITINET
2021-04-30,0.85,0.85,0.8,0.85,0.8,2.0,0.4,SITINET
2021-04-29,0.8,0.85,0.8,0.85,0.8,2.0,0.4,SITINET
2021-04-28,0.8,0.8,0.75,0.8,0.8,2.0,0.4,SITINET
2021-04-27,0.85,0.85,0.75,0.8,0.8,2.0,0.4,SITINET
2021-04-26,0.8,0.85,0.8,0.8,0.8,2.0,0.4,SITINET
2021-04-23,0.75,0.8,0.75,0.8,0.8,2.0,0.4,SITINET
2021-04-22,0.75,0.8,0.7,0.75,0.75,2.0,0.4,SITINET
2021-04-20,0.75,0.8,0.7,0.8,0.75,2.0,0.4,SITINET
2021-04-19,0.75,0.8,0.7,0.8,0.75,2.0,0.4,SITINET
2021-04-16,0.8,0.8,0.7,0.8,0.75,2.0,0.4,SITINET
2021-04-15,0.85,0.85,0.75,0.8,0.75,2.0,0.4,SITINET
2021-04-13,0.8,0.85,0.75,0.8,0.8,2.0,0.4,SITINET
2021-04-12,0.85,0.85,0.8,0.85,0.8,2.0,0.4,SITINET
2021-04-09,0.85,0.9,0.8,0.85,0.85,2.0,0.4,SITINET
2021-04-08,0.9,0.9,0.8,0.9,0.85,2.0,0.4,SITINET
2021-04-07,0.9,0.9,0.85,0.9,0.85,2.0,0.4,SITINET
2021-04-06,0.9,0.9,0.85,0.9,0.9,2.0,0.4,SITINET
2021-04-05,0.9,0.9,0.85,0.9,0.85,2.0,0.4,SITINET
2021-04-01,0.85,0.9,0.85,0.9,0.9,2.0,0.4,SITINET
2021-03-31,0.9,0.9,0.85,0.9,0.85,2.0,0.4,SITINET
2021-03-30,0.9,0.9,0.85,0.9,0.9,2.0,0.4,SITINET
2021-03-26,0.85,0.85,0.8,0.85,0.85,2.0,0.4,SITINET
2021-03-25,0.85,0.9,0.8,0.85,0.8,2.0,0.4,SITINET
2021-03-24,0.9,0.9,0.85,0.9,0.85,2.0,0.4,SITINET
2021-03-23,0.95,0.95,0.85,0.9,0.85,2.0,0.4,SITINET
2021-03-22,0.85,0.9,0.8,0.9,0.9,2.0,0.4,SITINET
2021-03-19,0.8,0.85,0.8,0.85,0.85,2.0,0.4,SITINET
2021-03-18,0.85,0.9,0.8,0.85,0.8,2.0,0.4,SITINET
2021-03-17,0.9,0.9,0.85,0.85,0.85,2.0,0.4,SITINET
2021-03-16,0.9,0.9,0.85,0.9,0.9,2.0,0.4,SITINET
2021-03-15,0.9,0.9,0.85,0.9,0.9,2.0,0.4,SITINET
2021-03-12,0.9,0.95,0.85,0.85,0.9,2.0,0.4,SITINET
2021-03-10,0.9,0.95,0.9,0.95,0.9,2.0,0.4,SITINET
2021-03-09,0.95,0.95,0.9,0.95,0.95,2.0,0.4,SITINET
2021-03-08,0.85,0.9,0.85,0.9,0.9,2.0,0.4,SITINET
2021-03-05,0.9,0.9,0.85,0.9,0.85,2.0,0.4,SITINET
2021-03-04,0.85,0.9,0.85,0.9,0.85,2.0,0.4,SITINET
2021-03-03,0.9,0.95,0.85,0.9,0.9,2.0,0.4,SITINET
2021-03-02,0.9,0.95,0.85,0.9,0.9,2.0,0.4,SITINET
